,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-4.6,-7.6,-3.0,9.2,2000.0,,41.8,97.6,1031.4,168.0
1,2015-01-03,-7.6,-11.4,-4.3,37.4,2070.0,,49.7,163.4,1025.3,72.0
2,2015-01-04,-14.8,-17.8,-6.1,4.6,2300.0,,21.2,56.5,1032.7,0.0
3,2015-01-05,-13.6,-17.6,-9.7,0.0,2150.0,,29.5,59.8,1036.2,174.0
4,2015-01-06,-8.4,-10.5,-6.9,0.0,2100.0,,25.6,52.2,1027.2,462.0
5,2015-01-07,-9.1,-11.8,-7.4,0.0,2100.0,,32.4,66.2,1029.6,420.0
6,2015-01-08,-6.3,-9.0,-3.9,4.0,2100.0,,43.6,115.2,1029.1,36.0
7,2015-01-09,-7.2,-11.1,-2.1,13.8,2100.0,,61.6,155.5,1027.5,0.0
8,2015-01-10,-3.2,-4.4,-1.8,3.8,2200.0,,62.3,139.3,1019.6,402.0
9,2015-01-11,-12.1,-16.9,-4.4,18.6,2200.0,,,,1022.1,6.0
10,2015-01-12,-10.2,-15.8,-4.0,0.0,2350.0,,60.8,122.8,1028.4,102.0
11,2015-01-13,-4.1,-7.0,-2.1,0.0,2350.0,,50.0,113.8,1019.4,504.0
12,2015-01-14,-9.7,-12.7,-6.4,5.7,2300.0,,43.6,127.1,1019.3,6.0
13,2015-01-15,-6.3,-12.7,-3.0,0.0,2350.0,,54.0,122.8,1014.1,120.0
14,2015-01-16,-6.4,-7.4,-5.4,4.8,2350.0,,62.6,144.4,1009.6,180.0
15,2015-01-17,-10.9,-13.7,-7.0,9.3,2400.0,,15.8,76.0,1014.0,0.0
16,2015-01-18,-13.7,-14.7,-11.8,0.0,2550.0,,20.9,64.8,1018.4,522.0
17,2015-01-19,-12.6,-14.7,-10.3,0.0,2550.0,,23.4,61.2,1013.7,474.0
18,2015-01-20,-11.7,-12.4,-10.2,0.0,2550.0,,34.6,72.4,1010.5,138.0
19,2015-01-21,-9.8,-11.5,-8.3,0.0,2500.0,,41.8,92.5,1009.3,324.0
20,2015-01-22,-9.0,-10.6,-5.1,0.2,2500.0,,18.7,63.0,1011.4,366.0
21,2015-01-23,-11.3,-13.5,-10.4,0.2,2500.0,,16.6,46.4,1017.8,0.0
22,2015-01-24,-14.3,-17.9,-11.7,2.8,2500.0,,17.6,42.8,1021.5,312.0
23,2015-01-25,-18.0,-19.9,-16.6,10.0,2550.0,,19.8,50.4,1030.7,6.0
24,2015-01-26,-16.0,-18.3,-11.1,20.3,2750.0,,19.4,71.3,1027.1,492.0
25,2015-01-27,-16.1,-17.7,-12.2,27.4,2850.0,,27.7,65.5,1023.3,0.0
26,2015-01-28,-14.5,-17.6,-8.7,10.1,3300.0,,32.8,123.1,1017.7,396.0
