,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.4,3.6,8.2,1.4,0.0,254.6,52.6,99.0,1010.9,90.0
1,2015-01-03,5.1,1.9,6.1,7.3,0.0,272.1,50.4,89.3,1011.6,0.0
2,2015-01-04,5.0,4.7,5.5,0.1,0.0,304.2,43.9,67.3,1021.2,306.0
3,2015-01-05,5.4,4.4,5.8,0.4,0.0,273.3,27.7,53.6,1025.4,0.0
4,2015-01-06,3.5,2.1,4.4,0.1,0.0,182.9,17.3,43.9,1023.0,0.0
5,2015-01-07,4.6,2.1,6.0,0.4,0.0,231.3,23.0,46.1,1020.0,276.0
6,2015-01-08,5.1,3.6,6.3,3.0,0.0,229.2,28.4,55.4,1013.5,0.0
7,2015-01-09,6.3,5.1,7.7,4.0,0.0,258.3,49.3,119.9,1003.4,48.0
8,2015-01-10,6.9,4.4,10.0,3.4,0.0,256.7,54.7,115.6,994.8,0.0
9,2015-01-11,4.6,1.5,5.7,1.9,0.0,277.1,56.5,103.0,1000.7,60.0
10,2015-01-12,6.5,5.0,7.5,4.8,0.0,245.8,39.6,68.4,1003.3,0.0
11,2015-01-13,6.4,4.4,8.8,6.3,0.0,225.8,24.5,55.4,999.6,6.0
12,2015-01-14,3.9,1.4,5.6,2.9,0.0,239.2,30.2,77.8,1002.2,72.0
13,2015-01-15,4.8,1.3,8.2,3.1,0.0,185.8,31.7,64.4,997.7,0.0
14,2015-01-16,6.0,4.0,6.9,0.0,0.0,217.1,26.3,61.6,1000.6,108.0
15,2015-01-17,3.8,0.7,4.9,0.0,0.0,233.3,25.9,52.2,1008.9,330.0
16,2015-01-18,1.5,0.4,2.2,1.7,0.0,193.8,14.8,35.3,1012.5,0.0
17,2015-01-19,1.1,-0.4,1.8,0.8,0.0,167.9,10.4,22.3,1012.4,0.0
18,2015-01-20,1.1,-0.6,1.9,1.1,0.0,182.9,9.0,27.7,1011.3,0.0
19,2015-01-21,0.6,-1.1,1.4,0.0,0.0,247.9,11.9,25.2,1015.6,150.0
20,2015-01-22,0.2,-2.9,2.2,0.0,0.0,113.3,8.6,20.5,1020.8,246.0
21,2015-01-23,-0.4,-1.8,0.7,0.0,0.0,277.5,10.4,36.0,1024.4,0.0
22,2015-01-24,0.2,-2.4,3.5,1.3,0.0,219.6,24.1,50.0,1016.5,0.0
23,2015-01-25,3.1,1.6,3.9,0.0,0.0,269.6,22.0,40.3,1022.1,282.0
24,2015-01-26,3.1,1.5,4.8,6.3,0.0,216.7,22.0,53.3,1014.0,0.0
25,2015-01-27,3.9,3.1,4.3,0.0,0.0,299.6,31.7,58.0,1012.5,390.0
