,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.9,-1.6,3.3,2.7,0.0,,,,,0.0
1,2015-01-03,3.7,1.3,10.9,14.6,0.0,,,,,0.0
2,2015-01-04,2.7,0.4,4.6,0.0,0.0,,,,,312.0
3,2015-01-05,0.9,-2.2,5.4,0.0,0.0,,,,,450.0
4,2015-01-06,-0.3,-3.4,2.7,0.3,0.0,,,,,384.0
5,2015-01-07,1.7,0.8,3.0,0.0,0.0,,,,,0.0
6,2015-01-08,7.1,3.0,10.1,4.9,0.0,,,,,0.0
7,2015-01-09,9.0,6.8,12.9,4.4,0.0,,,,,0.0
8,2015-01-10,12.0,7.9,13.4,7.8,0.0,,,,,0.0
9,2015-01-11,5.1,3.3,7.9,0.5,0.0,,,,,228.0
10,2015-01-12,6.6,4.7,9.3,0.0,0.0,,,,,6.0
11,2015-01-13,9.4,3.3,14.7,8.8,0.0,,,,,432.0
12,2015-01-14,5.6,1.9,8.8,5.2,0.0,,,,,6.0
13,2015-01-15,8.0,4.5,11.8,1.7,0.0,,,,,0.0
14,2015-01-16,5.2,3.9,9.7,13.5,0.0,,,,,0.0
15,2015-01-17,3.2,-0.7,4.4,1.2,0.0,,,,,0.0
16,2015-01-18,-1.1,-2.5,0.7,0.0,0.0,,,,,0.0
17,2015-01-19,-0.1,-1.4,1.0,1.2,0.0,,,,,0.0
18,2015-01-20,0.0,-2.0,1.1,0.0,0.0,,,,,0.0
19,2015-01-21,0.2,-1.1,1.4,0.0,0.0,,,,,0.0
20,2015-01-22,0.9,0.3,1.4,0.0,0.0,,,,,0.0
21,2015-01-23,1.3,0.2,2.1,0.0,0.0,,,,,0.0
22,2015-01-24,0.4,-0.5,2.1,2.2,0.0,,,,,0.0
23,2015-01-25,1.0,-1.5,3.1,1.2,0.0,,,,,30.0
24,2015-01-26,0.9,0.2,2.2,4.2,0.0,,,,,0.0
25,2015-01-27,2.1,0.1,4.5,0.0,0.0,,,,,108.0
26,2015-01-28,2.9,1.3,5.1,5.5,0.0,,,,,0.0
27,2015-01-29,2.3,0.8,3.4,21.3,0.0,,,,,0.0
28,2015-01-30,0.9,-1.0,3.2,10.2,0.0,,,,,18.0
29,2015-01-31,0.9,-0.8,3.4,1.6,60.0,,,,,12.0
30,2015-02-01,1.0,0.2,2.3,3.3,40.0,,,,,36.0
31,2015-02-02,0.8,-2.4,3.0,0.3,0.0,,,,,150.0
32,2015-02-03,-0.5,-3.4,2.2,0.0,0.0,,,,,438.0
33,2015-02-04,-1.2,-3.5,0.0,0.0,0.0,,,,,6.0
34,2015-02-05,-1.2,-2.5,0.1,0.0,0.0,,,,,48.0
35,2015-02-06,-1.2,-3.3,2.1,0.0,0.0,,,,,180.0
36,2015-02-07,-1.9,-4.9,2.4,0.1,0.0,,,,,486.0
37,2015-02-08,2.1,0.1,4.0,0.0,0.0,,,,,66.0
38,2015-02-09,1.7,-0.1,4.0,0.1,0.0,,,,,24.0
39,2015-02-10,3.1,1.3,5.0,0.0,0.0,,,,,0.0
40,2015-02-11,2.0,0.4,3.6,0.0,0.0,,,,,114.0
41,2015-02-12,0.7,-2.2,4.0,0.0,0.0,,,,,234.0
42,2015-02-13,-0.4,-2.1,2.9,0.0,0.0,,,,,30.0
43,2015-02-14,1.5,-0.9,5.2,0.3,0.0,,,,,138.0
44,2015-02-15,-0.4,-2.1,1.2,0.0,0.0,,,,,0.0
45,2015-02-16,0.2,-0.4,1.2,0.0,0.0,,,,,0.0
46,2015-02-17,1.0,-0.5,2.6,0.0,0.0,,,,,0.0
47,2015-02-18,1.7,-0.4,3.1,0.0,0.0,,,,,0.0
48,2015-02-19,0.1,-1.9,1.9,0.0,0.0,,,,,0.0
49,2015-02-20,5.0,-3.1,12.8,1.9,0.0,,,,,522.0
50,2015-02-21,5.3,1.8,8.0,2.8,0.0,,,,,54.0
51,2015-02-22,2.5,-0.6,4.8,1.4,0.0,,,,,6.0
52,2015-02-23,2.7,-0.5,6.0,5.2,0.0,,,,,0.0
53,2015-02-24,4.3,1.8,6.7,1.0,0.0,,,,,30.0
54,2015-02-25,4.6,1.8,9.3,0.1,0.0,,,,,396.0
55,2015-02-26,6.0,2.2,11.1,4.1,0.0,,,,,258.0
56,2015-02-27,4.4,3.3,6.2,4.0,0.0,,,,,0.0
57,2015-02-28,4.5,1.0,8.4,1.4,0.0,,,,,420.0
58,2015-03-01,6.6,2.8,10.4,6.6,0.0,,,,,24.0
59,2015-03-02,6.9,2.7,10.7,2.9,0.0,,,,,324.0
60,2015-03-03,6.3,0.9,11.8,2.2,0.0,,,,,402.0
61,2015-03-04,4.7,1.7,8.6,0.0,0.0,,,,,366.0
62,2015-03-05,4.5,1.3,8.5,0.0,0.0,,,,,330.0
63,2015-03-06,5.2,0.2,10.6,0.0,0.0,,,,,582.0
64,2015-03-07,5.5,-0.9,10.0,0.0,0.0,,,,,384.0
65,2015-03-08,7.5,0.3,12.7,0.0,0.0,,,,,534.0
66,2015-03-09,10.1,2.5,14.6,0.0,0.0,,,,,570.0
67,2015-03-10,8.3,2.9,11.3,0.4,0.0,,,,,126.0
68,2015-03-11,6.8,3.1,9.6,0.0,0.0,,,,,594.0
69,2015-03-12,5.6,0.4,10.6,0.0,0.0,,,,,600.0
70,2015-03-13,4.1,0.6,8.6,0.0,,,,,,558.0
71,2015-03-14,4.1,1.9,6.4,0.0,,,,,,54.0
72,2015-03-15,5.0,3.5,8.1,0.0,,,,,,114.0
73,2015-03-16,7.1,3.3,11.8,0.0,0.0,,,,,378.0
74,2015-03-17,11.3,6.8,15.3,0.0,0.0,,,,,480.0
75,2015-03-18,12.4,6.5,17.4,0.0,0.0,,,,,600.0
76,2015-03-19,11.1,7.5,14.5,0.0,0.0,,,,,438.0
77,2015-03-20,9.5,4.9,14.2,0.0,0.0,,,,,618.0
78,2015-03-21,7.5,3.6,10.3,0.0,0.0,,,,,222.0
79,2015-03-22,6.2,4.0,9.0,0.0,0.0,,,,,156.0
80,2015-03-23,5.6,3.2,9.6,0.0,0.0,,,,,198.0
81,2015-03-24,8.4,0.6,15.2,0.0,0.0,,,,,468.0
82,2015-03-25,9.9,6.1,14.7,0.0,0.0,,,,,450.0
83,2015-03-26,7.0,5.1,11.0,1.4,0.0,,,,,18.0
84,2015-03-27,7.8,4.5,12.0,0.0,0.0,,,,,372.0
85,2015-03-28,8.8,3.3,13.8,1.7,0.0,,,,,360.0
86,2015-03-29,10.3,8.7,11.7,20.0,0.0,,,,,0.0
87,2015-03-30,9.0,6.1,11.9,3.7,0.0,,,,,258.0
88,2015-03-31,9.8,2.2,13.8,8.6,0.0,,,,,150.0
89,2015-04-01,5.8,2.6,9.0,3.8,0.0,,,,,324.0
90,2015-04-02,6.2,2.9,9.9,5.3,0.0,,,,,174.0
91,2015-04-03,6.2,-1.0,12.1,3.5,0.0,,,,,516.0
92,2015-04-04,5.1,3.6,6.3,5.8,0.0,,,,,6.0
93,2015-04-05,5.7,1.5,9.6,0.0,0.0,,,,,540.0
94,2015-04-06,6.4,1.4,10.3,0.0,0.0,,,,,132.0
95,2015-04-07,7.1,2.6,11.9,0.0,0.0,,,,,654.0
96,2015-04-08,9.5,1.8,15.0,0.0,0.0,,,,,642.0
97,2015-04-09,13.2,7.5,19.9,0.0,0.0,,,,,720.0
98,2015-04-10,15.6,6.4,22.9,0.0,0.0,,,,,732.0
99,2015-04-11,13.5,9.7,16.2,0.3,0.0,,,,,54.0
100,2015-04-12,13.5,9.5,19.3,0.0,0.0,,,,,234.0
101,2015-04-13,14.0,9.2,18.8,0.0,0.0,,,,,594.0
102,2015-04-14,15.4,7.1,22.8,0.0,0.0,,,,,690.0
103,2015-04-15,18.7,8.1,25.9,0.0,0.0,,,,,690.0
104,2015-04-16,18.7,14.6,22.6,0.0,0.0,,,,,312.0
105,2015-04-17,11.9,7.7,15.6,0.0,0.0,,,,,114.0
106,2015-04-18,9.3,5.6,13.4,0.0,0.0,,,,,642.0
107,2015-04-19,10.9,4.2,16.8,0.0,0.0,,,,,732.0
108,2015-04-20,13.9,8.4,18.5,0.0,0.0,,,,,702.0
109,2015-04-21,16.3,9.6,21.6,0.0,0.0,,,,,732.0
110,2015-04-22,13.7,8.1,20.0,0.0,0.0,,,,,702.0
111,2015-04-23,11.0,4.9,16.4,0.0,0.0,,,,,738.0
112,2015-04-24,13.9,4.8,22.3,0.0,0.0,,,,,744.0
113,2015-04-25,13.5,9.2,18.3,2.1,0.0,,,,,48.0
114,2015-04-26,15.6,10.0,20.3,1.7,0.0,,,,,318.0
115,2015-04-27,12.5,7.9,15.0,3.8,0.0,,,,,0.0
