,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.9,-3.3,-0.8,5.4,150.0,250.4,,,1028.6,0.0
1,2015-01-03,-2.4,-2.9,-1.7,8.1,140.0,261.3,,,1024.4,0.0
2,2015-01-04,-2.4,-2.9,-1.9,2.0,230.0,309.2,,,1029.4,0.0
3,2015-01-05,-3.6,-4.7,-2.3,0.0,240.0,275.0,,,1032.6,228.0
4,2015-01-06,-4.0,-6.2,-2.0,1.3,240.0,230.8,,,1026.2,288.0
5,2015-01-07,-2.6,-4.1,-1.2,2.2,240.0,242.1,,,1028.4,0.0
6,2015-01-08,0.3,-3.7,3.0,13.9,240.0,235.8,,99.7,1024.0,0.0
7,2015-01-09,1.8,0.1,5.4,11.3,170.0,250.0,49.3,109.8,1020.0,0.0
8,2015-01-10,5.8,-1.9,8.8,10.2,60.0,256.7,50.0,95.8,1010.6,0.0
9,2015-01-11,-2.6,-3.5,-1.4,1.6,0.0,270.4,29.9,,1017.3,0.0
10,2015-01-12,-0.1,-1.4,1.4,1.5,30.0,240.4,,,1018.9,0.0
11,2015-01-13,3.6,1.3,6.7,1.6,20.0,225.4,54.4,99.0,1011.0,210.0
12,2015-01-14,-0.3,-2.9,3.0,7.4,0.0,237.5,41.4,92.9,1011.9,0.0
13,2015-01-15,1.2,-2.9,4.4,4.3,50.0,197.9,,100.1,1007.7,12.0
14,2015-01-16,1.3,-0.5,3.0,9.4,0.0,195.0,,79.6,1006.9,0.0
15,2015-01-17,-1.7,-4.9,-0.5,1.8,30.0,291.3,,,1014.2,0.0
16,2015-01-18,-4.1,-4.8,-2.9,0.0,20.0,197.1,,,1017.1,48.0
17,2015-01-19,-3.3,-3.9,-2.7,2.2,20.0,172.5,,,1012.2,12.0
18,2015-01-20,-4.1,-5.9,-2.8,1.1,40.0,246.7,,,1011.5,0.0
19,2015-01-21,-5.5,-7.0,-3.3,0.0,60.0,124.6,,,1013.5,108.0
20,2015-01-22,-4.5,-6.0,-2.5,0.2,60.0,62.5,,,1015.3,0.0
21,2015-01-23,-4.7,-6.4,-3.7,0.0,60.0,50.0,,,1023.3,0.0
22,2015-01-24,-5.1,-7.0,-3.0,2.1,50.0,245.8,,,1021.8,0.0
23,2015-01-25,-2.9,-3.7,-2.3,0.2,80.0,300.0,,,1027.5,0.0
24,2015-01-26,-2.6,-3.0,-1.9,10.3,80.0,227.9,,,1021.7,0.0
25,2015-01-27,-2.4,-3.0,-2.0,3.8,140.0,306.7,,,1019.6,0.0
26,2015-01-28,-2.0,-3.4,-1.1,8.4,180.0,234.2,,,1009.9,0.0
27,2015-01-29,-3.3,-4.8,-2.2,16.8,250.0,222.1,,,989.2,0.0
28,2015-01-30,-4.1,-5.7,-2.3,6.1,420.0,247.9,,,976.0,0.0
