,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.3,-2.9,3.0,3.7,30.0,226.3,18.7,40.7,1033.8,0.0
1,2015-01-03,3.0,0.4,10.0,16.5,0.0,237.5,20.2,70.9,1026.3,0.0
2,2015-01-04,2.0,-0.1,4.6,0.0,0.0,301.3,11.5,36.7,1034.4,282.0
3,2015-01-05,-2.2,-4.8,0.7,0.0,0.0,142.9,3.6,9.4,1034.7,168.0
4,2015-01-06,-2.9,-5.6,-0.2,0.7,0.0,135.8,5.8,21.2,1026.9,90.0
5,2015-01-07,0.1,-0.2,1.8,0.1,0.0,230.4,9.7,23.4,1031.0,0.0
6,2015-01-08,5.3,1.8,7.6,5.9,0.0,230.0,29.2,69.5,1027.9,0.0
7,2015-01-09,7.6,5.2,11.6,6.0,0.0,235.4,38.5,88.6,1026.4,0.0
8,2015-01-10,10.2,4.9,12.0,7.9,0.0,242.9,41.0,88.2,1018.7,0.0
9,2015-01-11,3.2,1.5,5.4,0.4,0.0,259.2,25.9,55.4,1023.7,132.0
10,2015-01-12,4.5,3.3,6.4,0.0,0.0,227.5,35.6,64.1,1023.7,0.0
11,2015-01-13,7.0,3.3,11.7,4.9,0.0,220.0,31.3,69.8,1013.6,270.0
12,2015-01-14,4.2,1.7,6.3,1.8,0.0,232.9,30.2,88.2,1014.8,42.0
13,2015-01-15,6.7,3.5,9.2,5.5,0.0,212.5,31.0,62.6,1007.4,36.0
14,2015-01-16,3.1,2.1,5.5,3.1,0.0,200.0,13.3,53.6,1008.0,0.0
15,2015-01-17,2.0,0.0,4.1,0.8,0.0,272.5,11.2,24.5,1016.2,174.0
16,2015-01-18,-0.6,-2.5,2.5,0.0,0.0,175.0,10.4,22.3,1016.6,114.0
17,2015-01-19,-1.8,-2.6,-0.6,0.4,0.0,133.8,6.8,22.3,1012.4,0.0
18,2015-01-20,-1.6,-2.9,0.3,0.0,0.0,217.1,5.8,15.8,1012.8,36.0
19,2015-01-21,-0.9,-3.0,2.5,0.0,0.0,57.5,15.1,43.9,1010.9,84.0
20,2015-01-22,-0.3,-0.9,0.0,0.0,0.0,43.3,15.5,36.4,1015.0,0.0
21,2015-01-23,0.0,-1.3,1.3,0.0,0.0,85.4,11.2,23.4,1024.1,0.0
22,2015-01-24,-1.1,-1.7,-0.1,4.2,0.0,265.0,16.2,36.7,1023.9,0.0
23,2015-01-25,-0.8,-2.8,0.5,5.4,30.0,268.3,10.4,31.3,1031.1,0.0
24,2015-01-26,0.5,-0.5,2.7,8.7,90.0,235.4,14.8,32.0,1024.6,0.0
25,2015-01-27,1.0,0.0,2.0,0.0,40.0,288.8,15.8,32.4,1024.7,0.0
26,2015-01-28,2.2,1.0,4.2,3.1,20.0,229.2,26.6,73.8,1013.1,0.0
27,2015-01-29,1.2,-0.2,2.5,6.9,0.0,232.9,28.4,52.2,990.8,0.0
28,2015-01-30,-0.6,-1.8,1.0,8.6,10.0,246.3,19.1,54.0,979.5,0.0
29,2015-01-31,-0.5,-1.8,0.8,9.3,100.0,230.0,13.7,34.6,984.7,0.0
30,2015-02-01,-0.3,-1.8,0.4,4.0,150.0,253.8,14.8,37.8,992.6,0.0
31,2015-02-02,-0.6,-3.6,1.4,0.0,150.0,273.8,11.9,33.1,1003.1,180.0
32,2015-02-03,-2.3,-5.4,0.8,0.0,100.0,138.8,8.3,24.1,1005.3,252.0
33,2015-02-04,-3.0,-4.9,-0.4,0.0,90.0,35.8,16.2,44.3,1013.3,282.0
34,2015-02-05,-3.7,-6.4,-1.5,0.0,90.0,37.9,27.4,67.0,1018.4,156.0
35,2015-02-06,-2.7,-4.5,0.0,0.0,80.0,50.8,39.2,72.7,1021.0,318.0
36,2015-02-07,-2.4,-6.1,1.3,0.0,80.0,42.9,22.3,57.6,1028.7,468.0
37,2015-02-08,1.0,-0.6,2.7,0.0,80.0,209.2,17.3,52.2,1030.0,42.0
38,2015-02-09,0.8,-0.1,2.0,0.0,60.0,270.8,13.3,32.4,1032.1,6.0
39,2015-02-10,2.1,0.2,3.6,0.0,30.0,106.7,13.7,42.5,1030.8,0.0
40,2015-02-11,1.6,-1.3,5.0,0.0,10.0,62.9,16.6,40.7,1025.9,276.0
41,2015-02-12,-0.2,-1.6,2.5,0.0,10.0,66.7,10.4,23.4,1023.3,144.0
42,2015-02-13,1.4,-2.8,9.5,0.0,10.0,105.4,10.1,27.7,1017.6,342.0
43,2015-02-14,4.5,1.2,9.6,3.8,0.0,150.0,12.6,54.4,1009.3,150.0
44,2015-02-15,-0.1,-1.9,2.9,0.0,0.0,54.6,15.1,30.6,1013.1,138.0
45,2015-02-16,-0.6,-1.8,0.5,0.0,0.0,130.0,6.1,23.0,1020.5,0.0
46,2015-02-17,-0.2,-2.1,1.5,0.0,0.0,206.7,5.0,15.1,1033.2,0.0
47,2015-02-18,1.6,-1.7,5.7,0.0,0.0,79.2,11.2,31.7,1039.4,150.0
48,2015-02-19,-0.9,-2.1,0.2,0.0,0.0,185.0,10.4,33.5,1031.8,0.0
49,2015-02-20,5.3,-0.2,11.2,3.1,0.0,214.2,24.5,55.1,1014.2,216.0
50,2015-02-21,3.1,1.2,4.5,0.1,0.0,232.1,21.6,66.2,1001.4,0.0
51,2015-02-22,1.8,-0.3,6.3,0.2,0.0,278.3,11.9,29.2,1010.1,246.0
52,2015-02-23,1.9,-0.4,5.8,7.8,0.0,213.3,22.3,54.4,1001.2,0.0
53,2015-02-24,2.8,1.1,6.2,0.4,0.0,231.7,20.5,41.8,1009.5,48.0
54,2015-02-25,3.3,-0.2,7.2,1.6,0.0,228.3,14.0,28.8,1019.4,168.0
55,2015-02-26,4.7,3.3,6.8,7.2,0.0,207.1,13.3,29.5,1018.1,0.0
56,2015-02-27,3.3,1.0,4.6,2.0,0.0,265.4,15.1,45.7,1015.1,0.0
57,2015-02-28,2.7,-0.7,6.9,1.8,0.0,239.6,13.0,34.9,1020.1,486.0
58,2015-03-01,5.5,1.5,9.4,11.2,0.0,222.1,25.9,54.0,1008.1,6.0
59,2015-03-02,4.7,1.1,8.3,2.3,0.0,252.1,27.7,76.0,1010.3,150.0
60,2015-03-03,3.9,-0.6,9.2,3.1,0.0,232.5,23.8,55.1,1021.3,282.0
61,2015-03-04,2.3,0.2,5.7,0.1,0.0,266.7,15.1,42.5,1028.3,156.0
62,2015-03-05,3.8,0.8,8.0,0.0,0.0,228.3,11.5,33.1,1037.1,414.0
63,2015-03-06,5.0,1.1,9.5,0.0,0.0,212.1,6.1,22.7,1037.1,570.0
64,2015-03-07,5.0,-0.3,10.5,0.0,0.0,81.7,6.1,16.9,1032.5,312.0
65,2015-03-08,8.1,1.4,14.3,0.0,0.0,76.3,7.2,18.7,1025.9,450.0
66,2015-03-09,9.6,3.9,15.1,0.0,0.0,112.1,11.5,29.2,1025.5,534.0
67,2015-03-10,8.2,5.9,10.6,0.1,0.0,249.2,9.4,23.4,1027.4,0.0
68,2015-03-11,5.1,1.3,10.0,0.0,0.0,45.4,14.8,30.6,1029.7,588.0
