,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,6.2,,,,,,
1,2015-01-03,,,,1.4,,,,,,
2,2015-01-04,,,,1.4,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.2,,,,,,
5,2015-01-07,,,,0.9,,,,,,
6,2015-01-08,,,,10.4,,,,,,
7,2015-01-09,,,,1.4,,,,,,
8,2015-01-10,,,,13.5,,,,,,
9,2015-01-11,,,,3.6,,,,,,
10,2015-01-12,,,,6.4,,,,,,
11,2015-01-13,,,,24.9,,,,,,
12,2015-01-14,,,,5.7,,,,,,
13,2015-01-15,,,,6.0,,,,,,
14,2015-01-16,,,,0.0,,,,,,
15,2015-01-17,,,,0.0,,,,,,
16,2015-01-18,,,,2.4,,,,,,
17,2015-01-19,,,,4.7,,,,,,
18,2015-01-20,,,,0.0,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,7.6,,,,,,
23,2015-01-25,,,,0.9,,,,,,
24,2015-01-26,,,,6.3,,,,,,
25,2015-01-27,,,,1.4,,,,,,
26,2015-01-28,,,,8.4,,,,,,
27,2015-01-29,,,,2.5,,,,,,
28,2015-01-30,,,,1.8,,,,,,
29,2015-01-31,,,,5.2,,,,,,
30,2015-02-01,,,,0.0,,,,,,
31,2015-02-02,,,,2.6,,,,,,
32,2015-02-03,,,,0.8,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.2,,,,,,
37,2015-02-08,,,,0.3,,,,,,
38,2015-02-09,,,,1.9,,,,,,
39,2015-02-10,,,,0.4,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,7.3,,,,,,
50,2015-02-21,,,,11.2,,,,,,
51,2015-02-22,,,,0.0,,,,,,
52,2015-02-23,,,,3.4,,,,,,
53,2015-02-24,,,,1.6,,,,,,
54,2015-02-25,,,,4.4,,,,,,
55,2015-02-26,,,,0.1,,,,,,
56,2015-02-27,,,,5.0,,,,,,
57,2015-02-28,,,,0.0,,,,,,
58,2015-03-01,,,,3.5,,,,,,
59,2015-03-02,,,,8.1,,,,,,
60,2015-03-03,,,,6.0,,,,,,
61,2015-03-04,,,,4.7,,,,,,
62,2015-03-05,,,,0.0,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.2,,,,,,
67,2015-03-10,,,,1.5,,,,,,
68,2015-03-11,,,,0.0,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.0,,,,,,
72,2015-03-15,,,,0.1,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,5.3,,,,,,
79,2015-03-22,,,,0.0,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,4.3,,,,,,
83,2015-03-26,,,,1.3,,,,,,
84,2015-03-27,,,,1.6,,,,,,
85,2015-03-28,,,,2.7,,,,,,
86,2015-03-30,,,,5.2,,,,,,
87,2015-03-31,,,,14.3,,,,,,
88,2015-04-01,,,,8.3,,,,,,
89,2015-04-02,,,,5.1,,,,,,
90,2015-04-03,,,,0.4,,,,,,
91,2015-04-04,,,,0.0,,,,,,
92,2015-04-05,,,,0.0,,,,,,
93,2015-04-06,,,,0.9,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,1.9,,,,,,
99,2015-04-12,,,,0.0,,,,,,
100,2015-04-13,,,,1.1,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.0,,,,,,
104,2015-04-17,,,,0.1,,,,,,
105,2015-04-18,,,,0.0,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.0,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,1.8,,,,,,
113,2015-04-26,,,,0.7,,,,,,
114,2015-04-27,,,,0.0,,,,,,
115,2015-04-28,,,,5.0,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,4.2,,,,,,
118,2015-05-01,,,,0.1,,,,,,
119,2015-05-02,,,,0.0,,,,,,
120,2015-05-03,,,,3.1,,,,,,
121,2015-05-04,,,,0.0,,,,,,
122,2015-05-05,,,,18.4,,,,,,
123,2015-05-06,,,,3.4,,,,,,
124,2015-05-07,,,,1.3,,,,,,
125,2015-05-08,,,,0.0,,,,,,
126,2015-05-09,,,,2.5,,,,,,
127,2015-05-10,,,,0.0,,,,,,
128,2015-05-11,,,,0.0,,,,,,
129,2015-05-12,,,,1.2,,,,,,
130,2015-05-13,,,,0.0,,,,,,
131,2015-05-14,,,,0.1,,,,,,
132,2015-05-15,,,,0.0,,,,,,
133,2015-05-16,,,,0.8,,,,,,
134,2015-05-17,,,,0.1,,,,,,
135,2015-05-18,,,,2.8,,,,,,
136,2015-05-19,,,,3.4,,,,,,
137,2015-05-20,,,,1.3,,,,,,
138,2015-05-21,,,,0.4,,,,,,
139,2015-05-22,,,,0.0,,,,,,
140,2015-05-23,,,,0.5,,,,,,
141,2015-05-24,,,,0.0,,,,,,
142,2015-05-25,,,,0.0,,,,,,
143,2015-05-26,,,,1.4,,,,,,
144,2015-05-27,,,,0.0,,,,,,
145,2015-05-28,,,,5.3,,,,,,
146,2015-05-29,,,,0.6,,,,,,
147,2015-05-30,,,,1.8,,,,,,
148,2015-05-31,,,,1.3,,,,,,
149,2015-06-01,,,,4.1,,,,,,
150,2015-06-02,,,,0.3,,,,,,
151,2015-06-03,,,,0.0,,,,,,
152,2015-06-04,,,,0.0,,,,,,
