,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.0,4.9,8.3,0.0,0.0,255.4,21.2,58.0,,42.0
1,2015-01-03,3.9,2.7,5.6,0.1,0.0,263.3,17.6,49.3,,0.0
2,2015-01-04,3.5,2.7,4.5,1.5,0.0,297.9,23.0,52.9,,6.0
3,2015-01-05,3.1,2.2,4.2,0.0,0.0,286.7,14.8,54.4,,78.0
4,2015-01-06,1.9,-0.1,4.1,0.0,0.0,182.1,6.5,32.4,,36.0
5,2015-01-07,4.2,2.5,7.1,0.2,0.0,260.8,12.2,38.2,,126.0
6,2015-01-08,5.1,2.6,8.3,4.5,0.0,250.4,15.5,63.7,,6.0
7,2015-01-09,7.5,4.3,10.5,1.6,0.0,259.2,23.8,85.0,,12.0
8,2015-01-10,10.6,4.3,14.7,3.0,0.0,265.8,24.8,87.5,,96.0
9,2015-01-11,4.2,2.4,5.5,0.2,0.0,270.4,23.4,62.6,,120.0
10,2015-01-12,6.5,4.9,8.4,0.1,0.0,244.2,19.4,54.0,,0.0
11,2015-01-13,9.9,7.3,12.5,0.9,0.0,231.3,16.9,59.4,,348.0
12,2015-01-14,5.4,2.2,8.1,2.6,0.0,249.6,11.9,54.7,,288.0
13,2015-01-15,6.6,2.4,10.1,0.7,0.0,191.7,14.8,61.9,,60.0
14,2015-01-16,7.0,4.2,10.1,2.1,0.0,202.1,7.9,35.6,,6.0
15,2015-01-17,2.7,-2.4,5.1,0.0,0.0,267.5,6.1,24.8,,192.0
16,2015-01-18,0.8,-2.5,3.6,0.0,0.0,209.6,7.6,33.5,,150.0
17,2015-01-19,-0.8,-3.9,1.6,0.0,0.0,161.7,3.6,27.4,,0.0
18,2015-01-20,-0.2,-1.7,0.8,2.5,0.0,276.7,4.7,18.4,,0.0
19,2015-01-21,-1.6,-3.0,-0.2,0.0,10.0,160.8,6.1,20.5,,138.0
20,2015-01-22,-1.0,-1.7,-0.2,0.3,0.0,197.5,5.8,19.1,,0.0
21,2015-01-23,-1.4,-2.0,-0.8,0.0,0.0,312.9,7.2,22.0,,0.0
22,2015-01-24,-0.4,-5.3,2.2,0.6,0.0,195.0,9.4,37.1,,366.0
23,2015-01-25,1.9,-0.1,4.1,3.6,0.0,295.8,11.2,32.8,,120.0
24,2015-01-26,2.6,-0.3,4.5,2.3,0.0,221.3,10.8,43.6,,0.0
25,2015-01-27,3.2,1.6,5.1,0.0,0.0,298.8,20.5,50.8,,96.0
26,2015-01-28,3.6,1.7,5.1,1.5,0.0,241.7,13.3,54.7,,18.0
27,2015-01-29,2.0,0.6,4.2,1.4,0.0,217.1,12.6,43.9,,270.0
28,2015-01-30,1.0,-1.1,3.2,1.3,0.0,226.3,9.4,34.9,,48.0
29,2015-01-31,0.8,-1.9,5.0,0.6,10.0,260.8,8.3,30.6,,198.0
30,2015-02-01,0.9,-2.6,3.8,0.0,0.0,250.8,9.7,28.4,,432.0
31,2015-02-02,1.3,-1.3,3.9,0.0,0.0,256.7,9.4,36.0,,252.0
32,2015-02-03,0.3,-3.8,2.8,0.8,0.0,274.6,10.8,40.3,,156.0
33,2015-02-04,-1.5,-3.6,0.2,0.0,10.0,298.8,9.4,23.8,,108.0
34,2015-02-05,-2.2,-4.7,-0.5,0.0,10.0,197.1,7.2,23.8,,18.0
35,2015-02-06,-4.1,-5.7,-3.0,0.0,0.0,152.1,4.0,16.6,,0.0
36,2015-02-07,-0.9,-8.2,3.9,1.0,0.0,274.6,13.0,56.9,,282.0
37,2015-02-08,1.5,-0.9,3.4,0.2,0.0,312.5,18.7,61.6,,426.0
38,2015-02-09,4.8,1.1,6.3,0.0,0.0,296.7,24.1,56.2,,0.0
39,2015-02-10,5.0,4.4,5.7,0.0,0.0,301.3,16.6,40.7,,0.0
40,2015-02-11,3.9,-2.0,7.7,0.0,0.0,183.8,6.8,23.0,,264.0
41,2015-02-12,-1.6,-4.7,-0.8,0.0,0.0,201.7,3.2,14.0,,0.0
42,2015-02-13,0.0,-2.8,5.9,0.0,0.0,159.6,2.9,13.7,,270.0
43,2015-02-14,1.1,-3.7,6.8,0.0,0.0,137.5,4.0,12.6,,552.0
44,2015-02-15,-1.6,-5.7,0.9,0.0,0.0,219.2,3.2,11.5,,0.0
45,2015-02-16,1.6,-1.2,6.0,0.0,0.0,115.0,11.2,31.0,,264.0
46,2015-02-17,0.6,-4.7,4.1,0.0,0.0,252.1,6.5,23.8,,0.0
47,2015-02-18,3.5,0.1,8.5,0.0,0.0,232.9,6.8,29.9,,378.0
48,2015-02-19,2.4,-2.6,9.5,0.0,0.0,232.5,7.6,33.1,,576.0
49,2015-02-20,5.5,-0.7,10.7,0.0,0.0,216.3,16.6,53.6,,444.0
50,2015-02-21,5.0,-0.7,8.4,0.1,0.0,190.8,10.1,34.6,,30.0
51,2015-02-22,2.2,-1.8,6.2,0.0,0.0,221.7,5.4,37.1,,204.0
52,2015-02-23,2.9,0.7,3.9,1.7,0.0,204.2,12.6,45.4,,0.0
53,2015-02-24,4.3,1.4,6.1,0.0,0.0,230.0,10.1,37.1,,174.0
54,2015-02-25,4.0,-2.4,9.0,0.0,0.0,248.8,7.9,29.2,,426.0
