,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,4.0,,,,,,
1,2015-01-03,,,,1.1,,,,,,
2,2015-01-04,,,,0.0,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,1.5,,,,,,
6,2015-01-08,,,,19.8,,,,,,
7,2015-01-09,,,,4.0,,,,,,
8,2015-01-10,,,,6.3,,,,,,
9,2015-01-11,,,,1.5,,,,,,
10,2015-01-12,,,,0.7,,,,,,
11,2015-01-13,,,,6.4,,,,,,
12,2015-01-15,,,,2.7,,,,,,
13,2015-01-16,,,,0.0,,,,,,
14,2015-01-17,,,,0.0,,,,,,
15,2015-01-18,,,,0.6,,,,,,
16,2015-01-19,,,,0.0,,,,,,
17,2015-01-20,,,,0.0,,,,,,
18,2015-01-21,,,,0.0,,,,,,
19,2015-01-22,,,,0.0,,,,,,
20,2015-01-23,,,,0.0,,,,,,
21,2015-01-24,,,,5.0,,,,,,
22,2015-01-25,,,,1.0,,,,,,
23,2015-01-26,,,,7.3,,,,,,
24,2015-01-27,,,,2.9,,,,,,
25,2015-01-28,,,,4.0,,,,,,
26,2015-01-29,,,,2.0,,,,,,
27,2015-01-30,,,,8.0,,,,,,
28,2015-01-31,,,,3.6,,,,,,
29,2015-02-01,,,,0.3,,,,,,
30,2015-02-02,,,,1.5,,,,,,
31,2015-02-03,,,,2.5,,,,,,
32,2015-02-04,,,,0.0,,,,,,
33,2015-02-05,,,,0.0,,,,,,
34,2015-02-06,,,,0.0,,,,,,
35,2015-02-07,,,,0.5,,,,,,
36,2015-02-08,,,,0.0,,,,,,
37,2015-02-09,,,,1.3,,,,,,
38,2015-02-10,,,,0.8,,,,,,
39,2015-02-11,,,,0.0,,,,,,
40,2015-02-12,,,,0.0,,,,,,
41,2015-02-13,,,,0.0,,,,,,
42,2015-02-14,,,,0.0,,,,,,
43,2015-02-15,,,,0.0,,,,,,
44,2015-02-16,,,,0.0,,,,,,
45,2015-02-17,,,,0.1,,,,,,
46,2015-02-18,,,,0.0,,,,,,
47,2015-02-19,,,,0.0,,,,,,
48,2015-02-20,,,,3.1,,,,,,
49,2015-02-21,,,,3.8,,,,,,
50,2015-02-22,,,,0.0,,,,,,
51,2015-02-23,,,,4.4,,,,,,
52,2015-02-24,,,,0.3,,,,,,
53,2015-02-25,,,,0.1,,,,,,
54,2015-02-26,,,,0.0,,,,,,
55,2015-02-27,,,,10.1,,,,,,
56,2015-02-28,,,,0.0,,,,,,
57,2015-03-01,,,,3.2,,,,,,
58,2015-03-02,,,,3.5,,,,,,
59,2015-03-03,,,,4.1,,,,,,
60,2015-03-04,,,,5.5,,,,,,
61,2015-03-05,,,,0.1,,,,,,
62,2015-03-06,,,,0.0,,,,,,
63,2015-03-07,,,,0.0,,,,,,
64,2015-03-08,,,,0.0,,,,,,
65,2015-03-09,,,,0.0,,,,,,
66,2015-03-10,,,,1.7,,,,,,
67,2015-03-11,,,,0.0,,,,,,
68,2015-03-12,,,,0.0,,,,,,
