,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.3,4.4,8.7,0.2,0.0,,,,,78.0
1,2015-01-03,4.0,3.1,5.1,0.2,0.0,,,,,0.0
2,2015-01-04,3.7,1.6,5.9,1.1,0.0,,,,,288.0
3,2015-01-05,2.4,0.8,3.8,0.0,0.0,,,,,18.0
4,2015-01-06,2.9,-0.2,4.5,0.9,0.0,,,,,0.0
5,2015-01-07,4.3,3.1,5.7,0.2,0.0,,,,,258.0
6,2015-01-08,5.5,3.0,7.6,11.9,0.0,,,,,0.0
7,2015-01-09,7.9,5.7,11.0,4.1,0.0,,,,,0.0
8,2015-01-10,9.9,4.0,12.8,2.4,0.0,,,,,0.0
9,2015-01-11,4.3,2.0,6.3,4.6,0.0,,,,,84.0
10,2015-01-12,7.5,5.8,9.6,2.2,0.0,,,,,0.0
11,2015-01-13,8.6,6.6,10.1,5.7,0.0,,,,,0.0
12,2015-01-14,4.3,2.0,7.2,1.1,0.0,,,,,18.0
13,2015-01-15,7.4,3.0,10.3,1.3,0.0,,,,,0.0
14,2015-01-16,5.9,3.8,7.6,0.0,0.0,,,,,102.0
15,2015-01-17,2.4,0.0,5.1,0.0,0.0,,,,,396.0
16,2015-01-18,1.2,0.0,2.8,0.3,0.0,,,,,0.0
17,2015-01-19,0.1,-1.8,2.2,0.0,0.0,,,,,6.0
18,2015-01-20,-0.7,-3.6,0.9,0.0,0.0,,,,,0.0
19,2015-01-21,-1.9,-5.0,1.5,0.0,0.0,,,,,228.0
20,2015-01-22,-0.8,-2.4,0.4,0.0,0.0,,,,,0.0
21,2015-01-23,-1.6,-2.9,-0.4,0.0,0.0,,,,,0.0
22,2015-01-24,0.0,-2.5,1.9,3.0,0.0,,,,,0.0
23,2015-01-25,1.7,-1.9,3.8,2.1,20.0,,,,,48.0
24,2015-01-26,3.3,1.8,5.7,4.0,0.0,,,,,0.0
25,2015-01-27,3.2,1.7,5.5,1.5,0.0,,,,,132.0
26,2015-01-28,4.1,2.2,6.3,4.3,0.0,,,,,6.0
27,2015-01-29,1.8,-0.8,3.9,9.4,0.0,,,,,48.0
28,2015-01-30,-0.6,-4.4,0.7,6.9,20.0,,,,,0.0
29,2015-01-31,0.2,-4.5,2.5,0.1,80.0,,,,,198.0
30,2015-02-01,0.3,-5.5,2.2,0.0,50.0,,,,,12.0
31,2015-02-02,0.9,-1.1,1.8,2.1,20.0,,,,,6.0
32,2015-02-03,0.4,-4.4,1.8,1.6,0.0,,,,,132.0
33,2015-02-04,-2.0,-5.3,0.8,0.0,0.0,,,,,384.0
34,2015-02-05,-1.5,-3.8,0.2,0.0,0.0,,,,,36.0
35,2015-02-06,-2.2,-5.9,1.7,0.0,0.0,,,,,426.0
36,2015-02-07,-1.0,-7.1,3.9,0.6,0.0,,,,,0.0
37,2015-02-08,2.9,1.2,4.2,0.0,0.0,,,,,420.0
38,2015-02-09,5.3,3.7,6.6,0.5,0.0,,,,,0.0
39,2015-02-10,5.4,4.6,6.7,0.0,0.0,,,,,0.0
40,2015-02-11,3.6,-1.8,5.2,0.0,0.0,,,,,0.0
41,2015-02-12,-0.2,-3.1,1.1,0.0,0.0,,,,,0.0
42,2015-02-13,2.2,-1.7,7.4,0.0,0.0,,,,,516.0
43,2015-02-14,4.5,-0.3,9.7,0.0,0.0,,,,,384.0
44,2015-02-15,0.8,-1.4,3.5,0.0,0.0,,,,,198.0
45,2015-02-16,1.4,-2.6,6.1,0.0,0.0,,,,,492.0
46,2015-02-17,0.9,-3.7,3.6,0.0,0.0,,,,,0.0
47,2015-02-18,2.0,-1.5,6.3,0.0,0.0,,,,,438.0
48,2015-02-19,2.2,-0.1,4.6,0.0,0.0,,,,,186.0
49,2015-02-20,4.9,1.5,7.5,4.5,0.0,,,,,18.0
50,2015-02-21,4.1,0.1,6.7,0.9,0.0,,,,,84.0
51,2015-02-22,2.6,-1.1,6.3,1.1,0.0,,,,,414.0
52,2015-02-23,3.7,1.3,5.8,1.0,0.0,,,,,60.0
53,2015-02-24,4.3,2.2,6.8,0.3,0.0,,,,,120.0
54,2015-02-25,4.8,0.8,8.3,0.0,0.0,,,,,378.0
55,2015-02-26,6.6,4.2,10.3,5.9,0.0,,,,,420.0
56,2015-02-27,4.7,-0.5,7.3,2.3,0.0,,,,,66.0
57,2015-02-28,2.9,-2.2,7.6,0.7,0.0,,,,,456.0
58,2015-03-01,6.2,3.2,10.5,5.2,0.0,,,,,126.0
59,2015-03-02,4.7,1.1,8.2,3.2,0.0,,,,,216.0
60,2015-03-03,3.3,1.5,6.5,3.3,0.0,,,,,138.0
61,2015-03-04,3.6,1.1,6.6,5.4,0.0,,,,,72.0
62,2015-03-05,4.9,2.4,8.2,0.0,0.0,,,,,30.0
63,2015-03-06,6.0,2.8,8.4,0.0,0.0,,,,,0.0
64,2015-03-07,7.4,1.3,12.7,0.0,0.0,,,,,144.0
65,2015-03-08,10.1,3.0,17.2,0.0,0.0,,,,,576.0
66,2015-03-09,8.1,4.0,12.5,0.5,0.0,,,,,282.0
67,2015-03-10,7.6,1.5,12.3,0.2,0.0,,,,,276.0
68,2015-03-11,4.3,-1.1,9.9,0.0,0.0,,,,,354.0
69,2015-03-12,2.5,-1.9,8.6,0.0,0.0,,,,,306.0
70,2015-03-13,3.2,-0.1,6.8,0.0,0.0,,,,,594.0
71,2015-03-14,3.8,1.5,6.0,0.0,0.0,,,,,0.0
72,2015-03-15,5.0,3.8,6.3,0.0,0.0,,,,,0.0
73,2015-03-16,7.1,2.3,11.2,0.0,0.0,,,,,426.0
74,2015-03-17,8.0,1.1,15.0,0.0,0.0,,,,,534.0
75,2015-03-18,7.9,-0.1,15.9,0.0,0.0,,,,,564.0
76,2015-03-19,6.3,-0.1,12.4,0.0,0.0,,,,,390.0
77,2015-03-20,0.5,-3.0,4.5,3.2,0.0,,,,,102.0
78,2015-03-21,4.7,1.7,8.0,5.2,0.0,,,,,78.0
79,2015-03-22,2.5,-1.2,6.2,0.0,0.0,,,,,672.0
80,2015-03-23,4.1,-3.1,10.8,0.0,0.0,,,,,492.0
81,2015-03-24,6.4,1.9,10.0,0.0,0.0,,,,,180.0
82,2015-03-25,8.2,3.3,15.6,0.2,0.0,,,,,180.0
83,2015-03-26,5.5,4.1,8.3,0.8,0.0,,,,,30.0
84,2015-03-27,6.3,4.7,7.7,0.9,0.0,,,,,12.0
85,2015-03-28,7.1,-0.9,11.5,0.6,0.0,,,,,378.0
86,2015-03-29,9.5,5.6,11.5,17.0,0.0,,,,,0.0
87,2015-03-30,6.0,2.8,8.5,13.6,0.0,,,,,312.0
88,2015-03-31,6.6,2.4,10.1,3.5,0.0,,,,,156.0
89,2015-04-01,3.9,1.2,7.5,14.7,0.0,,,,,234.0
