,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.1,-1.3,2.0,,,235.4,13.1,,,
1,2015-01-03,0.2,-0.5,1.5,,,,8.8,,,
2,2015-01-04,0.6,-2.0,2.0,,,248.3,8.7,,,
3,2015-01-06,-4.9,-8.3,-1.4,,,,5.4,,,
4,2015-01-07,-0.1,-1.0,0.3,,,226.7,12.6,,,
5,2015-01-08,3.6,0.0,7.0,,,227.5,22.0,,,
6,2015-01-09,7.1,4.0,10.2,,,234.6,28.1,,1023.6,
7,2015-01-10,10.5,5.4,12.9,,,247.9,31.8,,,
8,2015-01-11,2.7,0.5,4.7,,,254.2,21.1,,,
9,2015-01-12,4.2,3.4,5.5,,,225.8,29.7,,1020.9,
10,2015-01-13,6.6,5.0,10.0,,,221.7,27.1,,1011.2,
11,2015-01-14,3.1,0.0,6.1,,,227.9,22.9,,1011.8,
12,2015-01-15,6.0,1.8,8.3,,,205.0,29.8,,1005.2,
13,2015-01-16,3.9,2.0,6.0,,,,9.5,,,
14,2015-01-17,1.2,-2.0,3.3,,,,9.0,,,
15,2015-01-18,-0.2,-2.8,3.4,,,180.0,11.7,,,
16,2015-01-19,-3.1,-4.3,-2.6,,,,5.7,,,
17,2015-01-20,-1.6,-3.0,0.5,,,,3.9,,,
18,2015-01-21,-1.8,-4.8,0.1,,,70.4,12.0,,,
19,2015-01-22,-0.8,-1.4,0.0,,,76.3,14.2,,,
20,2015-01-23,-0.4,-3.5,1.3,,,,6.1,,1023.4,
21,2015-01-24,-1.0,-3.8,2.0,,,250.8,11.6,,,
22,2015-01-25,-0.9,-3.2,0.9,,,,7.6,,,
23,2015-01-26,0.3,-0.1,1.6,,,,7.5,,,
24,2015-01-27,1.1,-0.1,2.0,,,258.8,10.8,,,
25,2015-01-28,1.7,0.0,4.1,,,228.8,22.4,,,
26,2015-01-30,-0.3,-1.1,0.3,,,,12.4,,,
27,2015-01-31,-0.2,-1.1,0.8,,,,9.6,,,
28,2015-02-01,-0.7,-4.0,1.2,,,,8.1,,,
29,2015-02-02,-0.3,-1.6,0.3,,,250.8,11.4,,1001.1,
30,2015-02-03,-1.4,-3.8,0.9,,,,5.6,,1004.3,
31,2015-02-04,-1.9,-3.9,0.3,,,87.5,11.8,,1012.6,
32,2015-02-05,-3.4,-5.2,-2.0,,,47.5,21.7,,,
33,2015-02-06,-2.5,-4.4,0.3,,,55.4,31.0,,,
34,2015-02-07,-1.5,-6.1,3.3,,,,16.0,,1029.1,
35,2015-02-08,1.5,-0.7,2.7,,,,14.5,,,
36,2015-02-09,1.8,0.0,3.2,,,262.1,9.2,,1030.4,
37,2015-02-11,2.0,-1.0,6.1,,,,11.9,,,
38,2015-02-12,-0.5,-1.4,1.1,,,,2.0,,,
39,2015-02-13,0.0,-3.0,4.7,,,,3.3,,1017.1,
40,2015-02-14,4.2,1.5,8.3,,,102.5,12.4,,,
41,2015-02-15,1.9,-0.7,5.3,,,79.6,11.2,,1011.8,
42,2015-02-16,-0.3,-2.3,0.6,,,,5.9,,,
43,2015-02-17,0.2,-1.0,1.6,,,,3.5,,,
44,2015-02-18,2.1,-1.0,4.2,,,,3.3,,,
45,2015-02-19,-1.3,-2.9,-0.1,,,206.7,11.7,,1030.7,
46,2015-02-20,4.3,-0.4,8.5,,,212.9,20.6,,1013.2,
47,2015-02-21,2.9,1.4,4.9,,,226.3,16.3,,,
48,2015-02-22,1.6,-0.4,5.0,,,,7.5,,1008.6,
49,2015-02-23,1.2,-0.2,2.4,,,,13.2,,,
50,2015-02-24,2.1,0.9,4.1,,,,15.0,,1007.1,
51,2015-02-25,1.9,0.0,3.9,,,,8.0,,,
52,2015-02-26,4.4,3.0,6.3,,,,7.9,,,
53,2015-02-27,3.4,0.3,4.4,,,,10.7,,,
54,2015-02-28,1.0,-4.0,5.4,,,,8.9,,1019.2,
55,2015-03-01,5.5,1.6,9.6,,,220.8,23.2,,,
56,2015-03-04,2.5,0.5,6.0,,,247.1,14.6,,,
57,2015-03-05,3.9,0.2,9.8,,,,7.2,,1036.2,
58,2015-03-07,3.4,-2.9,9.4,,,,3.4,,1032.1,
