,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.2,-3.4,2.1,4.1,150.0,,,,,0.0
1,2015-01-03,0.6,-0.2,3.9,25.5,120.0,,,,,0.0
2,2015-01-04,0.1,-1.4,0.9,0.0,130.0,,,,,6.0
3,2015-01-05,-0.3,-2.9,2.1,0.0,120.0,,,,,414.0
4,2015-01-06,1.8,-3.3,7.1,0.3,80.0,,,,,390.0
5,2015-01-07,-0.6,-2.6,0.2,0.3,90.0,,,,,0.0
6,2015-01-08,3.5,-1.4,6.6,3.8,70.0,,,,,0.0
7,2015-01-09,6.1,3.1,10.1,11.7,0.0,,,,,0.0
8,2015-01-10,10.5,5.2,12.7,20.3,0.0,,,,,18.0
9,2015-01-11,2.0,0.3,5.2,1.1,0.0,,,,,12.0
10,2015-01-12,3.0,1.2,4.8,0.0,0.0,,,,,18.0
11,2015-01-13,7.9,2.0,12.6,3.3,0.0,,,,,438.0
12,2015-01-14,3.8,0.3,6.8,2.6,0.0,,,,,18.0
13,2015-01-15,5.5,0.4,9.3,0.1,0.0,,,,,6.0
14,2015-01-16,5.7,3.0,9.2,8.4,0.0,,,,,0.0
15,2015-01-17,1.5,0.3,3.0,1.5,0.0,,,,,0.0
16,2015-01-18,0.0,-2.1,3.0,0.0,0.0,,,,,330.0
17,2015-01-19,-0.2,-2.4,2.5,3.4,0.0,,,,,270.0
18,2015-01-20,-1.5,-5.1,-0.2,1.3,20.0,,,,,0.0
19,2015-01-21,-1.5,-5.0,-0.3,0.0,30.0,,,,,0.0
20,2015-01-22,-1.1,-1.8,-0.5,0.4,20.0,,,,,0.0
21,2015-01-23,-1.3,-1.7,-0.9,0.1,20.0,,,,,0.0
22,2015-01-24,-1.5,-2.0,-0.7,1.9,0.0,,,,,0.0
23,2015-01-25,-0.8,-1.5,0.2,0.1,30.0,,,,,0.0
24,2015-01-26,-0.9,-1.2,-0.2,9.3,30.0,,,,,0.0
25,2015-01-27,-0.1,-0.3,0.4,3.8,130.0,,,,,0.0
26,2015-01-28,0.5,-0.6,2.0,3.8,150.0,,,,,12.0
27,2015-01-29,0.3,-2.9,2.1,10.5,120.0,,,,,126.0
28,2015-01-30,-1.0,-2.4,0.9,12.5,100.0,,,,,42.0
29,2015-01-31,-1.4,-3.8,0.4,1.8,310.0,,,,,12.0
30,2015-02-01,-1.6,-3.5,0.4,8.3,270.0,,,,,18.0
31,2015-02-02,-2.0,-6.2,0.3,0.7,310.0,,,,,6.0
32,2015-02-03,-3.9,-7.2,1.5,0.0,300.0,,,,,354.0
33,2015-02-04,-4.7,-7.4,-3.3,0.0,260.0,,,,,18.0
34,2015-02-05,-4.0,-5.2,-3.3,0.0,220.0,,,,,102.0
35,2015-02-06,-4.3,-6.9,-1.4,0.0,200.0,,,,,300.0
36,2015-02-07,-5.9,-9.7,-2.4,0.2,180.0,,,,,510.0
37,2015-02-08,-2.5,-5.2,0.5,0.3,180.0,,,,,210.0
38,2015-02-09,-2.1,-4.6,-0.5,2.1,180.0,,,,,0.0
