,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,1.8,-1.5,4.5,0.2,160.0,225.4,22.3,50.8,1034.5,24.0
1,2015-01-03,1.6,-1.2,5.2,16.9,120.0,234.2,25.9,91.4,1027.2,0.0
2,2015-01-04,-1.8,-3.3,1.6,0.0,30.0,303.8,12.2,42.1,1034.2,24.0
3,2015-01-05,-1.3,-5.5,5.2,0.0,30.0,180.4,7.2,19.4,1035.1,438.0
4,2015-01-06,3.6,-0.5,7.7,0.0,40.0,209.2,11.5,25.6,1025.5,396.0
5,2015-01-07,0.5,-0.9,2.5,0.3,40.0,260.8,13.7,34.6,1030.9,114.0
6,2015-01-08,2.7,0.1,4.6,1.4,30.0,228.8,28.1,66.2,1030.8,0.0
7,2015-01-09,3.9,1.6,7.6,3.7,0.0,243.8,35.3,80.6,1029.6,0.0
8,2015-01-10,8.4,6.4,10.8,6.2,0.0,250.4,42.1,95.4,1020.8,126.0
9,2015-01-11,-0.8,-2.6,6.4,1.9,0.0,269.6,29.9,67.7,1024.9,18.0
10,2015-01-12,1.8,-1.4,7.6,0.0,0.0,239.6,32.8,70.6,1027.1,90.0
11,2015-01-13,7.4,5.0,10.3,2.9,0.0,230.4,31.7,75.6,1016.7,462.0
12,2015-01-14,1.8,-0.5,6.9,4.4,0.0,244.6,31.0,76.7,1017.9,6.0
13,2015-01-15,4.2,1.0,7.7,0.0,0.0,200.0,23.8,47.5,1012.2,0.0
14,2015-01-16,5.1,-0.1,7.5,9.9,0.0,237.1,14.4,41.0,1007.7,6.0
15,2015-01-17,-0.9,-2.5,0.1,4.1,60.0,287.9,8.3,25.9,1016.3,0.0
16,2015-01-18,-3.5,-4.9,-2.4,0.0,50.0,162.5,13.0,29.9,1018.5,24.0
17,2015-01-19,-2.3,-5.3,0.1,2.8,40.0,157.5,12.2,30.6,1012.9,36.0
18,2015-01-20,-2.1,-2.9,-1.5,1.8,70.0,218.8,6.5,19.8,1011.8,0.0
