,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.1,2.8,7.1,1.7,0.0,241.3,24.1,52.6,1020.9,0.0
1,2015-01-03,4.1,2.6,5.4,0.7,0.0,251.3,23.0,57.2,1018.6,0.0
2,2015-01-04,3.4,-0.1,5.3,0.6,0.0,292.1,16.2,52.9,1021.4,72.0
3,2015-01-05,2.3,-0.1,3.2,6.2,0.0,283.3,12.2,42.5,1026.7,0.0
4,2015-01-06,0.2,-1.3,2.4,0.0,0.0,133.3,9.0,30.6,1027.5,6.0
5,2015-01-07,1.7,-0.3,3.5,0.9,0.0,206.3,10.4,24.5,1025.8,0.0
6,2015-01-08,4.2,1.2,7.5,9.0,0.0,219.2,15.1,56.2,1021.3,0.0
7,2015-01-09,6.8,4.5,10.0,8.1,0.0,259.6,25.6,76.3,1012.7,0.0
8,2015-01-10,9.6,5.1,14.5,3.8,0.0,257.9,23.4,79.9,1003.1,0.0
9,2015-01-11,3.6,1.0,5.5,5.6,0.0,258.8,24.8,58.7,1008.9,12.0
10,2015-01-12,5.4,1.3,7.7,0.6,0.0,241.3,23.0,51.8,1014.2,0.0
11,2015-01-13,10.7,7.4,13.6,0.1,0.0,227.5,22.3,64.8,1009.0,330.0
12,2015-01-14,7.1,2.3,11.2,0.3,0.0,234.2,16.2,58.3,1009.3,108.0
13,2015-01-15,4.9,0.6,9.1,0.1,0.0,192.9,16.6,45.7,1010.0,0.0
14,2015-01-16,7.3,4.7,8.8,1.0,0.0,185.0,9.4,34.6,1007.6,12.0
15,2015-01-17,3.0,-2.9,5.6,0.2,0.0,240.0,5.8,23.0,1012.5,0.0
16,2015-01-18,-0.4,-4.2,5.7,0.0,0.0,191.3,6.1,20.9,1017.8,408.0
17,2015-01-19,-0.3,-4.0,2.2,0.0,0.0,102.5,6.8,19.4,1015.0,0.0
18,2015-01-20,1.5,0.2,3.9,4.3,0.0,139.6,5.8,22.7,1012.1,0.0
19,2015-01-21,-0.1,-2.1,1.0,0.0,10.0,202.9,5.8,15.8,1016.2,6.0
20,2015-01-22,0.1,-1.8,1.0,3.4,0.0,59.2,11.5,31.0,1017.6,0.0
21,2015-01-23,-0.2,-1.0,0.2,1.4,10.0,269.6,6.1,19.1,1023.2,0.0
22,2015-01-24,-0.8,-1.4,-0.3,0.2,10.0,149.2,6.1,19.1,1021.2,0.0
23,2015-01-25,0.7,-0.5,2.0,0.2,0.0,282.5,6.8,23.8,1024.4,6.0
