,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2020-01-15,7.6,5.0,9.0,,,206.7,24.7,,1014.3,
1,2020-01-21,2.0,-2.0,7.0,,,,6.5,,1038.6,
2,2020-02-14,2.4,2.0,3.0,,,267.7,17.0,,1019.2,
3,2020-02-18,2.8,2.0,4.0,,,239.2,24.9,,1021.0,
4,2020-03-02,3.3,1.0,5.0,,,145.6,17.2,,989.8,
5,2020-03-03,2.1,1.0,4.0,,,,11.1,,1001.5,
6,2020-03-04,2.6,0.0,5.0,,,248.4,14.8,,1009.2,
7,2020-03-06,1.5,1.0,3.0,,,286.8,29.1,,993.6,
8,2020-03-08,6.0,3.0,9.0,,,201.3,20.3,,1012.9,
9,2020-03-09,4.1,3.0,6.0,,,253.6,17.6,,1012.2,
10,2020-03-10,6.5,2.0,10.0,,,232.8,26.1,,1005.7,
11,2020-03-11,10.1,9.0,11.0,,,252.8,27.0,,1012.0,
12,2020-03-12,6.6,5.0,8.0,,,264.0,29.2,,1010.1,
13,2020-03-16,12.1,7.0,15.0,,,230.0,9.9,,1019.6,
14,2020-03-17,9.1,6.0,12.0,,,272.5,14.5,,1028.9,
15,2020-03-18,10.3,7.0,12.0,,,250.0,13.8,,1026.8,
16,2020-03-19,11.5,9.0,13.0,,,,5.8,,1024.1,
17,2020-03-20,8.5,4.0,11.0,,,159.2,14.3,,1022.0,
18,2020-03-23,1.3,-4.0,4.0,,,114.4,28.0,,1030.7,
19,2020-03-24,2.4,-3.0,5.0,,,116.0,27.2,,1029.2,
20,2020-03-25,3.6,-2.0,7.0,,,85.4,23.5,,1023.4,
21,2020-03-26,3.8,-1.0,6.0,,,83.5,23.7,,1019.0,
22,2020-03-27,9.0,2.0,12.0,,,66.4,17.2,,1016.8,
23,2020-03-29,1.2,0.0,3.0,,,246.8,25.2,,1022.2,
24,2020-03-30,0.9,-6.0,5.0,,,,14.0,,1025.6,
25,2020-03-31,2.0,-2.0,5.0,,,68.1,14.6,,1026.1,
26,2020-04-01,5.2,-1.0,8.0,,,,8.1,,1018.6,
27,2020-04-02,5.8,1.0,8.0,,,,13.4,,1011.3,
28,2020-04-04,7.2,1.0,10.0,,,,10.3,,1023.1,
29,2020-04-05,11.2,3.0,15.0,,,127.2,27.9,,1022.5,
30,2020-04-06,15.8,9.0,19.0,,,201.6,17.7,,1021.6,
31,2020-04-07,15.2,9.0,19.0,,,,9.3,,1030.0,
32,2020-08-03,16.6,12.0,20.0,,,,7.9,,1013.3,
33,2020-08-04,17.2,12.0,20.0,,,311.2,14.3,,1017.0,
34,2020-08-05,21.5,16.0,25.0,,,,12.1,,1019.1,
35,2020-08-06,23.8,18.0,26.0,,,137.1,13.1,,1022.2,
36,2020-08-07,27.0,20.0,30.0,,,,8.5,,1022.5,
37,2020-08-10,23.6,19.0,27.0,,,85.8,16.5,,1017.6,
38,2020-08-11,24.1,20.0,28.0,,,92.8,18.5,,1018.4,
39,2020-08-12,22.3,17.0,27.0,,,127.7,18.5,,1017.7,
40,2020-08-13,21.9,19.0,25.0,,,151.6,12.0,,1015.3,
41,2020-08-14,21.3,18.0,23.0,,,,10.2,,1015.6,
42,2020-08-18,18.1,15.0,21.0,,,274.0,15.1,,1012.6,
43,2020-08-19,20.6,16.0,23.0,,,176.7,11.0,,1012.0,
44,2020-08-20,22.7,17.0,26.0,,,205.8,13.2,,1012.1,
45,2020-08-21,23.9,23.0,25.0,,,225.2,14.8,,1013.2,
46,2020-08-23,15.2,13.0,17.0,,,262.4,18.6,,1017.8,
47,2020-08-24,14.8,12.0,17.0,,,254.4,18.9,,1016.8,
48,2020-08-25,16.2,13.0,18.0,,,182.4,17.2,,1012.3,
49,2020-08-26,14.5,13.0,15.0,,,260.0,32.4,,1011.7,
50,2020-08-27,15.9,12.0,19.0,,,,10.9,,1016.4,
51,2020-08-28,15.6,13.0,17.0,,,236.8,16.2,,1003.9,
52,2020-08-31,13.8,12.0,16.0,,,,9.7,,1017.8,
53,2020-09-01,13.2,11.0,16.0,,,,8.4,,1018.4,
54,2020-09-02,15.5,10.0,18.0,,,,8.6,,1018.8,
55,2020-09-03,13.5,12.0,15.0,,,221.2,16.4,,1020.8,
56,2020-09-04,18.8,16.0,21.0,,,251.6,16.6,,1022.5,
57,2020-09-07,14.5,9.0,17.0,,,289.6,10.0,,1024.7,
58,2020-09-08,18.0,13.0,21.0,,,265.2,15.4,,1026.7,
59,2020-09-14,23.0,17.0,26.0,,,117.6,16.8,,1026.8,
60,2020-09-15,25.3,20.0,29.0,,,,7.2,,1022.3,
61,2020-09-16,25.4,21.0,27.0,,,,15.0,,1020.7,
62,2020-09-17,13.8,9.0,17.0,,,64.4,17.2,,1026.4,
63,2020-09-18,15.0,8.0,19.0,,,101.7,22.0,,1024.6,
64,2020-09-19,16.5,10.0,20.0,,,113.2,19.3,,1019.4,
65,2020-09-21,18.8,13.0,22.0,,,,8.0,,1016.5,
66,2020-09-22,20.5,16.0,23.0,,,,10.5,,1011.6,
67,2020-09-23,18.2,14.0,20.0,,,228.4,16.6,,1007.3,
68,2020-09-24,13.2,9.0,16.0,,,212.8,18.0,,1005.4,
69,2020-09-25,8.2,7.0,9.0,,,210.8,18.2,,997.7,
70,2020-09-28,9.4,7.0,11.0,,,202.0,10.8,,1010.1,
71,2020-09-29,9.8,8.0,11.0,,,234.4,9.7,,1016.4,
72,2020-09-30,11.8,10.0,13.0,,,,8.6,,1015.5,
73,2020-10-01,11.3,10.0,13.0,,,160.0,16.4,,1003.5,
