,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.4,3.4,8.3,3.1,0.0,245.8,25.6,67.0,1015.4,30.0
1,2015-01-03,3.7,2.8,4.7,2.1,0.0,256.3,21.6,61.2,1014.6,6.0
2,2015-01-04,3.3,1.9,4.9,1.5,0.0,295.4,16.9,54.4,1021.4,186.0
3,2015-01-05,3.5,2.4,4.6,5.0,0.0,245.0,13.0,39.2,1026.4,0.0
4,2015-01-06,1.5,-0.4,3.0,0.1,0.0,153.8,13.7,44.3,1025.8,0.0
5,2015-01-07,2.6,0.0,5.8,0.2,0.0,224.2,13.7,38.9,1023.0,36.0
6,2015-01-08,3.7,1.9,5.4,10.1,0.0,222.5,18.7,41.8,1017.4,0.0
7,2015-01-09,6.0,4.8,7.5,6.6,0.0,255.4,24.8,75.6,1007.4,0.0
8,2015-01-10,7.2,1.4,11.4,6.6,0.0,254.6,25.6,82.1,998.7,0.0
9,2015-01-11,2.6,1.1,3.8,4.3,0.0,264.2,23.8,58.3,1004.1,36.0
10,2015-01-12,5.8,3.4,7.6,4.5,0.0,236.3,19.4,47.9,1008.3,0.0
11,2015-01-13,7.3,5.3,9.7,3.7,0.0,220.4,20.2,47.9,1003.6,0.0
12,2015-01-14,3.9,0.7,6.6,5.3,0.0,229.6,15.5,47.9,1005.7,78.0
13,2015-01-15,3.9,1.0,8.5,2.5,0.0,190.4,28.1,54.4,1003.9,0.0
14,2015-01-16,5.8,3.4,8.2,0.0,0.0,208.8,16.9,43.9,1004.7,330.0
15,2015-01-17,2.6,-0.4,4.7,0.0,0.0,236.7,10.1,29.9,1011.5,336.0
16,2015-01-18,0.5,-0.8,1.9,0.0,0.0,193.3,16.6,29.9,1015.5,354.0
17,2015-01-19,-0.1,-2.3,1.6,0.0,0.0,154.6,9.7,21.2,1014.4,234.0
18,2015-01-20,0.8,-0.5,1.6,3.3,0.0,183.8,6.5,19.8,1012.2,0.0
19,2015-01-21,-2.0,-4.4,-0.3,0.0,30.0,265.0,4.7,16.6,1016.7,0.0
20,2015-01-22,-2.1,-4.7,-0.2,0.0,20.0,86.7,6.8,22.7,1021.0,0.0
21,2015-01-23,-0.6,-2.0,1.5,0.0,10.0,267.1,5.8,24.1,1025.3,186.0
22,2015-01-24,-0.5,-2.0,1.1,0.3,10.0,211.3,19.4,46.4,1019.5,114.0
23,2015-01-25,0.5,-1.5,1.9,0.3,10.0,264.2,7.2,22.0,1023.8,0.0
24,2015-01-26,2.2,1.1,4.2,4.4,0.0,202.5,20.5,39.6,1017.3,0.0
25,2015-01-27,2.8,-0.4,4.9,0.0,0.0,292.9,13.7,39.6,1012.6,30.0
26,2015-01-28,2.5,-0.3,4.4,3.5,0.0,217.9,24.1,63.7,1003.5,0.0
27,2015-01-29,1.5,0.5,2.5,0.2,0.0,207.5,24.1,55.1,984.4,12.0
28,2015-01-30,0.5,0.1,0.9,6.2,0.0,183.3,7.9,31.7,973.8,0.0
29,2015-01-31,-0.8,-2.9,0.6,0.0,40.0,265.0,11.5,28.8,978.8,282.0
30,2015-02-01,-0.4,-2.8,1.0,0.0,10.0,244.2,9.7,35.6,987.4,96.0
31,2015-02-02,0.3,-1.0,1.8,0.6,0.0,251.7,12.6,34.2,993.0,0.0
32,2015-02-03,-1.1,-2.5,-0.2,0.6,0.0,287.5,8.6,25.2,1000.0,48.0
33,2015-02-04,-1.4,-2.5,-0.1,0.0,0.0,297.9,6.1,23.0,1011.8,30.0
34,2015-02-05,-1.1,-3.1,1.4,0.0,0.0,137.9,5.4,20.9,1025.0,270.0
35,2015-02-06,-3.3,-6.4,1.1,0.0,0.0,116.7,5.0,13.7,1031.8,384.0
36,2015-02-07,0.9,-3.4,4.3,0.1,0.0,267.9,16.2,54.0,1022.8,0.0
37,2015-02-08,1.3,-1.6,3.0,1.2,0.0,323.8,15.8,58.0,1020.4,480.0
38,2015-02-09,4.7,1.7,6.0,0.0,0.0,290.0,15.1,42.1,1018.5,0.0
39,2015-02-10,4.9,2.3,6.3,0.0,0.0,290.8,13.0,36.0,1025.7,0.0
40,2015-02-11,1.8,0.9,3.0,0.0,0.0,251.7,7.6,20.2,1027.8,0.0
41,2015-02-12,0.7,-0.7,1.8,0.0,0.0,192.5,10.8,23.0,1023.8,0.0
42,2015-02-13,-1.2,-2.3,-0.3,0.0,0.0,183.8,9.7,23.0,1019.2,0.0
43,2015-02-14,0.3,-2.7,5.3,0.0,0.0,106.3,7.9,24.1,1015.1,528.0
44,2015-02-15,1.2,-0.8,5.2,0.0,0.0,61.7,14.4,35.6,1020.9,342.0
45,2015-02-16,0.0,-1.5,1.9,0.0,0.0,123.8,14.8,36.0,1025.2,66.0
46,2015-02-17,0.3,-2.3,3.5,0.0,0.0,195.4,10.4,23.4,1031.2,474.0
47,2015-02-18,2.8,0.6,6.1,0.0,0.0,238.3,12.2,32.8,1036.9,234.0
48,2015-02-19,3.2,0.1,6.8,0.0,0.0,223.8,14.4,35.3,1026.1,504.0
49,2015-02-20,2.1,-1.1,6.2,1.7,0.0,203.8,20.9,43.9,1011.7,96.0
50,2015-02-21,4.5,2.5,7.8,0.0,0.0,204.2,20.2,56.9,996.9,12.0
51,2015-02-22,2.5,0.5,5.6,0.0,0.0,224.2,11.2,29.9,1007.2,186.0
52,2015-02-23,1.5,0.8,2.8,1.8,0.0,182.9,25.2,55.4,998.5,0.0
53,2015-02-24,2.7,0.2,5.9,0.0,0.0,196.3,20.2,41.8,1004.2,348.0
54,2015-02-25,2.1,-1.3,6.9,0.0,0.0,197.1,9.7,27.0,1017.3,222.0
55,2015-02-26,3.2,-1.3,8.1,0.0,0.0,158.8,14.0,35.3,1020.1,600.0
56,2015-02-27,3.5,0.5,8.4,1.2,0.0,197.9,12.2,31.7,1013.3,432.0
57,2015-02-28,2.7,0.4,5.2,0.0,0.0,242.1,13.0,29.2,1017.3,276.0
58,2015-03-01,2.8,1.3,6.5,4.9,0.0,194.6,21.2,53.6,1002.8,0.0
59,2015-03-02,3.4,1.6,5.6,1.6,0.0,229.2,18.0,57.6,998.4,186.0
60,2015-03-03,3.0,0.7,6.3,3.7,0.0,242.5,17.6,51.8,1011.3,288.0
61,2015-03-04,2.6,0.9,5.5,1.6,0.0,247.5,15.1,40.3,1017.6,192.0
62,2015-03-05,3.5,1.0,7.2,0.0,0.0,295.8,9.7,29.5,1031.1,60.0
63,2015-03-06,5.7,1.5,8.6,0.0,0.0,240.4,9.7,29.5,1032.5,12.0
64,2015-03-07,5.7,2.7,8.9,0.0,0.0,208.8,19.4,41.4,1029.0,228.0
65,2015-03-08,7.9,4.3,13.4,0.0,0.0,204.6,17.6,34.2,1023.3,570.0
66,2015-03-09,6.5,1.7,10.0,0.0,0.0,236.3,6.8,23.8,1026.1,270.0
67,2015-03-10,5.8,2.5,11.3,0.2,0.0,230.4,10.4,23.8,1024.8,120.0
68,2015-03-11,4.8,1.7,9.1,0.0,0.0,270.8,11.9,34.2,1027.3,66.0
69,2015-03-12,3.0,-0.6,4.3,0.0,0.0,57.5,9.7,31.7,1033.4,0.0
70,2015-03-13,2.6,-1.2,7.2,0.0,0.0,46.7,12.6,37.4,1030.2,216.0
71,2015-03-14,3.8,1.3,6.0,0.1,0.0,45.8,12.2,36.4,1030.2,0.0
72,2015-03-15,5.1,3.5,7.0,0.1,0.0,76.7,13.3,37.1,1033.2,0.0
