,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.5,,,1.2,,,25.6,61.2,1018.8,
1,2015-01-03,4.1,,,1.0,,,22.0,47.9,1018.2,
2,2015-01-04,3.5,,,1.2,,,14.4,36.4,1025.1,
3,2015-01-05,2.6,,,0.0,0.0,,13.0,37.8,1028.7,
4,2015-01-06,1.8,,,0.4,0.0,,6.8,19.4,1022.5,
5,2015-01-07,3.8,,,0.1,0.0,,11.5,38.2,1023.2,
6,2015-01-08,4.6,,,11.1,0.0,,14.8,42.5,1017.7,
7,2015-01-09,7.4,,,12.5,0.0,,28.4,78.5,1011.0,
8,2015-01-10,9.3,,,5.5,0.0,,28.8,81.0,1002.5,
9,2015-01-11,4.3,,,4.2,0.0,,26.3,78.1,1008.5,
10,2015-01-12,7.1,,,4.0,0.0,,29.9,73.1,1010.0,
11,2015-01-13,8.9,,,10.9,0.0,,22.7,59.8,1003.2,
12,2015-01-14,4.6,,,0.4,0.0,,18.4,51.1,1005.8,
13,2015-01-15,6.7,,,2.7,0.0,,20.2,51.1,1000.5,
14,2015-01-16,6.5,,,0.0,0.0,,13.7,46.4,1003.5,
15,2015-01-17,1.9,,,0.0,0.0,,9.0,29.5,1011.4,
16,2015-01-18,0.1,,,0.5,0.0,,6.8,22.7,1013.2,
17,2015-01-19,-0.5,,,0.0,0.0,,3.6,9.7,1011.4,
18,2015-01-20,-0.1,,,0.0,0.0,,2.9,13.7,1010.7,
19,2015-01-21,-2.5,,,0.0,0.0,,7.6,28.1,1014.5,
20,2015-01-22,-0.5,,,0.0,0.0,,11.2,25.2,1018.3,
21,2015-01-23,-0.6,,,0.0,0.0,,6.1,23.8,1024.2,
22,2015-01-24,-1.3,,,1.6,0.0,,7.9,23.8,1018.3,
23,2015-01-25,0.8,,,4.9,10.0,,4.3,22.3,1024.4,
24,2015-01-26,3.0,,,6.7,0.0,,11.2,32.4,1016.8,
25,2015-01-27,3.0,,,0.0,0.0,,13.3,40.7,1015.7,
26,2015-01-28,3.8,,,5.2,0.0,,20.9,66.2,1003.0,
27,2015-01-29,1.7,,,1.1,0.0,,20.2,54.4,983.3,
28,2015-01-30,0.2,,,2.5,0.0,,5.4,22.0,972.9,
29,2015-01-31,0.2,,,1.7,0.0,,7.9,31.3,978.9,
30,2015-02-01,0.9,,,0.0,0.0,,10.4,26.6,987.8,
31,2015-02-02,1.0,,,1.1,0.0,,14.4,42.8,994.6,
32,2015-02-03,0.0,,,0.2,0.0,,11.2,33.8,1000.6,
33,2015-02-04,-2.6,,,0.0,0.0,,7.2,25.2,1012.1,
34,2015-02-05,-2.2,,,0.4,0.0,,6.8,24.5,1022.9,
35,2015-02-06,-2.7,,,0.0,0.0,,8.6,30.6,1029.9,
36,2015-02-07,-1.0,,,0.6,0.0,,10.8,55.1,1026.4,
37,2015-02-08,2.2,,,1.5,0.0,,16.2,51.5,1023.8,
38,2015-02-09,5.0,,,1.6,0.0,,16.2,43.9,1021.9,
39,2015-02-10,5.4,,,0.3,0.0,,10.8,31.3,1026.9,
40,2015-02-11,3.7,,,0.0,0.0,,7.6,20.9,1026.0,
41,2015-02-12,0.2,,,0.0,0.0,,6.1,17.3,1021.7,
42,2015-02-13,1.1,,,0.0,0.0,,9.7,22.0,1016.1,
43,2015-02-14,3.1,,,0.0,0.0,,7.2,19.8,1011.4,
44,2015-02-15,1.6,,,0.0,,,15.8,34.2,1016.2,
45,2015-02-16,2.1,,,0.0,0.0,,15.1,37.8,1019.8,
46,2015-02-17,0.8,,,0.0,0.0,,7.2,24.1,1029.8,
47,2015-02-18,2.9,,,0.0,0.0,,10.4,27.4,1037.0,
48,2015-02-19,1.2,,,0.0,0.0,,11.2,42.1,1025.9,
49,2015-02-20,4.4,,,2.0,0.0,,14.0,45.7,1009.3,
50,2015-02-21,4.9,,,0.0,0.0,,17.6,68.0,995.8,
51,2015-02-22,2.7,,,0.8,0.0,,11.9,37.4,1005.9,
52,2015-02-23,2.5,,,1.7,0.0,,16.2,42.8,995.2,
53,2015-02-24,3.9,,,0.3,0.0,,16.2,55.1,1002.5,
54,2015-02-25,4.5,,,0.0,0.0,,11.2,36.0,1015.3,
55,2015-02-26,4.8,,,0.0,0.0,,10.8,39.6,1016.3,
56,2015-02-27,3.6,,,4.0,0.0,,7.6,20.5,1011.6,
57,2015-02-28,3.0,,,1.2,0.0,,11.5,32.8,1016.0,
58,2015-03-01,5.2,,,4.9,,,15.5,62.6,1000.3,
59,2015-03-02,4.7,,,2.3,0.0,,25.2,72.7,999.5,
60,2015-03-03,3.8,,,3.6,0.0,,23.8,55.1,1012.4,
61,2015-03-04,3.3,,,2.2,0.0,,22.3,60.5,1018.6,
62,2015-03-05,4.7,,,0.0,0.0,,11.5,37.1,1032.1,
63,2015-03-06,6.3,,,0.0,0.0,,13.7,32.8,1032.7,
64,2015-03-07,7.4,,,0.0,0.0,,11.9,35.3,1027.9,
65,2015-03-08,9.9,,,0.0,0.0,,10.1,27.4,1022.1,
66,2015-03-09,7.7,,,0.1,0.0,,5.0,19.4,1024.8,
67,2015-03-10,6.4,,,0.7,0.0,,7.9,34.9,1024.7,
68,2015-03-11,4.7,,,0.0,0.0,,10.4,37.4,1028.3,
