,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.2,-5.2,1.3,4.9,170.0,,,,,0
1,2015-01-03,1.2,-1.3,6.1,12.0,140.0,,,,,0
2,2015-01-04,1.1,-0.8,3.2,0.0,60.0,,,,,126
3,2015-01-05,-2.5,-7.3,2.6,0.0,40.0,,,,,426
4,2015-01-06,-4.1,-8.4,2.8,0.0,40.0,,,,,396
5,2015-01-07,-0.1,-5.3,2.8,0.4,40.0,,,,,108
6,2015-01-08,3.6,0.8,6.2,1.7,40.0,,,,,18
7,2015-01-09,6.0,2.7,9.6,0.5,0.0,,,,,6
8,2015-01-10,11.6,9.5,13.9,4.3,0.0,,,,,258
9,2015-01-11,3.2,0.4,10.6,0.0,0.0,,,,,180
10,2015-01-12,2.5,0.4,4.7,0.0,0.0,,,,,132
11,2015-01-13,2.6,-2.6,9.8,0.2,0.0,,,,,498
12,2015-01-14,3.8,-1.0,8.2,3.9,0.0,,,,,24
13,2015-01-15,1.1,-1.3,5.5,0.0,0.0,,,,,12
14,2015-01-16,2.0,-1.9,5.9,9.3,0.0,,,,,30
15,2015-01-17,1.1,0.2,3.5,4.5,10.0,,,,,0
16,2015-01-18,-0.3,-1.6,0.5,0.0,30.0,,,,,0
17,2015-01-19,-0.1,-1.2,1.4,2.5,10.0,,,,,18
18,2015-01-20,0.1,-0.7,2.3,2.4,40.0,,,,,0
19,2015-01-21,-0.5,-1.1,0.0,0.0,30.0,,,,,0
20,2015-01-22,-0.9,-1.3,-0.2,0.0,30.0,,,,,0
21,2015-01-23,-0.6,-1.2,0.2,0.1,30.0,,,,,0
22,2015-01-24,-0.1,-1.1,1.0,0.6,30.0,,,,,0
23,2015-01-25,-0.5,-1.5,1.5,0.0,30.0,,,,,0
24,2015-01-26,-1.1,-2.0,-0.5,0.9,30.0,,,,,0
25,2015-01-27,0.4,-3.6,1.8,0.7,70.0,,,,,60
26,2015-01-28,-0.1,-2.9,1.9,2.5,50.0,,,,,0
27,2015-01-29,0.7,-1.8,1.7,5.9,40.0,,,,,60
28,2015-01-30,-0.2,-1.8,1.3,0.2,40.0,,,,,48
29,2015-01-31,-0.1,-3.0,1.5,0.2,40.0,,,,,264
30,2015-02-01,-1.1,-3.5,0.8,1.2,50.0,,,,,48
31,2015-02-02,-2.5,-13.1,0.4,5.8,100.0,,,,,0
32,2015-02-03,-8.6,-13.1,-1.9,0.0,210.0,,,,,432
33,2015-02-04,-6.2,-13.5,-2.2,0.1,170.0,,,,,342
34,2015-02-05,-3.4,-4.0,-2.4,0.0,160.0,,,,,0
35,2015-02-06,-3.5,-5.1,-1.9,0.0,120.0,,,,,6
36,2015-02-07,-6.3,-11.4,-2.2,0.1,120.0,,,,,384
37,2015-02-08,-4.4,-11.7,1.2,0.4,100.0,,,,,120
38,2015-02-09,-2.5,-8.2,1.3,0.0,120.0,,,,,0
39,2015-02-10,-0.8,-4.1,3.3,0.0,90.0,,,,,270
40,2015-02-11,-1.0,-3.1,0.9,0.0,80.0,,,,,0
41,2015-02-12,-3.5,-5.1,-1.6,0.0,70.0,,,,,0
42,2015-02-13,-4.5,-7.7,-0.3,0.0,70.0,,,,,384
43,2015-02-14,-3.4,-6.5,0.1,0.0,60.0,,,,,264
44,2015-02-15,-2.8,-3.4,-2.3,0.0,60.0,,,,,0
45,2015-02-16,-2.5,-3.4,-1.5,0.0,60.0,,,,,0
46,2015-02-17,-2.7,-5.1,-0.7,0.0,50.0,,,,,150
47,2015-02-18,-1.7,-2.6,-0.8,0.0,50.0,,,,,0
48,2015-02-19,-0.9,-5.4,3.5,0.0,50.0,,,,,306
49,2015-02-20,-0.9,-7.0,7.9,0.0,50.0,,,,,582
50,2015-02-21,-0.3,-6.8,7.1,3.8,40.0,,,,,132
51,2015-02-22,-0.2,-2.9,3.4,0.0,40.0,,,,,6
52,2015-02-23,0.0,-3.5,2.7,1.2,30.0,,,,,0
53,2015-02-24,1.9,-0.8,3.5,0.0,30.0,,,,,0
54,2015-02-25,0.7,-3.9,5.0,0.2,0.0,,,,,54
55,2015-02-26,-0.9,-5.8,6.9,0.0,0.0,,,,,540
56,2015-02-27,-0.4,-4.5,1.9,5.8,0.0,,,,,0
57,2015-02-28,1.2,-2.8,5.0,0.6,30.0,,,,,210
58,2015-03-01,2.9,-3.3,7.0,4.2,0.0,,,,,6
59,2015-03-02,5.0,0.4,7.9,4.8,0.0,,,,,90
60,2015-03-03,3.2,-1.5,8.6,0.3,0.0,,,,,510
61,2015-03-04,2.9,-1.4,6.8,0.1,0.0,,,,,312
62,2015-03-05,1.5,-1.3,5.1,0.1,0.0,,,,,132
63,2015-03-06,1.2,-3.7,8.0,0.0,0.0,,,,,480
64,2015-03-07,1.7,-5.0,9.7,0.0,0.0,,,,,630
65,2015-03-08,4.0,-4.2,14.7,0.0,0.0,,,,,540
66,2015-03-09,4.9,-2.0,14.7,0.0,0.0,,,,,624
67,2015-03-10,5.3,-4.2,14.5,0.5,0.0,,,,,438
68,2015-03-11,5.2,-3.5,10.1,0.0,0.0,,,,,492
69,2015-03-12,1.3,-5.9,8.2,0.0,0.0,,,,,612
70,2015-03-13,1.7,-2.1,6.9,0.0,0.0,,,,,546
71,2015-03-14,2.3,-1.6,6.4,0.0,0.0,,,,,24
72,2015-03-15,3.3,-0.4,8.7,0.0,0.0,,,,,300
73,2015-03-16,6.8,0.0,15.3,0.0,0.0,,,,,618
74,2015-03-17,8.2,0.8,16.8,0.0,0.0,,,,,516
75,2015-03-18,7.8,-1.2,17.8,0.0,0.0,,,,,564
76,2015-03-19,6.1,-2.3,15.2,0.0,0.0,,,,,666
77,2015-03-20,4.5,-4.3,13.5,0.0,0.0,,,,,678
78,2015-03-21,4.8,-3.6,14.5,0.4,0.0,,,,,204
79,2015-03-22,4.0,2.0,5.7,0.0,0.0,,,,,6
80,2015-03-23,5.6,-1.2,11.2,0.0,0.0,,,,,336
81,2015-03-24,5.6,-2.7,16.1,0.0,0.0,,,,,534
82,2015-03-25,8.4,0.3,15.8,1.6,0.0,,,,,390
83,2015-03-26,5.0,3.7,6.4,0.4,0.0,,,,,0
84,2015-03-27,5.3,-0.6,9.9,0.0,0.0,,,,,264
85,2015-03-28,5.8,-2.3,13.2,0.2,0.0,,,,,426
86,2015-03-29,8.9,7.1,11.4,14.9,0.0,,,,,0
87,2015-03-30,7.2,3.8,9.6,1.8,0.0,,,,,114
88,2015-03-31,9.0,3.6,13.2,6.3,0.0,,,,,114
89,2015-04-01,3.5,0.4,6.4,0.8,20.0,,,,,420
90,2015-04-02,3.6,-0.7,6.9,3.1,0.0,,,,,24
91,2015-04-03,3.6,-3.0,9.4,1.9,0.0,,,,,420
92,2015-04-04,2.5,1.2,4.0,7.4,0.0,,,,,0
93,2015-04-05,2.9,0.0,6.9,0.0,0.0,,,,,474
94,2015-04-06,1.6,-3.6,6.6,0.0,0.0,,,,,150
95,2015-04-07,2.5,-4.2,9.5,0.0,0.0,,,,,744
96,2015-04-08,5.3,-4.4,14.9,0.0,0.0,,,,,738
97,2015-04-09,8.8,-0.1,18.6,0.0,0.0,,,,,714
98,2015-04-10,10.6,-0.2,22.0,0.0,0.0,,,,,642
99,2015-04-11,11.1,5.3,16.9,0.0,0.0,,,,,258
100,2015-04-12,11.5,3.9,19.1,0.0,0.0,,,,,552
101,2015-04-13,11.0,1.9,19.6,0.0,0.0,,,,,576
102,2015-04-14,11.5,2.2,20.7,0.0,0.0,,,,,720
103,2015-04-15,12.6,1.0,24.1,0.0,0.0,,,,,732
104,2015-04-16,14.1,3.0,22.9,0.4,0.0,,,,,456
105,2015-04-17,11.4,5.7,17.2,24.3,0.0,,,,,36
106,2015-04-18,5.9,1.1,10.6,0.0,0.0,,,,,558
107,2015-04-19,7.1,0.7,14.0,0.0,0.0,,,,,798
