,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.9,4.2,11.9,0.0,0.0,236.7,29.2,83.2,1020.8,60.0
1,2015-01-03,3.7,2.5,5.1,0.4,0.0,260.0,25.2,67.0,1020.2,0.0
2,2015-01-04,3.3,2.2,4.0,0.7,0.0,297.1,24.8,60.8,1026.3,0.0
3,2015-01-05,2.3,0.8,3.9,0.0,0.0,283.8,16.6,47.5,1029.9,108.0
4,2015-01-06,0.7,-2.0,4.6,0.1,0.0,186.3,8.3,38.5,1024.2,42.0
5,2015-01-07,3.7,1.1,5.9,0.5,0.0,239.6,10.8,40.0,1025.1,126.0
6,2015-01-08,5.3,2.7,7.7,7.6,0.0,204.2,16.2,63.4,1019.7,24.0
7,2015-01-09,7.0,4.6,10.2,3.4,0.0,255.8,36.0,105.8,1013.2,6.0
8,2015-01-10,10.0,3.5,13.7,3.8,0.0,262.5,37.1,97.2,1004.7,138.0
9,2015-01-11,3.3,1.1,4.3,1.9,0.0,265.8,32.4,73.4,1011.1,36.0
10,2015-01-12,6.1,4.1,7.4,0.1,0.0,230.0,18.4,58.0,1013.1,0.0
11,2015-01-13,8.7,6.3,11.2,1.4,0.0,212.1,20.2,59.0,1006.3,240.0
12,2015-01-14,4.9,1.8,7.8,2.5,0.0,241.3,26.6,72.7,1007.8,252.0
13,2015-01-15,5.5,1.6,9.6,7.6,0.0,173.8,20.5,81.0,1003.9,36.0
14,2015-01-16,6.1,3.3,8.4,2.1,0.0,187.9,7.6,40.0,1005.6,24.0
15,2015-01-17,2.1,-2.5,4.6,0.0,0.0,256.7,9.0,32.0,1013.0,240.0
16,2015-01-18,0.4,-4.5,4.4,0.0,0.0,200.4,10.4,46.4,1015.2,192.0
17,2015-01-19,-1.8,-6.3,1.5,0.1,0.0,145.4,4.7,20.5,1012.9,0.0
18,2015-01-20,-0.8,-5.1,0.2,1.1,0.0,280.8,4.7,20.9,1011.7,0.0
19,2015-01-21,-3.1,-6.9,-1.1,0.0,0.0,122.1,7.2,24.8,1015.5,438.0
20,2015-01-22,-1.7,-2.2,-1.1,1.5,0.0,129.2,6.8,18.4,1018.5,0.0
21,2015-01-23,-2.1,-5.9,-1.2,0.0,0.0,223.3,7.6,19.8,1025.0,0.0
22,2015-01-24,-2.1,-9.0,2.9,0.3,0.0,241.7,8.3,36.0,1019.9,276.0
23,2015-01-25,2.0,0.3,4.0,3.3,0.0,289.2,11.9,36.0,1025.6,24.0
24,2015-01-26,2.3,-1.0,4.7,3.8,0.0,201.7,10.1,53.3,1018.7,0.0
25,2015-01-27,2.7,1.3,4.4,0.0,0.0,296.3,20.5,54.0,1016.9,120.0
26,2015-01-28,3.1,1.2,4.6,5.2,0.0,224.2,16.2,77.0,1005.7,0.0
27,2015-01-29,1.2,0.2,2.5,3.1,0.0,219.6,21.2,84.2,985.9,210.0
28,2015-01-30,0.5,-1.6,3.3,2.7,20.0,227.9,8.6,33.8,973.8,30.0
29,2015-01-31,0.2,-2.7,3.0,0.7,40.0,239.2,11.2,46.1,980.4,192.0
30,2015-02-01,0.4,-3.2,3.5,0.0,20.0,230.0,10.4,32.8,989.2,432.0
31,2015-02-02,1.0,-0.2,2.7,0.1,20.0,266.7,13.7,40.3,996.2,162.0
32,2015-02-03,0.0,-5.0,2.2,1.7,20.0,281.3,15.5,41.4,1001.7,162.0
33,2015-02-04,-2.4,-4.0,-0.5,0.0,40.0,311.3,9.4,24.1,1013.0,48.0
34,2015-02-05,-3.0,-4.7,-1.6,0.1,30.0,196.3,6.1,21.2,1023.5,12.0
35,2015-02-06,-4.6,-8.2,-3.2,0.0,30.0,109.2,5.8,21.6,1030.5,6.0
36,2015-02-07,-1.8,-9.8,3.6,0.4,30.0,239.6,14.8,72.4,1027.7,264.0
37,2015-02-08,0.8,-0.7,2.2,0.5,0.0,319.6,23.4,59.0,1024.3,354.0
38,2015-02-09,4.3,1.4,5.9,0.1,0.0,295.4,27.0,61.2,1022.9,30.0
39,2015-02-10,4.4,3.7,5.0,0.0,0.0,300.8,18.4,42.8,1028.0,0.0
40,2015-02-11,2.3,-3.3,6.9,0.0,0.0,205.8,6.5,20.9,1027.1,336.0
41,2015-02-12,-1.9,-3.3,-0.9,0.0,0.0,208.3,3.2,11.9,1023.0,0.0
42,2015-02-13,-1.6,-5.1,2.6,0.0,0.0,156.7,3.6,18.4,1018.1,306.0
43,2015-02-14,2.1,-2.4,8.1,0.0,0.0,156.7,5.4,15.1,1012.6,498.0
44,2015-02-15,-0.6,-4.4,3.7,0.0,0.0,105.8,7.2,28.1,1017.0,228.0
45,2015-02-16,1.5,-2.2,4.8,0.0,0.0,107.9,11.2,33.8,1020.8,414.0
46,2015-02-17,0.4,-5.2,4.1,0.1,0.0,261.3,7.2,32.8,1030.9,6.0
47,2015-02-18,1.9,-3.3,7.3,0.0,0.0,174.2,5.4,18.0,1038.6,528.0
48,2015-02-19,0.9,-4.4,7.6,0.0,0.0,160.0,5.8,27.7,1027.6,564.0
49,2015-02-20,4.1,-4.3,9.0,0.4,0.0,177.5,11.5,47.9,1011.8,294.0
50,2015-02-21,4.6,-0.7,7.0,0.1,0.0,186.3,10.8,41.8,998.1,66.0
51,2015-02-22,2.1,-1.8,6.3,0.0,0.0,232.1,9.7,43.6,1007.8,330.0
52,2015-02-23,2.4,1.2,3.9,2.6,0.0,190.8,21.6,69.1,997.6,0.0
53,2015-02-24,3.9,0.9,6.4,0.0,0.0,192.1,14.0,41.4,1004.9,174.0
54,2015-02-25,3.2,-2.2,8.3,0.0,0.0,206.3,8.3,32.4,1017.2,450.0
55,2015-02-26,3.9,-2.9,9.1,0.0,0.0,158.8,9.7,38.5,1018.3,444.0
56,2015-02-27,3.7,1.9,6.9,2.4,0.0,189.6,12.2,37.1,1012.9,24.0
57,2015-02-28,3.3,-0.4,7.6,0.0,0.0,188.3,11.2,56.5,1017.8,570.0
58,2015-03-01,5.1,1.9,9.4,2.1,0.0,202.9,21.2,69.1,1002.9,114.0
59,2015-03-02,4.8,1.3,7.5,1.9,0.0,242.9,24.1,81.0,1001.6,546.0
60,2015-03-03,3.7,1.0,8.5,4.6,0.0,251.7,25.6,67.0,1014.5,468.0
61,2015-03-04,3.1,1.2,5.9,1.6,0.0,259.6,23.4,56.9,1020.7,330.0
62,2015-03-05,3.6,1.4,5.7,0.0,0.0,297.1,18.0,50.8,1033.3,36.0
63,2015-03-06,5.1,1.0,6.9,0.0,0.0,255.0,13.3,37.1,1034.6,0.0
64,2015-03-07,7.8,-0.2,13.8,0.0,0.0,195.4,10.8,36.0,1029.9,396.0
65,2015-03-08,10.5,1.6,17.9,0.0,0.0,153.8,6.5,38.9,1023.9,516.0
66,2015-03-09,9.0,4.9,13.2,0.0,0.0,195.0,10.1,39.2,1025.9,354.0
67,2015-03-10,6.5,1.6,9.4,0.5,0.0,254.2,9.0,33.1,1025.8,72.0
68,2015-03-11,4.7,1.9,7.4,0.0,0.0,308.8,17.6,41.0,1029.1,228.0
69,2015-03-12,2.0,-0.1,3.2,0.0,0.0,180.0,6.5,21.2,1032.1,0.0
70,2015-03-13,1.5,-0.9,4.3,0.1,0.0,125.8,5.8,19.4,1028.2,30.0
71,2015-03-14,2.0,0.4,3.2,4.7,0.0,189.2,7.2,21.6,1028.0,0.0
72,2015-03-15,3.6,2.1,4.7,0.8,0.0,86.3,11.5,33.1,1028.6,0.0
73,2015-03-16,6.1,2.1,11.5,0.0,0.0,127.9,10.8,33.1,1026.9,132.0
74,2015-03-17,7.8,0.8,13.4,0.0,0.0,111.3,10.4,32.4,1026.5,606.0
75,2015-03-18,8.0,1.6,14.4,0.0,0.0,105.4,10.1,32.4,1025.6,636.0
76,2015-03-19,4.7,-2.6,11.9,0.0,0.0,126.3,5.8,17.3,1026.7,666.0
77,2015-03-20,4.5,-3.2,12.3,0.0,0.0,210.0,5.8,23.4,1023.3,648.0
78,2015-03-21,2.6,-2.5,7.4,4.1,0.0,252.1,8.6,31.3,1016.4,120.0
79,2015-03-22,0.2,-2.0,3.4,0.0,0.0,92.9,10.1,37.4,1026.2,192.0
80,2015-03-23,4.2,-4.9,11.5,0.0,0.0,157.5,5.0,23.0,1016.1,504.0
81,2015-03-24,5.7,0.9,9.3,0.0,0.0,140.0,5.0,15.8,1008.8,18.0
82,2015-03-25,8.8,1.7,15.1,0.0,0.0,137.5,11.9,35.6,1006.1,552.0
83,2015-03-26,6.0,4.6,8.0,0.0,0.0,270.8,12.2,34.9,1006.9,6.0
84,2015-03-27,6.0,4.7,8.6,0.6,0.0,251.3,16.6,47.5,1013.4,48.0
85,2015-03-28,7.4,4.3,11.6,0.6,0.0,237.1,12.6,51.8,1016.9,282.0
86,2015-03-29,9.5,5.2,11.0,12.2,0.0,,21.6,77.8,997.2,18.0
87,2015-03-30,5.2,1.8,8.4,11.0,0.0,270.4,29.2,75.2,998.6,408.0
88,2015-03-31,5.5,1.8,10.0,11.7,0.0,244.2,33.5,86.8,994.5,264.0
89,2015-04-01,3.2,0.3,6.7,9.4,0.0,274.6,28.4,67.0,1009.7,198.0
90,2015-04-02,2.3,0.0,5.4,3.5,40.0,284.2,21.2,58.0,1010.7,156.0
91,2015-04-03,3.4,-1.0,7.1,0.0,0.0,273.3,12.6,38.5,1018.5,78.0
92,2015-04-04,2.7,-1.8,8.0,0.0,0.0,250.8,8.3,36.7,1017.6,432.0
93,2015-04-05,2.9,-3.3,9.2,0.0,0.0,280.4,7.6,32.8,1023.6,522.0
94,2015-04-06,4.4,-1.0,9.4,0.0,0.0,210.8,10.4,31.7,1028.9,342.0
95,2015-04-07,6.1,-2.6,10.9,0.0,0.0,247.9,13.0,37.8,1033.7,366.0
96,2015-04-08,8.0,5.7,12.0,0.0,0.0,314.6,16.2,39.2,1031.9,294.0
97,2015-04-09,10.4,5.5,15.6,0.0,0.0,165.8,7.9,22.7,1027.9,666.0
98,2015-04-10,13.7,5.6,20.5,0.0,0.0,131.7,7.6,28.1,1020.7,456.0
99,2015-04-11,14.4,5.2,20.0,1.3,,221.3,17.6,56.9,1017.7,378.0
100,2015-04-12,10.6,4.2,15.2,0.4,0.0,237.1,12.6,72.7,1026.3,726.0
101,2015-04-13,8.3,0.6,13.3,0.0,,283.3,20.5,68.8,1027.2,372.0
102,2015-04-14,10.8,0.0,17.4,0.0,,234.6,11.9,37.4,1024.4,426.0
103,2015-04-15,16.0,8.3,23.1,0.0,,255.0,14.8,50.0,1015.2,750.0
104,2015-04-16,9.1,6.2,13.3,0.0,0.0,317.5,12.6,32.4,1014.8,126.0
105,2015-04-17,6.3,2.9,10.5,0.0,0.0,324.6,11.9,35.6,1017.1,228.0
106,2015-04-18,6.2,1.8,11.4,0.0,0.0,312.5,8.3,33.1,1024.8,528.0
107,2015-04-19,7.5,-0.1,14.4,0.0,0.0,100.4,6.8,25.6,1023.1,762.0
108,2015-04-20,9.3,0.2,18.0,0.0,0.0,262.5,10.4,52.2,1026.2,810.0
109,2015-04-21,11.2,1.2,19.3,0.0,0.0,259.2,16.6,55.1,1027.6,822.0
110,2015-04-22,6.5,0.9,10.9,0.7,0.0,281.3,11.9,46.4,1025.5,174.0
111,2015-04-23,8.5,0.5,16.0,0.0,0.0,250.4,6.8,24.1,1018.7,738.0
112,2015-04-24,13.3,2.6,20.9,0.0,0.0,183.3,9.7,35.3,1012.2,672.0
113,2015-04-25,14.7,9.8,18.8,0.3,0.0,198.8,10.4,40.7,1007.6,6.0
114,2015-04-26,13.5,7.8,18.5,7.3,0.0,191.7,8.6,37.1,1006.2,216.0
115,2015-04-27,8.2,5.8,10.1,5.9,0.0,280.8,9.4,30.2,1005.3,0.0
116,2015-04-28,6.5,3.0,12.2,1.2,0.0,307.5,13.7,56.5,1014.1,498.0
117,2015-04-29,8.7,-0.3,14.2,0.0,0.0,185.4,9.4,32.0,1018.4,684.0
118,2015-04-30,10.0,5.0,15.1,3.1,0.0,227.9,11.9,52.6,1011.9,246.0
119,2015-05-01,7.6,1.0,12.3,0.0,,265.4,9.7,30.6,1008.2,660.0
120,2015-05-02,7.9,0.9,14.3,0.0,,211.7,7.2,31.0,1011.6,546.0
121,2015-05-03,11.5,3.7,17.3,1.0,,134.2,10.8,39.6,1006.7,246.0
122,2015-05-04,16.6,12.2,22.1,0.2,,221.3,10.4,39.6,1007.5,480.0
123,2015-05-05,18.1,12.0,25.9,0.0,,204.2,16.9,55.4,1003.3,300.0
124,2015-05-06,14.4,9.9,19.7,0.0,,222.1,15.1,59.4,1011.7,576.0
125,2015-05-07,11.6,5.7,15.9,0.0,,238.3,16.6,49.3,1016.7,408.0
126,2015-05-08,13.1,6.2,18.4,0.0,,121.3,6.8,27.0,1016.4,138.0
127,2015-05-09,15.3,10.5,19.2,0.2,,214.6,10.4,42.1,1015.5,150.0
128,2015-05-10,11.7,6.8,16.1,0.0,,287.1,15.5,46.1,1024.7,666.0
129,2015-05-11,17.0,7.4,22.6,0.0,,182.5,15.1,40.3,1023.1,684.0
130,2015-05-12,19.2,7.7,27.4,6.4,,228.8,15.1,67.0,1015.3,366.0
131,2015-05-13,12.8,7.5,18.0,0.0,,272.1,13.0,43.2,1016.8,576.0
132,2015-05-14,9.2,4.5,13.4,0.0,,272.9,10.4,31.7,1013.4,462.0
133,2015-05-15,9.9,2.6,16.6,0.0,,217.1,7.9,26.3,1016.1,762.0
134,2015-05-16,10.0,2.0,14.9,0.2,,237.5,11.9,50.8,1020.5,222.0
135,2015-05-17,10.3,3.6,15.3,0.0,,271.3,13.0,40.3,1022.5,450.0
136,2015-05-18,14.2,3.6,21.1,0.0,,200.8,9.4,37.1,1009.8,258.0
137,2015-05-19,12.6,5.6,17.1,0.0,,265.8,11.5,43.9,1006.3,318.0
138,2015-05-20,10.5,4.9,15.4,0.0,,237.5,7.9,32.8,1013.4,156.0
139,2015-05-21,9.2,3.2,14.3,0.0,,253.8,9.4,37.4,1023.4,390.0
140,2015-05-22,13.3,4.5,19.2,0.0,,233.3,6.1,20.9,1024.4,642.0
141,2015-05-23,14.0,7.4,19.1,0.0,,274.6,8.6,33.1,1019.9,96.0
142,2015-05-24,13.5,6.7,18.6,0.1,,199.2,5.4,22.0,1018.6,438.0
143,2015-05-25,12.7,5.4,18.0,0.1,,265.4,10.8,39.2,1013.6,276.0
144,2015-05-26,9.7,4.8,14.2,0.3,,281.7,12.6,43.6,1017.7,126.0
145,2015-05-27,10.1,7.3,13.6,0.1,,291.3,13.3,40.0,1021.5,108.0
146,2015-05-28,13.4,9.8,19.8,1.5,,226.7,17.6,60.8,1013.7,276.0
147,2015-05-29,13.1,6.6,19.0,2.0,,201.7,10.8,45.7,1010.1,510.0
148,2015-05-30,10.1,7.3,15.4,1.3,,257.5,14.4,59.8,1012.1,462.0
149,2015-05-31,14.6,7.2,20.8,1.9,,197.9,15.1,48.2,1012.8,294.0
150,2015-06-01,12.6,9.2,17.3,0.3,,222.5,10.4,47.2,1014.9,110.0
151,2015-06-02,17.0,9.6,22.2,0.0,,202.5,18.4,85.3,1012.2,376.0
152,2015-06-03,16.3,6.6,20.9,0.0,,262.1,14.0,45.7,1019.6,408.0
153,2015-06-04,14.3,5.5,20.9,0.0,,110.0,8.3,28.1,1027.6,733.0
154,2015-06-05,22.5,10.4,30.7,0.0,,160.0,10.8,34.2,1020.2,909.0
155,2015-06-06,21.9,15.4,27.5,0.0,,243.3,13.3,47.9,1020.4,417.0
156,2015-06-07,16.2,10.3,21.5,0.0,,215.8,7.2,25.6,1027.7,547.0
157,2015-06-08,11.9,6.8,16.3,0.0,,290.4,9.0,26.6,1028.1,293.0
158,2015-06-09,12.2,6.7,17.4,0.0,,205.8,7.9,26.3,1027.7,214.0
159,2015-06-10,13.5,5.2,19.5,0.0,,121.7,6.5,23.0,1026.5,210.0
160,2015-06-11,15.7,11.5,19.5,0.0,,119.6,5.0,19.4,1021.3,2.0
161,2015-06-12,19.5,11.2,26.6,0.0,,110.4,9.0,31.7,1012.3,689.0
162,2015-06-13,20.3,14.6,25.7,0.7,,190.4,8.3,39.6,1008.2,166.0
163,2015-06-14,16.3,10.1,20.1,0.0,,291.3,12.6,40.3,1010.5,627.0
164,2015-06-15,13.5,6.2,18.4,0.0,,328.3,10.4,29.9,1018.0,572.0
165,2015-06-16,10.6,4.1,15.2,0.0,,277.9,9.4,30.6,1023.3,447.0
166,2015-06-17,14.7,6.4,20.7,2.3,,276.3,7.6,34.6,1021.6,767.0
