,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-06,1.4,-3.0,6.0,,,,8.3,,,
1,2015-01-07,4.0,3.0,6.0,,,222.5,14.8,,,
2,2015-01-13,9.8,8.0,12.0,,,230.8,28.3,,,
3,2015-01-14,4.9,3.0,8.0,,,227.1,22.0,,,
4,2015-01-15,9.2,5.0,11.0,,,215.0,28.4,,,
5,2015-01-19,-0.4,-3.0,1.0,,,,3.2,,,
6,2015-01-21,-0.1,-3.0,2.0,,,101.3,9.9,,,
7,2015-01-22,0.1,-1.0,1.0,,,111.7,9.6,,,
8,2015-01-26,4.3,3.0,7.0,,,239.2,15.1,,,
9,2015-01-27,4.0,2.0,6.0,,,265.0,15.1,,,
10,2015-01-28,5.0,3.0,7.0,,,225.4,21.5,,,
11,2015-01-29,3.3,2.0,5.0,,,231.7,20.8,,,
12,2015-02-02,1.6,1.0,2.0,,,266.3,19.4,,,
13,2015-02-03,1.3,0.0,3.0,,,259.2,8.7,,,
14,2015-02-04,0.1,-3.0,4.0,,,,5.1,,,
15,2015-02-05,-2.2,-6.0,0.0,,,,10.6,,,
16,2015-02-09,4.2,3.0,6.0,,,265.0,16.4,,,
17,2015-02-10,5.1,4.0,6.0,,,194.2,7.6,,,
18,2015-02-11,4.0,0.0,7.0,,,101.3,10.9,,,
19,2015-02-12,2.5,-2.0,8.0,,,112.1,6.1,,,
20,2015-02-17,2.6,-2.0,5.0,,,239.6,8.3,,,
21,2015-02-18,1.5,-2.0,7.0,,,,3.4,,,
22,2015-02-19,2.8,-2.0,7.0,,,198.3,11.8,,,
23,2015-02-23,5.1,3.0,9.0,,,212.5,22.2,,,
24,2015-02-24,4.9,3.0,7.0,,,221.7,21.9,,,
25,2015-02-26,6.9,2.0,10.0,,,181.7,10.9,,,
26,2015-03-03,4.8,3.0,9.0,,,225.0,19.8,,,
27,2015-03-04,4.5,2.0,7.0,,,252.9,22.4,,,
28,2015-03-05,4.9,1.0,9.0,,,265.0,11.1,,,
29,2015-03-09,8.3,5.0,11.0,,,,4.7,,,
30,2015-03-11,3.2,-2.0,9.0,,,,6.6,,,
31,2015-03-12,4.6,-2.0,12.0,,,,10.8,,,
32,2015-03-16,5.3,0.0,11.0,,,,10.9,,,
33,2015-03-17,8.0,-1.0,17.0,,,,9.0,,,
34,2015-03-18,8.2,2.0,16.0,,,,10.2,,,
35,2015-03-19,6.2,5.0,7.0,,,275.4,8.2,,,
36,2015-03-23,5.7,-2.0,12.0,,,,6.4,,,
37,2015-03-24,7.3,3.0,11.0,,,,6.1,,,
38,2015-03-25,5.7,5.0,7.0,,,293.3,11.5,,,
39,2015-03-26,5.7,4.0,8.0,,,232.9,14.9,,,
40,2015-03-30,8.3,7.0,10.0,,,262.5,33.1,,,
41,2015-03-31,9.6,5.0,12.0,,,258.8,48.9,,,
42,2015-04-01,6.6,4.0,10.0,,,270.8,36.7,,,
43,2015-05-04,16.5,14.0,22.0,,,187.1,11.7,,,
44,2015-05-05,17.6,13.0,23.0,,,187.1,22.7,,,
45,2015-05-06,13.1,11.0,16.0,,,210.8,18.7,,,
46,2015-05-07,12.5,9.0,17.0,,,,18.1,,,
47,2015-05-11,19.4,10.0,27.0,,,182.1,9.5,,,
48,2015-05-18,13.6,6.0,21.0,,,,18.4,,,
49,2015-05-19,11.5,9.0,15.0,,,229.6,22.4,,,
50,2015-05-20,10.7,8.0,15.0,,,241.3,14.8,,,
51,2015-05-21,11.9,6.0,17.0,,,253.3,8.2,,,
52,2015-05-26,12.1,8.0,15.0,,,317.1,12.0,,,
53,2015-05-27,13.9,9.0,19.0,,,226.7,7.1,,,
54,2015-05-28,15.1,12.0,18.0,,,237.9,18.0,,,
55,2015-06-01,13.9,11.0,17.0,,,243.8,12.9,,,
56,2015-06-02,16.3,12.0,21.0,,,214.2,18.9,,,
57,2015-06-08,13.8,7.0,19.0,,,92.9,16.2,,,
58,2015-06-09,12.6,8.0,17.0,,,27.5,15.3,,,
59,2015-06-10,15.8,6.0,22.0,,,,11.6,,,
60,2015-06-11,19.9,12.0,26.0,,,78.8,14.2,,,
61,2015-06-15,16.8,12.0,23.0,,,51.7,12.2,,,
62,2015-06-16,14.2,8.0,17.0,,,,9.6,,,
63,2015-06-17,15.4,6.0,23.0,,,,8.9,,,
64,2015-06-18,16.9,11.0,20.0,,,275.8,22.1,,,
65,2015-06-22,12.7,10.0,16.0,,,234.6,13.5,,,
66,2015-06-23,12.5,10.0,16.0,,,273.8,18.3,,,
67,2015-06-24,15.2,12.0,21.0,,,243.3,10.2,,,
68,2015-06-25,18.7,12.0,25.0,,,,11.5,,,
69,2015-06-29,21.0,17.0,26.0,,,,9.8,,,
70,2015-06-30,21.8,12.0,29.0,,,,7.6,,,
71,2015-07-02,29.3,23.0,39.0,,,160.4,12.0,,,
72,2015-07-07,22.9,15.0,30.0,,,190.8,15.6,,,
73,2015-07-09,15.8,12.0,19.0,,,290.0,19.3,,,
74,2015-07-13,17.2,16.0,18.0,,,237.9,15.9,,,
75,2015-07-14,18.8,17.0,21.0,,,250.4,21.1,,,
76,2015-07-16,21.7,16.0,29.0,,,147.1,8.8,,,
77,2015-07-20,19.4,14.0,23.0,,,207.9,9.2,,,
78,2015-07-21,22.1,20.0,26.0,,,236.7,14.0,,,
79,2015-07-22,21.6,19.0,26.0,,,242.1,13.9,,,
80,2015-07-23,18.8,15.0,23.0,,,239.6,10.0,,,
81,2015-07-27,16.8,14.0,20.0,,,229.6,24.3,,,
82,2015-07-28,15.6,14.0,18.0,,,241.7,26.0,,,
83,2015-07-29,15.0,12.0,19.0,,,245.0,21.4,,,
84,2015-07-30,13.8,12.0,18.0,,,249.2,12.1,,,
85,2015-08-03,25.1,15.0,33.0,,,,10.0,,,
86,2015-08-04,19.7,16.0,24.0,,,220.4,10.4,,,
87,2015-08-05,20.3,12.0,27.0,,,154.6,9.6,,,
88,2015-08-06,24.6,15.0,32.0,,,,11.3,,,
89,2015-08-10,19.3,16.0,23.0,,,197.5,7.0,,,
90,2015-08-11,20.1,14.0,26.0,,,,5.9,,,
91,2015-08-12,21.7,17.0,27.0,,,,9.3,,,
92,2015-08-13,23.9,16.0,32.0,,,82.5,14.0,,,
93,2015-08-17,13.2,12.0,15.0,,,281.3,17.3,,,
94,2015-08-18,14.8,12.0,19.0,,,242.1,15.0,,,
95,2015-08-19,16.9,11.0,22.0,,,,7.1,,,
96,2015-08-20,18.8,10.0,26.0,,,,5.0,,,
97,2015-08-25,16.9,14.0,20.0,,,220.4,23.5,,,
98,2015-08-31,23.9,17.0,32.0,,,165.4,13.6,,,
99,2015-09-01,16.8,13.0,21.0,,,290.0,14.2,,,
100,2015-09-02,14.0,11.0,18.0,,,242.5,7.2,,,
101,2015-09-03,13.9,11.0,18.0,,,226.3,9.8,,,
102,2015-09-07,13.3,11.0,16.0,,,267.5,13.4,,,
103,2015-09-08,13.3,11.0,17.0,,,,5.6,,,
104,2015-09-09,15.0,11.0,20.0,,,,9.2,,,
105,2015-09-10,13.7,8.0,20.0,,,,14.4,,,
106,2015-09-14,16.9,12.0,20.0,,,189.2,12.7,,,
107,2015-09-15,14.1,11.0,18.0,,,198.8,17.4,,,
108,2015-09-16,15.5,12.0,19.0,,,137.1,10.9,,,
109,2015-09-21,13.8,8.0,18.0,,,194.2,7.8,,,
110,2015-09-22,12.8,10.0,16.0,,,204.6,10.3,,,
111,2015-09-23,11.9,10.0,14.0,,,239.6,15.6,,,
112,2015-09-24,13.8,11.0,18.0,,,212.9,14.5,,,
113,2015-09-28,10.3,3.0,17.0,,,,9.8,,,
114,2015-09-29,11.2,6.0,18.0,,,,13.3,,,
115,2015-09-30,11.2,4.0,18.0,,,,15.9,,,
116,2015-10-05,13.1,8.0,18.0,,,112.1,9.4,,,
117,2015-10-06,16.7,14.0,20.0,,,175.4,11.2,,,
118,2015-10-07,14.9,13.0,17.0,,,204.6,12.5,,,
119,2015-10-08,12.2,11.0,14.0,,,,9.7,,,
120,2015-10-12,6.1,1.0,11.0,,,,13.2,,,
121,2015-10-13,2.9,0.0,5.0,,,,7.1,,,
122,2015-10-14,3.2,2.0,4.0,,,139.2,8.0,,,
123,2015-10-19,8.8,8.0,10.0,,,,4.1,,,
124,2015-10-20,9.6,7.0,12.0,,,,7.0,,,
125,2015-10-21,9.9,8.0,12.0,,,227.5,9.2,,,
126,2015-10-22,11.5,10.0,14.0,,,236.7,15.0,,,
127,2015-10-28,10.2,8.0,13.0,,,129.2,10.9,,,
128,2015-11-02,7.7,1.0,16.0,,,99.6,7.5,,,
129,2015-11-03,8.0,1.0,16.0,,,,8.3,,,
130,2015-11-04,13.5,8.0,18.0,,,172.1,9.4,,,
131,2015-11-05,14.6,9.0,18.0,,,179.6,8.5,,,
132,2015-11-09,15.3,14.0,18.0,,,240.8,27.6,,,
133,2015-11-10,13.5,13.0,15.0,,,234.6,26.9,,,
134,2015-11-16,12.3,11.0,13.0,,,226.7,21.3,,,
135,2015-11-17,14.2,12.0,16.0,,,229.2,26.6,,,
136,2015-11-19,11.0,8.0,14.0,,,244.6,24.2,,,
137,2015-11-23,2.5,0.0,6.0,,,245.4,11.3,,,
138,2015-11-24,2.9,2.0,4.0,,,212.9,19.8,,,
139,2015-11-26,4.1,1.0,9.0,,,253.8,9.1,,,
140,2015-12-01,10.6,8.0,12.0,,,256.3,19.5,,,
141,2015-12-02,10.7,9.0,12.0,,,216.3,12.6,,,
142,2015-12-03,9.6,7.0,12.0,,,185.8,10.2,,,
