,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.6,-5.4,3.8,4.5,40.0,198.8,14.4,42.8,1035.4,0.0
1,2015-01-03,5.3,-0.5,12.8,7.0,0.0,198.3,14.0,60.8,1027.3,0.0
2,2015-01-04,3.3,-2.2,6.6,0.0,0.0,198.3,7.9,29.5,1034.3,282.0
3,2015-01-05,1.4,-4.4,6.1,0.0,0.0,200.8,4.7,14.4,1034.7,402.0
4,2015-01-06,-1.1,-5.3,3.9,0.1,0.0,205.0,3.6,13.7,1027.0,378.0
5,2015-01-07,3.2,-0.3,6.1,0.8,0.0,153.8,6.8,31.3,1031.3,108.0
6,2015-01-08,8.8,2.3,10.4,3.2,0.0,207.9,16.6,47.5,1030.3,0.0
7,2015-01-09,9.2,6.5,12.7,1.0,0.0,201.7,24.8,60.5,1029.6,0.0
8,2015-01-10,14.1,7.9,15.6,9.0,0.0,205.4,27.7,54.4,1021.5,168.0
9,2015-01-11,5.1,3.5,8.1,1.0,0.0,249.2,17.3,51.8,1025.5,132.0
10,2015-01-12,6.3,1.2,8.4,0.0,0.0,206.7,18.0,46.1,1026.8,24.0
11,2015-01-13,10.4,0.3,15.6,1.6,0.0,199.6,18.0,40.0,1016.1,378.0
12,2015-01-14,6.2,4.3,11.4,4.7,0.0,207.5,19.1,63.7,1017.3,24.0
13,2015-01-15,10.3,5.2,12.2,1.2,0.0,194.6,16.6,39.2,1010.2,0.0
14,2015-01-16,5.4,4.5,11.1,28.5,0.0,192.9,9.7,35.3,1008.2,0.0
15,2015-01-17,3.7,0.6,5.2,5.6,0.0,170.8,5.8,18.4,1016.4,0.0
16,2015-01-18,0.8,-3.0,5.5,0.0,0.0,199.2,5.0,15.8,1017.4,426.0
17,2015-01-19,1.4,-2.6,2.8,5.7,0.0,139.6,4.0,14.0,1012.4,0.0
18,2015-01-20,0.8,0.4,2.1,0.2,0.0,117.9,9.0,22.7,1012.5,0.0
19,2015-01-21,2.0,-0.4,3.4,0.0,0.0,59.2,6.8,17.3,1010.6,48.0
20,2015-01-22,1.1,-0.9,2.4,0.0,0.0,131.7,5.4,15.8,1014.2,0.0
21,2015-01-23,1.4,0.9,2.0,0.0,0.0,44.6,9.7,20.2,1023.3,0.0
22,2015-01-24,3.0,0.3,3.8,2.7,0.0,194.2,7.2,28.8,1024.1,0.0
23,2015-01-25,1.8,0.2,3.8,0.7,0.0,91.3,4.7,13.3,1030.8,42.0
24,2015-01-26,1.3,0.8,2.6,6.2,0.0,194.2,16.6,35.3,1026.2,0.0
25,2015-01-27,3.3,1.1,5.3,0.3,0.0,219.6,7.6,20.2,1024.7,6.0
26,2015-01-28,4.1,1.5,6.1,1.2,0.0,195.0,23.0,74.9,1015.8,12.0
27,2015-01-29,4.2,1.5,5.7,3.3,0.0,205.8,23.4,51.5,993.5,0.0
28,2015-01-30,2.4,0.2,5.0,1.9,10.0,210.8,19.4,54.4,980.8,12.0
29,2015-01-31,2.3,0.9,5.2,2.3,0.0,195.8,12.6,32.4,986.0,126.0
30,2015-02-01,1.9,0.7,3.2,1.7,0.0,208.8,15.5,38.9,993.8,6.0
31,2015-02-02,1.3,-1.9,2.9,4.4,0.0,208.3,7.9,25.6,1003.5,42.0
32,2015-02-03,-0.4,-3.7,2.5,0.0,0.0,121.3,6.1,19.1,1005.0,258.0
33,2015-02-04,-1.2,-6.7,1.5,0.0,0.0,36.7,14.4,38.5,1012.0,246.0
34,2015-02-05,-0.2,-1.1,0.8,0.0,0.0,27.5,23.4,42.1,1015.6,0.0
