,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.6,2.6,9.1,1.9,,260.4,27.4,66.6,1015.2,66.0
1,2015-01-03,4.4,2.4,6.4,7.8,,270.0,19.8,57.6,1015.6,0.0
2,2015-01-04,3.7,2.1,6.1,0.0,,298.3,11.5,43.2,1025.0,360.0
3,2015-01-05,4.4,3.0,5.8,0.0,,264.2,10.4,31.7,1027.9,0.0
4,2015-01-06,2.9,1.6,3.7,0.6,,170.0,9.4,25.9,1022.9,0.0
5,2015-01-07,4.3,1.7,6.3,2.1,,237.9,11.5,43.6,1021.7,258.0
6,2015-01-08,5.2,2.9,7.1,7.4,,238.8,16.6,43.6,1015.6,0.0
7,2015-01-09,6.7,3.3,8.8,16.3,,261.7,27.4,81.0,1007.3,0.0
8,2015-01-10,8.5,3.2,12.2,4.0,,265.8,31.3,94.7,999.0,0.0
9,2015-01-11,4.9,2.5,6.4,6.8,,284.2,25.2,73.4,1005.1,24.0
10,2015-01-12,7.2,5.9,8.6,18.2,,250.4,25.2,59.4,1006.2,0.0
11,2015-01-13,6.8,4.2,9.3,12.2,,235.0,15.1,50.0,1000.8,0.0
12,2015-01-14,3.7,1.4,5.0,0.6,,236.3,15.8,47.9,1003.9,60.0
13,2015-01-15,5.7,1.5,8.1,7.4,,194.2,22.0,58.0,997.5,0.0
14,2015-01-16,5.7,2.8,7.6,0.1,,223.3,18.0,52.9,1001.8,216.0
15,2015-01-17,2.6,0.7,5.1,0.0,,236.3,12.2,34.6,1010.4,384.0
16,2015-01-18,1.5,0.7,2.1,4.5,,197.9,10.8,28.8,1012.8,0.0
17,2015-01-19,0.3,-1.4,0.8,0.8,,158.8,4.0,,1012.5,0.0
18,2015-01-20,-1.0,-3.1,0.0,0.0,,,,,1012.2,0.0
19,2015-01-21,-2.0,-5.0,-0.2,0.0,,,,,1016.3,0.0
20,2015-01-22,-2.2,-4.5,-0.9,0.0,,,,18.0,1021.6,60.0
21,2015-01-23,-3.2,-4.4,-2.4,0.0,,202.1,6.5,30.2,1025.6,0.0
22,2015-01-24,-1.9,-5.6,0.6,3.4,,217.1,9.7,32.0,1017.9,0.0
23,2015-01-25,1.1,-3.9,3.5,0.8,,255.0,4.0,16.9,1024.1,54.0
24,2015-01-26,2.9,1.6,5.6,8.0,,228.3,12.2,34.2,1015.6,0.0
25,2015-01-27,3.6,1.1,6.0,0.1,,307.9,13.3,45.7,1015.6,276.0
26,2015-01-28,3.8,1.5,5.0,11.8,,225.4,19.1,59.0,1000.0,0.0
27,2015-01-29,1.8,0.7,3.1,0.6,,223.3,19.8,59.0,980.4,0.0
28,2015-01-30,0.1,-3.7,2.1,0.0,,140.0,4.7,16.2,974.4,66.0
29,2015-01-31,-1.4,-4.5,1.1,0.0,,174.6,4.7,13.7,979.8,96.0
30,2015-02-01,-1.3,-5.0,0.9,1.3,,186.3,7.9,33.8,987.4,0.0
31,2015-02-02,1.0,-1.5,3.6,0.6,,264.2,8.3,32.4,993.7,132.0
