,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,12.3,,,,,,
1,2015-01-03,,,,30.4,,,,,,
2,2015-01-04,,,,2.8,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,4.0,,,,,,
6,2015-01-08,,,,10.3,,,,,,
7,2015-01-09,,,,19.3,,,,,,
8,2015-01-10,,,,10.6,,,,,,
9,2015-01-11,,,,41.2,,,,,,
10,2015-01-12,,,,0.0,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,15.1,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,33.1,,,,,,
15,2015-01-17,,,,21.5,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,9.4,,,,,,
18,2015-01-20,,,,4.3,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.1,,,,,,
22,2015-01-24,,,,5.0,,,,,,
23,2015-01-25,,,,0.7,,,,,,
24,2015-01-26,,,,20.5,,,,,,
25,2015-01-27,,,,12.8,,,,,,
26,2015-01-28,,,,5.3,,,,,,
27,2015-01-29,,,,12.3,,,,,,
28,2015-01-30,,,,33.5,,,,,,
29,2015-01-31,,,,6.4,,,,,,
30,2015-02-01,,,,25.9,,,,,,
31,2015-02-02,,,,7.4,,,,,,
32,2015-02-03,,,,0.1,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.1,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,2.3,,,,,,
38,2015-02-09,,,,2.6,,,,,,
39,2015-02-10,,,,0.7,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.2,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,12.4,,,,,,
51,2015-02-22,,,,1.4,,,,,,
52,2015-02-23,,,,15.2,,,,,,
53,2015-02-24,,,,10.8,,,,,,
54,2015-02-25,,,,0.3,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,23.1,,,,,,
57,2015-02-28,,,,0.1,,,,,,
58,2015-03-01,,,,9.5,,,,,,
59,2015-03-02,,,,31.3,,,,,,
60,2015-03-03,,,,0.0,,,,,,
61,2015-03-04,,,,7.3,,,,,,
62,2015-03-05,,,,0.2,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,2.1,,,,,,
68,2015-03-11,,,,0.1,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.0,,,,,,
72,2015-03-15,,,,0.0,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,0.0,,,,,,
79,2015-03-22,,,,0.1,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.6,,,,,,
83,2015-03-26,,,,4.9,,,,,,
84,2015-03-27,,,,5.4,,,,,,
85,2015-03-28,,,,1.5,,,,,,
86,2015-03-30,,,,29.1,,,,,,
87,2015-03-31,,,,11.9,,,,,,
88,2015-04-01,,,,12.9,,,,,,
89,2015-04-02,,,,49.6,,,,,,
90,2015-04-03,,,,0.3,,,,,,
91,2015-04-04,,,,12.8,,,,,,
92,2015-04-05,,,,0.0,,,,,,
93,2015-04-06,,,,0.0,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,1.6,,,,,,
99,2015-04-12,,,,0.0,,,,,,
100,2015-04-13,,,,0.0,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.0,,,,,,
104,2015-04-17,,,,19.4,,,,,,
105,2015-04-18,,,,0.0,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.0,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,5.4,,,,,,
113,2015-04-26,,,,0.6,,,,,,
114,2015-04-27,,,,9.3,,,,,,
115,2015-04-28,,,,4.1,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,8.7,,,,,,
118,2015-05-01,,,,30.1,,,,,,
119,2015-05-02,,,,1.0,,,,,,
120,2015-05-03,,,,51.6,,,,,,
121,2015-05-04,,,,12.2,,,,,,
122,2015-05-05,,,,1.5,,,,,,
123,2015-05-06,,,,0.4,,,,,,
124,2015-05-07,,,,0.0,,,,,,
125,2015-05-08,,,,0.0,,,,,,
126,2015-05-09,,,,1.8,,,,,,
127,2015-05-10,,,,0.0,,,,,,
128,2015-05-11,,,,0.0,,,,,,
129,2015-05-12,,,,0.0,,,,,,
130,2015-05-13,,,,0.6,,,,,,
131,2015-05-14,,,,12.7,,,,,,
132,2015-05-15,,,,24.6,,,,,,
133,2015-05-16,,,,0.2,,,,,,
134,2015-05-17,,,,9.3,,,,,,
135,2015-05-18,,,,0.0,,,,,,
136,2015-05-19,,,,0.5,,,,,,
137,2015-05-20,,,,8.1,,,,,,
138,2015-05-21,,,,0.0,,,,,,
139,2015-05-22,,,,0.0,,,,,,
140,2015-05-23,,,,0.0,,,,,,
141,2015-05-24,,,,0.0,,,,,,
142,2015-05-25,,,,2.6,,,,,,
143,2015-05-26,,,,2.9,,,,,,
144,2015-05-27,,,,0.0,,,,,,
145,2015-05-28,,,,0.0,,,,,,
146,2015-05-29,,,,5.5,,,,,,
147,2015-05-30,,,,2.1,,,,,,
148,2015-05-31,,,,0.0,,,,,,
149,2015-06-01,,,,0.8,,,,,,
150,2015-06-02,,,,0.0,,,,,,
151,2015-06-03,,,,0.0,,,,,,
152,2015-06-04,,,,0.0,,,,,,
153,2015-06-05,,,,0.0,,,,,,
154,2015-06-06,,,,1.6,,,,,,
155,2015-06-07,,,,0.3,,,,,,
156,2015-06-08,,,,25.6,,,,,,
157,2015-06-09,,,,0.0,,,,,,
158,2015-06-10,,,,0.0,,,,,,
159,2015-06-11,,,,0.5,,,,,,
160,2015-06-12,,,,12.3,,,,,,
161,2015-06-13,,,,0.1,,,,,,
162,2015-06-14,,,,0.0,,,,,,
163,2015-06-15,,,,0.0,,,,,,
164,2015-06-16,,,,0.0,,,,,,
165,2015-06-17,,,,0.0,,,,,,
166,2015-06-18,,,,48.6,,,,,,
167,2015-06-19,,,,0.0,,,,,,
168,2015-06-20,,,,12.0,,,,,,
169,2015-06-21,,,,15.5,,,,,,
170,2015-06-22,,,,14.9,,,,,,
171,2015-06-23,,,,6.6,,,,,,
172,2015-06-24,,,,1.7,,,,,,
173,2015-06-25,,,,0.0,,,,,,
174,2015-06-26,,,,0.0,,,,,,
175,2015-06-27,,,,1.1,,,,,,
