,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-2.9,-11.5,3.4,3.9,140.0,228.3,9.4,41.8,1034.6,144.0
1,2015-01-03,0.9,-2.1,3.0,25.3,50.0,196.3,7.6,33.8,1027.4,6.0
2,2015-01-04,1.3,0.7,1.8,0.1,50.0,281.7,25.6,45.4,1030.2,0.0
3,2015-01-05,0.6,-2.9,2.0,0.0,40.0,282.1,17.6,36.7,1033.6,0.0
4,2015-01-06,-1.5,-6.0,2.6,0.0,40.0,141.3,4.7,13.7,1028.4,210.0
5,2015-01-07,-1.7,-7.0,1.7,1.1,40.0,225.4,4.3,17.6,1031.7,0.0
6,2015-01-08,2.1,-1.2,7.3,1.4,40.0,108.3,6.5,74.5,1030.6,0.0
7,2015-01-09,6.8,1.8,10.1,7.9,0.0,265.8,30.6,82.4,1026.2,0.0
8,2015-01-10,13.6,9.9,16.3,7.4,0.0,271.7,48.6,91.4,1015.5,288.0
9,2015-01-11,3.5,0.7,12.5,5.6,0.0,289.6,29.5,76.0,1020.5,30.0
10,2015-01-12,2.9,-2.2,4.9,0.0,0.0,242.9,22.0,63.7,1026.2,0.0
11,2015-01-13,1.4,-3.3,10.2,0.0,0.0,91.3,5.4,14.0,1020.1,468.0
12,2015-01-14,2.7,-1.5,9.3,0.9,0.0,175.0,13.3,83.5,1018.4,6.0
13,2015-01-15,1.5,-1.8,7.1,0.0,0.0,102.9,7.6,18.4,1015.9,108.0
14,2015-01-16,1.2,-2.3,4.5,1.0,0.0,110.4,8.3,24.8,1009.7,192.0
15,2015-01-17,1.3,0.2,3.6,9.0,0.0,278.8,11.5,31.7,1015.3,0.0
16,2015-01-18,1.0,0.1,2.5,0.1,0.0,159.2,4.7,13.7,1018.6,0.0
17,2015-01-19,1.0,-2.8,4.0,0.0,0.0,83.3,4.7,16.2,1013.9,222.0
18,2015-01-20,-0.9,-3.4,0.3,0.0,0.0,193.3,4.0,12.2,1012.7,0.0
19,2015-01-21,0.3,-0.3,1.0,0.0,0.0,94.6,11.9,31.7,1012.9,0.0
20,2015-01-22,1.0,0.1,2.0,0.4,0.0,180.8,8.6,21.2,1013.1,0.0
21,2015-01-23,0.6,0.1,1.1,1.5,0.0,272.5,11.5,25.6,1021.2,0.0
22,2015-01-24,-0.1,-1.6,0.3,0.3,0.0,285.0,11.2,23.8,1022.5,0.0
23,2015-01-25,0.3,-0.7,1.7,2.5,0.0,281.7,14.4,32.8,1027.8,0.0
24,2015-01-26,-1.0,-5.6,4.1,6.7,50.0,219.2,5.8,24.8,1026.2,162.0
25,2015-01-27,0.5,-1.6,1.7,0.8,80.0,271.7,16.9,43.6,1020.8,54.0
26,2015-01-28,-0.1,-4.0,2.7,4.9,40.0,219.6,8.6,24.8,1016.8,252.0
27,2015-01-29,0.7,-1.0,4.2,0.7,70.0,181.7,8.3,40.3,996.1,192.0
28,2015-01-30,-1.7,-6.9,2.5,0.4,70.0,197.5,13.0,70.6,980.5,0.0
29,2015-01-31,-2.0,-8.4,2.7,0.0,70.0,236.7,9.0,36.7,986.9,288.0
30,2015-02-01,-2.3,-7.0,3.8,3.1,70.0,177.5,6.5,34.6,994.4,222.0
31,2015-02-02,-0.9,-7.8,1.0,0.3,120.0,262.1,10.1,36.0,1001.6,12.0
32,2015-02-03,-8.1,-14.6,-0.3,0.0,110.0,225.8,4.7,15.5,1007.0,342.0
33,2015-02-04,-11.1,-15.8,-2.1,0.0,110.0,288.8,3.2,11.2,1013.8,228.0
34,2015-02-05,-4.5,-14.8,-0.1,0.0,110.0,97.1,16.6,50.0,1016.5,0.0
35,2015-02-06,-3.2,-5.9,-1.4,0.0,100.0,78.8,23.0,51.1,1021.4,126.0
36,2015-02-07,-5.2,-10.9,1.4,0.0,90.0,148.3,11.9,34.6,1028.2,372.0
37,2015-02-08,-2.1,-7.4,1.0,0.1,100.0,290.4,23.0,56.9,1024.9,180.0
38,2015-02-09,-1.2,-3.9,1.2,0.5,90.0,272.1,29.5,59.4,1029.4,0.0
39,2015-02-10,0.5,-6.8,3.9,0.0,100.0,287.1,11.5,32.4,1031.1,222.0
40,2015-02-11,-1.1,-7.1,2.4,0.0,70.0,150.8,4.3,16.2,1029.1,0.0
41,2015-02-12,-0.9,-1.8,0.1,0.0,60.0,110.8,7.2,17.6,1026.4,0.0
42,2015-02-13,-1.9,-2.8,-0.8,0.0,60.0,110.8,6.5,14.8,1022.7,0.0
