,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.7,,,0.6,,,,,1030.7,
1,2015-01-03,-0.4,,,10.7,,,,,1025.3,
2,2015-01-04,0.4,,,0.0,,,8.3,25.9,1033.0,
3,2015-01-05,-2.8,,,0.0,70.0,,9.7,20.5,1033.9,
4,2015-01-06,-2.6,,,0.4,70.0,,10.4,29.5,1025.4,
5,2015-01-07,-0.8,,,1.0,70.0,,13.0,31.3,1029.3,
6,2015-01-08,3.1,,,5.5,50.0,,24.1,57.2,1024.9,
7,2015-01-09,6.1,,,6.6,0.0,,,,1022.2,
8,2015-01-10,9.2,,,3.4,,,,,1014.4,
9,2015-01-11,1.6,,,2.0,,,23.0,57.2,1020.6,
10,2015-01-12,3.0,,,0.1,0.0,,26.6,68.4,1020.2,
11,2015-01-13,5.8,,,5.9,0.0,,25.6,66.6,1010.5,
12,2015-01-14,1.9,,,4.9,0.0,,21.6,79.6,1012.1,
13,2015-01-15,5.2,,,1.6,0.0,,30.6,72.4,1004.5,
14,2015-01-16,3.2,,,0.3,0.0,,,,1006.9,
15,2015-01-17,0.3,,,0.0,,,,,1015.0,
16,2015-01-18,-1.1,,,0.0,,,16.6,35.3,1015.4,
17,2015-01-19,-3.2,,,0.1,0.0,,7.6,14.8,1012.2,
18,2015-01-20,-2.5,,,0.2,0.0,,6.1,14.8,1012.5,
19,2015-01-21,-2.5,,,0.0,0.0,,12.6,25.9,1011.8,
20,2015-01-22,-2.2,,,0.0,0.0,,14.4,25.9,1015.8,
21,2015-01-23,-1.8,,,0.0,0.0,,,,1024.2,
22,2015-01-24,-1.4,,,3.9,,,,,1022.4,
23,2015-01-25,-0.2,,,4.0,,,9.4,18.4,1029.4,
24,2015-01-26,0.0,,,6.2,110.0,,13.3,35.3,1022.6,
25,2015-01-27,0.9,,,1.5,140.0,,12.6,25.9,1022.9,
26,2015-01-28,0.8,,,4.7,130.0,,23.8,70.2,1010.3,
27,2015-01-29,-0.5,,,5.1,100.0,,17.6,40.7,988.6,
28,2015-01-30,-1.6,,,0.3,140.0,,,,977.7,
29,2015-01-31,-1.3,,,0.1,,,,,983.3,
30,2015-02-01,-1.6,,,2.4,,,12.2,35.3,991.1,
31,2015-02-02,-1.6,,,0.0,130.0,,12.6,31.3,1001.2,
32,2015-02-03,-2.6,,,0.2,130.0,,7.6,13.0,1004.7,
33,2015-02-04,-3.3,,,0.0,130.0,,13.7,35.3,1013.6,
34,2015-02-05,-4.8,,,0.0,130.0,,23.0,50.0,1020.3,
35,2015-02-06,-3.6,,,0.0,120.0,,,,1024.2,
36,2015-02-07,-2.5,,,0.7,,,,,1029.6,
37,2015-02-08,0.4,,,0.0,,,,53.6,1028.9,
38,2015-02-09,1.3,,,1.3,50.0,,12.6,33.5,1030.0,
39,2015-02-10,1.5,,,0.0,40.0,,9.7,25.9,1030.8,
40,2015-02-11,0.3,,,0.0,40.0,,12.6,22.3,1026.3,
41,2015-02-12,-0.8,,,0.0,0.0,,,,1022.8,
42,2015-02-13,-0.5,,,0.0,,,,,1017.2,
43,2015-02-14,2.0,,,0.0,,,,,1009.8,
44,2015-02-15,-1.2,,,0.0,,,,,1013.5,
45,2015-02-16,-1.4,,,0.0,,,,,1020.0,
46,2015-02-17,0.0,,,0.1,,,,16.6,1032.3,
47,2015-02-18,1.3,,,0.0,0.0,,8.3,16.6,1039.2,
48,2015-02-19,-2.5,,,0.0,0.0,,14.8,31.3,1030.5,
49,2015-02-20,3.5,,,2.7,0.0,,,,1012.2,
50,2015-02-21,1.7,,,1.2,,,,,999.9,
51,2015-02-22,0.8,,,0.2,,,11.5,37.1,1008.9,
52,2015-02-23,0.5,,,5.5,10.0,,20.5,59.4,999.3,
53,2015-02-24,1.1,,,0.0,0.0,,16.9,37.1,1007.6,
