,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,3.7,2.2,5.3,0.0,0.0,238.3,26.6,66.2,1024.3,12.0
1,2015-01-03,2.9,1.6,5.2,0.2,0.0,244.2,23.8,58.7,1022.0,0.0
2,2015-01-04,2.7,1.2,4.3,0.1,0.0,284.2,19.4,46.1,1026.6,48.0
3,2015-01-05,2.1,0.3,3.1,0.0,0.0,261.7,14.8,46.1,1030.7,42.0
4,2015-01-06,0.6,-1.8,3.7,0.0,0.0,193.8,5.8,18.4,1025.5,270.0
5,2015-01-07,2.1,0.3,5.7,0.0,0.0,238.8,13.0,30.6,1026.8,102.0
6,2015-01-08,4.3,0.9,7.6,6.6,0.0,232.5,20.2,67.3,1021.8,0.0
7,2015-01-09,6.9,4.5,10.3,2.8,0.0,246.3,33.8,83.9,1015.9,12.0
8,2015-01-10,9.9,4.2,14.7,2.3,0.0,248.8,32.8,90.0,1006.4,60.0
9,2015-01-11,3.4,1.7,4.7,1.1,0.0,254.2,31.7,69.1,1012.9,96.0
10,2015-01-12,5.6,3.7,7.5,0.0,0.0,234.6,29.5,65.2,1015.7,0.0
11,2015-01-13,9.3,6.6,12.4,0.1,0.0,227.9,25.9,72.7,1008.7,354.0
12,2015-01-14,5.1,0.9,8.0,2.3,0.0,233.8,20.9,94.0,1009.9,102.0
13,2015-01-15,6.1,0.8,9.9,0.0,0.0,207.5,19.4,66.6,1007.0,36.0
14,2015-01-16,6.7,4.5,9.3,3.4,0.0,188.3,11.9,45.7,1006.6,6.0
15,2015-01-17,2.8,-2.1,5.4,0.1,0.0,263.8,8.6,28.1,1013.5,138.0
16,2015-01-18,-0.4,-3.1,3.6,0.0,0.0,231.3,7.2,32.4,1017.0,330.0
17,2015-01-19,-1.9,-5.2,-0.1,0.5,0.0,168.3,3.6,13.3,1013.6,0.0
18,2015-01-20,-0.2,-1.0,0.9,3.0,0.0,235.4,4.0,13.0,1011.8,0.0
19,2015-01-21,-2.8,-6.3,0.4,0.0,30.0,95.8,7.9,27.7,1015.7,252.0
20,2015-01-22,-0.7,-1.6,0.0,0.2,30.0,37.9,16.2,29.5,1017.5,0.0
21,2015-01-23,-1.0,-1.4,-0.6,0.0,20.0,84.6,11.2,28.4,1024.5,0.0
22,2015-01-24,-0.8,-2.2,0.5,0.4,20.0,225.4,10.8,36.4,1021.2,90.0
23,2015-01-25,0.8,-2.1,3.0,3.0,20.0,265.8,9.4,28.1,1026.3,78.0
24,2015-01-26,1.8,1.0,3.2,2.0,0.0,223.3,14.0,43.9,1020.4,0.0
25,2015-01-27,2.3,-0.6,4.7,0.0,0.0,268.8,15.5,41.4,1017.2,150.0
26,2015-01-28,2.6,-0.7,4.7,1.7,0.0,227.5,20.5,78.5,1008.1,24.0
27,2015-01-29,1.8,0.3,3.9,2.4,0.0,216.3,20.5,52.2,988.2,138.0
28,2015-01-30,0.6,-1.2,2.1,1.2,0.0,223.8,15.1,45.0,974.8,18.0
29,2015-01-31,0.0,-2.0,2.5,1.6,10.0,232.5,11.9,33.1,981.7,12.0
30,2015-02-01,-0.7,-3.4,2.3,0.1,0.0,226.3,9.0,25.6,990.5,450.0
31,2015-02-02,0.7,-1.1,4.2,0.3,0.0,239.6,13.0,34.2,997.4,270.0
32,2015-02-03,0.5,-1.5,2.9,0.1,0.0,255.0,13.7,37.4,1002.4,120.0
33,2015-02-04,-1.6,-3.6,0.9,0.0,0.0,235.8,6.5,15.8,1013.1,42.0
34,2015-02-05,-2.3,-3.7,-0.7,0.3,0.0,110.4,15.1,38.2,1022.9,48.0
35,2015-02-06,-3.3,-4.7,-2.4,0.0,0.0,49.2,22.7,44.6,1029.6,0.0
36,2015-02-07,-2.2,-7.9,2.5,0.1,0.0,217.9,10.1,34.6,1028.3,450.0
