,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.8,-1.6,2.8,1.1,70.0,236.3,20.5,60.1,1030.5,0.0
1,2015-01-03,0.1,-0.7,1.1,11.8,40.0,232.9,11.9,40.0,1025.5,0.0
2,2015-01-04,0.7,-1.0,1.9,0.0,60.0,290.4,11.9,36.0,1033.6,138.0
3,2015-01-05,-1.0,-4.6,2.0,0.0,50.0,217.9,8.6,22.0,1033.8,426.0
4,2015-01-06,-1.9,-6.3,3.2,0.3,40.0,211.3,9.4,25.9,1025.4,234.0
5,2015-01-07,0.3,-1.3,1.8,0.4,40.0,232.9,12.6,31.0,1029.3,60.0
6,2015-01-08,3.6,0.6,6.6,6.9,40.0,233.3,23.0,64.8,1024.8,0.0
7,2015-01-09,6.5,3.2,11.6,6.5,0.0,243.3,28.1,60.8,1022.1,0.0
8,2015-01-10,9.0,1.4,11.9,1.9,0.0,260.4,31.7,76.3,1014.8,6.0
9,2015-01-11,1.4,0.3,2.5,1.3,0.0,263.3,24.1,58.7,1021.0,6.0
10,2015-01-12,3.5,2.2,5.1,0.0,0.0,231.3,24.5,65.2,1019.9,0.0
11,2015-01-13,6.1,4.6,8.5,5.3,0.0,222.1,23.0,62.6,1010.2,222.0
12,2015-01-14,2.1,0.0,5.6,2.2,0.0,235.8,22.7,67.7,1012.0,24.0
13,2015-01-15,5.5,2.1,7.9,3.2,0.0,212.1,25.9,72.7,1004.0,42.0
14,2015-01-16,3.4,1.8,4.8,0.0,0.0,213.3,10.1,38.9,1007.1,0.0
15,2015-01-17,0.4,-1.9,2.2,0.0,0.0,251.3,9.4,32.4,1015.5,186.0
16,2015-01-18,-0.8,-3.1,1.6,0.0,0.0,208.8,12.2,36.7,1015.4,102.0
17,2015-01-19,-3.2,-5.6,-1.6,0.2,0.0,210.4,6.1,18.0,1012.6,12.0
18,2015-01-20,-2.3,-4.0,-0.9,0.5,10.0,183.8,5.8,19.1,1012.9,42.0
19,2015-01-21,-2.4,-4.3,-1.3,0.0,10.0,111.3,11.2,30.6,1012.2,0.0
20,2015-01-22,-2.2,-2.7,-1.5,0.0,10.0,64.2,11.5,23.8,1016.6,0.0
21,2015-01-23,-2.1,-3.0,-1.4,0.0,10.0,207.1,9.0,20.9,1025.1,0.0
22,2015-01-24,-1.4,-3.1,0.8,6.9,0.0,262.1,16.9,45.0,1022.9,0.0
23,2015-01-25,0.2,-1.1,1.8,5.7,100.0,271.3,9.7,23.4,1029.8,0.0
24,2015-01-26,0.6,-0.2,2.3,5.8,120.0,238.3,12.6,37.1,1022.9,0.0
25,2015-01-27,1.1,0.2,2.0,0.5,80.0,289.2,14.8,40.7,1023.3,0.0
26,2015-01-28,1.1,-0.4,2.9,3.5,60.0,229.6,20.9,76.7,1010.2,0.0
27,2015-01-29,-0.1,-1.6,1.3,5.8,20.0,232.9,17.6,42.8,988.5,36.0
28,2015-01-30,-1.4,-2.5,-0.1,1.3,140.0,250.4,10.8,30.2,977.8,48.0
29,2015-01-31,-1.1,-2.4,1.1,0.0,130.0,223.8,11.2,28.4,983.5,144.0
30,2015-02-01,-1.4,-3.9,1.2,3.2,110.0,245.0,10.4,34.9,991.4,24.0
31,2015-02-02,-1.3,-2.2,-0.5,0.5,160.0,272.1,13.0,31.0,1001.6,30.0
32,2015-02-03,-2.1,-3.3,-0.2,0.2,160.0,242.9,6.5,28.8,1005.2,48.0
33,2015-02-04,-3.3,-5.8,-1.3,0.0,160.0,62.5,11.2,32.8,1014.4,192.0
34,2015-02-05,-4.6,-5.9,-3.7,0.0,130.0,40.8,15.8,45.0,1021.4,24.0
35,2015-02-06,-3.5,-5.3,-0.3,0.0,130.0,50.8,21.2,46.8,1025.4,324.0
36,2015-02-07,-3.2,-8.8,1.0,0.5,120.0,156.7,13.0,44.6,1030.7,510.0
37,2015-02-08,0.3,-0.8,1.3,0.1,90.0,347.1,26.3,70.2,1029.7,12.0
38,2015-02-09,1.1,0.0,1.9,2.5,60.0,298.8,13.3,39.2,1030.7,0.0
39,2015-02-10,1.6,0.6,2.3,0.2,30.0,195.0,11.2,26.3,1031.3,0.0
40,2015-02-11,0.7,-1.4,4.6,0.0,0.0,128.8,10.4,25.6,1026.3,306.0
41,2015-02-12,0.0,-3.4,4.5,0.0,0.0,175.0,9.4,22.3,1022.8,300.0
42,2015-02-13,1.4,-3.8,5.1,0.0,0.0,181.7,13.3,45.0,1016.6,516.0
43,2015-02-14,3.5,1.8,6.7,0.0,0.0,135.8,16.6,38.2,1009.3,192.0
44,2015-02-15,2.2,-1.5,6.2,0.0,0.0,105.4,8.6,26.3,1013.2,528.0
45,2015-02-16,-0.9,-2.0,1.2,0.0,0.0,193.3,8.3,22.0,1020.2,18.0
46,2015-02-17,0.0,-2.1,2.2,0.9,0.0,262.9,7.6,25.2,1032.8,0.0
47,2015-02-18,1.3,-1.8,2.9,0.0,0.0,112.5,6.8,19.4,1039.7,0.0
48,2015-02-19,-1.7,-2.6,0.1,0.0,0.0,209.6,13.0,33.8,1030.4,0.0
49,2015-02-20,3.3,-0.2,6.6,1.4,0.0,211.7,19.4,51.1,1012.2,6.0
50,2015-02-21,1.9,-0.4,4.2,1.1,0.0,232.9,13.3,44.6,1000.2,66.0
51,2015-02-22,0.6,-1.5,4.5,1.0,10.0,246.7,9.4,49.3,1009.2,378.0
52,2015-02-23,1.0,-0.8,2.5,3.4,10.0,217.5,16.6,58.0,999.0,0.0
53,2015-02-24,1.5,0.4,3.4,0.1,0.0,233.8,18.4,47.5,1007.6,36.0
54,2015-02-25,1.3,-0.7,3.5,2.3,0.0,206.7,9.7,26.3,1018.7,150.0
55,2015-02-26,3.6,2.0,5.5,9.9,0.0,195.8,11.2,31.0,1017.1,30.0
56,2015-02-27,1.8,-1.3,3.8,0.3,0.0,295.8,15.8,48.6,1015.2,0.0
57,2015-02-28,0.8,-3.1,5.0,1.3,0.0,207.5,13.0,39.2,1019.0,528.0
58,2015-03-01,4.9,1.0,9.0,1.2,0.0,228.3,21.6,61.6,1005.1,126.0
59,2015-03-02,2.6,-0.9,6.7,5.7,0.0,258.3,24.5,84.6,1007.9,228.0
60,2015-03-03,2.1,-0.8,6.8,4.1,10.0,237.1,19.1,59.0,1019.1,366.0
61,2015-03-04,1.5,-0.6,4.9,0.0,10.0,266.3,17.3,46.4,1026.6,186.0
62,2015-03-05,2.4,0.1,5.1,0.0,0.0,309.6,13.7,34.9,1037.3,66.0
63,2015-03-06,3.1,-1.3,7.8,0.0,0.0,222.5,8.3,24.1,1036.8,402.0
64,2015-03-07,5.1,1.2,10.6,0.0,0.0,201.3,10.1,23.8,1031.8,216.0
65,2015-03-08,8.9,2.7,17.3,0.0,0.0,218.8,8.3,23.0,1025.4,558.0
66,2015-03-09,7.2,3.5,12.3,0.0,0.0,177.5,8.3,18.4,1026.5,222.0
67,2015-03-10,5.5,1.3,7.5,0.8,0.0,287.5,8.6,28.1,1028.0,42.0
68,2015-03-11,3.4,-1.1,8.6,0.0,0.0,93.8,8.3,27.0,1030.8,534.0
69,2015-03-12,3.2,-2.5,8.8,0.0,0.0,146.3,9.0,32.4,1030.1,642.0
70,2015-03-13,1.6,-1.7,4.7,0.0,0.0,88.8,14.4,32.8,1024.6,204.0
71,2015-03-14,1.5,-1.1,4.0,1.5,0.0,54.2,12.6,28.4,1025.9,36.0
72,2015-03-15,1.2,-0.1,2.8,0.9,0.0,62.9,10.1,25.9,1025.5,0.0
73,2015-03-16,4.0,-0.7,9.5,0.0,0.0,112.9,7.6,25.9,1023.4,456.0
74,2015-03-17,7.5,0.3,15.3,0.0,0.0,169.6,7.6,28.1,1024.2,600.0
75,2015-03-18,8.2,1.9,14.7,0.0,0.0,279.2,11.2,33.1,1025.8,612.0
76,2015-03-19,3.8,3.1,5.0,0.0,0.0,220.0,12.6,25.9,1027.8,0.0
77,2015-03-20,4.4,1.1,11.6,0.0,0.0,107.5,7.9,22.0,1024.3,336.0
78,2015-03-21,2.3,0.5,4.2,2.2,0.0,287.5,10.4,34.9,1018.8,0.0
79,2015-03-22,1.9,-1.4,5.4,0.0,0.0,63.3,14.8,36.0,1023.0,96.0
80,2015-03-23,3.4,-3.1,9.4,0.0,0.0,176.7,7.6,20.2,1016.6,540.0
81,2015-03-24,6.3,1.9,10.9,0.0,0.0,190.8,7.6,29.2,1008.1,162.0
82,2015-03-25,4.9,2.8,7.7,0.1,0.0,235.8,10.8,29.9,1006.2,0.0
83,2015-03-26,3.5,1.7,8.2,0.5,0.0,263.3,14.4,45.7,1009.2,186.0
84,2015-03-27,4.0,1.6,7.0,0.0,0.0,264.6,17.3,42.8,1018.5,54.0
85,2015-03-28,5.8,1.9,9.2,1.6,0.0,218.3,15.1,47.2,1018.5,96.0
86,2015-03-29,7.9,4.8,9.6,15.1,0.0,,29.5,81.0,1002.8,0.0
87,2015-03-30,4.6,2.4,6.7,2.2,0.0,273.8,25.9,68.8,1006.2,306.0
88,2015-03-31,6.3,1.6,10.0,7.5,0.0,262.1,37.1,96.5,1003.8,162.0
89,2015-04-01,3.0,-0.1,6.0,3.4,10.0,274.6,29.5,79.6,1018.3,246.0
90,2015-04-02,2.3,-0.3,5.5,1.6,0.0,284.6,19.8,56.2,1017.5,174.0
91,2015-04-03,3.4,-2.7,8.5,0.1,0.0,233.8,7.6,28.1,1020.3,426.0
92,2015-04-04,2.3,-0.1,5.1,3.1,0.0,103.8,12.2,47.2,1017.6,174.0
93,2015-04-05,2.4,-1.9,6.9,0.0,0.0,103.8,10.1,35.3,1024.9,474.0
94,2015-04-06,2.6,-0.3,5.9,0.0,0.0,203.3,9.7,31.0,1030.5,66.0
95,2015-04-07,4.4,-3.6,11.8,0.0,0.0,199.6,6.5,22.0,1036.2,576.0
96,2015-04-08,6.6,0.4,12.6,0.0,0.0,190.8,7.9,22.3,1033.1,636.0
97,2015-04-09,10.8,1.9,18.5,0.0,0.0,183.3,7.2,22.0,1026.8,720.0
98,2015-04-10,13.1,3.7,20.9,0.0,0.0,205.4,9.0,31.0,1020.3,690.0
99,2015-04-11,10.0,4.1,13.0,2.9,0.0,231.7,16.9,49.3,1021.4,84.0
100,2015-04-12,9.0,2.2,15.4,0.0,0.0,215.0,11.9,33.8,1028.6,708.0
101,2015-04-13,8.5,4.9,12.5,0.0,0.0,275.0,12.6,31.3,1030.3,210.0
102,2015-04-14,12.5,3.3,20.6,0.0,0.0,241.3,14.0,45.7,1026.9,678.0
103,2015-04-15,15.8,6.9,23.1,0.0,0.0,230.0,9.7,32.8,1017.8,768.0
104,2015-04-16,12.9,7.3,19.9,0.1,0.0,129.2,9.0,32.4,1014.0,462.0
105,2015-04-17,7.0,2.8,12.1,0.0,0.0,105.8,14.8,42.1,1017.1,318.0
106,2015-04-18,6.2,0.5,11.6,0.0,0.0,51.7,11.9,45.0,1025.0,780.0
107,2015-04-19,7.8,-0.4,13.7,0.0,0.0,122.9,9.0,33.8,1021.8,780.0
108,2015-04-20,10.6,2.6,16.4,0.0,0.0,114.6,10.1,38.5,1026.4,762.0
109,2015-04-21,12.1,4.0,19.0,0.0,0.0,251.3,9.7,32.4,1029.6,792.0
110,2015-04-22,7.0,2.8,11.3,0.0,0.0,202.5,12.6,34.9,1027.2,654.0
111,2015-04-23,9.2,0.7,17.2,0.0,0.0,162.5,6.1,21.6,1018.8,798.0
112,2015-04-24,13.4,3.7,20.4,0.0,0.0,225.8,10.1,33.1,1012.9,774.0
113,2015-04-25,11.7,9.5,14.4,1.7,0.0,214.2,11.9,41.8,1009.1,72.0
114,2015-04-26,12.4,9.6,17.0,18.7,0.0,197.5,12.6,34.2,1006.3,222.0
115,2015-04-27,6.3,3.8,9.6,1.2,0.0,147.1,16.2,40.0,1006.2,0.0
116,2015-04-28,5.9,0.0,10.7,0.0,0.0,245.8,14.0,48.6,1016.6,582.0
117,2015-04-29,6.7,-1.6,12.4,0.0,0.0,200.0,9.7,31.3,1018.4,420.0
118,2015-04-30,6.2,3.1,8.9,7.2,0.0,229.2,14.0,41.0,1013.8,30.0
119,2015-05-01,5.2,0.0,8.9,0.0,0.0,149.2,7.2,20.9,1009.2,30.0
120,2015-05-02,8.2,0.2,13.4,0.0,0.0,215.0,6.8,20.9,1011.0,174.0
121,2015-05-03,12.0,8.9,14.5,2.5,0.0,182.1,13.0,37.4,1004.8,0.0
122,2015-05-04,14.7,11.3,19.3,0.3,0.0,207.5,14.0,44.6,1007.0,300.0
123,2015-05-05,15.5,10.3,19.8,0.8,0.0,203.3,21.6,75.2,1003.3,408.0
124,2015-05-06,10.2,7.4,14.9,1.2,0.0,222.5,18.4,61.2,1013.3,552.0
125,2015-05-07,10.1,6.4,15.8,0.0,0.0,232.9,13.7,38.9,1018.5,426.0
126,2015-05-08,12.1,5.8,19.4,0.0,0.0,242.9,6.5,27.0,1015.6,204.0
127,2015-05-09,13.0,8.7,18.1,3.5,0.0,237.1,18.4,60.8,1018.6,312.0
128,2015-05-10,13.1,7.8,18.5,0.0,0.0,240.4,9.4,22.7,1025.8,684.0
129,2015-05-11,17.3,8.8,23.9,0.0,0.0,185.4,9.4,31.0,1021.8,510.0
130,2015-05-12,17.2,8.3,25.2,0.0,0.0,230.0,15.5,50.4,1017.6,480.0
131,2015-05-13,12.4,5.1,18.9,0.0,0.0,262.1,8.3,31.0,1018.0,618.0
132,2015-05-14,10.8,4.9,17.6,1.3,0.0,210.4,8.3,21.6,1012.4,510.0
133,2015-05-15,10.5,6.6,15.5,0.0,0.0,254.2,12.2,35.6,1016.2,438.0
