,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,8.2,,,,,,
1,2015-01-03,,,,27.7,,,,,,
2,2015-01-04,,,,21.3,,,,,,
3,2015-01-05,,,,4.5,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.0,,,,,,
6,2015-01-08,,,,0.5,,,,,,
7,2015-01-09,,,,6.2,,,,,,
8,2015-01-10,,,,4.8,,,,,,
9,2015-01-11,,,,26.9,,,,,,
10,2015-01-12,,,,3.3,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,7.6,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,0.0,,,,,,
15,2015-01-17,,,,17.9,,,,,,
16,2015-01-18,,,,1.5,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,0.0,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.9,,,,,,
22,2015-01-24,,,,2.8,,,,,,
23,2015-01-25,,,,18.4,,,,,,
24,2015-01-26,,,,3.9,,,,,,
25,2015-01-27,,,,29.4,,,,,,
26,2015-01-28,,,,3.2,,,,,,
27,2015-01-29,,,,17.1,,,,,,
28,2015-01-30,,,,2.1,,,,,,
29,2015-01-31,,,,5.3,,,,,,
30,2015-02-01,,,,9.5,,,,,,
31,2015-02-02,,,,17.5,,,,,,
32,2015-02-03,,,,0.9,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.4,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,12.0,,,,,,
38,2015-02-09,,,,2.0,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.0,,,,,,
51,2015-02-22,,,,4.6,,,,,,
52,2015-02-23,,,,0.4,,,,,,
53,2015-02-24,,,,11.0,,,,,,
54,2015-02-25,,,,2.3,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,6.8,,,,,,
57,2015-02-28,,,,6.8,,,,,,
58,2015-03-01,,,,2.6,,,,,,
59,2015-03-02,,,,37.2,,,,,,
60,2015-03-03,,,,0.4,,,,,,
61,2015-03-04,,,,8.8,,,,,,
62,2015-03-05,,,,10.8,,,,,,
63,2015-03-06,,,,0.3,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,0.0,,,,,,
68,2015-03-11,,,,13.7,,,,,,
69,2015-03-12,,,,0.3,,,,,,
