,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,7.3,3.6,9.4,0.6,0.0,262.9,57.6,113.8,1010.4,138.0
1,2015-01-03,6.0,4.3,7.3,3.6,0.0,285.4,43.6,85.7,1012.7,24.0
2,2015-01-04,5.5,4.5,6.6,0.0,0.0,312.5,33.5,65.5,1024.3,294.0
3,2015-01-05,6.0,5.0,6.7,0.0,0.0,253.3,21.2,50.8,1026.2,0.0
4,2015-01-06,4.1,3.3,5.5,0.5,0.0,177.1,30.6,52.6,1020.6,0.0
5,2015-01-07,6.0,4.4,7.3,1.5,0.0,243.3,30.6,75.2,1018.6,216.0
6,2015-01-08,6.4,4.8,7.6,0.7,0.0,239.2,37.8,79.9,1011.9,6.0
7,2015-01-09,7.2,4.5,8.7,1.3,0.0,264.2,51.1,101.9,1002.7,48.0
8,2015-01-10,7.5,3.6,9.8,0.1,0.0,255.8,56.2,123.5,994.3,54.0
9,2015-01-11,5.1,1.9,6.8,4.9,0.0,287.1,55.1,108.7,1001.6,24.0
10,2015-01-12,7.2,6.1,8.5,1.2,0.0,243.3,42.8,77.0,1001.5,0.0
11,2015-01-13,6.0,4.4,7.4,2.2,0.0,226.3,25.2,51.5,997.9,0.0
12,2015-01-14,4.3,1.7,5.7,2.1,0.0,240.4,29.5,68.4,1000.4,150.0
13,2015-01-15,5.6,3.5,7.6,3.7,0.0,192.9,49.7,89.3,992.0,0.0
14,2015-01-16,6.1,4.3,7.6,1.0,0.0,225.8,40.0,98.6,997.2,114.0
15,2015-01-17,4.3,2.1,5.5,3.3,0.0,240.8,32.4,71.3,1007.2,162.0
16,2015-01-18,2.7,0.7,3.9,4.8,0.0,211.3,23.0,52.2,1010.2,0.0
17,2015-01-19,2.1,1.1,2.9,0.0,0.0,140.4,10.1,23.0,1011.9,0.0
18,2015-01-20,-0.5,-1.5,1.3,0.3,0.0,127.9,7.6,24.8,1011.8,0.0
19,2015-01-21,0.7,-2.3,2.4,1.2,0.0,148.3,12.2,27.4,1015.4,0.0
20,2015-01-22,-1.3,-2.3,1.4,0.0,0.0,104.6,9.0,21.2,1022.2,216.0
21,2015-01-23,0.3,-2.8,3.6,0.8,0.0,195.0,19.8,65.2,1023.9,294.0
22,2015-01-24,2.5,-0.3,5.6,2.8,20.0,254.2,32.4,68.4,1015.3,186.0
23,2015-01-25,4.6,2.8,6.4,0.6,0.0,276.3,18.4,45.0,1022.7,108.0
24,2015-01-26,4.7,3.6,6.1,2.9,0.0,242.1,32.0,62.3,1013.0,0.0
25,2015-01-27,5.0,4.2,6.1,0.0,0.0,306.7,30.2,63.0,1014.8,300.0
26,2015-01-28,4.5,1.3,5.3,8.1,0.0,221.7,42.8,86.4,995.0,0.0
27,2015-01-29,1.9,0.2,4.2,3.1,0.0,234.6,32.4,79.9,976.0,48.0
28,2015-01-30,1.3,-0.2,3.1,0.4,0.0,167.1,14.8,30.6,973.8,192.0
29,2015-01-31,-0.3,-2.5,3.1,0.0,0.0,177.5,10.8,27.4,979.4,114.0
30,2015-02-01,1.6,-1.5,4.4,1.1,0.0,266.3,22.0,61.9,986.1,192.0
31,2015-02-02,2.2,-0.2,4.0,0.0,0.0,302.5,18.7,51.8,992.9,276.0
32,2015-02-03,-0.1,-2.5,1.4,0.0,0.0,150.0,21.6,47.2,1002.5,96.0
33,2015-02-04,-1.0,-3.7,1.5,0.0,0.0,57.9,20.2,40.7,1014.3,306.0
34,2015-02-05,-0.6,-2.3,2.1,0.0,0.0,38.8,17.6,37.8,1026.8,222.0
35,2015-02-06,0.8,-3.2,3.9,0.0,0.0,177.5,14.4,34.6,1032.1,366.0
36,2015-02-07,4.6,3.5,5.9,0.4,0.0,301.7,39.2,99.7,1025.0,12.0
