,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2017-07-01,13.0,10.0,15.6,1.8,,,,,,
1,2017-07-02,13.1,7.2,16.3,0.1,,,,,,
2,2017-07-03,14.0,5.8,20.2,0.0,,,,,,
3,2017-07-04,15.2,8.1,20.4,0.0,,,,,,
4,2017-07-05,15.7,9.2,21.0,0.0,,,,,,
5,2017-07-06,18.4,10.0,25.3,0.0,,,,,,
6,2017-07-07,20.8,15.8,26.7,0.0,,,,,,
7,2017-07-08,19.1,15.0,24.2,0.7,,,,,,
8,2017-07-09,17.3,13.5,22.5,3.0,,,,,,
9,2017-07-10,16.9,13.7,21.0,8.2,,,,,,
10,2017-07-11,17.3,12.2,21.7,0.0,,,,,,
11,2017-07-12,13.4,8.6,15.9,15.4,,,,,,
12,2017-07-13,11.6,6.8,16.4,0.0,,,,,,
13,2017-07-14,13.1,6.8,19.0,3.2,,,,,,
14,2017-07-15,13.1,9.0,17.4,0.0,,,,,,
15,2017-07-16,14.9,7.1,18.8,0.2,,,,,,
16,2017-07-17,15.5,7.3,20.7,2.4,,,,,,
17,2017-07-18,15.8,5.6,23.5,0.0,,,,,,
18,2017-07-19,19.7,9.5,28.7,27.7,,,,,,
19,2017-07-20,18.4,13.4,21.8,0.2,,,,,,
20,2017-07-21,18.2,12.1,23.7,0.2,,,,,,
21,2017-07-22,18.2,12.8,23.3,14.3,,,,,,
22,2017-07-23,15.9,9.8,20.1,0.0,,,,,,
23,2017-07-24,12.5,6.9,16.8,37.9,,,,,,
24,2017-07-25,12.3,11.3,13.2,35.2,,,,,,
25,2017-07-26,13.5,11.2,17.3,7.4,,,,,,
26,2017-07-27,15.0,9.7,19.8,0.3,,,,,,
27,2017-07-28,14.6,9.5,19.1,0.0,,,,,,
28,2017-07-29,17.9,13.0,22.8,0.2,,,,,,
29,2017-07-30,21.2,16.3,27.4,0.1,,,,,,
30,2017-07-31,19.5,14.3,25.4,19.3,,,,,,
31,2017-08-01,18.9,15.6,24.7,0.1,,,,,,
32,2017-08-02,18.6,13.4,24.5,0.8,,,,,,
33,2017-08-03,19.3,15.2,25.4,0.0,,,,,,
34,2017-08-04,17.7,13.2,21.4,0.0,,,,,,
35,2017-08-05,15.7,10.2,21.3,0.4,,,,,,
36,2017-08-06,13.4,5.7,19.3,0.0,,,,,,
37,2017-08-07,14.4,4.6,22.1,0.0,,,,,,
38,2017-08-08,17.2,7.3,23.8,0.1,,,,,,
39,2017-08-09,16.4,11.6,21.2,1.0,,,,,,
40,2017-08-10,14.3,12.8,17.1,15.9,,,,,,
41,2017-08-11,12.6,10.5,13.6,7.7,,,,,,
42,2017-08-12,11.7,9.1,14.3,0.3,,,,,,
43,2017-08-13,14.4,7.6,18.9,0.0,,,,,,
44,2017-08-14,15.1,6.1,21.6,0.0,,,,,,
45,2017-08-15,19.1,12.1,25.0,5.5,,,,,,
46,2017-08-16,16.7,10.5,20.7,0.0,,,,,,
47,2017-08-17,17.4,10.7,23.0,0.4,,,,,,
48,2017-08-18,16.9,12.5,21.4,13.1,,,,,,
49,2017-08-19,13.2,9.1,16.5,0.7,,,,,,
50,2017-08-20,11.7,7.8,16.2,1.4,,,,,,
51,2017-08-21,11.8,5.5,16.3,0.0,,,,,,
52,2017-08-22,10.9,4.3,17.1,0.0,,,,,,
53,2017-08-23,12.2,2.4,20.2,0.0,,,,,,
54,2017-08-24,14.9,9.5,20.4,0.0,,,,,,
55,2017-08-25,15.0,9.5,21.0,0.0,,,,,,
56,2017-08-26,17.0,9.5,22.1,0.0,,,,,,
57,2017-08-27,15.4,6.9,20.4,0.0,,,,,,
58,2017-08-28,13.5,5.4,21.0,0.0,,,,,,
59,2017-08-29,16.6,6.9,24.4,0.0,,,,,,
60,2017-08-30,20.5,11.9,27.4,0.0,,,,,,
