,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2017-10-27,11.5,10.0,14.0,,,285.4,22.3,,1019.7,
1,2017-10-28,10.7,9.0,12.0,,,257.5,29.4,,1010.6,
2,2017-10-29,10.4,8.0,13.0,,,305.6,41.1,,1002.3,
3,2017-10-30,7.7,5.0,10.0,,,300.0,18.8,,1020.3,
4,2017-10-31,7.8,6.0,10.0,,,244.2,14.5,,1021.7,
5,2017-11-01,11.1,9.0,13.0,,,240.8,21.0,,1015.8,
6,2017-11-02,9.8,7.0,13.0,,,257.5,15.1,,1010.1,
7,2017-11-03,7.7,5.0,10.0,,,,10.0,,1014.8,
8,2017-11-04,8.6,5.0,12.0,,,,8.6,,1007.4,
9,2017-11-05,9.6,5.0,13.0,,,,,,1005.9,
10,2017-11-06,5.0,2.0,10.0,,,,8.1,,1020.7,
11,2017-11-07,2.8,0.0,5.0,,,,8.1,,,
12,2017-11-08,7.5,5.0,10.0,,,,10.0,,1020.6,
13,2017-11-09,7.5,6.0,9.0,,,,12.2,,1019.1,
14,2017-11-10,7.8,5.0,10.0,,,244.2,23.1,,1008.5,
15,2017-11-11,4.9,3.0,7.0,,,,,,1004.0,
16,2017-11-12,3.9,2.0,6.0,,,,10.4,,1001.0,
17,2017-11-13,4.2,0.0,9.0,,,,9.6,,,
18,2017-11-14,4.2,0.0,8.0,,,242.9,14.4,,,
19,2017-11-15,8.8,8.0,10.0,,,,10.3,,1023.1,
20,2017-11-16,8.4,8.0,9.0,,,,11.9,,1021.6,
21,2017-11-17,6.0,3.0,9.0,,,252.1,11.4,,1023.0,
22,2017-11-18,5.2,4.0,7.0,,,242.5,23.2,,1012.0,
23,2017-11-19,5.6,3.0,9.0,,,,,,1007.6,
24,2017-11-20,4.5,3.0,6.0,,,,,,1012.6,
25,2017-11-21,5.0,4.0,6.0,,,,7.1,,1007.7,
26,2017-11-22,9.6,7.0,11.0,,,209.6,20.5,,1003.2,
