,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.2,,,1.5,,,,,1012.9,
1,2015-01-03,4.6,,,3.2,,,,,1013.9,
2,2015-01-04,3.4,,,0.0,,,,,1024.2,
3,2015-01-05,5.0,,,0.0,0.0,,,,1026.9,
4,2015-01-06,3.1,,,0.4,0.0,,,,1022.4,
5,2015-01-07,4.3,,,1.7,0.0,,,,1020.5,
6,2015-01-08,5.2,,,3.5,0.0,,,,1013.8,
7,2015-01-09,6.4,,,10.1,0.0,,,,,
8,2015-01-10,7.3,,,2.1,,,,,996.7,
9,2015-01-11,4.3,,,5.0,,,,,1003.1,
10,2015-01-12,7.0,,,13.0,0.0,,,,1004.0,
11,2015-01-13,6.4,,,10.5,0.0,,,,999.6,
12,2015-01-14,2.6,,,7.4,0.0,,,,1002.6,
13,2015-01-15,5.1,,,10.6,0.0,,,,995.9,
14,2015-01-16,5.3,,,0.1,0.0,,,,1000.3,
15,2015-01-17,2.3,,,1.2,,,,,1009.2,
16,2015-01-18,1.4,,,2.2,,,,,1012.0,
17,2015-01-19,0.2,,,2.7,10.0,,,,,
18,2015-01-20,-1.8,,,0.0,40.0,,,,,
19,2015-01-21,-2.1,,,0.0,40.0,,,,1016.2,
20,2015-01-22,-4.0,,,0.0,40.0,,,,1021.7,
21,2015-01-23,-4.1,,,0.0,20.0,,,,1025.2,
22,2015-01-24,-1.7,,,2.1,,,,,1016.9,
23,2015-01-25,1.0,,,0.4,,,,,1023.3,
24,2015-01-26,2.5,,,7.6,0.0,,,,1014.6,
25,2015-01-27,3.1,,,0.0,0.0,,,,1014.9,
26,2015-01-28,3.7,,,14.3,0.0,,,,998.1,
27,2015-01-29,0.6,,,18.2,20.0,,,,978.9,
28,2015-01-30,-3.0,,,0.0,80.0,,,,974.4,
29,2015-01-31,-3.9,,,0.0,,,,,979.7,
30,2015-02-01,-3.3,,,2.9,,,,,986.6,
31,2015-02-02,-1.6,,,0.0,100.0,,,,993.0,
32,2015-02-03,-2.4,,,0.1,100.0,,,,1001.8,
33,2015-02-04,-4.6,,,0.1,100.0,,,,1013.6,
34,2015-02-05,-2.1,,,0.0,100.0,,,,1026.0,
35,2015-02-06,-4.7,,,0.2,100.0,,,,1032.4,
36,2015-02-07,2.8,,,0.0,,,,,1024.9,
37,2015-02-08,1.9,,,0.3,,,,,1024.5,
38,2015-02-09,5.6,,,0.0,0.0,,,,1020.5,
39,2015-02-10,5.1,,,0.0,0.0,,,,1026.9,
40,2015-02-11,3.3,,,0.0,0.0,,,,1027.2,
41,2015-02-12,1.7,,,0.0,0.0,,,,1022.4,
42,2015-02-13,0.6,,,0.0,0.0,,,,1016.7,
43,2015-02-14,0.9,,,0.0,,,,,1014.1,
44,2015-02-15,2.7,,,0.0,,,,,1020.7,
45,2015-02-16,1.2,,,0.0,0.0,,,,1022.1,
46,2015-02-17,-0.4,,,0.0,0.0,,,,1029.9,
47,2015-02-18,3.1,,,0.0,0.0,,,,1034.6,
48,2015-02-19,2.8,,,0.1,0.0,,,,1022.8,
49,2015-02-20,3.0,,,8.1,0.0,,,,1006.8,
50,2015-02-21,2.7,,,5.5,,,,,994.1,
51,2015-02-22,2.8,,,1.2,,,,,1003.7,
52,2015-02-23,3.4,,,0.6,0.0,,,,992.1,
53,2015-02-24,4.1,,,0.2,0.0,,,,999.1,
54,2015-02-25,3.7,,,0.3,0.0,,,,1014.0,
55,2015-02-26,5.2,,,4.7,0.0,,,,1015.5,
