,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,6.0,,,,,,
1,2015-01-03,,,,4.4,,,,,,
2,2015-01-04,,,,0.1,,,,,,
3,2015-01-05,,,,0.1,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.1,,,,,,
6,2015-01-08,,,,9.1,,,,,,
7,2015-01-09,,,,5.2,,,,,,
8,2015-01-10,,,,11.0,,,,,,
9,2015-01-11,,,,9.4,,,,,,
10,2015-01-12,,,,6.0,,,,,,
11,2015-01-13,,,,13.9,,,,,,
12,2015-01-14,,,,9.2,,,,,,
13,2015-01-15,,,,4.0,,,,,,
14,2015-01-16,,,,0.1,,,,,,
15,2015-01-17,,,,0.0,,,,,,
16,2015-01-18,,,,0.4,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,0.0,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,1.0,,,,,,
23,2015-01-25,,,,0.1,,,,,,
24,2015-01-26,,,,5.3,,,,,,
25,2015-01-27,,,,0.2,,,,,,
26,2015-01-28,,,,7.1,,,,,,
27,2015-01-29,,,,0.2,,,,,,
28,2015-01-30,,,,0.0,,,,,,
29,2015-01-31,,,,0.0,,,,,,
30,2015-02-01,,,,0.6,,,,,,
31,2015-02-02,,,,2.4,,,,,,
32,2015-02-03,,,,0.0,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.8,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.5,,,,,,
37,2015-02-08,,,,0.1,,,,,,
38,2015-02-09,,,,0.3,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,3.6,,,,,,
50,2015-02-21,,,,4.5,,,,,,
51,2015-02-22,,,,0.1,,,,,,
52,2015-02-23,,,,1.1,,,,,,
53,2015-02-24,,,,2.1,,,,,,
54,2015-02-25,,,,0.3,,,,,,
55,2015-02-26,,,,0.2,,,,,,
56,2015-02-27,,,,5.5,,,,,,
57,2015-02-28,,,,0.0,,,,,,
58,2015-03-01,,,,5.1,,,,,,
59,2015-03-02,,,,9.4,,,,,,
60,2015-03-03,,,,10.2,,,,,,
61,2015-03-04,,,,6.4,,,,,,
62,2015-03-05,,,,0.0,,,,,,
63,2015-03-06,,,,0.2,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,1.1,,,,,,
68,2015-03-11,,,,0.0,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.2,,,,,,
72,2015-03-15,,,,0.0,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,4.5,,,,,,
79,2015-03-22,,,,0.0,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.0,,,,,,
83,2015-03-26,,,,0.0,,,,,,
84,2015-03-27,,,,3.0,,,,,,
85,2015-03-28,,,,0.4,,,,,,
86,2015-03-30,,,,10.9,,,,,,
87,2015-03-31,,,,15.9,,,,,,
88,2015-04-01,,,,6.3,,,,,,
89,2015-04-02,,,,2.1,,,,,,
90,2015-04-03,,,,0.0,,,,,,
91,2015-04-04,,,,0.0,,,,,,
92,2015-04-05,,,,0.0,,,,,,
93,2015-04-06,,,,0.0,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,4.6,,,,,,
99,2015-04-12,,,,0.0,,,,,,
100,2015-04-13,,,,0.7,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.0,,,,,,
104,2015-04-17,,,,0.1,,,,,,
105,2015-04-18,,,,0.0,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.0,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,1.6,,,,,,
113,2015-04-26,,,,5.8,,,,,,
114,2015-04-27,,,,5.3,,,,,,
115,2015-04-28,,,,0.0,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,7.4,,,,,,
118,2015-05-01,,,,0.4,,,,,,
119,2015-05-02,,,,0.0,,,,,,
120,2015-05-03,,,,5.2,,,,,,
121,2015-05-04,,,,2.7,,,,,,
122,2015-05-05,,,,12.6,,,,,,
123,2015-05-06,,,,2.9,,,,,,
124,2015-05-07,,,,2.8,,,,,,
125,2015-05-08,,,,0.0,,,,,,
126,2015-05-09,,,,3.1,,,,,,
127,2015-05-10,,,,0.7,,,,,,
128,2015-05-11,,,,0.0,,,,,,
129,2015-05-12,,,,0.0,,,,,,
130,2015-05-13,,,,0.0,,,,,,
131,2015-05-14,,,,0.0,,,,,,
132,2015-05-15,,,,0.0,,,,,,
133,2015-05-16,,,,0.3,,,,,,
134,2015-05-17,,,,0.0,,,,,,
135,2015-05-18,,,,1.2,,,,,,
136,2015-05-19,,,,2.7,,,,,,
137,2015-05-20,,,,0.5,,,,,,
138,2015-05-21,,,,0.0,,,,,,
139,2015-05-22,,,,0.0,,,,,,
140,2015-05-23,,,,0.9,,,,,,
141,2015-05-24,,,,0.0,,,,,,
142,2015-05-25,,,,0.2,,,,,,
143,2015-05-26,,,,0.5,,,,,,
144,2015-05-27,,,,0.1,,,,,,
145,2015-05-28,,,,5.3,,,,,,
146,2015-05-29,,,,0.1,,,,,,
147,2015-05-30,,,,2.1,,,,,,
148,2015-05-31,,,,0.3,,,,,,
149,2015-06-01,,,,2.9,,,,,,
150,2015-06-02,,,,0.0,,,,,,
151,2015-06-03,,,,0.0,,,,,,
152,2015-06-04,,,,0.0,,,,,,
153,2015-06-05,,,,0.0,,,,,,
154,2015-06-06,,,,0.0,,,,,,
155,2015-06-07,,,,0.0,,,,,,
156,2015-06-08,,,,0.0,,,,,,
157,2015-06-09,,,,0.0,,,,,,
158,2015-06-10,,,,0.0,,,,,,
159,2015-06-11,,,,0.0,,,,,,
160,2015-06-12,,,,0.0,,,,,,
161,2015-06-13,,,,2.6,,,,,,
162,2015-06-14,,,,1.1,,,,,,
163,2015-06-15,,,,0.0,,,,,,
164,2015-06-16,,,,0.0,,,,,,
165,2015-06-17,,,,1.2,,,,,,
166,2015-06-18,,,,0.6,,,,,,
167,2015-06-19,,,,0.3,,,,,,
168,2015-06-20,,,,0.6,,,,,,
169,2015-06-21,,,,0.0,,,,,,
170,2015-06-22,,,,13.3,,,,,,
171,2015-06-23,,,,4.7,,,,,,
172,2015-06-24,,,,0.6,,,,,,
173,2015-06-25,,,,0.0,,,,,,
174,2015-06-26,,,,0.0,,,,,,
175,2015-06-27,,,,0.1,,,,,,
176,2015-06-28,,,,0.1,,,,,,
177,2015-06-29,,,,0.1,,,,,,
178,2015-06-30,,,,0.0,,,,,,
179,2015-07-01,,,,0.0,,,,,,
180,2015-07-02,,,,0.0,,,,,,
181,2015-07-03,,,,0.0,,,,,,
182,2015-07-04,,,,0.3,,,,,,
183,2015-07-05,,,,2.4,,,,,,
184,2015-07-06,,,,0.0,,,,,,
185,2015-07-07,,,,4.9,,,,,,
186,2015-07-08,,,,0.3,,,,,,
187,2015-07-09,,,,1.1,,,,,,
188,2015-07-10,,,,0.0,,,,,,
189,2015-07-11,,,,0.0,,,,,,
190,2015-07-12,,,,2.1,,,,,,
191,2015-07-13,,,,5.0,,,,,,
192,2015-07-14,,,,4.5,,,,,,
193,2015-07-15,,,,0.0,,,,,,
194,2015-07-16,,,,0.2,,,,,,
195,2015-07-17,,,,0.0,,,,,,
196,2015-07-18,,,,7.5,,,,,,
197,2015-07-19,,,,4.1,,,,,,
198,2015-07-20,,,,0.8,,,,,,
199,2015-07-21,,,,1.1,,,,,,
200,2015-07-22,,,,0.0,,,,,,
201,2015-07-23,,,,0.3,,,,,,
202,2015-07-24,,,,0.0,,,,,,
203,2015-07-25,,,,7.7,,,,,,
204,2015-07-26,,,,5.7,,,,,,
205,2015-07-27,,,,10.8,,,,,,
206,2015-07-28,,,,13.1,,,,,,
207,2015-07-29,,,,5.4,,,,,,
208,2015-07-30,,,,14.3,,,,,,
209,2015-07-31,,,,0.0,,,,,,
210,2015-08-01,,,,0.0,,,,,,
211,2015-08-02,,,,0.0,,,,,,
212,2015-08-03,,,,0.0,,,,,,
213,2015-08-04,,,,13.5,,,,,,
214,2015-08-05,,,,0.2,,,,,,
215,2015-08-06,,,,0.0,,,,,,
216,2015-08-07,,,,1.8,,,,,,
217,2015-08-08,,,,2.8,,,,,,
218,2015-08-09,,,,0.0,,,,,,
219,2015-08-10,,,,0.0,,,,,,
220,2015-08-11,,,,33.4,,,,,,
221,2015-08-12,,,,0.1,,,,,,
222,2015-08-13,,,,0.0,,,,,,
223,2015-08-14,,,,0.1,,,,,,
224,2015-08-15,,,,2.6,,,,,,
225,2015-08-16,,,,0.0,,,,,,
226,2015-08-17,,,,13.2,,,,,,
227,2015-08-18,,,,6.0,,,,,,
228,2015-08-19,,,,0.3,,,,,,
229,2015-08-20,,,,0.0,,,,,,
230,2015-08-21,,,,0.0,,,,,,
231,2015-08-22,,,,0.0,,,,,,
232,2015-08-23,,,,0.0,,,,,,
233,2015-08-24,,,,0.0,,,,,,
234,2015-08-25,,,,0.0,,,,,,
235,2015-08-26,,,,1.2,,,,,,
236,2015-08-27,,,,7.6,,,,,,
237,2015-08-28,,,,1.6,,,,,,
238,2015-08-29,,,,0.0,,,,,,
239,2015-08-30,,,,5.2,,,,,,
240,2015-08-31,,,,0.0,,,,,,
241,2015-09-01,,,,0.6,,,,,,
242,2015-09-02,,,,1.1,,,,,,
243,2015-09-03,,,,0.5,,,,,,
244,2015-09-04,,,,0.0,,,,,,
245,2015-09-05,,,,7.3,,,,,,
246,2015-09-06,,,,0.9,,,,,,
247,2015-09-07,,,,0.0,,,,,,
248,2015-09-08,,,,0.0,,,,,,
249,2015-09-09,,,,0.0,,,,,,
250,2015-09-10,,,,0.0,,,,,,
251,2015-09-11,,,,0.2,,,,,,
252,2015-09-12,,,,0.0,,,,,,
253,2015-09-13,,,,11.0,,,,,,
254,2015-09-14,,,,18.5,,,,,,
255,2015-09-15,,,,1.0,,,,,,
256,2015-09-16,,,,3.1,,,,,,
257,2015-09-17,,,,1.4,,,,,,
258,2015-09-18,,,,0.1,,,,,,
259,2015-09-19,,,,5.5,,,,,,
260,2015-09-20,,,,7.4,,,,,,
261,2015-09-21,,,,1.9,,,,,,
262,2015-09-22,,,,0.6,,,,,,
263,2015-09-23,,,,0.0,,,,,,
264,2015-09-24,,,,0.3,,,,,,
265,2015-09-25,,,,0.3,,,,,,
266,2015-09-26,,,,0.0,,,,,,
267,2015-09-27,,,,0.0,,,,,,
268,2015-09-28,,,,0.0,,,,,,
269,2015-09-29,,,,0.0,,,,,,
270,2015-09-30,,,,0.0,,,,,,
271,2015-10-01,,,,0.0,,,,,,
272,2015-10-02,,,,0.0,,,,,,
273,2015-10-03,,,,0.0,,,,,,
274,2015-10-04,,,,0.0,,,,,,
275,2015-10-05,,,,0.0,,,,,,
276,2015-10-06,,,,0.4,,,,,,
277,2015-10-07,,,,12.2,,,,,,
278,2015-10-08,,,,2.5,,,,,,
279,2015-10-09,,,,0.2,,,,,,
280,2015-10-10,,,,0.0,,,,,,
281,2015-10-11,,,,0.0,,,,,,
282,2015-10-12,,,,0.0,,,,,,
283,2015-10-13,,,,0.1,,,,,,
284,2015-10-14,,,,2.0,,,,,,
285,2015-10-15,,,,1.6,,,,,,
286,2015-10-16,,,,10.0,,,,,,
287,2015-10-17,,,,2.6,,,,,,
288,2015-10-18,,,,3.4,,,,,,
289,2015-10-19,,,,0.4,,,,,,
290,2015-10-20,,,,0.1,,,,,,
291,2015-10-21,,,,0.0,,,,,,
292,2015-10-22,,,,0.4,,,,,,
293,2015-10-23,,,,0.0,,,,,,
294,2015-10-24,,,,0.0,,,,,,
295,2015-10-25,,,,0.0,,,,,,
296,2015-10-26,,,,0.0,,,,,,
297,2015-10-27,,,,0.0,,,,,,
298,2015-10-28,,,,0.0,,,,,,
299,2015-10-29,,,,0.0,,,,,,
300,2015-10-30,,,,0.0,,,,,,
301,2015-10-31,,,,0.0,,,,,,
302,2015-11-01,,,,0.0,,,,,,
303,2015-11-02,,,,0.1,,,,,,
304,2015-11-03,,,,0.0,,,,,,
305,2015-11-04,,,,0.0,,,,,,
306,2015-11-05,,,,2.4,,,,,,
307,2015-11-06,,,,7.7,,,,,,
308,2015-11-07,,,,7.5,,,,,,
309,2015-11-08,,,,4.4,,,,,,
310,2015-11-09,,,,5.1,,,,,,
311,2015-11-10,,,,4.7,,,,,,
312,2015-11-11,,,,1.3,,,,,,
313,2015-11-12,,,,0.1,,,,,,
314,2015-11-13,,,,0.8,,,,,,
315,2015-11-14,,,,6.3,,,,,,
316,2015-11-15,,,,27.9,,,,,,
317,2015-11-16,,,,7.2,,,,,,
318,2015-11-17,,,,7.6,,,,,,
319,2015-11-18,,,,8.5,,,,,,
320,2015-11-19,,,,7.1,,,,,,
321,2015-11-20,,,,1.0,,,,,,
322,2015-11-21,,,,1.5,,,,,,
323,2015-11-22,,,,1.7,,,,,,
324,2015-11-23,,,,0.7,,,,,,
325,2015-11-24,,,,1.9,,,,,,
326,2015-11-25,,,,1.7,,,,,,
327,2015-11-26,,,,0.0,,,,,,
328,2015-11-27,,,,0.0,,,,,,
329,2015-11-28,,,,3.3,,,,,,
330,2015-11-29,,,,9.6,,,,,,
331,2015-11-30,,,,8.6,,,,,,
332,2015-12-01,,,,0.4,,,,,,
333,2015-12-02,,,,0.9,,,,,,
334,2015-12-03,,,,0.0,,,,,,
335,2015-12-04,,,,1.2,,,,,,
336,2015-12-05,,,,0.0,,,,,,
337,2015-12-06,,,,1.7,,,,,,
338,2015-12-07,,,,1.6,,,,,,
339,2015-12-08,,,,0.0,,,,,,
340,2015-12-09,,,,1.7,,,,,,
341,2015-12-10,,,,0.0,,,,,,
342,2015-12-11,,,,3.2,,,,,,
343,2015-12-12,,,,6.9,,,,,,
344,2015-12-13,,,,12.8,,,,,,
345,2015-12-14,,,,0.0,,,,,,
346,2015-12-15,,,,0.0,,,,,,
347,2015-12-16,,,,0.5,,,,,,
348,2015-12-17,,,,2.6,,,,,,
349,2015-12-18,,,,1.3,,,,,,
350,2015-12-19,,,,0.0,,,,,,
351,2015-12-20,,,,0.0,,,,,,
352,2015-12-21,,,,5.4,,,,,,
353,2015-12-22,,,,2.3,,,,,,
354,2015-12-23,,,,0.8,,,,,,
355,2015-12-24,,,,0.2,,,,,,
356,2015-12-25,,,,0.4,,,,,,
357,2015-12-26,,,,2.4,,,,,,
358,2015-12-27,,,,0.7,,,,,,
359,2015-12-28,,,,0.0,,,,,,
360,2015-12-29,,,,0.0,,,,,,
361,2015-12-30,,,,0.0,,,,,,
362,2015-12-31,,,,4.0,,,,,,
363,2016-01-01,,,,0.0,,,,,,
364,2016-01-02,,,,0.0,,,,,,
365,2016-01-03,,,,0.0,,,,,,
366,2016-01-04,,,,0.0,,,,,,
367,2016-01-05,,,,0.1,,,,,,
368,2016-01-06,,,,0.0,,,,,,
369,2016-01-07,,,,0.1,,,,,,
370,2016-01-08,,,,6.2,,,,,,
371,2016-01-09,,,,0.0,,,,,,
372,2016-01-10,,,,6.3,,,,,,
373,2016-01-11,,,,1.1,,,,,,
374,2016-01-12,,,,1.7,,,,,,
375,2016-01-13,,,,0.6,,,,,,
376,2016-01-14,,,,1.3,,,,,,
377,2016-01-15,,,,0.7,,,,,,
378,2016-01-16,,,,1.1,,,,,,
379,2016-01-17,,,,0.2,,,,,,
380,2016-01-18,,,,0.0,,,,,,
381,2016-01-19,,,,0.1,,,,,,
382,2016-01-20,,,,0.0,,,,,,
383,2016-01-21,,,,0.0,,,,,,
384,2016-01-22,,,,0.0,,,,,,
385,2016-01-23,,,,2.4,,,,,,
386,2016-01-24,,,,2.6,,,,,,
387,2016-01-25,,,,0.3,,,,,,
388,2016-01-26,,,,0.4,,,,,,
389,2016-01-27,,,,2.4,,,,,,
390,2016-01-28,,,,2.9,,,,,,
391,2016-01-29,,,,0.8,,,,,,
392,2016-01-30,,,,13.0,,,,,,
393,2016-01-31,,,,4.1,,,,,,
394,2016-02-01,,,,5.8,,,,,,
395,2016-02-02,,,,6.1,,,,,,
396,2016-02-03,,,,1.1,,,,,,
397,2016-02-04,,,,2.5,,,,,,
398,2016-02-05,,,,1.3,,,,,,
399,2016-02-06,,,,0.3,,,,,,
400,2016-02-07,,,,0.0,,,,,,
401,2016-02-08,,,,0.1,,,,,,
402,2016-02-09,,,,11.9,,,,,,
403,2016-02-10,,,,6.6,,,,,,
404,2016-02-11,,,,4.7,,,,,,
405,2016-02-12,,,,0.5,,,,,,
406,2016-02-13,,,,0.0,,,,,,
407,2016-02-14,,,,10.2,,,,,,
408,2016-02-15,,,,7.0,,,,,,
409,2016-02-16,,,,0.0,,,,,,
410,2016-02-17,,,,0.2,,,,,,
411,2016-02-18,,,,2.2,,,,,,
412,2016-02-19,,,,0.0,,,,,,
413,2016-02-20,,,,7.5,,,,,,
414,2016-02-21,,,,12.5,,,,,,
415,2016-02-22,,,,13.5,,,,,,
416,2016-02-23,,,,0.5,,,,,,
417,2016-02-24,,,,1.4,,,,,,
418,2016-02-25,,,,0.2,,,,,,
419,2016-02-26,,,,0.8,,,,,,
420,2016-02-27,,,,0.0,,,,,,
421,2016-02-28,,,,0.0,,,,,,
422,2016-02-29,,,,0.0,,,,,,
423,2016-03-01,,,,0.7,,,,,,
424,2016-03-02,,,,3.0,,,,,,
425,2016-03-03,,,,0.6,,,,,,
426,2016-03-04,,,,0.0,,,,,,
427,2016-03-05,,,,3.5,,,,,,
428,2016-03-06,,,,0.0,,,,,,
429,2016-03-07,,,,0.0,,,,,,
430,2016-03-08,,,,0.2,,,,,,
431,2016-03-09,,,,0.0,,,,,,
432,2016-03-10,,,,0.0,,,,,,
433,2016-03-11,,,,0.0,,,,,,
434,2016-03-12,,,,0.0,,,,,,
435,2016-03-13,,,,0.0,,,,,,
436,2016-03-14,,,,0.0,,,,,,
437,2016-03-15,,,,0.0,,,,,,
438,2016-03-16,,,,0.0,,,,,,
439,2016-03-17,,,,0.0,,,,,,
440,2016-03-18,,,,0.0,,,,,,
441,2016-03-19,,,,0.0,,,,,,
442,2016-03-20,,,,0.0,,,,,,
443,2016-03-21,,,,0.8,,,,,,
444,2016-03-22,,,,0.2,,,,,,
445,2016-03-23,,,,0.1,,,,,,
446,2016-03-24,,,,0.0,,,,,,
447,2016-03-25,,,,3.2,,,,,,
448,2016-03-26,,,,0.0,,,,,,
449,2016-03-28,,,,0.7,,,,,,
450,2016-03-29,,,,1.4,,,,,,
451,2016-03-30,,,,9.7,,,,,,
452,2016-03-31,,,,0.0,,,,,,
453,2016-04-01,,,,0.0,,,,,,
454,2016-04-02,,,,0.0,,,,,,
455,2016-04-03,,,,0.0,,,,,,
456,2016-04-04,,,,0.4,,,,,,
457,2016-04-05,,,,3.4,,,,,,
458,2016-04-06,,,,1.0,,,,,,
459,2016-04-07,,,,2.4,,,,,,
460,2016-04-08,,,,0.3,,,,,,
461,2016-04-09,,,,0.0,,,,,,
462,2016-04-10,,,,0.0,,,,,,
463,2016-04-11,,,,0.0,,,,,,
464,2016-04-12,,,,1.6,,,,,,
465,2016-04-13,,,,0.7,,,,,,
466,2016-04-14,,,,2.5,,,,,,
467,2016-04-15,,,,7.1,,,,,,
468,2016-04-16,,,,0.0,,,,,,
469,2016-04-17,,,,0.0,,,,,,
470,2016-04-18,,,,0.0,,,,,,
471,2016-04-19,,,,0.4,,,,,,
472,2016-04-20,,,,0.0,,,,,,
473,2016-04-21,,,,0.0,,,,,,
474,2016-04-22,,,,0.0,,,,,,
475,2016-04-23,,,,1.7,,,,,,
476,2016-04-24,,,,0.0,,,,,,
477,2016-04-25,,,,5.0,,,,,,
478,2016-04-26,,,,9.3,,,,,,
479,2016-04-27,,,,8.8,,,,,,
480,2016-04-28,,,,0.6,,,,,,
481,2016-04-29,,,,0.0,,,,,,
482,2016-04-30,,,,0.3,,,,,,
483,2016-05-01,,,,0.0,,,,,,
484,2016-05-02,,,,0.0,,,,,,
485,2016-05-03,,,,0.7,,,,,,
486,2016-05-04,,,,0.0,,,,,,
487,2016-05-05,,,,0.0,,,,,,
488,2016-05-06,,,,0.0,,,,,,
489,2016-05-07,,,,0.0,,,,,,
490,2016-05-08,,,,0.0,,,,,,
491,2016-05-09,,,,0.0,,,,,,
492,2016-05-10,,,,0.0,,,,,,
493,2016-05-11,,,,0.0,,,,,,
494,2016-05-12,,,,0.0,,,,,,
495,2016-05-13,,,,1.3,,,,,,
496,2016-05-14,,,,2.1,,,,,,
497,2016-05-15,,,,10.9,,,,,,
498,2016-05-16,,,,0.0,,,,,,
499,2016-05-17,,,,1.8,,,,,,
500,2016-05-18,,,,0.0,,,,,,
501,2016-05-19,,,,0.0,,,,,,
502,2016-05-20,,,,0.5,,,,,,
503,2016-05-21,,,,0.0,,,,,,
504,2016-05-22,,,,3.5,,,,,,
505,2016-05-23,,,,34.2,,,,,,
506,2016-05-24,,,,2.0,,,,,,
507,2016-05-25,,,,0.0,,,,,,
508,2016-05-26,,,,3.1,,,,,,
509,2016-05-27,,,,0.9,,,,,,
510,2016-05-28,,,,0.0,,,,,,
511,2016-05-29,,,,0.0,,,,,,
512,2016-05-30,,,,9.0,,,,,,
513,2016-05-31,,,,0.1,,,,,,
514,2016-06-01,,,,0.5,,,,,,
515,2016-06-02,,,,19.1,,,,,,
516,2016-06-03,,,,0.0,,,,,,
517,2016-06-04,,,,0.0,,,,,,
518,2016-06-05,,,,0.0,,,,,,
519,2016-06-06,,,,0.0,,,,,,
520,2016-06-07,,,,1.3,,,,,,
521,2016-06-08,,,,0.0,,,,,,
522,2016-06-09,,,,0.0,,,,,,
523,2016-06-10,,,,0.0,,,,,,
524,2016-06-11,,,,0.0,,,,,,
525,2016-06-12,,,,2.6,,,,,,
526,2016-06-13,,,,1.1,,,,,,
527,2016-06-14,,,,2.9,,,,,,
528,2016-06-15,,,,0.2,,,,,,
529,2016-06-16,,,,0.3,,,,,,
530,2016-06-17,,,,5.3,,,,,,
531,2016-06-18,,,,3.0,,,,,,
532,2016-06-19,,,,0.0,,,,,,
533,2016-06-20,,,,2.8,,,,,,
534,2016-06-21,,,,5.5,,,,,,
535,2016-06-22,,,,0.7,,,,,,
536,2016-06-23,,,,0.0,,,,,,
537,2016-06-24,,,,23.8,,,,,,
538,2016-06-25,,,,29.6,,,,,,
539,2016-06-26,,,,2.1,,,,,,
540,2016-06-27,,,,2.4,,,,,,
541,2016-06-28,,,,0.0,,,,,,
542,2016-06-29,,,,2.7,,,,,,
543,2016-06-30,,,,0.2,,,,,,
544,2016-07-01,,,,3.5,,,,,,
545,2016-07-02,,,,10.2,,,,,,
546,2016-07-03,,,,0.0,,,,,,
547,2016-07-04,,,,0.0,,,,,,
548,2016-07-05,,,,7.0,,,,,,
549,2016-07-06,,,,4.1,,,,,,
550,2016-07-07,,,,0.1,,,,,,
551,2016-07-08,,,,11.0,,,,,,
552,2016-07-09,,,,0.1,,,,,,
553,2016-07-10,,,,0.3,,,,,,
554,2016-07-11,,,,0.0,,,,,,
555,2016-07-12,,,,3.6,,,,,,
556,2016-07-13,,,,9.6,,,,,,
557,2016-07-14,,,,3.0,,,,,,
558,2016-07-15,,,,0.8,,,,,,
559,2016-07-16,,,,1.0,,,,,,
560,2016-07-17,,,,0.2,,,,,,
561,2016-07-18,,,,0.9,,,,,,
562,2016-07-19,,,,0.0,,,,,,
563,2016-07-20,,,,0.0,,,,,,
564,2016-07-21,,,,0.0,,,,,,
565,2016-07-22,,,,0.0,,,,,,
566,2016-07-23,,,,0.0,,,,,,
