,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,3.4,,,,,,
1,2015-01-03,,,,20.3,,,,,,
2,2015-01-04,,,,7.1,,,,,,
3,2015-01-05,,,,0.1,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.0,,,,,,
6,2015-01-08,,,,0.1,,,,,,
7,2015-01-09,,,,3.1,,,,,,
8,2015-01-10,,,,1.2,,,,,,
9,2015-01-11,,,,13.8,,,,,,
10,2015-01-12,,,,0.1,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,2.7,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,0.0,,,,,,
15,2015-01-17,,,,10.5,,,,,,
16,2015-01-18,,,,1.6,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,0.0,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,0.7,,,,,,
23,2015-01-25,,,,6.9,,,,,,
24,2015-01-26,,,,2.0,,,,,,
25,2015-01-27,,,,17.9,,,,,,
26,2015-01-28,,,,3.1,,,,,,
27,2015-01-29,,,,11.4,,,,,,
28,2015-01-30,,,,1.7,,,,,,
29,2015-01-31,,,,3.9,,,,,,
30,2015-02-01,,,,2.5,,,,,,
31,2015-02-02,,,,19.2,,,,,,
32,2015-02-03,,,,0.0,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,3.6,,,,,,
38,2015-02-09,,,,0.3,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.0,,,,,,
51,2015-02-22,,,,4.6,,,,,,
52,2015-02-23,,,,1.5,,,,,,
53,2015-02-24,,,,4.0,,,,,,
54,2015-02-25,,,,0.7,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,4.9,,,,,,
57,2015-02-28,,,,2.6,,,,,,
58,2015-03-01,,,,2.2,,,,,,
59,2015-03-02,,,,27.7,,,,,,
60,2015-03-03,,,,0.0,,,,,,
61,2015-03-04,,,,4.8,,,,,,
62,2015-03-05,,,,2.9,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,0.0,,,,,,
68,2015-03-11,,,,7.4,,,,,,
69,2015-03-12,,,,0.2,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.0,,,,,,
72,2015-03-15,,,,0.0,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,7.6,,,,,,
79,2015-03-22,,,,7.1,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.0,,,,,,
83,2015-03-26,,,,0.7,,,,,,
84,2015-03-27,,,,9.4,,,,,,
85,2015-03-28,,,,0.0,,,,,,
86,2015-03-30,,,,16.3,,,,,,
87,2015-03-31,,,,9.4,,,,,,
88,2015-04-01,,,,9.0,,,,,,
89,2015-04-02,,,,6.1,,,,,,
90,2015-04-03,,,,0.0,,,,,,
91,2015-04-04,,,,9.9,,,,,,
92,2015-04-05,,,,5.2,,,,,,
93,2015-04-06,,,,2.6,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,0.0,,,,,,
99,2015-04-12,,,,0.0,,,,,,
100,2015-04-13,,,,0.0,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.0,,,,,,
104,2015-04-17,,,,22.6,,,,,,
105,2015-04-18,,,,2.6,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.5,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,0.3,,,,,,
113,2015-04-26,,,,1.4,,,,,,
114,2015-04-27,,,,0.0,,,,,,
115,2015-04-28,,,,30.1,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,6.0,,,,,,
118,2015-05-01,,,,18.4,,,,,,
119,2015-05-02,,,,17.5,,,,,,
120,2015-05-03,,,,18.3,,,,,,
121,2015-05-04,,,,3.9,,,,,,
122,2015-05-05,,,,0.0,,,,,,
123,2015-05-06,,,,25.0,,,,,,
124,2015-05-07,,,,1.6,,,,,,
125,2015-05-08,,,,0.0,,,,,,
126,2015-05-09,,,,0.9,,,,,,
127,2015-05-10,,,,5.0,,,,,,
128,2015-05-11,,,,0.0,,,,,,
129,2015-05-12,,,,0.0,,,,,,
130,2015-05-13,,,,0.2,,,,,,
131,2015-05-14,,,,17.6,,,,,,
132,2015-05-15,,,,20.6,,,,,,
133,2015-05-16,,,,0.0,,,,,,
134,2015-05-17,,,,1.5,,,,,,
135,2015-05-18,,,,0.1,,,,,,
136,2015-05-19,,,,22.0,,,,,,
137,2015-05-20,,,,42.2,,,,,,
138,2015-05-21,,,,21.4,,,,,,
139,2015-05-22,,,,3.1,,,,,,
140,2015-05-23,,,,9.5,,,,,,
141,2015-05-24,,,,5.3,,,,,,
142,2015-05-25,,,,7.4,,,,,,
143,2015-05-26,,,,26.2,,,,,,
144,2015-05-27,,,,0.3,,,,,,
145,2015-05-28,,,,0.0,,,,,,
146,2015-05-29,,,,0.2,,,,,,
147,2015-05-30,,,,4.1,,,,,,
148,2015-05-31,,,,0.0,,,,,,
149,2015-06-01,,,,3.3,,,,,,
150,2015-06-02,,,,10.0,,,,,,
151,2015-06-03,,,,0.0,,,,,,
152,2015-06-04,,,,0.0,,,,,,
153,2015-06-05,,,,0.0,,,,,,
154,2015-06-06,,,,23.5,,,,,,
155,2015-06-07,,,,15.0,,,,,,
