,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.7,-3.3,5.5,7.1,,235.8,49.0,98.6,1032.9,12.0
1,2015-01-03,-0.4,-4.5,3.5,38.8,,230.4,59.0,119.9,1026.3,0.0
2,2015-01-04,-4.9,-7.8,2.7,0.0,400.0,310.4,24.1,65.2,1033.6,66.0
3,2015-01-05,-0.6,-7.2,5.2,0.0,390.0,254.2,8.6,22.0,1032.1,462.0
4,2015-01-06,3.5,-2.3,5.3,0.1,380.0,227.5,18.0,43.6,1023.2,450.0
5,2015-01-07,-1.8,-3.0,-0.6,1.4,380.0,239.6,36.0,70.2,1029.5,0.0
6,2015-01-08,-0.4,-1.5,0.8,8.2,,,64.4,,1029.8,0.0
7,2015-01-09,0.6,-2.1,4.8,14.8,,,,142.2,1029.1,0.0
8,2015-01-10,4.1,2.9,5.2,16.5,,232.9,80.6,127.8,1021.1,0.0
9,2015-01-11,-4.0,-6.2,3.0,4.2,,265.0,49.7,104.8,1024.9,6.0
10,2015-01-12,-1.9,-5.4,5.1,0.6,,223.3,72.4,114.8,1026.1,204.0
11,2015-01-13,3.7,1.8,5.3,11.2,,221.7,67.0,110.5,1015.4,468.0
12,2015-01-14,-1.6,-3.1,1.9,8.0,490.0,,,,1016.9,0.0
13,2015-01-15,0.9,-2.1,4.3,1.6,500.0,,,,1010.4,24.0
14,2015-01-16,0.6,-3.2,3.1,13.6,630.0,217.5,34.6,90.7,1007.0,0.0
15,2015-01-17,-3.9,-5.6,-2.8,9.3,640.0,266.3,17.6,50.4,1015.3,0.0
16,2015-01-18,-6.5,-7.7,-4.6,0.3,,194.2,27.7,46.1,1017.0,366.0
17,2015-01-19,-4.3,-4.9,-2.8,9.5,,203.3,30.2,51.8,1011.1,0.0
18,2015-01-20,-4.9,-5.5,-3.8,1.9,,207.9,10.8,33.5,1010.5,0.0
19,2015-01-21,-2.4,-5.3,1.7,0.0,,134.2,25.6,51.8,1007.4,492.0
