,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.2,-3.4,2.0,8.6,50.0,231.7,6.5,36.7,1033.7,6.0
1,2015-01-03,0.6,-0.9,2.1,12.0,10.0,212.9,11.5,43.9,1026.9,18.0
2,2015-01-04,0.3,-0.3,0.8,0.3,110.0,278.3,23.0,59.8,1028.1,0.0
3,2015-01-05,0.2,-1.3,1.0,0.0,70.0,276.7,19.8,44.6,1032.4,0.0
4,2015-01-06,-1.0,-3.1,2.1,0.0,50.0,152.1,7.6,19.1,1028.6,186.0
5,2015-01-07,-2.1,-3.9,-0.3,1.3,40.0,179.6,5.4,15.5,1031.6,0.0
6,2015-01-08,0.9,-2.3,6.0,1.8,40.0,165.8,7.2,69.1,1030.6,6.0
7,2015-01-09,5.8,2.5,8.2,14.9,0.0,254.6,28.8,79.2,1025.0,0.0
8,2015-01-10,12.0,7.3,14.7,6.1,0.0,261.7,40.3,80.3,1013.7,66.0
9,2015-01-11,2.7,0.2,7.9,2.2,0.0,277.1,30.2,81.7,1018.8,18.0
10,2015-01-12,3.0,0.8,4.5,0.0,0.0,251.7,22.7,63.4,1025.2,18.0
11,2015-01-13,2.2,-2.5,9.2,0.1,0.0,134.6,7.2,22.3,1020.1,474.0
12,2015-01-14,2.7,-0.1,5.7,1.9,10.0,204.2,14.8,90.4,1017.9,6.0
13,2015-01-15,1.6,-1.4,4.5,0.0,0.0,161.3,8.3,27.4,1016.3,30.0
14,2015-01-16,1.6,-1.7,3.7,0.0,0.0,154.6,8.3,21.6,1010.3,192.0
15,2015-01-17,1.4,0.3,2.4,5.5,0.0,269.2,10.1,27.7,1014.4,0.0
16,2015-01-18,0.8,0.0,1.8,0.2,0.0,161.7,5.4,19.1,1018.7,0.0
17,2015-01-19,0.6,-2.2,2.9,0.0,0.0,107.1,8.3,19.8,1014.3,24.0
18,2015-01-20,-1.2,-3.0,-0.3,0.0,0.0,146.7,5.0,16.6,1012.7,0.0
19,2015-01-21,-0.5,-1.7,1.3,0.0,0.0,119.2,8.3,23.4,1013.6,42.0
20,2015-01-22,-0.1,-1.8,1.7,0.1,0.0,210.4,7.2,18.7,1013.2,84.0
21,2015-01-23,0.2,-0.4,0.8,2.2,0.0,257.5,9.4,23.4,1020.6,0.0
22,2015-01-24,-1.0,-1.5,-0.5,0.1,20.0,280.4,14.0,29.9,1021.9,0.0
23,2015-01-25,-0.5,-1.5,0.8,0.4,0.0,281.3,18.7,35.6,1026.7,0.0
24,2015-01-26,-1.0,-2.1,0.0,5.9,10.0,226.3,10.1,25.6,1025.8,0.0
25,2015-01-27,-0.3,-2.1,0.9,1.2,70.0,262.9,18.7,45.4,1019.6,6.0
26,2015-01-28,-0.1,-1.9,1.7,6.7,50.0,237.1,12.6,28.1,1016.5,60.0
27,2015-01-29,-0.2,-2.1,2.1,0.0,110.0,181.7,13.3,41.0,996.2,138.0
28,2015-01-30,-0.8,-3.1,1.5,1.1,80.0,210.0,15.8,61.9,979.8,0.0
29,2015-01-31,-1.0,-3.7,1.7,0.1,80.0,226.3,10.4,35.6,986.3,144.0
30,2015-02-01,-1.7,-3.3,1.3,1.6,70.0,210.0,9.7,31.3,993.9,144.0
31,2015-02-02,-1.3,-2.7,0.2,3.3,90.0,240.0,13.3,50.0,1000.8,102.0
32,2015-02-03,-3.0,-7.4,2.1,0.0,130.0,182.1,9.0,25.2,1005.5,390.0
33,2015-02-04,-6.6,-11.5,-3.1,0.0,110.0,157.5,6.5,13.3,1012.4,510.0
34,2015-02-05,-3.2,-6.8,-0.5,0.0,110.0,62.9,22.7,60.1,1016.6,282.0
35,2015-02-06,-3.7,-6.7,-1.5,0.0,70.0,79.6,20.2,59.8,1021.9,366.0
36,2015-02-07,-4.3,-6.3,-1.3,0.6,70.0,165.8,10.8,28.8,1027.5,510.0
37,2015-02-08,-3.1,-6.0,-0.5,0.3,70.0,282.9,20.9,58.3,1022.8,228.0
38,2015-02-09,-2.1,-4.6,0.4,3.0,70.0,265.4,25.2,49.3,1027.2,0.0
39,2015-02-10,0.8,-0.1,1.5,0.0,70.0,271.3,13.3,32.4,1030.2,0.0
40,2015-02-11,0.3,-0.9,1.7,0.0,50.0,180.8,5.0,19.4,1028.6,0.0
41,2015-02-12,-1.0,-1.6,-0.1,0.0,30.0,119.6,7.9,20.5,1026.3,0.0
42,2015-02-13,-1.7,-2.9,0.2,0.0,20.0,128.8,6.5,17.6,1022.5,6.0
43,2015-02-14,-2.5,-4.3,-0.3,0.0,20.0,112.5,7.2,18.4,1015.6,90.0
44,2015-02-15,-0.4,-6.9,5.0,0.0,20.0,106.3,7.9,24.5,1014.5,564.0
45,2015-02-16,1.9,-5.0,7.0,0.0,20.0,132.1,5.8,17.3,1020.4,582.0
46,2015-02-17,0.5,-2.8,5.6,0.1,20.0,170.8,7.6,25.6,1031.0,588.0
47,2015-02-18,-1.5,-2.1,-1.1,0.0,0.0,170.8,5.0,15.8,1041.0,0.0
48,2015-02-19,-2.3,-4.3,-1.3,0.0,0.0,187.5,5.0,11.2,1033.7,0.0
49,2015-02-20,-0.4,-7.1,7.7,0.0,0.0,130.0,6.1,20.5,1020.7,456.0
50,2015-02-21,2.3,-2.7,7.8,0.0,0.0,158.8,7.6,19.4,1003.2,396.0
51,2015-02-22,1.6,-0.5,4.2,0.4,0.0,244.6,7.6,20.9,1008.6,126.0
52,2015-02-23,2.7,0.6,6.5,2.6,0.0,164.2,9.0,41.8,1005.1,270.0
53,2015-02-24,3.1,1.5,4.2,0.6,0.0,259.2,9.7,29.2,1009.7,12.0
54,2015-02-25,2.2,-0.3,4.3,0.0,0.0,278.8,9.4,27.4,1020.0,78.0
55,2015-02-26,1.6,-1.8,6.9,0.0,0.0,135.8,5.4,17.6,1021.4,540.0
56,2015-02-27,2.3,-2.7,7.5,0.1,0.0,169.6,10.1,35.6,1013.8,582.0
57,2015-02-28,1.8,0.9,3.0,0.1,0.0,200.0,6.8,16.9,1020.7,0.0
58,2015-03-01,1.8,-1.7,5.4,5.0,0.0,173.8,7.2,20.5,1013.2,0.0
59,2015-03-02,4.5,0.0,7.7,3.7,0.0,237.5,20.9,69.5,1008.9,6.0
60,2015-03-03,3.0,-0.5,7.6,1.2,0.0,244.2,19.1,54.0,1022.6,534.0
61,2015-03-04,2.9,1.3,5.4,0.0,0.0,261.3,15.5,52.9,1025.4,186.0
62,2015-03-05,1.8,0.0,4.9,0.1,0.0,293.3,15.5,37.4,1032.7,132.0
