,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.1,4.1,8.5,1.0,0.0,238.8,26.6,58.3,1023.4,108.0
1,2015-01-03,3.5,1.9,4.7,0.3,0.0,237.5,17.3,48.6,1022.0,0.0
2,2015-01-04,3.0,-0.4,6.9,0.0,0.0,267.1,14.0,33.5,1029.9,252.0
3,2015-01-05,2.3,0.7,4.6,0.0,0.0,217.5,12.2,36.0,1031.1,168.0
4,2015-01-06,3.4,1.8,5.1,0.6,0.0,149.2,7.6,27.7,1022.6,0.0
5,2015-01-07,4.2,1.9,6.1,1.3,0.0,225.0,13.7,33.1,1025.2,156.0
6,2015-01-08,5.6,2.8,7.9,14.8,0.0,223.3,19.8,52.2,1019.8,0.0
7,2015-01-09,8.2,5.9,12.6,3.1,0.0,233.8,31.3,81.4,1014.9,0.0
8,2015-01-10,9.9,3.7,13.1,5.5,0.0,252.9,35.6,89.3,1007.7,0.0
9,2015-01-11,4.4,2.5,6.0,1.1,0.0,250.4,30.6,61.9,1013.9,54.0
10,2015-01-12,7.6,5.8,9.7,0.9,0.0,225.4,28.8,64.4,1012.6,0.0
11,2015-01-13,8.8,6.9,11.3,5.6,0.0,213.8,24.5,55.4,1004.6,0.0
12,2015-01-14,4.3,2.2,7.6,2.2,0.0,220.0,19.4,54.0,1007.3,30.0
13,2015-01-15,7.4,3.1,9.6,2.3,0.0,185.0,24.1,61.9,999.3,0.0
14,2015-01-16,5.9,2.0,8.1,0.0,0.0,202.9,14.4,52.6,1004.4,48.0
15,2015-01-17,2.2,-1.7,5.3,0.1,0.0,215.8,9.0,25.6,1013.0,366.0
16,2015-01-18,1.6,0.4,3.3,0.5,0.0,160.8,9.7,25.9,1013.1,0.0
17,2015-01-19,-0.4,-2.4,1.9,0.0,0.0,160.8,3.2,10.8,1012.0,48.0
18,2015-01-20,-0.4,-4.5,2.5,0.0,0.0,239.6,4.3,13.0,1012.2,24.0
19,2015-01-21,-1.2,-4.9,2.3,0.0,0.0,97.5,5.8,23.0,1013.7,294.0
20,2015-01-22,-0.6,-2.3,0.5,0.0,0.0,41.3,12.6,28.4,1018.5,0.0
21,2015-01-23,-0.3,-1.0,0.5,0.0,0.0,96.7,7.9,24.5,1025.1,0.0
22,2015-01-24,0.0,-2.0,2.7,4.4,0.0,224.6,10.4,33.8,1020.1,0.0
23,2015-01-25,1.1,-3.1,3.2,2.0,30.0,226.3,6.5,15.8,1027.0,0.0
24,2015-01-26,3.8,2.5,6.0,4.7,0.0,221.7,13.7,31.0,1019.0,0.0
25,2015-01-27,3.6,1.8,6.5,0.1,0.0,270.4,12.2,29.2,1019.9,18.0
26,2015-01-28,4.2,2.4,6.5,6.6,0.0,211.3,21.2,61.9,1004.5,6.0
27,2015-01-29,2.1,0.2,4.4,6.8,0.0,193.3,18.0,50.0,983.9,114.0
28,2015-01-30,0.8,0.0,1.7,4.2,20.0,220.4,12.2,32.8,974.4,6.0
29,2015-01-31,1.6,-0.1,3.4,0.0,60.0,227.5,11.2,27.4,980.4,12.0
30,2015-02-01,1.4,-0.1,2.4,0.8,10.0,225.8,8.6,23.4,989.5,0.0
31,2015-02-02,1.4,0.0,3.1,1.7,0.0,254.6,14.8,36.7,997.8,6.0
32,2015-02-03,1.2,-1.9,3.8,2.1,0.0,277.1,12.2,28.8,1003.4,156.0
33,2015-02-04,-1.6,-5.2,3.1,0.0,10.0,254.2,5.0,20.5,1014.1,300.0
34,2015-02-05,-1.1,-3.6,0.6,0.0,0.0,97.5,9.7,31.0,1023.5,96.0
35,2015-02-06,-1.5,-4.9,1.8,0.0,0.0,40.4,14.4,40.0,1030.0,480.0
36,2015-02-07,-0.5,-6.8,4.3,0.9,0.0,239.2,7.9,31.0,1030.2,78.0
37,2015-02-08,3.3,0.6,5.3,0.1,0.0,290.4,15.5,51.8,1028.3,276.0
38,2015-02-09,5.3,3.7,6.8,1.7,0.0,283.8,14.8,36.0,1027.1,0.0
39,2015-02-10,5.3,4.2,6.5,0.2,0.0,293.8,7.6,24.8,1030.2,0.0
40,2015-02-11,3.1,-3.2,4.9,0.0,0.0,92.9,5.4,20.9,1026.4,0.0
41,2015-02-12,-0.1,-4.1,2.3,0.0,0.0,131.7,4.0,14.4,1022.0,0.0
42,2015-02-13,2.4,-2.0,9.0,0.0,0.0,125.4,7.6,20.5,1015.2,492.0
43,2015-02-14,5.3,0.6,10.8,0.0,0.0,109.6,8.3,22.3,1010.0,414.0
44,2015-02-15,1.4,-0.4,3.4,0.0,0.0,52.1,10.4,33.1,1014.8,492.0
45,2015-02-16,2.1,-2.2,8.3,0.0,0.0,132.1,5.0,15.8,1019.0,516.0
46,2015-02-17,1.0,-3.8,3.9,0.0,0.0,200.4,4.3,15.5,1031.5,0.0
47,2015-02-18,1.1,-1.7,5.4,0.0,0.0,168.8,6.8,20.2,1038.7,240.0
48,2015-02-19,1.9,-1.1,4.2,0.0,0.0,189.2,13.3,36.4,1027.1,102.0
49,2015-02-20,4.9,1.4,7.1,8.6,0.0,182.1,16.2,39.6,1009.0,0.0
50,2015-02-21,3.8,-1.7,6.0,2.4,0.0,222.5,14.8,54.4,997.4,102.0
51,2015-02-22,2.0,-3.3,6.2,1.4,0.0,192.5,10.4,41.0,1006.9,306.0
52,2015-02-23,3.8,1.4,6.6,2.0,0.0,193.3,17.6,60.5,994.9,66.0
53,2015-02-24,4.6,2.4,7.1,1.5,0.0,209.2,16.9,43.6,1003.4,66.0
54,2015-02-25,4.6,0.6,8.8,0.8,0.0,197.5,11.2,33.1,1016.1,246.0
55,2015-02-26,6.4,2.9,9.5,9.6,0.0,167.5,12.2,35.6,1015.4,360.0
56,2015-02-27,4.9,-0.2,7.7,0.6,0.0,273.3,11.2,32.8,1013.7,78.0
57,2015-02-28,3.4,-2.6,8.4,0.3,0.0,176.3,12.6,37.4,1016.2,558.0
58,2015-03-01,7.4,4.5,10.7,1.8,0.0,206.3,21.2,58.7,1000.5,204.0
59,2015-03-02,5.1,1.4,9.2,1.9,0.0,242.1,27.4,71.6,1002.7,258.0
60,2015-03-03,3.7,1.2,5.9,7.5,0.0,229.2,17.3,53.6,1014.7,132.0
61,2015-03-04,3.8,1.0,6.6,1.2,0.0,242.9,20.2,52.2,1022.1,96.0
62,2015-03-05,4.7,0.6,9.1,0.0,0.0,265.0,10.4,29.9,1035.3,48.0
63,2015-03-06,5.6,1.3,8.1,0.0,0.0,212.5,8.6,25.2,1034.6,0.0
64,2015-03-07,8.1,2.2,15.0,0.0,0.0,181.7,12.2,32.0,1028.7,294.0
65,2015-03-08,9.2,1.0,18.6,0.0,0.0,192.1,9.0,29.5,1023.2,570.0
66,2015-03-09,7.8,3.2,12.2,0.8,0.0,202.5,5.0,18.0,1025.9,348.0
67,2015-03-10,7.9,0.3,13.2,0.0,0.0,272.1,9.0,27.7,1026.8,306.0
68,2015-03-11,3.1,-1.1,9.2,0.0,0.0,280.4,4.7,25.6,1031.1,354.0
69,2015-03-12,4.4,-3.4,12.1,0.0,0.0,120.0,6.1,23.4,1031.0,618.0
70,2015-03-13,3.6,-1.0,8.4,0.0,0.0,75.8,9.0,29.2,1026.8,312.0
71,2015-03-14,3.6,0.5,5.1,0.7,0.0,45.8,11.9,30.2,1028.2,0.0
72,2015-03-15,5.4,4.2,6.9,0.0,0.0,57.5,11.9,33.1,1027.7,0.0
73,2015-03-16,8.1,2.9,12.7,0.0,0.0,82.9,9.0,33.5,1024.5,450.0
74,2015-03-17,8.9,0.3,16.9,0.0,0.0,83.3,5.8,21.2,1024.7,588.0
75,2015-03-18,8.8,0.4,17.1,0.0,0.0,294.6,6.8,22.3,1025.2,564.0
76,2015-03-19,6.0,-0.9,10.4,0.0,0.0,267.5,6.5,19.1,1027.5,204.0
77,2015-03-20,1.3,-1.1,5.9,3.2,0.0,233.3,4.7,14.0,1024.6,126.0
78,2015-03-21,4.9,2.1,8.5,3.7,0.0,236.3,11.9,48.6,1017.2,78.0
79,2015-03-22,3.6,-0.7,7.8,0.0,0.0,78.8,10.4,42.8,1025.2,522.0
80,2015-03-23,4.4,-3.1,11.8,0.0,0.0,193.8,7.2,24.5,1015.9,600.0
81,2015-03-24,5.6,-0.5,11.0,0.8,0.0,187.5,4.3,19.4,1008.4,234.0
82,2015-03-25,7.7,5.0,12.5,0.1,0.0,166.3,10.1,25.6,1005.6,42.0
83,2015-03-26,5.7,4.0,8.6,0.9,0.0,234.2,12.2,36.7,1007.0,30.0
84,2015-03-27,6.7,4.3,9.3,0.6,0.0,252.5,20.9,52.9,1014.2,42.0
85,2015-03-28,6.7,-1.3,11.9,2.9,0.0,185.0,12.6,41.8,1015.5,294.0
86,2015-03-29,9.8,6.5,11.7,9.3,0.0,,27.7,84.2,996.5,0.0
87,2015-03-30,6.8,4.1,9.4,14.9,0.0,264.6,28.8,71.3,1001.0,300.0
88,2015-03-31,7.1,3.6,10.9,5.8,0.0,243.8,37.1,102.6,996.4,156.0
89,2015-04-01,4.7,1.9,8.3,15.1,0.0,270.0,27.0,80.3,1012.5,276.0
90,2015-04-02,4.7,0.4,8.0,1.2,0.0,286.3,20.5,68.0,1013.6,294.0
91,2015-04-03,5.9,2.5,10.3,0.0,0.0,238.8,9.7,31.0,1019.3,330.0
92,2015-04-04,4.9,1.8,9.3,0.0,0.0,139.2,11.5,36.4,1018.7,366.0
93,2015-04-05,5.3,-2.2,11.2,0.0,0.0,309.6,6.8,24.5,1024.7,564.0
94,2015-04-06,6.0,0.4,11.5,0.1,0.0,191.3,5.0,18.4,1029.7,204.0
95,2015-04-07,6.3,-1.9,12.2,0.0,0.0,219.6,9.0,32.4,1034.8,114.0
96,2015-04-08,9.3,5.9,12.1,0.0,0.0,286.7,6.5,16.9,1033.1,24.0
97,2015-04-09,10.8,2.3,18.5,0.0,0.0,134.2,4.0,19.4,1027.0,678.0
98,2015-04-10,12.5,3.8,21.3,0.0,0.0,145.0,4.0,25.9,1019.5,678.0
99,2015-04-11,11.7,5.0,17.0,2.5,0.0,209.6,17.6,56.9,1017.9,252.0
100,2015-04-12,9.9,0.8,15.6,0.4,0.0,196.7,15.1,54.7,1026.0,696.0
101,2015-04-13,8.7,2.8,13.1,0.0,0.0,279.2,14.0,55.8,1029.1,528.0
102,2015-04-14,11.7,1.5,21.2,0.0,0.0,214.2,14.4,53.3,1024.6,660.0
103,2015-04-15,14.8,4.7,23.1,0.0,0.0,232.1,14.4,49.3,1016.1,702.0
104,2015-04-16,9.7,7.0,13.3,0.0,0.0,318.3,10.1,28.4,1015.9,84.0
105,2015-04-17,8.0,3.6,13.0,0.0,0.0,241.7,12.2,36.4,1018.7,408.0
106,2015-04-18,8.0,-0.2,14.3,0.0,0.0,192.9,9.4,26.6,1025.9,744.0
107,2015-04-19,8.2,0.1,15.8,0.0,0.0,176.3,5.4,21.2,1023.0,690.0
108,2015-04-20,11.5,3.2,19.5,0.0,0.0,185.0,9.4,28.1,1027.4,786.0
109,2015-04-21,11.2,3.2,20.3,0.0,0.0,321.7,11.2,34.2,1030.0,786.0
110,2015-04-22,8.9,3.5,14.4,0.0,0.0,315.8,11.2,32.0,1026.9,204.0
111,2015-04-23,8.3,1.8,15.8,0.0,0.0,285.0,5.0,19.1,1019.3,348.0
112,2015-04-24,12.0,1.3,20.5,0.0,0.0,170.0,7.6,37.8,1011.8,678.0
113,2015-04-25,12.9,10.1,15.6,3.7,0.0,204.6,10.4,30.2,1007.3,6.0
114,2015-04-26,12.5,8.9,18.3,10.3,0.0,200.4,11.2,35.6,1005.7,114.0
115,2015-04-27,8.4,1.6,12.1,0.0,0.0,198.8,15.1,37.8,1007.1,12.0
116,2015-04-28,5.3,-1.1,11.8,1.4,0.0,267.5,9.0,59.0,1015.4,498.0
117,2015-04-29,8.4,-0.4,14.2,0.5,0.0,168.8,10.1,52.9,1016.9,498.0
118,2015-04-30,9.4,3.1,14.6,3.3,0.0,205.8,13.0,55.8,1011.2,330.0
119,2015-05-01,7.7,0.9,13.3,0.0,0.0,241.7,6.5,19.1,1008.7,420.0
120,2015-05-02,9.1,-0.1,15.2,0.0,0.0,217.9,4.3,22.0,1011.6,756.0
121,2015-05-03,13.6,7.9,19.0,7.7,0.0,120.8,11.5,34.6,1004.0,294.0
122,2015-05-04,16.0,12.6,19.7,5.6,0.0,192.1,11.5,29.9,1006.2,282.0
123,2015-05-05,16.4,10.1,24.3,0.5,0.0,170.8,19.1,85.3,1000.7,378.0
124,2015-05-06,12.9,9.5,17.8,0.6,0.0,192.5,19.1,86.0,1010.1,606.0
125,2015-05-07,11.6,7.4,15.8,0.0,0.0,220.8,18.0,47.2,1016.1,258.0
126,2015-05-08,13.4,7.2,20.1,0.1,0.0,131.3,4.3,24.5,1015.7,300.0
127,2015-05-09,14.6,10.5,18.9,1.4,0.0,203.3,19.8,57.2,1015.4,174.0
128,2015-05-10,12.6,7.1,17.7,0.0,0.0,219.6,10.4,34.2,1025.3,486.0
129,2015-05-11,17.9,9.9,25.5,0.0,0.0,152.9,10.4,36.7,1020.6,606.0
130,2015-05-12,15.9,9.5,22.7,0.0,0.0,208.3,13.7,50.8,1016.0,270.0
131,2015-05-13,12.9,5.9,18.6,0.0,0.0,223.8,13.0,38.9,1017.5,516.0
132,2015-05-14,10.3,5.7,15.1,0.0,0.0,190.8,6.5,23.0,1013.7,378.0
133,2015-05-15,10.6,5.1,16.7,0.0,0.0,174.6,11.2,29.9,1017.1,816.0
134,2015-05-16,8.7,3.3,13.3,1.7,0.0,226.3,11.2,38.2,1021.6,12.0
135,2015-05-17,10.5,2.0,16.9,0.0,0.0,236.3,12.6,39.2,1022.9,264.0
136,2015-05-18,12.8,4.3,19.5,1.4,0.0,177.5,14.8,56.5,1009.0,60.0
137,2015-05-19,11.2,7.6,15.5,2.9,0.0,215.0,18.7,57.2,1005.8,366.0
138,2015-05-20,9.9,6.0,14.8,1.6,0.0,216.7,11.5,45.4,1013.6,438.0
139,2015-05-21,11.4,4.3,17.7,0.0,0.0,251.7,9.0,31.7,1023.7,330.0
140,2015-05-22,14.5,5.9,20.8,0.0,0.0,221.7,7.9,25.6,1024.4,354.0
141,2015-05-23,13.4,6.4,17.1,0.0,0.0,272.1,9.0,27.4,1021.2,12.0
142,2015-05-24,12.9,5.0,19.7,0.1,0.0,184.6,5.4,21.6,1018.9,714.0
143,2015-05-25,12.7,10.0,17.9,0.3,0.0,291.3,10.1,33.8,1014.8,120.0
144,2015-05-26,11.1,7.6,14.5,0.3,0.0,304.2,12.6,35.6,1019.5,168.0
145,2015-05-27,12.9,8.2,17.0,0.0,0.0,241.3,9.7,25.9,1021.5,54.0
146,2015-05-28,13.3,5.5,17.1,3.0,0.0,231.7,15.5,46.4,1012.9,192.0
147,2015-05-29,11.7,4.6,17.4,2.6,0.0,178.3,15.1,54.0,1009.1,114.0
148,2015-05-30,10.4,4.8,15.0,3.4,0.0,235.8,15.5,63.4,1012.1,408.0
149,2015-05-31,13.4,5.0,19.5,3.7,0.0,172.1,15.5,56.5,1010.7,114.0
150,2015-06-01,12.8,8.3,17.1,0.0,0.0,220.8,10.1,37.8,1014.5,372.0
151,2015-06-02,16.3,12.0,20.0,0.7,0.0,197.5,24.1,62.3,1010.3,54.0
152,2015-06-03,15.4,8.4,18.7,0.0,0.0,257.5,20.2,53.6,1020.2,246.0
153,2015-06-04,16.1,7.1,22.2,0.0,0.0,132.9,5.8,28.4,1026.7,786.0
154,2015-06-05,23.3,14.2,32.7,2.5,0.0,133.8,9.0,50.4,1018.0,810.0
155,2015-06-06,18.3,9.1,22.5,0.0,0.0,255.4,12.6,37.8,1021.9,462.0
156,2015-06-07,15.0,6.0,22.0,0.0,0.0,256.7,9.4,38.5,1028.7,834.0
157,2015-06-08,12.4,5.7,18.4,0.0,0.0,155.0,14.4,36.0,1029.6,594.0
158,2015-06-09,12.0,6.7,17.1,0.0,0.0,134.6,12.2,28.8,1029.1,366.0
159,2015-06-10,16.1,7.8,22.2,0.0,0.0,39.6,11.2,33.5,1026.4,696.0
160,2015-06-11,18.3,10.0,24.8,0.0,0.0,65.8,9.4,29.9,1020.2,810.0
161,2015-06-12,20.4,10.0,28.2,0.0,0.0,103.3,5.8,19.8,1011.5,882.0
