,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.2,,,1.7,70.0,,10.4,37.1,1032.2,
1,2015-01-03,1.0,,,8.6,0.0,,7.9,31.3,1026.5,
2,2015-01-04,0.8,,,0.1,100.0,,18.4,42.5,1029.3,
3,2015-01-05,0.4,,,0.0,70.0,,11.2,35.3,1033.1,
4,2015-01-06,-1.4,,,0.0,50.0,,6.1,16.6,1028.5,
5,2015-01-07,-0.3,,,0.4,50.0,,5.8,25.9,1030.7,
6,2015-01-08,1.9,,,4.5,50.0,,9.7,70.2,1028.6,
7,2015-01-09,6.0,,,6.9,0.0,,24.8,66.6,1023.6,
8,2015-01-10,11.1,,,2.7,0.0,,32.4,79.6,1013.3,
9,2015-01-11,2.9,,,0.5,0.0,,23.4,61.2,1018.7,
10,2015-01-12,4.1,,,0.3,0.0,,22.7,57.2,1023.6,
11,2015-01-13,3.4,,,1.0,0.0,,9.0,22.3,1017.6,
12,2015-01-14,4.4,,,0.5,0.0,,13.3,68.4,1015.7,
13,2015-01-15,1.3,,,0.1,0.0,,10.1,29.5,1014.8,
14,2015-01-16,2.2,,,1.6,0.0,,5.4,22.3,1009.8,
15,2015-01-17,2.2,,,2.0,0.0,,5.0,22.3,1015.0,
16,2015-01-18,1.4,,,0.0,0.0,,3.6,16.6,1018.6,
17,2015-01-19,0.7,,,0.1,0.0,,6.8,24.1,1014.2,
18,2015-01-20,-0.5,,,2.7,0.0,,5.0,14.8,1012.8,
19,2015-01-21,-0.8,,,0.0,30.0,,4.3,14.8,1014.2,
20,2015-01-22,0.9,,,0.1,0.0,,3.6,13.0,1014.0,
21,2015-01-23,0.0,,,0.0,0.0,,5.8,16.6,1022.1,
22,2015-01-24,-0.7,,,0.2,0.0,,8.3,27.7,1022.7,
23,2015-01-25,0.3,,,1.7,0.0,,10.8,33.5,1027.5,
24,2015-01-26,0.2,,,3.6,40.0,,5.4,27.7,1024.7,
25,2015-01-27,0.7,,,0.2,60.0,,12.2,33.5,1020.0,
26,2015-01-28,1.0,,,1.6,10.0,,10.8,33.5,1014.7,
27,2015-01-29,0.9,,,7.6,10.0,,13.7,40.7,994.0,
28,2015-01-30,-1.0,,,0.3,130.0,,11.5,51.8,979.0,
29,2015-01-31,-1.9,,,0.0,120.0,,6.8,27.7,985.8,
30,2015-02-01,-1.9,,,1.0,110.0,,6.5,20.5,993.3,
31,2015-02-02,-0.9,,,0.5,130.0,,8.6,33.5,1000.5,
32,2015-02-03,-2.6,,,0.0,100.0,,5.0,16.6,1005.7,
33,2015-02-04,-5.0,,,0.0,90.0,,3.2,18.4,1013.4,
34,2015-02-05,-3.1,,,0.0,90.0,,10.1,37.1,,
35,2015-02-06,-3.1,,,0.0,80.0,,12.6,48.2,1024.3,
36,2015-02-07,-4.2,,,0.3,80.0,,6.5,24.1,1028.9,
37,2015-02-08,-1.2,,,0.5,80.0,,14.8,44.3,1024.5,
38,2015-02-09,-0.1,,,0.1,100.0,,15.8,53.6,1027.3,
39,2015-02-10,1.8,,,0.0,50.0,,8.3,24.1,1030.5,
40,2015-02-11,0.0,,,0.0,40.0,,5.4,16.6,1029.3,
41,2015-02-12,-1.6,,,0.0,0.0,,7.9,18.4,1026.9,
42,2015-02-13,-1.9,,,0.0,0.0,,7.9,18.4,1022.9,
43,2015-02-14,-2.6,,,0.0,0.0,,6.5,20.5,1016.3,
44,2015-02-15,-2.6,,,0.0,0.0,,4.3,24.1,1016.3,
45,2015-02-16,-0.7,,,0.0,0.0,,4.0,22.3,1021.9,
46,2015-02-17,-1.0,,,0.0,0.0,,5.0,24.1,1032.5,
47,2015-02-18,-0.8,,,0.0,0.0,,4.3,13.0,1041.5,
48,2015-02-19,-2.6,,,0.0,0.0,,6.5,18.4,1034.1,
49,2015-02-20,0.1,,,0.0,0.0,,9.4,22.3,1020.1,
50,2015-02-21,1.3,,,0.0,0.0,,8.3,24.1,1004.0,
51,2015-02-22,1.8,,,0.0,0.0,,4.7,20.5,1009.9,
52,2015-02-23,-0.6,,,1.3,0.0,,8.3,29.5,1005.3,
53,2015-02-24,2.3,,,0.0,0.0,,7.9,31.3,1010.3,
54,2015-02-25,0.6,,,0.1,0.0,,4.0,18.4,1020.9,
55,2015-02-26,-0.2,,,0.0,0.0,,3.2,20.5,1022.4,
56,2015-02-27,1.2,,,0.4,0.0,,5.4,16.6,1014.9,
57,2015-02-28,1.6,,,0.4,0.0,,5.0,18.4,1021.1,
58,2015-03-01,2.0,,,5.7,0.0,,6.8,24.1,1011.8,
59,2015-03-02,4.7,,,5.6,0.0,,16.9,76.0,1008.0,
60,2015-03-03,3.3,,,0.5,0.0,,15.5,44.3,1021.6,
61,2015-03-04,2.9,,,0.6,0.0,,13.0,44.3,1025.7,
62,2015-03-05,2.5,,,0.0,10.0,,9.4,33.5,1034.2,
63,2015-03-06,2.0,,,0.0,0.0,,5.0,22.3,1038.0,
64,2015-03-07,3.1,,,0.0,0.0,,5.0,18.4,1035.3,
65,2015-03-08,4.3,,,0.0,0.0,,4.0,16.6,1029.1,
66,2015-03-09,5.5,,,0.0,0.0,,4.7,18.4,1026.9,
67,2015-03-10,5.9,,,2.1,0.0,,5.8,27.7,1026.8,
68,2015-03-11,4.3,,,0.0,0.0,,7.6,31.3,1028.5,
