,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.6,-8.4,3.2,5.4,100.0,238.8,15.8,52.6,1034.1,120.0
1,2015-01-03,1.0,-0.4,4.6,27.1,0.0,220.4,9.7,45.4,1027.1,0.0
2,2015-01-04,1.0,0.4,1.3,0.0,10.0,271.3,22.7,41.0,1030.9,0.0
3,2015-01-05,0.4,-2.5,2.8,0.0,10.0,259.2,15.1,36.0,1034.0,108.0
4,2015-01-06,-0.6,-3.9,3.5,0.1,0.0,134.6,5.4,16.2,1027.7,324.0
5,2015-01-07,-0.4,-4.6,1.9,0.9,10.0,256.3,6.8,21.2,1031.3,0.0
6,2015-01-08,3.9,-1.9,7.7,0.2,0.0,226.7,18.4,70.6,1029.7,0.0
7,2015-01-09,6.8,4.1,9.4,3.8,0.0,253.3,34.2,86.0,1026.0,0.0
8,2015-01-10,12.5,9.3,15.0,5.8,0.0,255.0,48.6,84.6,1015.6,246.0
9,2015-01-11,2.7,0.2,11.2,3.3,0.0,274.6,27.7,60.8,1020.9,48.0
10,2015-01-12,2.7,-1.6,4.7,0.0,0.0,260.8,22.0,59.8,1025.8,24.0
11,2015-01-13,4.6,-2.9,13.2,0.0,0.0,210.0,7.2,23.8,1018.6,474.0
12,2015-01-14,5.5,-0.5,9.8,1.4,0.0,246.3,20.5,86.4,1017.0,0.0
13,2015-01-15,2.1,-1.7,7.3,0.0,0.0,135.0,6.1,23.0,1014.8,72.0
14,2015-01-16,1.3,-2.2,4.7,1.3,0.0,149.2,6.1,22.3,1009.3,78.0
15,2015-01-17,1.0,0.2,3.2,6.3,0.0,265.8,8.6,31.3,1015.5,0.0
16,2015-01-18,0.9,0.1,2.5,0.0,0.0,151.3,6.5,21.2,1018.4,0.0
17,2015-01-19,0.4,-2.2,3.0,0.0,0.0,145.4,6.5,18.0,1013.6,276.0
18,2015-01-20,-0.7,-2.3,0.9,0.0,0.0,224.6,4.0,15.1,1012.3,0.0
19,2015-01-21,-0.1,-0.8,0.3,0.0,0.0,93.8,15.8,35.6,1012.4,0.0
20,2015-01-22,0.0,-0.4,0.8,0.2,0.0,187.9,10.1,22.7,1013.3,0.0
21,2015-01-23,-0.2,-0.8,0.2,0.0,0.0,279.6,11.2,25.6,1021.6,0.0
22,2015-01-24,-0.6,-2.1,0.3,0.9,0.0,283.3,9.4,21.2,1022.6,0.0
23,2015-01-25,-0.4,-1.3,0.6,1.7,20.0,278.8,13.3,28.8,1028.3,6.0
24,2015-01-26,-0.7,-2.1,1.4,2.9,60.0,239.6,13.0,37.1,1025.7,162.0
25,2015-01-27,0.4,-0.3,1.1,0.9,70.0,271.7,19.8,42.1,1021.1,54.0
26,2015-01-28,0.0,-2.2,1.8,1.9,60.0,237.1,13.0,43.6,1016.2,192.0
27,2015-01-29,1.0,-1.1,2.9,2.3,40.0,218.3,14.4,50.0,995.0,276.0
28,2015-01-30,-0.3,-4.6,1.9,0.4,50.0,219.6,17.6,63.7,979.8,6.0
