,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.6,3.2,8.4,5.9,0.0,247.1,29.2,67.7,1017.7,36.0
1,2015-01-03,4.0,2.5,5.1,0.6,0.0,259.2,27.0,63.4,1016.6,36.0
2,2015-01-04,3.5,1.6,5.6,0.6,0.0,296.3,19.1,49.3,1022.6,210.0
3,2015-01-05,3.6,2.8,4.3,0.7,0.0,281.3,17.6,43.6,1027.4,0.0
4,2015-01-06,1.9,-0.2,3.4,0.2,0.0,172.9,15.1,42.8,1025.7,0.0
5,2015-01-07,2.5,-1.3,5.9,0.4,0.0,225.8,13.7,28.1,1023.9,0.0
6,2015-01-08,3.8,1.8,6.2,11.6,0.0,220.0,19.4,47.9,1018.7,0.0
7,2015-01-09,6.2,4.5,8.8,15.6,0.0,256.7,32.0,90.0,1009.7,0.0
8,2015-01-10,8.3,5.0,12.9,3.9,0.0,256.7,30.2,95.8,1000.8,0.0
9,2015-01-11,3.4,1.4,5.2,5.2,0.0,263.3,29.9,69.1,1006.5,12.0
10,2015-01-12,5.9,3.7,7.4,5.5,0.0,237.9,28.4,60.1,1010.4,0.0
11,2015-01-13,8.8,7.1,11.3,1.7,0.0,224.2,28.4,60.1,1005.0,36.0
12,2015-01-14,4.9,2.0,7.5,3.0,0.0,232.9,20.9,59.4,1006.8,102.0
13,2015-01-15,4.6,-0.1,8.9,4.9,0.0,190.8,23.0,48.2,1004.9,0.0
14,2015-01-16,6.2,3.4,8.6,0.0,0.0,205.0,17.6,41.4,1005.5,222.0
15,2015-01-17,2.1,-3.7,5.4,0.0,0.0,241.3,10.1,28.1,1012.2,246.0
16,2015-01-18,-1.8,-4.6,2.5,0.0,0.0,167.1,9.4,22.7,1016.0,318.0
17,2015-01-19,-1.7,-5.2,0.7,0.0,0.0,120.8,10.8,25.9,1014.3,240.0
18,2015-01-20,0.5,-0.4,1.3,2.3,0.0,152.1,8.3,19.4,1011.9,0.0
19,2015-01-21,-1.5,-2.7,-0.1,0.0,20.0,225.4,6.8,18.4,1016.5,0.0
20,2015-01-22,-1.6,-2.9,-0.6,0.0,10.0,35.8,13.0,29.9,1020.1,0.0
21,2015-01-23,-0.3,-1.9,0.4,0.0,0.0,154.2,9.0,29.2,1025.1,0.0
22,2015-01-24,-0.1,-1.7,1.9,0.7,0.0,206.7,13.3,32.8,1020.0,186.0
23,2015-01-25,0.6,-0.9,1.7,0.2,0.0,269.2,9.7,25.2,1024.5,0.0
24,2015-01-26,2.7,1.6,4.3,5.4,0.0,203.8,16.2,40.3,1018.1,0.0
25,2015-01-27,3.2,-0.1,5.0,0.0,0.0,295.0,16.9,42.8,1013.6,0.0
26,2015-01-28,3.2,0.7,5.9,5.4,0.0,222.9,24.5,64.8,1004.9,54.0
27,2015-01-29,1.3,-0.6,2.9,5.6,0.0,209.6,22.3,52.2,985.7,72.0
28,2015-01-30,0.4,0.2,1.2,10.1,10.0,197.5,10.1,28.1,973.8,0.0
29,2015-01-31,-0.4,-3.2,1.0,1.0,50.0,257.5,12.2,32.0,979.6,222.0
30,2015-02-01,0.9,0.3,1.7,0.0,40.0,236.7,13.7,33.1,988.1,0.0
31,2015-02-02,0.3,-2.1,2.1,6.1,20.0,251.3,14.8,41.0,994.3,12.0
32,2015-02-03,-0.8,-2.9,0.7,1.3,80.0,274.6,9.0,22.7,1000.6,6.0
33,2015-02-04,-1.5,-2.1,-0.9,0.0,80.0,287.1,9.0,22.7,1012.1,0.0
34,2015-02-05,-1.5,-5.5,2.3,0.0,60.0,96.7,6.1,16.6,1024.5,324.0
35,2015-02-06,-5.1,-10.2,-0.5,0.0,60.0,97.9,7.6,17.6,1031.4,498.0
36,2015-02-07,-1.1,-8.5,3.9,0.2,50.0,252.1,15.8,50.0,1024.5,0.0
37,2015-02-08,1.5,-1.0,3.3,1.2,0.0,321.7,22.3,62.6,1021.2,462.0
38,2015-02-09,4.4,0.6,6.2,0.1,0.0,289.2,15.8,43.2,1019.6,0.0
39,2015-02-10,5.5,4.5,6.5,0.0,0.0,292.9,11.2,37.1,1026.3,0.0
40,2015-02-11,4.4,2.7,5.9,0.0,0.0,254.2,7.6,22.7,1027.6,0.0
41,2015-02-12,1.1,-0.8,2.7,0.0,0.0,176.7,9.4,23.4,1023.8,0.0
42,2015-02-13,-0.7,-2.2,0.9,0.0,0.0,159.2,10.1,22.0,1019.2,6.0
43,2015-02-14,0.1,-3.5,5.5,0.0,0.0,101.7,11.2,21.6,1014.6,528.0
44,2015-02-15,1.5,-2.4,6.0,0.0,0.0,62.1,17.3,39.6,1019.5,468.0
45,2015-02-16,0.4,-1.9,3.0,0.0,0.0,107.5,25.9,52.6,1024.4,90.0
46,2015-02-17,-0.1,-3.7,2.2,0.0,0.0,186.3,10.4,25.6,1031.2,258.0
47,2015-02-18,2.5,0.1,7.1,0.0,0.0,242.1,13.3,28.1,1037.8,294.0
48,2015-02-19,1.9,-2.5,6.6,0.0,0.0,225.8,13.0,34.6,1027.2,528.0
49,2015-02-20,2.5,-4.1,8.5,1.7,0.0,195.4,16.6,37.1,1012.4,138.0
50,2015-02-21,4.8,-0.3,8.8,0.0,0.0,206.7,20.9,67.3,997.6,42.0
51,2015-02-22,1.8,-1.5,6.9,0.0,0.0,229.2,11.9,23.4,1007.7,108.0
52,2015-02-23,1.0,-0.8,2.1,9.2,0.0,182.1,19.4,45.7,998.9,0.0
53,2015-02-24,2.5,-2.7,7.0,0.0,0.0,197.9,16.6,41.4,1004.8,282.0
54,2015-02-25,1.3,-3.2,8.5,0.0,0.0,192.5,9.0,29.5,1017.5,360.0
55,2015-02-26,2.3,-3.7,9.7,0.0,0.0,140.0,13.7,32.8,1019.9,600.0
56,2015-02-27,3.3,-2.2,10.5,1.1,0.0,192.1,11.9,23.8,1013.2,426.0
57,2015-02-28,2.3,-1.2,6.4,0.0,0.0,242.9,13.7,29.5,1017.7,216.0
58,2015-03-01,3.4,-0.5,8.8,3.7,0.0,192.5,20.2,45.4,1003.3,42.0
59,2015-03-02,4.4,1.2,8.0,4.1,0.0,233.3,23.4,60.8,999.5,126.0
60,2015-03-03,3.7,0.6,7.9,5.5,0.0,247.9,22.0,49.3,1012.5,264.0
61,2015-03-04,2.8,0.6,5.9,0.7,0.0,249.6,18.4,41.0,1018.6,144.0
62,2015-03-05,3.4,-0.9,6.8,0.2,0.0,293.8,11.5,34.6,1031.5,24.0
63,2015-03-06,4.9,0.4,8.9,0.0,0.0,242.1,11.9,31.7,1033.3,12.0
64,2015-03-07,6.6,0.6,11.6,0.0,0.0,205.8,16.2,35.6,1029.9,270.0
65,2015-03-08,9.5,1.9,17.4,0.0,0.0,200.8,13.3,28.8,1023.9,564.0
66,2015-03-09,7.7,1.3,12.1,0.0,0.0,261.3,9.0,29.5,1026.1,378.0
67,2015-03-10,5.5,-0.5,10.7,0.2,0.0,227.9,9.7,29.2,1025.1,48.0
68,2015-03-11,5.4,1.6,9.9,0.0,0.0,301.7,14.0,37.8,1027.5,72.0
69,2015-03-12,3.3,-1.1,5.1,0.0,0.0,35.4,11.5,27.4,1032.7,0.0
70,2015-03-13,2.2,-2.4,8.3,0.0,0.0,58.8,11.5,33.1,1029.2,168.0
71,2015-03-14,4.2,2.3,6.5,0.3,0.0,42.1,12.6,28.8,1029.1,0.0
72,2015-03-15,5.5,3.8,7.2,0.0,0.0,71.7,19.1,41.8,1031.6,0.0
73,2015-03-16,7.7,3.7,10.5,0.0,0.0,90.0,26.6,54.4,1030.9,492.0
74,2015-03-17,10.0,5.0,15.5,0.0,0.0,108.8,20.9,41.8,1029.3,414.0
75,2015-03-18,7.4,1.3,14.0,0.0,0.0,102.5,19.8,40.7,1028.2,660.0
