,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.3,-3.7,2.8,2.0,60.0,204.6,18.7,41.4,1033.2,6.0
1,2015-01-03,0.8,-0.2,2.0,17.5,20.0,218.3,13.0,32.8,1026.8,0.0
2,2015-01-04,1.0,0.1,1.5,0.0,30.0,296.7,24.1,44.6,1031.2,0.0
3,2015-01-05,0.0,-3.0,2.6,0.0,20.0,254.2,10.1,24.8,1034.2,384.0
4,2015-01-06,-1.2,-4.2,2.4,0.2,20.0,185.4,11.9,22.0,1027.6,330.0
5,2015-01-07,-0.3,-4.1,2.0,0.0,20.0,220.0,10.8,28.4,1031.0,24.0
6,2015-01-08,2.9,-0.8,6.7,1.2,10.0,188.3,18.7,77.0,1029.1,0.0
7,2015-01-09,6.4,3.9,10.0,5.4,0.0,237.1,25.9,72.4,1025.4,0.0
8,2015-01-10,11.5,5.7,13.6,8.8,0.0,250.8,37.4,71.3,1015.8,132.0
9,2015-01-11,2.8,1.2,5.7,0.1,0.0,280.0,27.4,66.6,1020.7,156.0
10,2015-01-12,3.3,0.9,5.2,0.0,0.0,231.3,22.0,52.2,1025.0,18.0
11,2015-01-13,5.3,0.5,10.3,0.1,0.0,182.1,18.4,33.8,1017.2,486.0
12,2015-01-14,4.9,0.7,7.7,3.5,0.0,227.5,20.5,65.9,1016.2,30.0
13,2015-01-15,3.3,-0.2,6.6,0.3,0.0,187.5,18.0,43.2,1013.5,6.0
14,2015-01-16,3.3,1.2,6.9,4.4,0.0,212.1,8.6,27.7,1008.8,6.0
15,2015-01-17,2.3,0.9,4.6,1.7,0.0,251.3,7.6,31.7,1015.2,0.0
16,2015-01-18,1.4,-1.1,3.2,0.0,0.0,173.8,6.5,23.4,1018.3,192.0
17,2015-01-19,0.5,-1.1,2.5,0.3,0.0,175.0,11.5,30.2,1013.4,186.0
18,2015-01-20,0.0,-0.6,1.3,0.6,0.0,228.8,7.9,19.1,1012.2,0.0
19,2015-01-21,-0.1,-0.7,0.6,0.0,0.0,98.3,10.8,33.8,1012.9,0.0
20,2015-01-22,0.0,-1.5,1.0,1.0,0.0,162.1,8.6,20.2,1013.9,0.0
21,2015-01-23,-0.4,-1.0,0.6,0.0,0.0,345.8,10.8,20.5,1022.2,0.0
22,2015-01-24,-0.8,-1.5,-0.2,0.9,0.0,297.1,8.6,22.3,1023.0,0.0
23,2015-01-25,-0.2,-1.3,1.0,0.4,10.0,292.1,15.1,31.0,1028.6,0.0
24,2015-01-26,0.3,-0.9,2.6,1.9,0.0,228.8,15.1,36.7,1024.9,0.0
25,2015-01-27,0.7,-0.1,1.4,1.9,0.0,289.2,18.0,45.0,1021.4,0.0
26,2015-01-28,1.1,0.3,1.9,0.8,10.0,224.2,18.4,53.6,1015.0,12.0
27,2015-01-29,1.1,-0.6,2.9,8.3,0.0,211.3,19.1,45.7,993.8,162.0
28,2015-01-30,-0.3,-2.3,1.5,6.2,0.0,226.3,17.3,51.1,979.2,0.0
29,2015-01-31,-1.3,-4.8,1.2,0.1,110.0,221.7,10.1,30.2,986.0,54.0
30,2015-02-01,-1.7,-6.3,0.5,1.5,50.0,209.2,10.8,29.5,993.2,30.0
31,2015-02-02,-1.1,-6.6,0.8,0.8,70.0,255.0,13.7,40.3,1001.2,66.0
32,2015-02-03,-5.6,-11.1,1.4,0.0,60.0,195.4,6.1,17.3,1006.3,480.0
33,2015-02-04,-7.9,-13.9,-3.0,0.0,60.0,196.7,4.3,22.3,1013.8,0.0
34,2015-02-05,-4.0,-8.7,-2.1,0.0,50.0,60.0,17.3,46.8,1017.8,84.0
35,2015-02-06,-3.6,-6.0,-1.1,0.0,50.0,44.6,19.4,50.4,1022.5,396.0
36,2015-02-07,-6.0,-10.7,-2.1,0.5,40.0,167.9,8.6,25.9,1029.1,504.0
37,2015-02-08,-1.7,-6.0,0.5,0.6,50.0,311.7,22.7,57.2,1026.1,216.0
38,2015-02-09,-0.7,-3.5,1.1,0.4,50.0,269.2,18.4,41.0,1029.4,0.0
39,2015-02-10,1.3,0.5,3.8,0.0,40.0,265.8,8.6,27.7,1031.0,0.0
40,2015-02-11,-0.1,-1.5,1.0,0.0,10.0,129.2,9.7,27.0,1028.6,0.0
41,2015-02-12,-1.6,-2.2,-1.0,0.0,0.0,155.4,13.0,24.5,1026.0,0.0
42,2015-02-13,-2.1,-3.3,-0.2,0.0,0.0,157.5,12.6,25.2,1022.0,24.0
43,2015-02-14,-2.5,-4.0,0.1,0.0,0.0,157.1,11.5,27.7,1015.2,108.0
44,2015-02-15,-0.6,-2.4,2.0,0.0,0.0,110.8,10.1,31.3,1014.8,90.0
45,2015-02-16,-1.7,-3.9,0.3,0.0,0.0,167.1,6.1,17.3,1021.5,0.0
46,2015-02-17,-2.3,-4.5,-1.1,0.0,0.0,257.5,8.3,20.9,1032.9,0.0
47,2015-02-18,-1.5,-2.6,-0.8,0.0,0.0,110.4,7.9,20.9,1041.2,0.0
48,2015-02-19,-2.4,-4.0,-0.1,0.0,0.0,186.3,10.8,26.3,1033.4,0.0
49,2015-02-20,0.8,-4.6,7.6,0.0,0.0,183.8,17.6,33.8,1018.9,570.0
50,2015-02-21,1.7,-2.1,5.6,0.5,0.0,207.9,12.2,33.1,1003.4,72.0
51,2015-02-22,1.7,-1.5,4.6,0.0,0.0,287.9,7.6,21.6,1010.0,24.0
52,2015-02-23,0.0,-2.2,2.4,1.8,0.0,187.1,18.0,37.4,1004.6,6.0
53,2015-02-24,2.2,-0.5,4.8,0.0,0.0,233.8,12.6,30.6,1010.6,42.0
54,2015-02-25,1.0,-2.5,5.5,0.0,0.0,204.2,7.2,19.1,1020.7,90.0
55,2015-02-26,0.7,-3.7,6.6,0.0,0.0,184.2,10.1,23.4,1021.4,594.0
56,2015-02-27,0.9,-3.0,5.3,0.4,0.0,220.8,11.5,26.6,1014.6,228.0
57,2015-02-28,1.6,-1.2,5.0,0.0,0.0,250.8,9.0,22.3,1021.1,120.0
58,2015-03-01,3.1,-1.1,6.5,2.6,0.0,188.3,18.0,42.1,1011.2,0.0
59,2015-03-02,4.9,-0.2,8.2,5.4,0.0,250.4,25.6,62.6,1009.1,84.0
60,2015-03-03,3.8,-0.5,7.9,0.5,0.0,228.8,17.6,42.8,1022.0,468.0
61,2015-03-04,2.9,0.6,5.7,0.0,0.0,273.3,16.2,42.8,1026.5,186.0
62,2015-03-05,2.0,-0.6,5.0,0.0,0.0,317.5,15.8,34.6,1035.0,144.0
63,2015-03-06,2.1,-2.0,5.9,0.0,0.0,186.7,4.7,17.3,1038.0,0.0
64,2015-03-07,3.3,-2.1,9.6,0.0,0.0,179.2,10.1,26.3,1034.7,606.0
65,2015-03-08,5.6,-1.8,15.4,0.0,0.0,166.7,9.4,25.9,1027.9,600.0
66,2015-03-09,5.6,-1.1,14.3,0.0,0.0,173.8,7.9,22.3,1026.4,600.0
67,2015-03-10,6.5,-1.8,14.4,2.6,0.0,255.8,10.1,24.8,1026.6,450.0
68,2015-03-11,4.2,-1.5,7.3,0.0,0.0,308.3,12.6,34.6,1028.7,396.0
69,2015-03-12,2.7,-2.0,7.9,0.0,0.0,147.5,7.6,27.4,1029.9,216.0
70,2015-03-13,1.9,-1.2,4.5,0.0,0.0,172.1,10.8,27.4,1024.6,0.0
71,2015-03-14,2.2,1.2,4.1,0.0,0.0,67.9,9.7,19.4,1024.7,0.0
72,2015-03-15,4.8,1.4,10.1,0.0,0.0,94.2,14.8,65.2,1023.9,258.0
73,2015-03-16,8.3,2.0,14.8,0.0,0.0,99.6,13.7,48.6,1023.1,498.0
74,2015-03-17,10.4,4.6,16.5,0.0,0.0,120.8,10.4,35.3,1023.8,306.0
75,2015-03-18,8.1,0.6,14.8,0.0,0.0,199.6,5.4,24.5,1024.3,636.0
76,2015-03-19,6.0,-2.3,13.7,0.0,0.0,152.1,6.8,25.2,1025.3,672.0
77,2015-03-20,5.1,-2.7,13.4,0.0,,245.4,6.1,17.6,1023.3,648.0
78,2015-03-21,5.1,-1.3,12.8,0.0,0.0,259.6,15.1,43.9,1016.7,366.0
79,2015-03-22,4.2,0.5,8.7,0.0,0.0,107.1,13.7,36.0,1021.1,66.0
80,2015-03-23,3.9,1.2,6.5,0.0,0.0,193.3,6.8,21.6,1017.8,0.0
81,2015-03-24,6.6,-1.2,14.3,0.0,0.0,185.0,8.6,23.0,1009.7,450.0
82,2015-03-25,11.6,5.9,17.6,0.0,,121.7,12.2,42.8,1003.2,414.0
83,2015-03-26,5.6,4.2,7.7,0.5,0.0,262.5,13.7,35.6,1009.2,0.0
84,2015-03-27,5.8,3.9,9.4,0.0,0.0,270.0,16.6,47.9,1018.2,144.0
85,2015-03-28,7.2,3.1,11.8,0.4,0.0,246.3,9.7,32.8,1020.9,450.0
86,2015-03-29,8.9,6.7,10.9,16.6,0.0,,25.2,68.0,1007.8,0.0
87,2015-03-30,5.6,2.0,8.6,3.5,0.0,277.9,25.2,68.0,1006.3,138.0
88,2015-03-31,7.6,0.6,12.6,6.5,0.0,243.8,38.2,97.2,1005.4,66.0
89,2015-04-01,2.7,0.4,6.4,1.3,0.0,270.8,28.8,74.5,1018.1,174.0
90,2015-04-02,3.1,-0.3,6.6,3.9,0.0,254.2,27.0,73.8,1016.2,234.0
91,2015-04-03,4.1,-1.8,9.7,0.0,0.0,236.7,6.8,28.8,1020.9,654.0
92,2015-04-04,3.6,1.1,6.4,1.1,0.0,103.8,7.9,28.1,1015.2,6.0
93,2015-04-05,2.6,-2.3,7.2,0.0,0.0,68.3,11.2,35.3,1022.5,438.0
94,2015-04-06,1.6,-3.6,7.4,0.0,0.0,245.8,10.1,49.0,1028.5,162.0
95,2015-04-07,3.0,-3.9,9.8,0.0,0.0,246.3,6.8,23.0,1036.0,714.0
96,2015-04-08,6.2,-1.9,13.3,0.0,0.0,251.7,8.6,28.8,1032.8,654.0
97,2015-04-09,9.9,2.7,16.8,0.0,0.0,185.0,6.8,23.4,1028.0,702.0
98,2015-04-10,11.6,2.4,20.8,0.0,0.0,207.5,7.9,20.2,1022.5,618.0
99,2015-04-11,11.5,4.3,17.7,0.1,0.0,231.7,14.0,46.8,1023.2,126.0
100,2015-04-12,11.5,5.5,16.7,0.0,0.0,247.1,8.3,27.7,1029.3,228.0
101,2015-04-13,10.3,4.0,15.7,0.0,0.0,270.8,15.5,53.3,1029.2,384.0
102,2015-04-14,10.8,2.8,18.1,0.0,,252.9,11.5,36.0,1028.4,582.0
103,2015-04-15,14.6,4.3,22.8,0.0,,207.5,10.4,28.4,1019.5,732.0
104,2015-04-16,15.5,7.1,21.1,0.3,0.0,233.3,10.4,26.6,1013.5,396.0
105,2015-04-17,11.7,4.8,15.8,0.1,0.0,231.3,14.0,42.5,1013.5,42.0
106,2015-04-18,5.8,0.2,10.8,0.0,0.0,90.8,9.4,31.7,1023.9,666.0
107,2015-04-19,7.6,-1.5,14.7,0.0,0.0,150.4,9.7,34.6,1021.9,798.0
108,2015-04-20,8.8,-0.8,16.7,0.0,0.0,242.1,9.0,36.4,1025.1,792.0
109,2015-04-21,11.1,0.7,19.9,0.0,0.0,263.8,9.7,30.6,1027.9,792.0
110,2015-04-22,8.7,0.8,16.5,0.1,0.0,270.4,13.7,47.9,1024.1,762.0
111,2015-04-23,6.0,0.9,11.6,0.0,0.0,180.8,6.5,19.4,1020.0,210.0
112,2015-04-24,9.4,-0.5,18.7,0.0,0.0,192.1,9.4,27.0,1016.0,774.0
113,2015-04-25,11.5,4.0,18.2,1.1,0.0,216.7,15.1,44.6,1012.0,84.0
114,2015-04-26,14.2,10.3,19.8,0.2,0.0,187.9,9.7,23.0,1008.3,378.0
115,2015-04-27,14.8,7.1,21.8,19.3,0.0,259.6,10.8,36.0,1001.3,690.0
116,2015-04-28,7.1,3.9,10.6,2.4,0.0,280.8,18.0,41.8,1014.1,42.0
117,2015-04-29,7.9,0.4,13.1,0.0,0.0,162.9,10.1,31.7,1019.6,576.0
118,2015-04-30,9.2,4.2,14.6,5.3,0.0,200.8,11.5,42.5,1015.7,252.0
119,2015-05-01,8.2,6.8,10.1,6.4,,147.9,8.6,19.4,1008.7,0.0
120,2015-05-02,9.7,6.8,12.6,4.5,,231.7,5.8,16.6,1011.7,6.0
121,2015-05-03,13.2,10.2,15.9,3.5,,181.7,12.6,27.4,1008.4,0.0
122,2015-05-04,16.8,12.6,20.9,0.0,,205.8,10.8,32.4,1010.3,282.0
123,2015-05-05,17.4,13.2,21.6,12.0,,202.1,14.8,37.8,1007.5,42.0
124,2015-05-06,12.8,8.6,16.7,2.8,,215.0,11.9,51.8,1016.1,240.0
125,2015-05-07,11.5,5.6,16.2,0.0,,245.8,10.4,35.3,1020.0,522.0
126,2015-05-08,13.9,4.8,21.9,0.2,,211.7,7.9,32.0,1015.8,576.0
127,2015-05-09,14.3,9.9,17.6,0.2,,243.3,11.9,38.9,1020.1,156.0
128,2015-05-10,13.5,7.4,18.3,0.0,,271.7,13.3,40.3,1026.7,516.0
129,2015-05-11,15.5,6.6,22.1,0.0,,172.9,13.0,33.8,1024.9,714.0
130,2015-05-12,19.2,10.2,27.1,0.0,,196.3,15.1,38.9,1018.6,648.0
131,2015-05-13,16.3,11.4,22.0,0.9,,232.1,8.6,31.0,1016.9,630.0
132,2015-05-14,14.7,10.3,18.7,0.0,,257.5,9.7,32.8,1011.1,432.0
133,2015-05-15,13.5,8.2,18.4,0.0,,140.8,9.0,26.6,1013.0,210.0
134,2015-05-16,13.6,4.5,20.4,0.4,,242.9,11.2,37.1,1022.1,546.0
135,2015-05-17,12.5,6.5,17.0,0.0,,297.5,11.2,31.3,1024.1,288.0
136,2015-05-18,14.6,5.2,22.5,0.0,,212.1,10.8,35.6,1012.4,726.0
137,2015-05-19,12.8,8.1,16.9,0.0,,238.8,11.5,30.2,1009.8,102.0
138,2015-05-20,9.1,5.0,10.3,2.6,,202.5,8.6,29.9,1015.5,18.0
139,2015-05-21,9.9,5.1,15.1,0.0,,237.9,9.0,26.3,1023.4,174.0
140,2015-05-22,11.4,3.5,17.5,0.0,,191.7,7.6,24.8,1024.5,696.0
141,2015-05-23,12.9,5.5,18.6,0.0,,217.1,8.6,37.4,1018.7,216.0
142,2015-05-24,13.8,10.0,17.1,0.0,,147.1,6.1,19.4,1018.3,18.0
143,2015-05-25,13.7,11.0,19.9,7.5,,197.9,9.4,46.8,1014.4,60.0
144,2015-05-26,10.9,8.1,13.5,0.1,,292.5,13.7,30.2,1017.5,102.0
145,2015-05-27,9.2,4.0,13.4,0.0,,284.6,10.4,32.0,1023.3,108.0
146,2015-05-28,12.4,3.4,19.9,0.4,,231.7,8.6,27.0,1017.7,726.0
147,2015-05-29,14.7,8.2,21.0,0.2,,205.8,10.1,34.9,1012.5,306.0
148,2015-05-30,11.7,6.2,14.6,2.4,,249.2,13.7,40.7,1016.0,126.0
149,2015-05-31,13.9,5.0,20.5,0.0,,199.2,10.4,31.7,1016.7,480.0
150,2015-06-01,15.5,11.0,22.1,1.8,,235.8,11.9,36.7,1016.6,184.0
151,2015-06-02,18.0,11.5,24.5,0.0,,214.6,13.0,42.1,1017.8,572.0
