,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2019-03-22,4.7,-4.0,15.0,,,,5.0,,1028.9,
1,2019-03-23,8.0,0.0,18.0,,,,7.4,,,
2,2019-03-24,8.5,-1.0,17.0,,,,9.4,,,
3,2019-03-25,4.8,1.0,8.0,,,272.9,18.5,,1019.8,
4,2019-03-26,3.3,1.0,7.0,,,,9.4,,1026.8,
5,2019-03-27,3.8,1.0,7.0,,,,5.1,,1030.1,
6,2019-03-28,6.9,2.0,11.0,,,,9.8,,1031.4,
7,2019-03-29,7.8,2.0,14.0,,,,11.9,,1028.6,
8,2019-03-30,7.8,-2.0,17.0,,,,5.3,,,
9,2019-04-01,7.8,2.0,14.0,,,,10.2,,1017.0,
10,2019-04-02,10.5,-1.0,20.0,,,,6.2,,,
11,2019-04-03,11.7,3.0,18.0,,,,12.1,,1002.2,
12,2019-04-04,4.4,0.0,10.0,,,,15.5,,,
13,2019-04-05,4.7,2.0,8.0,,,,9.5,,,
14,2019-04-06,8.3,0.0,15.0,,,,9.9,,,
15,2019-04-07,8.3,1.0,14.0,,,,9.0,,1003.3,
16,2019-04-08,8.0,7.0,10.0,,,230.0,12.1,,1009.2,
17,2019-04-09,10.1,7.0,14.0,,,,8.7,,1008.5,
18,2019-04-10,8.5,7.0,11.0,,,,9.2,,1008.5,
19,2019-04-11,6.6,4.0,9.0,,,32.5,14.1,,1014.4,
20,2019-04-12,4.7,1.0,8.0,,,40.4,13.5,,1017.2,
21,2019-04-13,5.2,2.0,9.0,,,57.1,12.4,,,
22,2019-04-14,5.0,2.0,8.0,,,,,,1016.7,
23,2019-04-15,7.7,4.0,13.0,,,67.5,14.7,,1020.4,
24,2019-04-16,8.9,-2.0,17.0,,,,7.4,,,
25,2019-04-17,10.9,5.0,17.0,,,,10.4,,1020.9,
26,2019-04-18,11.5,3.0,18.0,,,,14.9,,1022.5,
27,2019-04-19,12.9,2.0,20.0,,,,9.1,,,
28,2019-04-20,12.1,1.0,21.0,,,,8.6,,1026.0,
29,2019-04-21,12.0,-1.0,21.0,,,,11.4,,,
30,2019-04-22,13.7,3.0,23.0,,,,14.4,,1008.8,
31,2019-04-23,15.0,8.0,22.0,,,100.0,10.9,,1000.1,
32,2019-04-24,17.5,11.0,24.0,,,169.2,18.6,,1003.9,
33,2019-04-25,15.6,6.0,23.0,,,145.0,16.3,,1010.2,
34,2019-04-26,8.2,5.0,14.0,,,,,,1013.5,
