,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2016-12-02,,,,2.1,,,,,,
1,2016-12-03,,,,0.0,,,,,,
2,2016-12-04,,,,0.0,,,,,,
3,2016-12-05,,,,0.0,,,,,,
4,2016-12-06,,,,0.0,,,,,,
5,2016-12-07,,,,0.0,,,,,,
6,2016-12-08,,,,0.0,,,,,,
7,2016-12-09,,,,0.3,,,,,,
8,2016-12-10,,,,0.0,,,,,,
9,2016-12-11,,,,4.2,,,,,,
10,2016-12-12,,,,1.5,,,,,,
11,2016-12-13,,,,0.2,,,,,,
12,2016-12-14,,,,0.3,,,,,,
13,2016-12-15,,,,0.0,,,,,,
14,2016-12-16,,,,0.0,,,,,,
15,2016-12-17,,,,0.1,,,,,,
16,2016-12-18,,,,0.0,,,,,,
17,2016-12-19,,,,0.0,,,,,,
18,2016-12-20,,,,0.0,,,,,,
19,2016-12-21,,,,0.0,,,,,,
20,2016-12-22,,,,3.5,,,,,,
21,2016-12-23,,,,0.0,,,,,,
22,2016-12-24,,,,2.6,,,,,,
23,2016-12-25,,,,3.9,,,,,,
24,2016-12-26,,,,3.9,,,,,,
25,2016-12-27,,,,0.1,,,,,,
26,2016-12-28,,,,0.0,,,,,,
27,2016-12-29,,,,0.0,,,,,,
28,2016-12-30,,,,0.0,,,,,,
29,2016-12-31,,,,0.0,,,,,,
30,2017-01-01,,,,0.0,,,,,,
31,2017-01-02,,,,0.4,,,,,,
32,2017-01-03,,,,3.2,,,,,,
33,2017-01-04,,,,12.9,,,,,,
34,2017-01-05,,,,0.6,,,,,,
35,2017-01-06,,,,0.0,,,,,,
36,2017-01-07,,,,0.0,,,,,,
37,2017-01-08,,,,0.1,,,,,,
38,2017-01-09,,,,0.3,,,,,,
39,2017-01-10,,,,4.8,,,,,,
40,2017-01-11,,,,6.4,,,,,,
41,2017-01-12,,,,5.2,,,,,,
42,2017-01-13,,,,14.9,,,,,,
43,2017-01-14,,,,6.3,,,,,,
44,2017-01-15,,,,4.1,,,,,,
45,2017-01-16,,,,0.1,,,,,,
46,2017-01-17,,,,0.0,,,,,,
47,2017-01-18,,,,0.0,,,,,,
48,2017-01-19,,,,0.0,,,,,,
49,2017-01-20,,,,0.0,,,,,,
50,2017-01-21,,,,0.0,,,,,,
51,2017-01-22,,,,0.0,,,,,,
52,2017-01-23,,,,0.0,,,,,,
53,2017-01-24,,,,0.0,,,,,,
54,2017-01-25,,,,0.0,,,,,,
55,2017-01-26,,,,0.0,,,,,,
56,2017-01-27,,,,0.0,,,,,,
57,2017-01-28,,,,0.0,,,,,,
58,2017-01-29,,,,1.2,,,,,,
59,2017-01-30,,,,5.5,,,,,,
60,2017-01-31,,,,0.1,,,,,,
61,2017-02-01,,,,0.0,,,,,,
62,2017-02-02,,,,0.7,,,,,,
63,2017-02-03,,,,4.4,,,,,,
64,2017-02-04,,,,5.6,,,,,,
65,2017-02-05,,,,2.1,,,,,,
66,2017-02-06,,,,0.0,,,,,,
67,2017-02-07,,,,0.2,,,,,,
68,2017-02-08,,,,0.0,,,,,,
69,2017-02-09,,,,0.0,,,,,,
70,2017-02-10,,,,0.0,,,,,,
