,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2016-09-02,,,,0.4,,,,,,
1,2016-09-03,,,,0.1,,,,,,
2,2016-09-04,,,,8.8,,,,,,
3,2016-09-05,,,,3.9,,,,,,
4,2016-09-06,,,,0.0,,,,,,
5,2016-09-07,,,,0.0,,,,,,
6,2016-09-08,,,,0.0,,,,,,
7,2016-09-09,,,,0.0,,,,,,
8,2016-09-10,,,,0.0,,,,,,
9,2016-09-11,,,,0.0,,,,,,
10,2016-09-12,,,,0.0,,,,,,
11,2016-09-13,,,,0.0,,,,,,
12,2016-09-14,,,,0.0,,,,,,
13,2016-09-15,,,,0.0,,,,,,
14,2016-09-16,,,,0.0,,,,,,
15,2016-09-17,,,,2.5,,,,,,
16,2016-09-18,,,,0.0,,,,,,
17,2016-09-19,,,,0.0,,,,,,
18,2016-09-20,,,,0.0,,,,,,
19,2016-09-21,,,,0.0,,,,,,
20,2016-09-22,,,,0.0,,,,,,
21,2016-09-23,,,,0.0,,,,,,
22,2016-09-24,,,,0.0,,,,,,
23,2016-09-25,,,,0.0,,,,,,
24,2016-09-26,,,,0.1,,,,,,
25,2016-09-27,,,,0.0,,,,,,
26,2016-09-28,,,,0.0,,,,,,
27,2016-09-29,,,,3.0,,,,,,
28,2016-09-30,,,,1.6,,,,,,
29,2016-10-01,,,,0.4,,,,,,
30,2016-10-02,,,,0.4,,,,,,
31,2016-10-03,,,,1.3,,,,,,
32,2016-10-04,,,,0.0,,,,,,
33,2016-10-05,,,,0.0,,,,,,
34,2016-10-06,,,,0.3,,,,,,
35,2016-10-07,,,,1.8,,,,,,
36,2016-10-08,,,,0.1,,,,,,
37,2016-10-09,,,,0.6,,,,,,
38,2016-10-10,,,,0.2,,,,,,
39,2016-10-11,,,,3.5,,,,,,
40,2016-10-12,,,,0.0,,,,,,
41,2016-10-13,,,,0.0,,,,,,
42,2016-10-14,,,,0.0,,,,,,
43,2016-10-15,,,,0.0,,,,,,
44,2016-10-16,,,,0.0,,,,,,
45,2016-10-17,,,,0.3,,,,,,
46,2016-10-18,,,,4.4,,,,,,
47,2016-10-19,,,,4.3,,,,,,
48,2016-10-20,,,,1.8,,,,,,
49,2016-10-21,,,,3.8,,,,,,
50,2016-10-22,,,,0.2,,,,,,
51,2016-10-23,,,,0.0,,,,,,
52,2016-10-24,,,,0.5,,,,,,
53,2016-10-25,,,,0.4,,,,,,
54,2016-10-26,,,,0.0,,,,,,
55,2016-10-27,,,,0.4,,,,,,
56,2016-10-28,,,,2.1,,,,,,
57,2016-10-29,,,,0.0,,,,,,
58,2016-10-30,,,,0.0,,,,,,
59,2016-10-31,,,,0.0,,,,,,
60,2016-11-01,,,,0.9,,,,,,
61,2016-11-02,,,,4.2,,,,,,
62,2016-11-03,,,,0.0,,,,,,
63,2016-11-04,,,,0.7,,,,,,
