,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.5,1.4,4.4,3.3,40.0,233.8,37.1,72.4,1025.6,0.0
1,2015-01-03,0.9,-0.2,2.0,1.4,0.0,240.0,28.1,51.8,1023.1,0.0
2,2015-01-04,0.6,-0.1,1.3,3.4,20.0,286.7,28.1,50.8,1025.9,6.0
3,2015-01-05,0.2,-0.3,0.8,0.0,30.0,271.7,23.0,44.3,1030.8,0.0
4,2015-01-06,0.9,-0.3,4.0,0.0,30.0,165.8,7.6,25.9,1026.8,228.0
5,2015-01-07,0.4,-0.8,1.4,1.4,20.0,221.7,18.0,46.1,1027.9,0.0
6,2015-01-08,3.0,-0.5,6.1,6.8,20.0,226.3,33.8,82.4,1023.7,0.0
7,2015-01-09,5.3,2.4,8.1,11.1,0.0,250.0,44.3,92.9,1017.5,0.0
8,2015-01-10,9.0,2.5,13.2,2.9,0.0,247.5,44.6,92.2,1007.6,84.0
9,2015-01-11,1.4,-0.2,2.8,0.6,0.0,256.7,36.7,69.5,1014.1,0.0
10,2015-01-12,3.7,1.7,5.6,0.0,0.0,239.6,40.3,67.3,1018.3,0.0
11,2015-01-13,8.3,5.3,11.0,1.1,0.0,225.4,39.2,74.9,1011.7,462.0
12,2015-01-14,4.6,-0.6,8.9,3.8,0.0,231.3,31.3,69.1,1011.8,78.0
13,2015-01-15,4.0,-1.5,8.4,0.0,10.0,200.0,28.1,61.2,1011.0,12.0
14,2015-01-16,5.9,2.5,8.9,2.2,0.0,177.5,15.8,48.2,1008.1,42.0
15,2015-01-17,1.8,0.3,3.7,0.4,0.0,247.5,10.4,31.0,1014.0,0.0
16,2015-01-18,0.2,-2.0,3.0,0.0,0.0,202.9,9.4,25.6,1018.3,438.0
17,2015-01-19,0.5,-2.1,2.1,0.0,0.0,142.1,5.8,17.6,1014.2,0.0
18,2015-01-20,-0.1,-1.7,0.6,1.7,0.0,190.4,6.8,20.2,1012.2,0.0
19,2015-01-21,-1.1,-2.3,0.4,0.0,10.0,153.8,7.9,25.2,1015.7,144.0
20,2015-01-22,-0.9,-1.3,-0.3,1.6,0.0,60.0,11.5,20.5,1016.5,0.0
21,2015-01-23,-2.0,-2.4,-1.2,0.7,10.0,251.7,11.5,21.6,1023.9,0.0
22,2015-01-24,-2.1,-3.0,-1.2,0.6,20.0,251.7,13.0,29.9,1021.9,6.0
23,2015-01-25,-0.5,-1.7,0.2,1.4,30.0,282.5,14.0,30.6,1026.3,0.0
24,2015-01-26,0.3,-1.4,2.1,4.9,30.0,223.8,19.1,50.0,1022.1,90.0
25,2015-01-27,0.4,0.0,0.8,1.3,80.0,261.7,25.2,50.0,1017.2,0.0
26,2015-01-28,1.1,-0.2,2.7,0.3,80.0,231.7,29.2,72.4,1010.6,24.0
27,2015-01-29,0.5,-1.2,2.2,0.2,40.0,210.4,26.6,67.3,991.2,216.0
28,2015-01-30,-0.2,-3.0,1.6,1.0,40.0,210.8,23.4,56.9,976.1,60.0
29,2015-01-31,-1.3,-3.9,0.8,1.0,70.0,235.8,23.4,46.4,983.0,6.0
30,2015-02-01,-0.8,-3.1,1.1,0.5,80.0,230.0,14.4,28.4,991.4,42.0
31,2015-02-02,-0.9,-2.8,1.2,1.6,80.0,241.3,18.4,40.0,998.3,204.0
32,2015-02-03,-1.5,-4.1,0.6,0.7,100.0,240.0,20.5,37.4,1003.3,114.0
33,2015-02-04,-4.1,-6.8,-2.5,0.3,100.0,285.8,8.6,19.8,1013.4,0.0
34,2015-02-05,-4.3,-6.8,-1.9,0.1,110.0,102.1,12.6,39.6,1022.8,246.0
35,2015-02-06,-4.1,-5.5,-2.7,0.0,90.0,55.0,20.2,45.0,1028.5,150.0
36,2015-02-07,-3.8,-7.8,0.9,0.7,90.0,198.8,14.4,63.0,1028.2,456.0
37,2015-02-08,-1.5,-4.7,0.9,0.9,90.0,315.4,28.1,63.4,1022.5,108.0
38,2015-02-09,0.4,-3.2,2.3,1.6,90.0,262.1,24.8,45.4,1023.8,0.0
39,2015-02-10,1.8,1.2,2.6,0.0,50.0,256.3,13.7,30.2,1029.0,0.0
40,2015-02-11,1.1,-2.7,3.3,0.0,0.0,210.4,5.4,19.1,1028.7,114.0
41,2015-02-12,-0.1,-3.8,7.8,0.0,0.0,178.3,5.8,12.2,1024.5,564.0
42,2015-02-13,-0.1,-5.1,8.0,0.0,0.0,160.4,7.9,25.9,1020.6,570.0
43,2015-02-14,0.2,-2.9,5.5,0.0,0.0,129.6,11.5,24.8,1014.5,570.0
44,2015-02-15,1.3,-3.0,4.0,0.0,0.0,120.0,9.7,32.4,1016.6,66.0
45,2015-02-16,3.4,0.6,6.5,0.0,0.0,120.0,11.2,38.5,1021.8,558.0
46,2015-02-17,1.4,-0.7,7.0,0.0,0.0,213.3,9.7,26.3,1031.8,414.0
47,2015-02-18,0.5,-2.3,2.6,0.0,0.0,230.0,7.2,17.3,1040.4,0.0
48,2015-02-19,0.0,-4.5,7.3,0.0,0.0,233.3,13.7,28.1,1030.4,588.0
49,2015-02-20,3.3,-4.1,9.0,0.0,0.0,216.3,27.7,67.0,1016.2,522.0
50,2015-02-21,5.0,1.3,9.4,0.4,0.0,213.3,23.8,62.3,1001.5,252.0
51,2015-02-22,1.1,-0.9,3.7,0.0,0.0,226.7,7.9,25.2,1009.9,12.0
52,2015-02-23,1.5,-1.5,4.2,2.0,0.0,194.2,19.1,48.2,1002.6,72.0
