,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.5,-3.8,0.0,10.0,40.0,265.8,20.9,55.8,1027.7,0.0
1,2015-01-03,-2.0,-2.6,-1.3,15.5,30.0,270.0,15.8,42.1,1022.9,0.0
2,2015-01-04,-1.9,-2.6,-1.3,0.0,170.0,315.4,18.7,52.2,1029.3,0.0
3,2015-01-05,-3.1,-4.5,-1.6,0.0,160.0,302.5,15.5,33.5,1031.3,360.0
4,2015-01-06,-3.1,-5.0,-0.3,0.9,150.0,229.6,14.4,30.2,1023.7,192.0
5,2015-01-07,-1.8,-3.5,-0.6,1.0,140.0,266.7,14.8,41.4,1026.7,6.0
6,2015-01-08,0.6,-3.1,3.8,10.8,120.0,242.1,24.8,79.6,1022.9,0.0
7,2015-01-09,3.0,0.7,7.6,8.2,40.0,265.8,25.2,77.4,1019.4,0.0
8,2015-01-10,6.4,-0.8,9.3,3.8,0.0,278.3,28.8,78.8,1010.7,0.0
9,2015-01-11,-1.5,-2.5,-0.5,1.7,0.0,292.1,24.5,68.4,1016.8,12.0
10,2015-01-12,0.3,-0.5,1.1,0.9,0.0,250.0,23.4,64.8,1018.3,0.0
11,2015-01-13,2.9,-0.1,6.9,1.9,0.0,234.6,27.7,68.4,1009.7,252.0
12,2015-01-14,-0.2,-2.5,3.2,3.1,0.0,254.2,20.9,68.8,1010.4,0.0
13,2015-01-15,1.9,-1.2,4.3,0.9,0.0,210.4,26.6,67.7,1005.0,30.0
14,2015-01-16,0.8,-0.2,3.4,2.6,0.0,221.7,12.2,43.2,1005.1,0.0
15,2015-01-17,-1.6,-3.9,-0.1,0.0,0.0,300.0,11.9,33.1,1012.7,12.0
16,2015-01-18,-3.5,-4.2,-2.8,0.0,0.0,222.1,18.0,39.6,1014.4,60.0
17,2015-01-19,-3.6,-4.7,-2.1,0.8,10.0,181.7,13.7,34.9,1009.8,252.0
18,2015-01-20,-5.0,-6.5,-3.8,0.0,10.0,292.1,6.8,22.0,1010.2,0.0
19,2015-01-21,-5.0,-6.7,-3.8,0.0,20.0,110.0,23.4,49.3,1010.3,0.0
20,2015-01-22,-4.3,-5.5,-3.3,0.0,20.0,52.5,16.6,43.9,1013.2,0.0
21,2015-01-23,-3.9,-5.2,-2.9,0.0,20.0,81.7,15.1,42.8,1021.5,0.0
22,2015-01-24,-4.3,-5.9,-2.2,3.0,20.0,253.8,15.1,44.3,1020.0,0.0
23,2015-01-25,-2.3,-3.2,-1.4,2.8,50.0,322.5,13.7,37.4,1026.3,0.0
24,2015-01-26,-2.1,-2.8,-0.6,10.1,70.0,262.9,16.6,49.7,1020.2,0.0
25,2015-01-27,-1.5,-2.2,-1.1,1.9,110.0,321.3,17.3,45.7,1018.9,0.0
26,2015-01-28,-1.6,-3.3,-0.6,8.1,110.0,255.4,22.3,68.0,1008.6,0.0
27,2015-01-29,-2.8,-4.5,-1.5,20.1,150.0,238.3,19.4,49.7,987.1,0.0
28,2015-01-30,-3.9,-5.5,-2.2,0.2,300.0,279.6,15.8,64.1,974.9,0.0
29,2015-01-31,-3.7,-4.7,-2.2,2.3,280.0,266.3,12.6,39.2,981.3,0.0
30,2015-02-01,-3.2,-4.7,-1.3,2.9,290.0,265.4,8.3,29.9,988.8,72.0
31,2015-02-02,-3.6,-4.4,-3.0,2.3,290.0,308.3,16.6,43.6,997.8,0.0
32,2015-02-03,-4.3,-6.3,-2.1,0.0,280.0,337.5,8.3,23.0,1002.3,0.0
33,2015-02-04,-6.6,-7.8,-5.6,0.0,270.0,105.0,15.5,56.5,1011.4,36.0
34,2015-02-05,-7.4,-8.5,-6.2,0.0,260.0,45.8,18.4,69.5,1017.9,66.0
35,2015-02-06,-7.3,-8.3,-6.0,0.0,250.0,65.0,27.7,71.3,1022.4,396.0
36,2015-02-07,-4.5,-7.9,-0.8,1.0,230.0,147.9,20.2,46.8,1026.7,474.0
37,2015-02-08,-3.7,-5.6,-1.7,0.7,230.0,342.5,19.8,56.5,1025.3,270.0
38,2015-02-09,-1.3,-3.6,-0.3,1.8,220.0,315.0,20.2,55.1,1026.0,0.0
39,2015-02-10,-0.6,-1.4,-0.2,0.0,210.0,263.8,11.9,38.5,1028.1,0.0
40,2015-02-11,-0.8,-3.3,3.7,0.0,190.0,119.6,15.1,32.4,1024.4,210.0
41,2015-02-12,-0.4,-4.7,4.2,0.0,180.0,207.5,11.5,24.8,1020.6,510.0
42,2015-02-13,0.9,-0.7,4.0,0.0,180.0,185.4,16.6,43.2,1015.7,480.0
43,2015-02-14,1.7,-1.2,4.3,0.1,170.0,150.0,17.3,40.3,1009.0,270.0
44,2015-02-15,-0.1,-2.9,1.6,0.0,150.0,99.6,22.7,41.4,1011.0,516.0
45,2015-02-16,-2.8,-3.8,-1.5,0.0,150.0,118.3,15.1,32.0,1018.0,0.0
