,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2017-11-02,,,,3.5,,,,,,
1,2017-11-03,,,,0.0,,,,,,
2,2017-11-04,,,,0.0,,,,,,
3,2017-11-05,,,,8.1,,,,,,
4,2017-11-06,,,,0.0,,,,,,
5,2017-11-07,,,,0.0,,,,,,
6,2017-11-08,,,,0.0,,,,,,
7,2017-11-09,,,,0.0,,,,,,
8,2017-11-10,,,,4.4,,,,,,
9,2017-11-11,,,,0.6,,,,,,
10,2017-11-12,,,,0.0,,,,,,
11,2017-11-13,,,,0.9,,,,,,
12,2017-11-14,,,,0.0,,,,,,
13,2017-11-15,,,,0.3,,,,,,
14,2017-11-16,,,,0.1,,,,,,
15,2017-11-17,,,,0.4,,,,,,
16,2017-11-18,,,,1.2,,,,,,
17,2017-11-19,,,,1.0,,,,,,
18,2017-11-20,,,,2.5,,,,,,
19,2017-11-21,,,,7.8,,,,,,
20,2017-11-22,,,,1.4,,,,,,
21,2017-11-23,,,,0.0,,,,,,
22,2017-11-24,,,,3.4,,,,,,
23,2017-11-25,,,,16.0,,,,,,
24,2017-11-26,,,,0.2,,,,,,
25,2017-11-27,,,,3.8,,,,,,
26,2017-11-28,,,,1.8,,,,,,
27,2017-11-29,,,,0.5,,,,,,
28,2017-11-30,,,,0.1,,,,,,
29,2017-12-01,,,,0.0,,,,,,
30,2017-12-02,,,,0.3,,,,,,
31,2017-12-03,,,,0.8,,,,,,
32,2017-12-04,,,,0.2,,,,,,
33,2017-12-05,,,,2.1,,,,,,
34,2017-12-06,,,,0.0,,,,,,
35,2017-12-07,,,,0.8,,,,,,
36,2017-12-08,,,,4.8,,,,,,
37,2017-12-09,,,,1.3,,,,,,
38,2017-12-10,,,,4.4,,,,,,
39,2017-12-11,,,,3.6,,,,,,
40,2017-12-12,,,,1.4,,,,,,
41,2017-12-13,,,,3.1,,,,,,
42,2017-12-14,,,,5.8,,,,,,
43,2017-12-15,,,,1.7,,,,,,
44,2017-12-16,,,,0.1,,,,,,
45,2017-12-17,,,,0.8,,,,,,
46,2017-12-18,,,,0.0,,,,,,
47,2017-12-19,,,,3.7,,,,,,
48,2017-12-20,,,,1.3,,,,,,
49,2017-12-21,,,,1.5,,,,,,
50,2017-12-22,,,,0.0,,,,,,
51,2017-12-23,,,,0.0,,,,,,
52,2017-12-24,,,,0.0,,,,,,
53,2017-12-25,,,,0.0,,,,,,
54,2017-12-26,,,,1.1,,,,,,
55,2017-12-27,,,,0.0,,,,,,
56,2017-12-28,,,,0.0,,,,,,
57,2017-12-29,,,,0.0,,,,,,
58,2017-12-30,,,,2.0,,,,,,
59,2017-12-31,,,,1.4,,,,,,
60,2018-01-01,,,,0.0,,,,,,
61,2018-01-02,,,,3.6,,,,,,
62,2018-01-03,,,,11.8,,,,,,
63,2018-01-04,,,,1.2,,,,,,
64,2018-01-05,,,,0.9,,,,,,
65,2018-01-06,,,,0.0,,,,,,
66,2018-01-07,,,,0.0,,,,,,
67,2018-01-08,,,,0.0,,,,,,
68,2018-01-09,,,,0.0,,,,,,
69,2018-01-10,,,,0.2,,,,,,
70,2018-01-11,,,,0.0,,,,,,
71,2018-01-12,,,,0.6,,,,,,
72,2018-01-13,,,,0.0,,,,,,
73,2018-01-14,,,,0.0,,,,,,
74,2018-01-15,,,,0.6,,,,,,
75,2018-01-16,,,,5.7,,,,,,
