,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2018-01-28,7.9,5.4,10.3,8.5,0.0,258.8,27.0,55.0,1022.2,
1,2018-01-29,8.7,5.5,10.6,11.5,0.0,270.4,29.2,61.0,1018.8,
2,2018-01-30,4.5,3.2,6.2,0.1,0.0,260.4,17.5,40.0,1024.1,
3,2018-02-01,2.4,1.1,4.1,0.0,0.0,221.7,21.0,46.0,996.3,
4,2018-02-02,3.0,2.1,4.5,0.3,0.0,256.7,13.5,35.0,999.8,
5,2018-02-03,0.1,-1.1,2.0,0.0,0.0,159.6,11.5,27.0,1006.6,
6,2018-02-04,-0.2,-1.8,1.0,4.7,30.0,151.7,12.5,35.0,1019.8,
7,2018-02-05,-0.2,-2.8,1.0,0.0,0.0,68.8,12.3,31.0,1029.6,
8,2018-02-08,-4.3,-8.6,0.6,0.0,0.0,110.8,4.8,20.0,1020.8,
9,2018-02-09,-2.1,-5.2,2.5,0.0,0.0,158.8,9.9,22.0,1015.6,
10,2018-02-10,-1.8,-6.8,1.6,0.0,0.0,177.1,8.0,26.0,1014.1,
11,2018-02-11,2.3,0.5,4.8,3.1,10.0,208.3,21.3,49.0,999.4,
12,2018-02-12,1.7,0.3,4.4,0.3,10.0,245.4,19.5,49.0,1007.4,
13,2018-02-13,,,,0.0,10.0,192.9,13.8,30.0,,
14,2018-02-14,,,,0.0,,,,,,
15,2018-02-15,1.4,0.8,2.2,1.3,0.0,179.2,20.2,47.0,1013.4,
16,2018-02-16,2.3,-0.1,5.7,0.0,0.0,249.6,13.4,41.0,1021.3,
17,2018-02-17,0.7,-2.4,5.2,0.0,0.0,133.3,3.4,13.0,1025.6,
18,2018-02-18,0.7,-3.9,5.3,0.0,0.0,163.3,6.9,25.0,1026.8,
19,2018-02-21,-1.1,-4.2,3.2,0.0,0.0,41.7,7.1,21.0,1027.2,
20,2018-02-22,-1.1,-4.0,2.0,0.2,0.0,49.6,5.4,16.0,1027.5,
21,2018-02-23,-1.0,-3.1,1.3,0.0,0.0,82.1,13.7,34.0,1027.2,
22,2018-02-24,-1.2,-4.8,1.8,0.0,0.0,85.0,17.0,46.0,1031.4,
23,2018-02-25,-4.3,-7.0,-2.2,0.5,10.0,57.5,12.7,36.0,1034.1,
24,2018-02-26,-4.1,-6.6,-1.0,0.0,10.0,47.9,16.8,41.0,1032.0,
25,2018-02-27,-5.0,-8.5,-2.2,0.1,0.0,66.7,14.5,53.0,1025.4,
26,2018-02-28,-8.9,-11.6,-6.5,0.0,0.0,94.2,20.9,49.0,1027.8,
27,2018-03-01,-7.1,-9.8,-3.3,0.0,0.0,96.3,24.8,52.0,,
28,2018-03-02,-7.3,-10.5,-3.2,0.0,0.0,93.8,22.5,49.0,1008.3,
29,2018-03-03,-6.2,-10.0,-2.1,0.0,0.0,105.4,19.7,44.0,1005.0,
30,2018-03-04,-1.9,-6.1,2.5,0.0,10.0,121.3,16.1,37.0,1000.8,
31,2018-03-05,5.0,0.5,10.4,1.9,10.0,173.3,14.1,40.0,995.1,
32,2018-03-06,3.3,-0.3,8.2,0.0,10.0,116.3,9.5,25.0,993.6,
33,2018-03-07,1.2,-1.4,3.7,1.4,10.0,80.8,4.2,10.0,995.0,
34,2018-03-08,4.1,1.1,8.9,3.6,,201.3,14.1,45.0,997.8,
35,2018-03-09,4.2,-0.2,7.7,1.6,0.0,225.8,17.5,54.0,1003.6,
36,2018-03-10,5.7,0.5,11.2,2.2,0.0,137.1,9.9,24.0,1002.0,
37,2018-03-11,11.6,8.4,14.9,0.4,0.0,160.8,11.2,33.0,996.7,
38,2018-03-12,7.6,2.4,12.3,0.8,0.0,132.5,3.0,16.0,992.4,
39,2018-03-13,5.3,3.2,8.0,0.1,0.0,288.3,12.1,37.0,999.1,
40,2018-03-14,3.8,2.7,5.3,0.2,0.0,179.2,10.5,25.0,1011.4,
41,2018-03-15,3.5,1.9,5.3,0.0,0.0,109.2,24.5,57.0,1006.7,
42,2018-03-16,0.7,-1.9,2.3,0.0,0.0,92.1,31.6,61.0,1009.3,
43,2018-03-17,-2.0,-3.6,0.3,0.0,0.0,89.6,36.5,75.0,1015.6,
