,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.8,2.7,8.4,0.7,0.0,240.4,27.0,64.4,,60.0
1,2015-01-03,4.4,2.7,5.8,0.2,0.0,256.3,27.7,64.1,,0.0
2,2015-01-04,3.5,1.6,5.4,0.2,0.0,294.6,24.1,52.6,,180.0
3,2015-01-05,3.6,2.4,4.1,0.1,0.0,283.8,22.7,53.3,,0.0
4,2015-01-06,1.9,-0.1,3.1,0.0,0.0,180.8,11.9,33.8,,0.0
5,2015-01-07,2.7,-0.6,5.8,0.1,0.0,222.1,12.6,29.9,,0.0
6,2015-01-08,4.0,1.0,6.8,7.9,0.0,213.8,17.3,52.9,,0.0
7,2015-01-09,6.5,3.4,9.5,16.3,0.0,257.9,29.9,85.3,,0.0
8,2015-01-10,8.8,4.8,13.2,3.4,0.0,256.3,31.0,99.0,,0.0
9,2015-01-11,3.4,1.5,5.1,2.0,0.0,262.9,32.4,68.8,,6.0
10,2015-01-12,5.9,3.8,7.9,3.1,0.0,232.1,22.7,48.6,,0.0
11,2015-01-13,9.8,7.5,12.0,0.6,0.0,218.8,23.0,52.9,,90.0
12,2015-01-14,5.6,2.4,8.0,1.7,0.0,228.8,17.6,65.9,,198.0
13,2015-01-15,5.0,0.3,10.0,1.5,0.0,186.7,20.9,47.5,,0.0
14,2015-01-16,7.3,4.4,10.0,0.0,0.0,204.2,11.9,37.4,,162.0
15,2015-01-17,3.1,-1.9,5.0,0.0,0.0,248.8,9.7,25.9,,66.0
16,2015-01-18,-0.2,-2.8,3.0,0.0,0.0,174.6,9.4,23.4,,444.0
17,2015-01-19,-0.8,-3.8,1.2,0.0,0.0,135.8,7.6,16.2,,114.0
18,2015-01-20,0.7,-0.1,1.7,2.4,0.0,136.3,5.8,19.4,,0.0
19,2015-01-21,-0.6,-1.9,0.2,0.0,0.0,231.7,7.6,22.3,,0.0
20,2015-01-22,-0.6,-1.6,0.1,0.0,0.0,40.4,11.2,25.9,,0.0
21,2015-01-23,-0.4,-1.2,0.5,0.0,0.0,279.2,10.1,23.8,,0.0
22,2015-01-24,0.0,-1.2,1.3,0.4,0.0,200.8,10.8,28.4,,120.0
23,2015-01-25,0.7,-0.8,1.6,0.0,0.0,276.3,12.2,25.9,,0.0
24,2015-01-26,2.5,1.3,4.4,6.2,0.0,192.9,13.7,34.9,,12.0
25,2015-01-27,3.2,0.2,4.7,0.0,0.0,289.6,19.4,41.8,,0.0
26,2015-01-28,3.3,0.6,5.5,3.6,0.0,218.3,19.4,51.1,,96.0
27,2015-01-29,2.2,0.2,4.2,2.5,0.0,205.0,20.2,47.9,,168.0
28,2015-01-30,0.7,-0.2,1.5,3.0,10.0,194.6,11.5,31.7,,0.0
29,2015-01-31,0.1,-1.3,1.0,0.2,20.0,254.6,12.2,28.8,,90.0
30,2015-02-01,1.1,-0.5,3.6,0.0,0.0,237.5,14.4,33.1,,90.0
31,2015-02-02,0.9,-0.6,2.7,1.4,0.0,246.7,16.2,40.3,,24.0
32,2015-02-03,-0.2,-1.7,0.8,0.4,0.0,283.3,10.4,26.3,,0.0
33,2015-02-04,-1.2,-1.8,-0.6,0.0,0.0,287.9,10.8,22.7,,0.0
34,2015-02-05,-1.0,-3.7,1.6,0.0,0.0,93.3,6.1,18.7,,390.0
35,2015-02-06,-4.1,-6.4,-2.3,0.0,0.0,62.9,6.8,17.6,,0.0
36,2015-02-07,-0.9,-5.9,3.8,0.0,0.0,257.9,18.0,52.9,,0.0
37,2015-02-08,1.5,-0.7,3.3,0.5,0.0,315.4,24.5,58.3,,456.0
38,2015-02-09,4.3,0.4,6.0,0.1,0.0,283.8,19.1,38.2,,0.0
39,2015-02-10,5.1,4.3,5.9,0.0,0.0,288.8,13.0,32.4,,0.0
40,2015-02-11,4.9,2.9,5.5,0.0,0.0,237.9,7.2,19.8,,0.0
41,2015-02-12,1.4,-0.3,2.9,0.0,0.0,173.8,7.6,19.4,,0.0
42,2015-02-13,0.3,-1.2,3.1,0.0,0.0,161.7,7.2,17.6,,180.0
43,2015-02-14,0.9,-3.6,6.4,0.0,0.0,115.4,8.3,19.4,,528.0
44,2015-02-15,1.7,-3.4,7.6,0.0,0.0,62.5,9.7,29.5,,504.0
45,2015-02-16,0.8,-1.3,3.1,0.0,0.0,110.8,17.3,39.2,,252.0
46,2015-02-17,0.5,-2.5,3.3,0.0,0.0,199.2,10.4,21.2,,294.0
47,2015-02-18,3.0,0.6,7.0,0.0,0.0,243.8,11.2,23.4,,384.0
48,2015-02-19,2.6,-0.9,7.2,0.0,0.0,217.1,10.8,25.6,,546.0
49,2015-02-20,2.9,-3.6,9.3,0.0,0.0,189.6,13.7,40.3,,276.0
50,2015-02-21,5.7,1.4,10.0,0.0,0.0,203.8,18.7,51.8,,156.0
51,2015-02-22,2.2,-0.5,5.2,0.0,0.0,223.8,10.4,24.1,,6.0
52,2015-02-23,1.5,-0.8,2.7,5.6,0.0,180.4,16.6,43.9,,0.0
53,2015-02-24,3.0,-0.2,6.7,0.0,0.0,192.9,13.0,35.3,,186.0
54,2015-02-25,3.0,-0.8,8.3,0.0,0.0,194.6,7.6,23.8,,258.0
55,2015-02-26,2.7,-2.5,9.1,0.0,0.0,146.7,10.1,26.6,,606.0
56,2015-02-27,3.5,-2.1,10.2,0.6,0.0,183.8,10.1,25.2,,540.0
57,2015-02-28,3.0,0.0,6.4,0.0,0.0,246.7,13.3,28.4,,366.0
58,2015-03-01,4.0,0.2,8.7,5.0,0.0,193.8,18.4,43.9,,108.0
59,2015-03-02,4.9,1.9,7.9,1.7,0.0,230.8,22.7,70.2,,180.0
60,2015-03-03,4.4,1.4,7.7,2.6,0.0,246.3,23.0,55.4,,342.0
61,2015-03-04,3.0,0.2,5.8,5.5,0.0,246.3,18.0,49.7,,210.0
62,2015-03-05,3.7,1.3,6.7,0.0,0.0,290.8,13.7,38.2,,78.0
63,2015-03-06,5.1,1.3,7.9,0.0,0.0,238.8,11.9,31.7,,0.0
64,2015-03-07,7.7,3.0,12.4,0.0,0.0,202.5,13.0,32.0,,420.0
65,2015-03-08,10.3,4.1,17.3,0.0,0.0,180.0,12.2,28.8,,570.0
