,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.1,,,1.3,0.0,,14.4,57.2,1019.1,
1,2015-01-03,3.9,,,1.4,0.0,,10.4,48.2,1018.5,
2,2015-01-04,3.4,,,1.0,0.0,,7.2,37.1,1025.8,
3,2015-01-05,2.4,,,0.0,0.0,,6.1,31.3,1029.2,
4,2015-01-06,1.9,,,0.9,0.0,,5.0,20.5,1023.3,
5,2015-01-07,3.5,,,0.4,0.0,,7.2,29.5,1023.6,
6,2015-01-08,4.7,,,17.0,0.0,,11.5,35.3,1018.0,
7,2015-01-09,7.0,,,8.3,0.0,,15.5,72.4,1011.1,
8,2015-01-10,8.9,,,5.8,0.0,,15.5,70.2,1002.7,
9,2015-01-11,3.6,,,8.7,0.0,,11.5,66.6,1008.8,
10,2015-01-12,6.4,,,10.5,0.0,,15.8,55.4,1010.1,
11,2015-01-13,8.2,,,11.1,0.0,,15.8,50.0,1003.5,
12,2015-01-14,4.1,,,1.5,0.0,,11.9,53.6,1006.1,
13,2015-01-15,6.2,,,2.8,0.0,,16.6,53.6,1000.6,
14,2015-01-16,6.0,,,0.0,0.0,,10.4,42.5,1004.0,
15,2015-01-17,1.5,,,0.0,0.0,,4.7,29.5,1012.0,
16,2015-01-18,0.2,,,0.3,0.0,,6.8,22.3,1013.8,
17,2015-01-19,-0.7,,,0.0,0.0,,1.1,11.2,1012.3,
18,2015-01-20,-0.3,,,0.1,0.0,,0.7,14.8,1011.5,
19,2015-01-21,-2.8,,,0.0,0.0,,3.6,25.9,1015.5,
20,2015-01-22,-0.8,,,0.0,0.0,,4.7,25.9,1019.4,
21,2015-01-23,-1.2,,,0.0,0.0,,4.0,18.4,1025.1,
22,2015-01-24,-1.5,,,1.2,0.0,,6.5,24.1,1018.9,
23,2015-01-25,0.2,,,2.8,10.0,,3.2,14.8,1025.0,
24,2015-01-26,2.9,,,5.8,0.0,,9.0,29.5,1017.3,
25,2015-01-27,2.6,,,0.0,0.0,,6.1,37.1,1016.4,
26,2015-01-28,3.5,,,5.2,0.0,,14.4,50.0,1003.1,
27,2015-01-29,1.7,,,5.2,0.0,,13.7,51.8,983.4,
28,2015-01-30,0.3,,,1.1,10.0,,2.5,18.4,973.7,
29,2015-01-31,0.4,,,1.5,0.0,,4.7,22.3,979.5,
30,2015-02-01,0.7,,,0.0,0.0,,5.4,25.9,988.3,
31,2015-02-02,0.6,,,3.0,0.0,,6.5,33.5,995.0,
32,2015-02-03,-0.3,,,0.2,0.0,,5.0,29.5,1001.3,
33,2015-02-04,-2.9,,,0.2,0.0,,2.5,22.3,1013.0,
34,2015-02-05,-2.5,,,0.6,10.0,,1.8,20.5,1023.9,
35,2015-02-06,-2.6,,,0.0,10.0,,2.9,20.5,1030.9,
36,2015-02-07,-1.0,,,0.7,0.0,,5.0,50.0,1027.1,
37,2015-02-08,2.1,,,1.5,0.0,,7.2,53.6,1024.6,
38,2015-02-09,5.1,,,2.5,0.0,,8.6,42.5,1022.5,
39,2015-02-10,5.2,,,0.4,0.0,,6.1,33.5,1027.6,
40,2015-02-11,3.8,,,0.0,0.0,,3.2,18.4,1026.8,
41,2015-02-12,0.3,,,0.0,0.0,,4.7,14.8,1022.5,
42,2015-02-13,1.3,,,0.0,0.0,,6.1,24.1,1016.9,
43,2015-02-14,2.9,,,0.0,0.0,,2.5,16.6,1012.2,
44,2015-02-15,1.2,,,0.0,0.0,,6.8,31.3,1017.3,
45,2015-02-16,2.0,,,0.0,0.0,,7.6,31.3,1020.8,
46,2015-02-17,0.4,,,0.0,0.0,,3.2,22.3,1030.6,
47,2015-02-19,1.0,,,0.0,,,8.3,37.1,,
48,2015-02-20,3.9,,,4.9,0.0,,11.9,48.2,1009.8,
49,2015-02-21,4.3,,,1.2,0.0,,10.1,50.0,996.2,
50,2015-02-22,2.6,,,0.8,0.0,,7.6,29.5,1006.5,
51,2015-02-23,2.3,,,2.9,0.0,,11.5,40.7,995.6,
52,2015-02-24,3.3,,,2.6,0.0,,10.8,46.4,1002.9,
53,2015-02-26,4.9,,,0.1,,,8.3,37.1,,
54,2015-02-27,3.7,,,5.0,0.0,,4.3,24.1,1012.1,
55,2015-02-28,2.4,,,2.0,0.0,,6.8,33.5,1016.4,
56,2015-03-01,4.4,,,7.8,0.0,,9.7,55.4,1000.4,
57,2015-03-02,4.6,,,3.2,0.0,,10.8,55.4,999.6,
58,2015-03-03,3.0,,,3.4,10.0,,10.4,51.8,1012.5,
59,2015-03-04,2.9,,,4.5,0.0,,9.7,46.4,1018.9,
60,2015-03-05,4.3,,,0.0,0.0,,6.1,31.3,1032.7,
61,2015-03-06,6.0,,,0.0,0.0,,6.1,31.3,1033.1,
62,2015-03-07,7.4,,,0.0,0.0,,10.4,33.5,1028.0,
63,2015-03-08,9.4,,,0.0,0.0,,7.6,27.7,1022.4,
64,2015-03-09,7.3,,,0.7,0.0,,2.9,18.4,1025.4,
65,2015-03-10,5.7,,,0.7,0.0,,4.0,33.5,1025.2,
66,2015-03-11,5.1,,,0.0,0.0,,6.1,31.3,1028.9,
67,2015-03-12,3.6,,,0.0,0.0,,4.7,25.9,1031.7,
68,2015-03-13,2.9,,,0.0,0.0,,5.8,31.3,1028.5,
69,2015-03-14,3.8,,,0.3,0.0,,4.3,29.5,1028.5,
70,2015-03-15,4.7,,,0.2,0.0,,7.6,33.5,1029.4,
71,2015-03-16,7.7,,,0.0,0.0,,8.3,40.7,1027.0,
72,2015-03-17,8.5,,,0.0,0.0,,5.4,29.5,1026.3,
73,2015-03-18,9.1,,,0.0,0.0,,4.3,22.3,1025.4,
74,2015-03-19,5.4,,,0.0,0.0,,2.5,20.5,1026.8,
75,2015-03-20,2.8,,,2.0,0.0,,3.6,22.3,1023.2,
76,2015-03-21,3.9,,,4.8,0.0,,6.8,33.5,1015.9,
77,2015-03-22,1.8,,,0.0,0.0,,6.5,53.6,1026.3,
78,2015-03-23,3.3,,,0.0,0.0,,4.3,27.7,1015.5,
79,2015-03-24,5.7,,,0.0,0.0,,2.2,22.3,1008.3,
80,2015-03-25,8.5,,,0.0,0.0,,6.8,42.5,1005.8,
81,2015-03-26,5.5,,,1.3,0.0,,5.4,22.3,1006.3,
82,2015-03-27,5.5,,,2.4,0.0,,7.9,33.5,1011.6,
83,2015-03-28,6.9,,,6.4,0.0,,8.6,37.1,1015.3,
84,2015-03-29,8.8,,,20.6,0.0,,14.0,57.2,994.2,
85,2015-03-30,4.4,,,16.5,0.0,,10.8,63.0,996.5,
86,2015-03-31,5.3,,,8.8,0.0,,15.1,74.2,991.5,
87,2015-04-01,2.8,,,9.4,0.0,,9.4,53.6,1007.8,
88,2015-04-02,2.7,,,1.8,0.0,,7.6,57.2,1009.7,
89,2015-04-03,4.5,,,0.3,0.0,,5.4,38.9,1017.7,
90,2015-04-04,3.3,,,0.7,0.0,,3.2,38.9,1017.6,
91,2015-04-05,4.2,,,0.0,0.0,,4.0,29.5,1023.5,
92,2015-04-06,6.5,,,0.0,0.0,,3.6,27.7,1029.0,
93,2015-04-07,5.9,,,0.0,0.0,,4.7,33.5,1032.8,
94,2015-04-08,7.1,,,0.0,0.0,,4.3,24.1,1031.6,
95,2015-04-09,8.5,,,0.0,0.0,,2.2,18.4,1027.4,
96,2015-04-10,11.9,,,0.0,0.0,,3.6,27.7,1019.9,
97,2015-04-11,11.1,,,1.4,0.0,,9.7,61.2,1016.4,
98,2015-04-12,9.6,,,0.8,0.0,,10.8,37.1,1024.7,
99,2015-04-13,8.0,,,0.0,0.0,,9.0,57.2,1026.6,
100,2015-04-14,8.9,,,0.0,0.0,,6.1,38.9,1023.2,
101,2015-04-15,14.8,,,0.0,0.0,,9.4,51.8,1014.2,
102,2015-04-16,8.8,,,0.0,0.0,,6.8,38.9,1014.8,
103,2015-04-17,7.1,,,0.0,0.0,,5.4,31.3,1017.1,
104,2015-04-18,7.9,,,0.0,0.0,,4.3,27.7,1024.7,
105,2015-04-19,8.4,,,0.0,0.0,,3.6,20.5,1022.8,
106,2015-04-20,10.8,,,0.0,0.0,,4.0,31.3,1026.0,
107,2015-04-21,10.3,,,0.0,0.0,,6.8,40.7,1027.7,
108,2015-04-22,9.6,,,0.0,0.0,,4.7,29.5,1024.4,
109,2015-04-23,8.3,,,0.0,0.0,,4.3,24.1,1018.4,
110,2015-04-24,10.9,,,0.2,0.0,,4.3,31.3,1011.5,
111,2015-04-25,11.3,,,3.2,0.0,,5.0,27.7,1006.6,
112,2015-04-26,11.3,,,14.8,0.0,,4.0,38.9,1005.4,
113,2015-04-27,7.9,,,0.7,0.0,,5.4,27.7,1006.0,
114,2015-04-28,5.6,,,1.2,0.0,,5.0,50.0,1013.9,
115,2015-04-29,8.0,,,0.0,0.0,,7.2,38.9,1017.2,
116,2015-04-30,8.7,,,2.2,0.0,,6.5,48.2,1010.5,
117,2015-05-01,7.1,,,0.0,0.0,,4.0,25.9,1007.6,
118,2015-05-02,7.4,,,0.0,0.0,,3.6,24.1,1011.3,
119,2015-05-03,11.8,,,5.3,0.0,,8.3,40.7,1005.7,
120,2015-05-04,15.3,,,1.6,0.0,,7.2,38.9,1006.1,
121,2015-05-05,16.9,,,4.4,0.0,,10.1,72.4,1001.5,
122,2015-05-06,12.9,,,4.4,0.0,,10.8,51.8,1009.9,
123,2015-05-07,11.1,,,3.4,0.0,,8.6,46.4,1014.9,
124,2015-05-08,12.8,,,0.0,0.0,,3.2,18.4,1016.4,
125,2015-05-09,14.0,,,1.4,0.0,,7.2,46.4,1014.2,
126,2015-05-10,11.2,,,0.0,0.0,,7.6,46.4,1023.9,
127,2015-05-11,15.6,,,0.0,0.0,,7.6,33.5,1021.9,
128,2015-05-12,15.7,,,,0.0,,6.8,51.8,1014.4,
129,2015-05-13,12.0,,,0.0,,,7.2,40.7,1015.9,
130,2015-05-14,9.5,,,0.0,0.0,,3.6,22.3,1012.9,
131,2015-05-15,9.8,,,0.0,0.0,,4.3,29.5,1016.3,
132,2015-05-16,7.6,,,1.4,0.0,,5.8,33.5,1019.8,
133,2015-05-17,10.1,,,0.0,0.0,,6.1,38.9,1021.1,
134,2015-05-18,12.6,,,1.0,0.0,,5.8,33.5,1009.0,
135,2015-05-19,11.6,,,0.1,0.0,,11.2,55.4,1005.0,
136,2015-05-20,9.8,,,0.0,0.0,,5.8,44.3,1012.5,
137,2015-05-21,9.7,,,0.0,0.0,,4.0,31.3,1022.4,
