,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-1.0,-4.6,2.6,2.0,80.0,222.9,15.1,40.0,1028.3,12.0
1,2015-01-03,0.2,-1.2,2.0,19.1,40.0,212.9,10.8,41.0,1021.6,0.0
2,2015-01-04,0.5,-0.5,1.1,0.0,50.0,297.5,25.2,49.0,1026.1,0.0
3,2015-01-05,-0.1,-3.0,2.6,0.0,40.0,254.6,10.8,30.2,1028.8,444.0
4,2015-01-06,-2.5,-6.3,0.7,0.0,40.0,143.8,8.6,18.4,1022.4,282.0
5,2015-01-07,-1.2,-4.6,1.6,0.2,40.0,202.1,9.4,45.0,1025.8,84.0
6,2015-01-08,2.8,-1.6,6.3,3.1,40.0,211.3,23.0,63.4,1024.0,0.0
7,2015-01-09,5.5,3.1,10.1,2.4,0.0,239.6,26.6,70.2,1020.8,0.0
8,2015-01-10,11.8,5.4,14.3,9.4,0.0,254.6,38.2,82.4,1010.9,150.0
9,2015-01-11,1.9,-0.3,5.4,0.3,0.0,284.6,27.4,72.0,1016.0,126.0
10,2015-01-12,2.7,0.7,4.5,0.0,0.0,232.1,21.2,61.6,1020.0,12.0
11,2015-01-13,5.5,0.2,10.3,0.1,0.0,211.3,20.9,49.7,1012.2,498.0
12,2015-01-14,4.6,0.0,8.0,4.4,0.0,235.0,21.2,96.8,1011.2,24.0
13,2015-01-15,2.2,-0.9,5.5,0.1,0.0,155.8,14.4,28.4,1008.4,12.0
14,2015-01-16,2.4,-0.8,5.2,6.1,0.0,167.9,8.3,35.3,1003.6,0.0
15,2015-01-17,1.8,0.1,4.9,2.3,0.0,271.7,9.7,38.5,1010.1,0.0
16,2015-01-18,0.9,-0.8,2.4,0.0,0.0,186.7,8.6,27.0,1012.8,156.0
17,2015-01-19,-0.3,-1.6,1.4,0.2,0.0,154.2,10.8,25.2,1008.1,126.0
18,2015-01-20,-0.7,-1.4,0.3,1.0,0.0,209.6,8.3,23.0,1006.9,0.0
19,2015-01-21,-0.6,-1.3,0.2,0.0,0.0,91.3,17.6,41.4,1007.1,0.0
20,2015-01-22,-0.7,-1.3,-0.2,0.7,0.0,185.4,11.5,27.7,1008.5,0.0
21,2015-01-23,-1.0,-1.6,-0.2,0.0,0.0,316.3,11.5,24.1,1016.8,0.0
22,2015-01-24,-1.1,-1.7,-0.5,1.1,0.0,301.3,9.7,28.4,1017.6,0.0
23,2015-01-25,-0.7,-1.7,0.4,0.2,20.0,301.7,14.8,40.0,1023.4,0.0
24,2015-01-26,-0.3,-1.4,2.5,1.6,0.0,239.6,14.8,42.8,1019.8,60.0
25,2015-01-27,0.2,-0.6,1.0,1.2,0.0,291.7,19.1,47.9,1016.2,6.0
26,2015-01-28,0.3,-0.6,1.4,1.2,20.0,230.0,20.9,76.3,1010.1,18.0
27,2015-01-29,0.6,-1.0,1.9,5.0,0.0,222.9,21.2,49.7,988.8,150.0
28,2015-01-30,-0.8,-2.9,0.6,1.1,40.0,227.5,18.7,52.9,974.2,18.0
29,2015-01-31,-1.3,-3.9,1.6,0.0,60.0,217.5,10.4,27.7,980.7,294.0
30,2015-02-01,-1.7,-4.6,0.3,2.5,40.0,219.2,10.1,29.2,987.9,6.0
31,2015-02-02,-1.4,-5.2,0.4,0.3,90.0,265.4,14.4,38.9,996.1,18.0
32,2015-02-03,-5.4,-10.2,-1.1,0.0,70.0,225.4,6.1,14.8,1000.8,462.0
33,2015-02-04,-7.5,-12.1,-3.9,0.0,60.0,236.7,7.9,25.6,1007.9,12.0
34,2015-02-05,-3.9,-5.4,-2.8,0.0,70.0,41.7,20.5,41.4,1011.5,12.0
35,2015-02-06,-4.5,-7.3,-1.7,0.0,60.0,53.8,21.2,47.9,1016.4,426.0
36,2015-02-07,-6.0,-9.9,-1.7,0.2,60.0,148.3,11.2,25.6,1023.3,534.0
37,2015-02-08,-2.1,-4.8,0.9,0.0,60.0,305.8,17.3,54.7,1021.0,234.0
38,2015-02-09,-1.2,-3.8,0.7,0.1,60.0,269.6,15.8,47.9,1024.4,0.0
39,2015-02-10,1.0,-0.1,2.5,0.0,60.0,233.3,7.9,23.8,1025.6,24.0
40,2015-02-11,-0.6,-1.9,0.5,0.0,20.0,117.1,13.3,28.1,1023.0,0.0
41,2015-02-12,-2.3,-3.0,-1.7,0.0,20.0,141.3,13.7,24.1,1020.6,0.0
42,2015-02-13,-2.8,-3.5,-2.0,0.0,20.0,140.8,12.2,19.8,1016.6,0.0
43,2015-02-14,-3.3,-4.4,-1.8,0.0,20.0,130.4,9.4,18.0,1009.7,0.0
44,2015-02-15,-2.2,-3.4,-0.7,0.0,10.0,117.9,6.5,11.5,1009.4,0.0
45,2015-02-16,-1.3,-2.5,-0.6,0.0,0.0,130.0,5.0,10.1,1015.8,0.0
46,2015-02-17,-2.3,-4.0,-1.5,0.0,0.0,261.3,5.8,16.9,1027.2,0.0
47,2015-02-18,-2.2,-2.8,-1.7,0.0,0.0,144.6,5.4,12.6,1035.6,0.0
48,2015-02-19,-2.7,-4.3,-0.3,0.0,0.0,167.9,7.2,15.5,1027.9,0.0
49,2015-02-20,-0.3,-6.2,6.2,0.0,0.0,150.0,10.4,23.0,1014.0,396.0
50,2015-02-21,0.4,-4.2,4.7,1.5,0.0,192.5,10.1,34.6,998.5,0.0
51,2015-02-22,1.3,-1.9,3.9,0.0,0.0,272.1,9.4,23.8,1004.7,0.0
52,2015-02-23,-0.4,-3.0,2.4,1.7,0.0,173.8,12.2,32.0,999.6,0.0
53,2015-02-24,2.2,-0.2,4.5,0.0,0.0,249.2,11.2,34.9,1005.3,6.0
54,2015-02-25,1.8,-1.1,5.4,0.1,0.0,216.3,6.5,20.9,1015.1,78.0
55,2015-02-26,0.4,-4.7,6.0,0.0,0.0,135.8,9.7,26.6,1016.0,588.0
56,2015-02-27,-0.5,-4.1,1.7,3.4,0.0,191.7,10.1,30.6,1009.6,126.0
57,2015-02-28,0.9,-1.3,4.8,0.0,0.0,239.2,11.2,28.8,1015.9,0.0
58,2015-03-01,2.7,-2.2,6.5,1.9,0.0,192.5,21.2,56.2,1006.2,6.0
59,2015-03-02,4.7,0.8,7.6,1.0,0.0,255.4,28.8,90.4,1004.1,6.0
60,2015-03-03,3.8,0.0,8.0,0.1,0.0,240.8,19.4,47.5,1016.9,444.0
61,2015-03-04,2.4,-0.4,5.9,0.0,0.0,284.6,17.6,54.7,1021.3,126.0
62,2015-03-05,1.8,-0.6,5.1,0.0,0.0,310.0,15.8,41.4,1029.7,138.0
63,2015-03-06,2.5,-1.5,6.7,0.0,0.0,241.3,7.2,19.4,1032.4,6.0
64,2015-03-07,3.5,-1.8,8.9,0.0,0.0,132.9,10.1,28.8,1029.1,582.0
65,2015-03-08,5.6,-1.6,13.7,0.0,0.0,126.7,10.4,26.3,1022.3,546.0
66,2015-03-09,7.4,-0.7,14.2,0.0,0.0,176.7,5.8,19.4,1020.5,600.0
67,2015-03-10,6.6,-0.5,14.3,4.3,0.0,219.6,10.1,35.6,1021.3,456.0
68,2015-03-11,4.3,0.8,7.5,0.0,0.0,335.0,15.5,38.5,1023.1,468.0
69,2015-03-12,2.7,-1.5,8.5,0.0,0.0,192.1,11.5,27.4,1024.3,162.0
70,2015-03-13,1.4,-2.1,3.8,0.0,0.0,80.0,11.9,30.6,1018.8,0.0
71,2015-03-14,2.3,0.3,4.5,0.0,0.0,46.3,12.2,28.8,1018.8,0.0
72,2015-03-15,4.5,1.3,9.0,0.0,0.0,80.0,16.2,40.7,1018.1,276.0
73,2015-03-16,7.1,1.4,14.2,0.0,0.0,104.2,18.0,39.2,1017.6,528.0
74,2015-03-17,9.7,3.7,15.9,0.0,0.0,99.6,15.8,36.7,1018.2,390.0
75,2015-03-18,9.5,4.4,16.1,0.0,0.0,143.8,8.6,26.3,1018.4,600.0
76,2015-03-19,7.8,1.5,13.5,0.0,0.0,110.4,9.0,30.6,1019.2,672.0
77,2015-03-20,7.4,1.2,13.9,0.0,0.0,200.8,6.1,18.7,1017.3,660.0
78,2015-03-21,5.1,-1.8,13.2,0.2,0.0,232.1,14.0,41.4,1011.3,348.0
79,2015-03-22,3.8,-0.7,7.5,0.0,0.0,166.7,16.6,37.1,1015.4,6.0
80,2015-03-23,3.8,1.1,5.2,0.0,0.0,120.4,11.2,22.3,1012.2,0.0
81,2015-03-24,5.4,-1.9,13.3,0.0,0.0,131.3,9.4,20.5,1004.5,366.0
82,2015-03-25,10.4,4.4,16.5,0.0,0.0,113.3,15.5,45.4,998.0,414.0
83,2015-03-26,4.9,3.6,6.4,0.9,0.0,280.4,17.3,48.2,1004.1,0.0
84,2015-03-27,5.2,3.5,8.1,0.5,0.0,281.3,17.3,58.7,1013.2,132.0
85,2015-03-28,7.0,2.3,11.9,0.5,0.0,266.3,11.2,36.4,1015.7,468.0
86,2015-03-29,8.6,6.5,11.2,7.7,0.0,,30.2,68.4,1003.1,0.0
87,2015-03-30,5.9,2.8,8.7,1.6,0.0,273.3,28.8,77.0,1001.1,120.0
88,2015-03-31,7.7,0.0,13.0,6.8,0.0,255.0,41.0,122.8,1000.2,78.0
89,2015-04-01,2.4,-0.2,5.7,1.5,0.0,277.9,31.3,70.6,1013.2,234.0
90,2015-04-02,3.0,0.5,6.8,4.6,0.0,265.0,28.8,77.8,1011.2,204.0
91,2015-04-03,4.4,-1.7,10.1,0.1,0.0,217.1,8.6,25.2,1015.4,582.0
92,2015-04-04,3.3,1.0,4.9,2.1,0.0,182.1,10.4,39.2,1009.8,0.0
93,2015-04-05,2.8,-1.7,7.6,0.0,0.0,44.6,15.8,40.3,1016.5,444.0
94,2015-04-06,2.0,-1.6,7.1,0.0,0.0,242.5,14.0,58.3,1022.8,198.0
95,2015-04-07,3.7,-2.4,9.6,0.0,0.0,237.5,7.2,21.6,1030.4,696.0
96,2015-04-08,7.0,-1.0,14.2,0.0,0.0,248.8,8.6,32.8,1027.2,696.0
97,2015-04-09,10.2,4.1,16.7,0.0,0.0,122.1,8.3,32.4,1022.4,702.0
98,2015-04-10,12.5,3.5,20.4,0.0,0.0,110.4,6.5,18.7,1017.0,576.0
99,2015-04-11,12.5,7.0,17.3,0.0,0.0,222.9,14.0,46.1,1017.9,90.0
100,2015-04-12,12.0,7.0,17.4,0.0,0.0,248.3,6.1,22.7,1023.8,270.0
101,2015-04-13,11.7,8.1,16.2,0.0,0.0,294.2,16.9,55.1,1023.4,366.0
102,2015-04-14,12.1,5.3,18.3,0.0,0.0,287.1,11.9,42.1,1022.8,630.0
103,2015-04-15,15.4,5.7,23.1,0.0,0.0,191.7,10.8,32.0,1014.2,738.0
104,2015-04-16,16.1,9.2,21.5,0.0,0.0,234.6,10.1,25.2,1008.2,408.0
105,2015-04-17,11.5,5.2,15.9,1.2,0.0,260.0,15.5,47.5,1008.1,78.0
106,2015-04-18,6.1,1.3,11.2,0.0,0.0,103.3,13.0,37.1,1018.2,720.0
107,2015-04-19,7.5,0.0,13.4,0.0,0.0,84.2,15.1,41.4,1016.2,792.0
108,2015-04-20,10.2,2.6,16.9,0.0,0.0,293.8,10.4,37.4,1019.2,780.0
109,2015-04-21,12.8,3.9,20.4,0.0,0.0,306.3,12.2,34.9,1022.0,798.0
110,2015-04-22,10.3,2.1,17.5,0.0,0.0,299.2,17.3,51.8,1018.2,774.0
111,2015-04-23,5.6,0.2,11.6,0.0,0.0,200.0,7.2,26.3,1014.5,258.0
112,2015-04-24,10.2,0.6,18.1,0.0,0.0,162.9,8.3,26.3,1010.4,768.0
113,2015-04-25,11.5,4.2,18.4,1.3,0.0,183.8,11.2,38.9,1006.8,78.0
114,2015-04-26,14.3,9.9,19.0,0.0,0.0,189.6,11.5,35.3,1003.1,252.0
115,2015-04-27,15.1,7.9,22.4,14.1,0.0,247.9,13.7,55.4,995.7,582.0
116,2015-04-28,7.1,3.5,10.1,4.5,0.0,290.4,20.5,50.0,1008.8,72.0
117,2015-04-29,7.6,0.9,13.1,0.0,0.0,130.4,12.2,35.3,1014.2,522.0
118,2015-04-30,9.6,4.9,14.7,3.4,0.0,198.8,11.9,49.0,1010.4,234.0
119,2015-05-01,7.6,6.5,9.0,12.0,,145.8,8.6,27.4,1003.3,0.0
120,2015-05-02,9.4,6.4,13.1,5.6,,231.3,6.5,16.2,1006.4,12.0
121,2015-05-03,12.9,9.7,15.6,3.1,,181.3,13.7,31.3,1003.3,0.0
122,2015-05-04,16.4,12.7,21.0,0.0,,209.2,14.0,37.1,1005.1,276.0
123,2015-05-05,16.5,12.6,20.9,20.2,,184.2,13.7,35.3,1002.6,6.0
124,2015-05-06,12.7,9.1,16.2,2.5,,220.8,10.8,32.0,1010.9,282.0
125,2015-05-07,12.1,8.3,17.2,0.0,,243.8,11.9,38.2,1014.5,390.0
126,2015-05-08,14.4,7.2,21.0,0.0,,124.2,9.0,23.0,1010.3,564.0
127,2015-05-09,14.6,12.0,17.7,0.5,,271.3,12.6,57.6,1014.8,180.0
128,2015-05-10,14.1,10.2,18.7,0.0,,286.3,16.6,50.4,1021.2,576.0
129,2015-05-11,15.8,9.2,21.1,0.0,,119.6,13.0,33.8,1019.4,690.0
130,2015-05-12,18.8,10.0,26.3,0.0,,169.2,16.2,52.6,1013.5,654.0
131,2015-05-13,16.1,11.2,21.6,13.7,,203.3,10.4,69.1,1011.4,522.0
132,2015-05-14,14.3,10.7,18.9,0.2,,267.9,10.8,40.0,1005.8,402.0
133,2015-05-15,12.8,9.6,16.0,0.0,,142.5,9.7,31.0,1007.6,0.0
134,2015-05-16,13.6,7.1,19.6,0.7,,275.0,13.3,41.0,1016.8,552.0
135,2015-05-17,12.8,9.7,17.2,0.0,,305.8,11.9,32.0,1018.7,282.0
136,2015-05-18,15.3,8.3,21.9,0.0,,162.5,9.7,33.8,1006.9,750.0
137,2015-05-19,13.0,9.9,16.6,0.0,,265.0,10.4,32.8,1004.5,48.0
138,2015-05-20,8.7,6.3,10.5,0.9,,221.7,8.3,28.4,1010.3,36.0
139,2015-05-21,9.4,5.3,14.7,0.0,,257.9,10.4,28.8,1018.0,66.0
140,2015-05-22,11.3,4.3,16.9,0.0,,193.3,9.4,27.0,1018.9,522.0
141,2015-05-23,12.6,6.8,18.1,0.0,,225.0,10.4,35.6,1013.2,198.0
142,2015-05-24,13.0,9.3,15.6,0.0,,130.8,6.5,20.5,1013.1,12.0
143,2015-05-25,13.2,9.8,19.9,4.9,,222.1,10.4,45.4,1009.2,174.0
144,2015-05-26,10.4,7.6,13.9,0.9,,320.8,15.8,35.3,1012.3,132.0
145,2015-05-27,9.1,6.6,13.7,0.0,,295.8,14.0,32.4,1017.9,294.0
146,2015-05-28,12.7,4.7,20.2,0.1,,198.8,8.3,29.9,1012.4,690.0
147,2015-05-29,15.1,9.4,20.3,0.0,,223.3,10.8,49.3,1007.1,372.0
148,2015-05-30,12.4,8.7,15.3,0.8,,276.7,16.9,51.5,1010.5,276.0
149,2015-05-31,14.6,7.2,20.7,0.0,,178.8,8.6,29.5,1011.4,504.0
150,2015-06-01,15.6,10.7,22.4,3.7,,217.9,11.9,49.0,1011.3,178.0
151,2015-06-02,18.5,11.1,24.9,0.0,,206.3,12.2,36.0,1012.5,548.0
152,2015-06-03,20.2,13.9,27.2,0.0,,243.3,15.1,43.2,1015.8,786.0
153,2015-06-04,20.3,12.3,27.2,0.0,,212.1,8.6,23.4,1018.5,893.0
154,2015-06-05,22.6,15.5,29.6,0.0,,110.8,9.4,23.0,1014.9,910.0
155,2015-06-06,23.4,16.7,30.7,1.4,,202.1,9.4,50.4,1015.3,633.0
156,2015-06-07,21.3,16.6,27.4,16.7,,144.2,9.4,35.6,1018.0,556.0
157,2015-06-08,13.5,10.9,17.0,15.1,,232.9,13.7,36.0,1016.8,0.0
158,2015-06-09,11.3,10.5,12.5,0.0,,149.2,13.0,33.5,1018.1,0.0
159,2015-06-10,14.3,10.5,17.9,0.0,,57.5,9.7,26.3,1017.3,2.0
160,2015-06-11,17.7,13.5,22.1,0.0,,102.1,9.0,23.0,1012.7,306.0
161,2015-06-12,21.2,14.5,28.2,0.0,,107.1,6.1,16.6,1006.1,701.0
162,2015-06-13,19.9,15.3,24.1,0.0,,259.2,10.1,37.4,1005.2,444.0
163,2015-06-14,20.1,14.1,26.2,0.0,,211.3,9.7,31.0,1003.6,534.0
164,2015-06-15,17.0,12.3,20.1,0.0,,177.1,10.1,27.4,1008.8,1.0
165,2015-06-16,15.7,9.9,21.7,0.0,,176.7,10.1,33.8,1013.8,565.0
166,2015-06-17,14.6,9.1,19.8,0.0,,172.5,9.7,30.2,1016.3,421.0
167,2015-06-18,13.5,11.4,15.2,8.9,,245.8,11.5,35.6,1011.7,0.0
168,2015-06-19,11.7,8.8,14.4,1.2,,304.2,16.2,37.4,1012.3,77.0
169,2015-06-20,10.4,8.6,14.0,0.9,,299.6,15.1,45.0,1014.3,100.0
170,2015-06-21,12.9,8.4,18.0,4.6,,237.5,8.6,32.8,1013.1,75.0
171,2015-06-22,13.2,10.8,18.0,7.9,,225.4,15.1,63.7,1007.2,99.0
172,2015-06-23,10.5,8.6,15.2,4.0,,272.9,18.4,53.6,1008.8,251.0
173,2015-06-24,13.8,8.6,19.8,0.0,,254.2,8.6,30.2,1016.7,654.0
174,2015-06-25,16.4,9.3,22.5,0.0,,117.5,5.0,18.7,1017.6,721.0
175,2015-06-26,19.1,11.0,24.9,0.0,,218.8,6.5,28.4,1015.3,637.0
176,2015-06-27,17.6,14.7,22.8,0.3,,207.9,11.2,51.1,1012.5,149.0
177,2015-06-28,17.8,13.3,23.0,0.0,,276.3,9.7,29.9,1015.8,703.0
178,2015-06-29,20.1,14.8,26.1,0.0,,200.8,7.2,26.3,1015.3,573.0
179,2015-06-30,22.0,14.2,28.6,0.0,,204.2,7.9,29.2,1014.2,832.0
180,2015-07-01,23.3,15.8,28.9,0.0,,116.7,11.2,28.1,1013.7,908.0
181,2015-07-02,24.8,18.7,30.6,0.0,,105.4,11.5,31.7,1015.2,844.0
182,2015-07-03,24.7,18.8,30.9,0.0,,130.4,10.1,27.4,1017.3,633.0
183,2015-07-04,27.0,19.4,33.5,0.0,,135.4,10.4,26.3,1014.4,770.0
184,2015-07-05,27.9,20.4,34.4,0.0,,142.9,11.5,49.7,1009.6,851.0
185,2015-07-06,24.0,20.5,28.6,0.0,,285.4,15.5,41.8,1013.1,697.0
186,2015-07-07,25.5,17.7,33.4,16.7,,138.8,12.6,121.0,1005.7,776.0
187,2015-07-08,18.2,14.9,20.9,1.5,,286.3,20.2,58.3,1007.6,380.0
188,2015-07-09,14.6,10.3,17.9,1.1,,295.4,21.2,72.4,1014.2,371.0
189,2015-07-10,16.0,8.4,22.6,0.0,,289.6,8.6,32.8,1016.7,868.0
190,2015-07-11,20.6,12.3,29.0,0.0,,185.4,11.9,50.4,1011.1,785.0
191,2015-07-12,21.3,16.6,27.1,0.0,,288.3,15.8,48.6,1011.3,641.0
192,2015-07-13,17.3,15.4,19.4,0.1,,275.0,10.8,31.3,1013.3,0.0
193,2015-07-14,20.4,15.4,25.1,0.0,,270.0,15.5,43.6,1012.3,187.0
