,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,1.1,,,,,,
1,2015-01-03,,,,1.1,,,,,,
2,2015-01-04,,,,0.6,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.5,,,,,,
6,2015-01-08,,,,3.9,,,,,,
7,2015-01-09,,,,0.3,,,,,,
8,2015-01-10,,,,5.2,,,,,,
9,2015-01-11,,,,0.0,,,,,,
10,2015-01-12,,,,0.0,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,8.7,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,3.6,,,,,,
15,2015-01-17,,,,2.9,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,3.7,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.5,,,,,,
21,2015-01-23,,,,1.0,,,,,,
22,2015-01-24,,,,0.4,,,,,,
23,2015-01-25,,,,3.8,,,,,,
24,2015-01-26,,,,3.0,,,,,,
25,2015-01-27,,,,0.8,,,,,,
26,2015-01-28,,,,0.3,,,,,,
27,2015-01-29,,,,0.4,,,,,,
28,2015-01-30,,,,1.3,,,,,,
29,2015-01-31,,,,2.2,,,,,,
30,2015-02-01,,,,0.0,,,,,,
31,2015-02-02,,,,0.8,,,,,,
32,2015-02-03,,,,0.0,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.2,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,0.7,,,,,,
38,2015-02-09,,,,0.2,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.0,,,,,,
51,2015-02-22,,,,0.0,,,,,,
52,2015-02-23,,,,0.3,,,,,,
53,2015-02-24,,,,0.0,,,,,,
54,2015-02-25,,,,0.0,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,0.1,,,,,,
57,2015-02-28,,,,1.0,,,,,,
58,2015-03-01,,,,2.2,,,,,,
59,2015-03-02,,,,1.6,,,,,,
60,2015-03-03,,,,0.8,,,,,,
61,2015-03-04,,,,1.4,,,,,,
62,2015-03-05,,,,0.6,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,0.7,,,,,,
68,2015-03-11,,,,0.2,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.1,,,,,,
71,2015-03-14,,,,1.4,,,,,,
72,2015-03-15,,,,2.8,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,0.1,,,,,,
79,2015-03-22,,,,0.4,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.0,,,,,,
83,2015-03-26,,,,0.0,,,,,,
84,2015-03-27,,,,1.1,,,,,,
85,2015-03-28,,,,0.2,,,,,,
86,2016-09-02,,,,0.0,,,,,,
87,2016-09-03,,,,0.0,,,,,,
88,2016-09-04,,,,17.0,,,,,,
89,2016-09-05,,,,1.6,,,,,,
90,2016-09-06,,,,0.0,,,,,,
91,2016-09-07,,,,0.0,,,,,,
92,2016-09-08,,,,0.0,,,,,,
93,2016-09-09,,,,0.0,,,,,,
94,2016-09-10,,,,0.0,,,,,,
95,2016-09-11,,,,0.0,,,,,,
96,2016-09-12,,,,0.0,,,,,,
97,2016-09-13,,,,0.0,,,,,,
98,2016-09-14,,,,0.0,,,,,,
99,2016-09-15,,,,0.0,,,,,,
100,2016-09-16,,,,3.5,,,,,,
101,2016-09-17,,,,41.2,,,,,,
102,2016-09-18,,,,2.9,,,,,,
103,2016-09-19,,,,2.0,,,,,,
104,2016-09-20,,,,0.0,,,,,,
105,2016-09-21,,,,0.0,,,,,,
106,2016-09-22,,,,0.0,,,,,,
107,2016-09-23,,,,0.0,,,,,,
108,2016-09-24,,,,0.0,,,,,,
109,2016-09-25,,,,0.0,,,,,,
110,2016-09-26,,,,0.0,,,,,,
111,2016-09-27,,,,0.2,,,,,,
112,2016-09-28,,,,0.0,,,,,,
113,2016-09-29,,,,0.0,,,,,,
114,2016-09-30,,,,0.7,,,,,,
115,2016-10-01,,,,3.3,,,,,,
116,2016-10-02,,,,0.7,,,,,,
117,2016-10-03,,,,2.2,,,,,,
118,2016-10-04,,,,2.5,,,,,,
119,2016-10-05,,,,1.8,,,,,,
120,2016-10-06,,,,5.5,,,,,,
121,2016-10-07,,,,0.5,,,,,,
122,2016-10-08,,,,1.8,,,,,,
123,2016-10-09,,,,0.1,,,,,,
124,2016-10-10,,,,0.0,,,,,,
125,2016-10-11,,,,1.9,,,,,,
126,2016-10-12,,,,3.9,,,,,,
127,2016-10-13,,,,0.8,,,,,,
128,2016-10-14,,,,0.0,,,,,,
129,2016-10-15,,,,0.0,,,,,,
130,2016-10-16,,,,0.0,,,,,,
131,2016-10-17,,,,0.0,,,,,,
132,2016-10-18,,,,1.0,,,,,,
133,2016-10-19,,,,2.7,,,,,,
134,2016-10-20,,,,1.8,,,,,,
135,2016-10-21,,,,0.2,,,,,,
136,2016-10-22,,,,4.5,,,,,,
137,2016-10-23,,,,0.0,,,,,,
138,2016-10-24,,,,6.4,,,,,,
139,2016-10-25,,,,8.5,,,,,,
140,2016-10-26,,,,0.0,,,,,,
141,2016-10-27,,,,0.0,,,,,,
142,2016-10-28,,,,0.0,,,,,,
143,2016-10-29,,,,0.0,,,,,,
144,2016-10-30,,,,0.2,,,,,,
145,2016-10-31,,,,0.0,,,,,,
146,2016-11-01,,,,0.0,,,,,,
147,2016-11-02,,,,1.6,,,,,,
148,2016-11-03,,,,1.0,,,,,,
149,2016-11-04,,,,0.0,,,,,,
150,2016-11-05,,,,7.5,,,,,,
151,2016-11-06,,,,0.0,,,,,,
152,2016-11-07,,,,1.2,,,,,,
153,2016-11-08,,,,0.9,,,,,,
154,2016-11-09,,,,0.0,,,,,,
155,2016-11-10,,,,3.2,,,,,,
156,2016-11-11,,,,0.0,,,,,,
157,2016-11-12,,,,0.0,,,,,,
158,2016-11-13,,,,0.0,,,,,,
159,2016-11-14,,,,0.0,,,,,,
160,2016-11-15,,,,1.8,,,,,,
161,2016-11-16,,,,2.5,,,,,,
162,2016-11-17,,,,0.2,,,,,,
163,2016-11-18,,,,2.6,,,,,,
164,2016-11-19,,,,1.4,,,,,,
165,2016-11-20,,,,0.0,,,,,,
166,2016-11-21,,,,0.0,,,,,,
167,2016-11-22,,,,0.0,,,,,,
168,2016-11-23,,,,0.0,,,,,,
169,2016-11-24,,,,0.0,,,,,,
170,2016-11-25,,,,0.0,,,,,,
171,2016-11-26,,,,0.0,,,,,,
172,2016-11-27,,,,0.1,,,,,,
173,2016-11-28,,,,0.0,,,,,,
174,2016-11-29,,,,0.0,,,,,,
175,2016-11-30,,,,0.0,,,,,,
176,2016-12-01,,,,0.2,,,,,,
177,2016-12-02,,,,4.2,,,,,,
178,2016-12-03,,,,0.0,,,,,,
179,2016-12-04,,,,0.0,,,,,,
180,2016-12-05,,,,0.0,,,,,,
181,2016-12-06,,,,0.0,,,,,,
182,2016-12-07,,,,0.0,,,,,,
183,2016-12-08,,,,0.0,,,,,,
184,2016-12-09,,,,0.0,,,,,,
185,2016-12-10,,,,0.0,,,,,,
186,2016-12-11,,,,0.5,,,,,,
187,2016-12-12,,,,2.5,,,,,,
188,2016-12-13,,,,0.3,,,,,,
189,2016-12-14,,,,0.1,,,,,,
190,2016-12-15,,,,0.0,,,,,,
191,2016-12-16,,,,0.0,,,,,,
192,2016-12-17,,,,0.0,,,,,,
193,2016-12-18,,,,0.0,,,,,,
194,2016-12-19,,,,0.1,,,,,,
195,2016-12-20,,,,0.0,,,,,,
196,2016-12-21,,,,0.0,,,,,,
197,2016-12-22,,,,1.9,,,,,,
198,2016-12-23,,,,0.0,,,,,,
199,2016-12-24,,,,1.1,,,,,,
200,2016-12-25,,,,0.2,,,,,,
201,2016-12-26,,,,0.7,,,,,,
202,2016-12-27,,,,0.0,,,,,,
203,2016-12-28,,,,0.0,,,,,,
204,2016-12-29,,,,0.2,,,,,,
205,2016-12-30,,,,0.0,,,,,,
206,2016-12-31,,,,0.0,,,,,,
207,2017-01-01,,,,0.0,,,,,,
208,2017-01-02,,,,1.2,,,,,,
209,2017-01-03,,,,0.9,,,,,,
210,2017-01-04,,,,4.6,,,,,,
211,2017-01-05,,,,3.6,,,,,,
212,2017-01-06,,,,0.0,,,,,,
213,2017-01-07,,,,1.5,,,,,,
214,2017-01-08,,,,1.7,,,,,,
215,2017-01-09,,,,0.0,,,,,,
216,2017-01-10,,,,0.0,,,,,,
217,2017-01-11,,,,0.8,,,,,,
218,2017-01-12,,,,0.0,,,,,,
219,2017-01-13,,,,2.2,,,,,,
220,2017-01-14,,,,2.1,,,,,,
221,2017-01-15,,,,1.5,,,,,,
222,2017-01-16,,,,0.4,,,,,,
223,2017-01-17,,,,0.0,,,,,,
224,2017-01-18,,,,0.0,,,,,,
225,2017-01-19,,,,0.0,,,,,,
226,2017-01-20,,,,0.0,,,,,,
227,2017-01-21,,,,0.0,,,,,,
228,2017-01-22,,,,0.0,,,,,,
229,2017-01-23,,,,0.0,,,,,,
230,2017-01-24,,,,0.0,,,,,,
231,2017-01-25,,,,0.0,,,,,,
232,2017-01-26,,,,0.0,,,,,,
233,2017-01-27,,,,0.0,,,,,,
234,2017-01-28,,,,0.0,,,,,,
235,2017-01-29,,,,0.0,,,,,,
236,2017-01-30,,,,0.7,,,,,,
237,2017-01-31,,,,2.0,,,,,,
238,2017-02-01,,,,0.0,,,,,,
239,2017-02-02,,,,0.9,,,,,,
240,2017-02-03,,,,2.5,,,,,,
241,2017-02-04,,,,0.0,,,,,,
242,2017-02-05,,,,0.3,,,,,,
243,2017-02-06,,,,0.0,,,,,,
244,2017-02-07,,,,0.0,,,,,,
245,2017-02-08,,,,0.0,,,,,,
246,2017-02-09,,,,0.0,,,,,,
247,2017-02-10,,,,0.0,,,,,,
248,2017-02-11,,,,0.9,,,,,,
249,2017-02-12,,,,0.0,,,,,,
250,2017-02-13,,,,0.0,,,,,,
251,2017-02-14,,,,0.0,,,,,,
252,2017-02-15,,,,0.0,,,,,,
253,2017-02-16,,,,0.9,,,,,,
254,2017-02-17,,,,3.0,,,,,,
255,2017-02-18,,,,0.4,,,,,,
256,2017-02-19,,,,0.1,,,,,,
257,2017-02-20,,,,2.6,,,,,,
258,2017-02-21,,,,1.8,,,,,,
259,2017-02-22,,,,1.5,,,,,,
260,2017-02-23,,,,2.3,,,,,,
261,2017-02-24,,,,0.4,,,,,,
262,2017-02-25,,,,0.0,,,,,,
263,2017-02-26,,,,0.0,,,,,,
264,2017-02-27,,,,0.0,,,,,,
265,2017-02-28,,,,1.5,,,,,,
266,2017-03-01,,,,0.8,,,,,,
267,2017-03-02,,,,1.1,,,,,,
268,2017-03-03,,,,0.0,,,,,,
269,2017-03-04,,,,0.0,,,,,,
270,2017-03-05,,,,0.4,,,,,,
271,2017-03-06,,,,4.2,,,,,,
272,2017-03-07,,,,1.8,,,,,,
273,2017-03-08,,,,6.2,,,,,,
274,2017-03-09,,,,2.6,,,,,,
275,2017-03-10,,,,0.0,,,,,,
276,2017-03-11,,,,0.0,,,,,,
277,2017-03-12,,,,0.0,,,,,,
278,2017-03-13,,,,0.0,,,,,,
279,2017-03-14,,,,0.0,,,,,,
280,2017-03-15,,,,0.0,,,,,,
281,2017-03-16,,,,0.0,,,,,,
282,2017-03-17,,,,0.1,,,,,,
283,2017-03-18,,,,14.1,,,,,,
284,2017-03-19,,,,1.3,,,,,,
285,2017-03-20,,,,0.0,,,,,,
286,2017-03-21,,,,3.6,,,,,,
287,2017-03-22,,,,1.1,,,,,,
288,2017-03-23,,,,3.4,,,,,,
289,2017-03-24,,,,0.0,,,,,,
290,2017-03-25,,,,0.0,,,,,,
291,2017-03-27,,,,0.0,,,,,,
292,2017-03-28,,,,0.0,,,,,,
293,2017-03-29,,,,0.0,,,,,,
294,2017-03-30,,,,0.0,,,,,,
295,2017-03-31,,,,0.0,,,,,,
296,2017-04-01,,,,3.2,,,,,,
297,2017-04-02,,,,0.0,,,,,,
298,2017-04-03,,,,0.0,,,,,,
299,2017-04-04,,,,0.5,,,,,,
300,2017-04-05,,,,0.0,,,,,,
301,2017-04-06,,,,0.0,,,,,,
302,2017-04-07,,,,0.0,,,,,,
303,2017-04-08,,,,0.0,,,,,,
304,2017-04-09,,,,0.0,,,,,,
305,2017-04-10,,,,0.0,,,,,,
306,2017-04-11,,,,0.0,,,,,,
307,2017-04-12,,,,1.0,,,,,,
308,2017-04-13,,,,1.2,,,,,,
309,2017-04-14,,,,0.0,,,,,,
310,2017-04-15,,,,0.5,,,,,,
311,2017-04-16,,,,0.4,,,,,,
312,2017-04-17,,,,3.4,,,,,,
313,2017-04-18,,,,8.8,,,,,,
314,2017-04-19,,,,4.0,,,,,,
315,2017-04-20,,,,0.0,,,,,,
316,2017-04-21,,,,0.0,,,,,,
317,2017-04-22,,,,1.9,,,,,,
