,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.5,4.2,8.9,1.1,0.0,,,,,192
1,2015-01-03,5.3,3.6,6.5,2.0,0.0,,,,,0
2,2015-01-04,4.2,2.9,5.9,0.0,0.0,,,,,342
3,2015-01-05,5.4,4.1,6.1,0.0,0.0,,,,,0
4,2015-01-06,3.4,2.0,4.4,0.7,0.0,,,,,0
5,2015-01-07,5.1,2.7,6.7,2.0,0.0,,,,,294
6,2015-01-08,5.5,3.5,7.2,3.1,0.0,,,,,0
7,2015-01-09,6.5,4.6,7.9,8.2,0.0,,,,,12
8,2015-01-10,7.3,2.9,9.7,2.6,0.0,,,,,42
9,2015-01-11,5.0,2.7,6.3,1.4,0.0,,,,,42
10,2015-01-12,6.9,6.2,7.9,12.0,0.0,,,,,0
11,2015-01-13,6.4,2.8,9.0,7.9,0.0,,,,,0
12,2015-01-14,3.5,1.9,4.9,5.3,0.0,,,,,66
13,2015-01-15,5.4,1.6,8.5,8.8,0.0,,,,,0
14,2015-01-16,5.6,3.4,6.4,0.6,0.0,,,,,156
15,2015-01-17,3.7,2.1,5.7,0.0,0.0,,,,,252
16,2015-01-18,2.2,1.3,3.0,3.1,0.0,,,,,0
17,2015-01-19,0.9,-0.9,1.7,0.8,0.0,,,,,0
18,2015-01-20,0.0,-0.9,1.1,0.0,0.0,,,,,24
19,2015-01-21,-1.4,-2.5,0.1,0.0,0.0,,,,,138
20,2015-01-22,-2.7,-5.8,1.4,0.0,0.0,,,,,390
21,2015-01-23,-3.7,-5.8,-1.4,0.1,0.0,,,,,0
22,2015-01-24,0.0,-2.9,4.0,3.9,10.0,,,,,132
23,2015-01-25,2.7,-0.3,4.7,1.2,30.0,,,,,96
24,2015-01-26,3.2,1.7,5.6,6.6,0.0,,,,,0
25,2015-01-27,3.9,1.9,6.4,0.0,0.0,,,,,264
26,2015-01-28,4.1,1.7,5.1,9.6,0.0,,,,,0
27,2015-01-29,1.1,0.0,3.8,12.6,0.0,,,,,0
28,2015-01-30,-1.8,-6.4,1.7,0.0,30.0,,,,,180
29,2015-01-31,-2.2,-5.3,-0.1,0.0,30.0,,,,,132
30,2015-02-01,-2.1,-7.6,2.8,1.7,20.0,,,,,48
31,2015-02-02,0.8,-1.6,2.4,0.0,20.0,,,,,168
32,2015-02-03,-1.7,-4.6,0.0,0.1,10.0,,,,,222
33,2015-02-04,-3.2,-6.8,-0.1,0.0,0.0,,,,,474
34,2015-02-05,-1.6,-6.0,1.3,0.0,0.0,,,,,306
35,2015-02-06,-3.2,-7.3,2.6,0.1,0.0,,,,,138
36,2015-02-07,3.7,2.3,5.6,0.2,0.0,,,,,18
37,2015-02-08,2.9,0.2,4.8,0.5,0.0,,,,,378
38,2015-02-09,5.6,4.4,6.4,0.0,0.0,,,,,0
39,2015-02-10,5.5,2.5,8.3,0.0,0.0,,,,,66
40,2015-02-11,3.9,2.5,4.5,0.0,0.0,,,,,0
41,2015-02-12,2.1,1.0,2.7,0.0,0.0,,,,,0
42,2015-02-13,1.0,-0.3,2.0,0.0,0.0,,,,,0
43,2015-02-14,1.0,-0.3,3.4,0.0,0.0,,,,,162
44,2015-02-15,2.9,1.6,4.3,0.0,0.0,,,,,36
45,2015-02-16,1.4,-0.5,2.5,0.0,0.0,,,,,0
46,2015-02-17,0.8,-2.6,4.5,0.0,0.0,,,,,0
47,2015-02-18,3.8,2.1,6.1,0.0,0.0,,,,,474
48,2015-02-19,3.2,2.2,4.8,0.9,0.0,,,,,180
49,2015-02-20,3.1,0.5,4.7,7.8,0.0,,,,,0
50,2015-02-21,2.2,0.3,3.6,7.7,0.0,,,,,0
51,2015-02-22,3.4,1.3,6.1,2.7,0.0,,,,,444
52,2015-02-23,3.3,0.4,6.3,0.9,0.0,,,,,144
53,2015-02-24,4.4,2.8,6.1,1.1,0.0,,,,,18
54,2015-02-25,3.7,1.8,6.3,1.2,0.0,,,,,138
55,2015-02-26,4.8,1.9,7.6,6.8,0.0,,,,,156
56,2015-02-27,4.5,0.2,7.5,0.4,0.0,,,,,240
57,2015-02-28,3.9,1.1,6.7,2.8,0.0,,,,,402
58,2015-03-01,5.2,2.9,7.8,4.0,0.0,,,,,84
59,2015-03-02,4.4,2.6,6.6,0.7,0.0,,,,,150
60,2015-03-03,3.1,0.3,6.2,5.8,0.0,,,,,162
61,2015-03-04,3.8,1.8,7.1,0.8,0.0,,,,,300
62,2015-03-05,4.4,2.0,6.7,0.1,0.0,,,,,24
63,2015-03-06,6.1,4.9,7.5,0.0,0.0,,,,,6
64,2015-03-07,7.2,4.9,9.9,0.0,0.0,,,,,72
65,2015-03-08,7.8,5.6,11.7,0.0,0.0,,,,,570
66,2015-03-09,6.6,4.1,9.6,3.0,0.0,,,,,402
67,2015-03-10,6.9,4.3,9.3,0.0,0.0,,,,,546
68,2015-03-11,5.8,-0.3,11.0,0.0,0.0,,,,,600
69,2015-03-12,3.6,-2.2,10.5,0.0,0.0,,,,,600
70,2015-03-13,2.5,-2.6,6.4,0.0,0.0,,,,,192
71,2015-03-14,3.6,0.1,6.6,0.0,0.0,,,,,0
72,2015-03-15,5.1,3.1,7.1,0.0,0.0,,,,,54
73,2015-03-16,6.5,4.1,9.9,0.0,0.0,,,,,324
74,2015-03-17,8.0,4.5,12.8,0.0,0.0,,,,,504
75,2015-03-18,8.2,4.1,14.5,0.0,0.0,,,,,558
76,2015-03-19,6.5,0.4,14.3,0.0,0.0,,,,,600
77,2015-03-20,4.2,0.1,6.7,6.3,0.0,,,,,0
78,2015-03-21,4.1,2.0,6.2,4.5,0.0,,,,,0
79,2015-03-22,1.7,-2.7,5.9,0.0,0.0,,,,,612
80,2015-03-23,3.8,-0.4,7.1,0.0,0.0,,,,,216
81,2015-03-24,5.7,3.6,8.9,0.2,0.0,,,,,96
82,2015-03-25,5.7,2.9,7.9,4.9,0.0,,,,,0
83,2015-03-26,5.6,4.1,8.1,0.7,0.0,,,,,84
84,2015-03-27,5.6,3.1,8.4,0.3,0.0,,,,,6
85,2015-03-28,6.8,4.5,9.2,10.9,0.0,,,,,234
86,2015-03-29,7.3,4.3,9.2,11.5,0.0,,,,,24
87,2015-03-30,5.8,4.2,7.4,9.2,0.0,,,,,162
88,2015-03-31,4.5,0.3,7.8,7.5,0.0,,,,,0
89,2015-04-01,4.5,1.4,7.2,5.0,0.0,,,,,342
90,2015-04-02,3.8,0.5,7.1,1.6,0.0,,,,,426
91,2015-04-03,4.7,0.7,7.4,0.0,0.0,,,,,450
92,2015-04-04,4.3,-0.2,10.3,0.0,0.0,,,,,558
93,2015-04-05,4.5,-1.6,9.0,0.0,0.0,,,,,666
94,2015-04-06,6.4,1.1,10.9,0.0,0.0,,,,,744
95,2015-04-07,5.8,2.0,7.6,0.0,0.0,,,,,0
96,2015-04-08,8.0,5.2,11.8,0.0,0.0,,,,,432
97,2015-04-09,7.5,2.3,12.2,0.0,0.0,,,,,480
98,2015-04-10,9.2,-0.3,17.2,0.0,0.0,,,,,618
99,2015-04-11,9.7,6.3,15.5,2.9,0.0,,,,,438
100,2015-04-12,8.7,5.9,11.7,1.4,0.0,,,,,306
101,2015-04-13,6.9,4.4,9.9,0.0,0.0,,,,,444
102,2015-04-14,7.8,3.6,10.8,0.2,0.0,,,,,12
103,2015-04-15,9.7,6.3,13.6,0.0,0.0,,,,,576
104,2015-04-16,7.1,4.7,10.1,0.8,0.0,,,,,210
105,2015-04-17,7.8,3.8,12.9,0.0,0.0,,,,,492
106,2015-04-18,6.8,0.2,12.5,0.0,0.0,,,,,714
107,2015-04-19,8.8,4.6,14.2,0.0,0.0,,,,,462
108,2015-04-20,11.4,2.8,19.8,0.0,0.0,,,,,810
109,2015-04-21,8.3,3.4,11.9,0.0,0.0,,,,,612
110,2015-04-22,10.2,6.6,16.7,0.0,0.0,,,,,732
111,2015-04-23,8.4,6.7,10.9,0.0,0.0,,,,,180
112,2015-04-24,9.5,6.1,13.9,0.0,0.0,,,,,534
113,2015-04-25,10.5,6.9,12.9,4.6,0.0,,,,,0
114,2015-04-26,7.4,3.6,9.2,2.4,0.0,,,,,78
115,2015-04-27,6.3,1.2,11.1,0.0,0.0,,,,,594
116,2015-04-28,5.7,-1.9,10.5,0.1,0.0,,,,,570
117,2015-04-29,9.3,5.0,12.5,2.1,0.0,,,,,468
118,2015-04-30,8.6,5.7,12.8,4.1,0.0,,,,,480
119,2015-05-01,7.4,3.4,12.1,0.0,,,,,,570
120,2015-05-02,6.3,-0.2,11.1,0.0,,,,,,648
121,2015-05-03,9.3,-0.7,16.9,8.3,,,,,,552
122,2015-05-04,12.7,8.8,15.5,2.4,,,,,,498
123,2015-05-05,15.0,10.8,23.2,6.0,,,,,,144
124,2015-05-06,11.7,7.2,16.6,6.4,,,,,,552
125,2015-05-07,10.0,5.7,12.5,0.5,,,,,,234
126,2015-05-08,9.5,5.0,14.7,0.1,,,,,,456
127,2015-05-09,11.0,8.5,14.5,2.5,,,,,,126
