,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.6,-4.0,2.8,3.2,160.0,,,,,
1,2015-01-03,0.5,-1.9,3.4,20.4,90.0,,,,,
2,2015-01-04,1.3,0.0,1.9,0.0,100.0,,,,,
3,2015-01-05,-0.3,-5.6,3.2,0.0,100.0,,,,,
4,2015-01-06,-2.9,-6.9,1.8,0.0,90.0,,,,,
5,2015-01-07,-1.4,-5.5,1.8,0.2,80.0,,,,,
6,2015-01-08,2.7,-2.9,6.6,2.4,80.0,,,,,
7,2015-01-09,5.9,2.4,10.6,4.7,0.0,,,,,
8,2015-01-10,12.2,6.6,15.4,7.0,0.0,,,,,
9,2015-01-11,2.7,1.2,6.6,0.7,0.0,,,,,
10,2015-01-12,2.8,0.2,4.6,0.0,0.0,,,,,
11,2015-01-13,4.8,-0.4,11.0,0.3,0.0,,,,,
12,2015-01-14,4.8,0.1,8.0,4.5,0.0,,,,,
13,2015-01-15,2.3,-1.1,5.7,0.0,0.0,,,,,
14,2015-01-16,1.7,-0.8,4.2,4.0,0.0,,,,,
15,2015-01-17,2.1,0.3,5.3,2.0,0.0,,,,,
16,2015-01-18,1.3,-0.9,2.7,0.0,0.0,,,,,
17,2015-01-19,0.3,-1.5,2.1,0.1,0.0,,,,,
18,2015-01-20,-0.1,-1.2,1.4,0.8,10.0,,,,,
19,2015-01-21,0.0,-0.6,0.7,0.0,0.0,,,,,
20,2015-01-22,-0.1,-0.6,0.7,0.6,0.0,,,,,
21,2015-01-23,-0.1,-0.7,0.5,0.1,10.0,,,,,
22,2015-01-24,-0.3,-1.0,0.5,1.2,0.0,,,,,
23,2015-01-25,0.1,-1.1,1.3,0.1,10.0,,,,,
24,2015-01-26,0.3,-1.0,3.1,4.8,0.0,,,,,
25,2015-01-27,0.9,-0.4,1.7,1.9,30.0,,,,,
26,2015-01-28,0.9,-0.1,2.3,1.5,30.0,,,,,
27,2015-01-29,1.2,-0.7,2.7,15.6,0.0,,,,,
28,2015-01-30,-0.3,-3.9,1.1,2.3,40.0,,,,,
29,2015-01-31,-1.2,-4.3,1.9,0.0,60.0,,,,,
30,2015-02-01,-1.4,-5.1,1.2,2.9,40.0,,,,,
31,2015-02-02,-0.8,-5.9,0.9,0.2,100.0,,,,,
32,2015-02-03,-6.6,-12.0,0.7,0.0,90.0,,,,,
33,2015-02-04,-7.8,-11.7,-3.2,0.1,90.0,,,,,
34,2015-02-05,-3.2,-6.0,-2.1,0.0,80.0,,,,,
35,2015-02-06,-3.7,-6.2,-0.9,0.0,80.0,,,,,
36,2015-02-07,-5.6,-10.4,-0.8,0.4,80.0,,,,,
37,2015-02-08,-1.9,-6.4,1.2,0.1,80.0,,,,,
38,2015-02-09,-1.0,-5.4,1.3,0.6,60.0,,,,,
