,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.9,4.0,9.0,1.6,0.0,248.8,39.2,81.0,,
1,2015-01-03,4.4,3.0,5.3,3.4,0.0,265.8,32.8,79.2,,
2,2015-01-04,3.9,3.1,4.6,2.1,0.0,304.6,27.0,55.1,,
3,2015-01-05,4.2,2.9,5.4,5.0,0.0,244.6,18.7,55.4,,
4,2015-01-06,2.3,0.0,3.6,0.1,0.0,146.3,13.7,42.5,,
5,2015-01-07,3.1,-0.1,6.6,0.2,0.0,223.8,16.6,35.3,,
6,2015-01-08,4.3,2.2,6.1,8.5,0.0,227.5,23.4,51.8,,
7,2015-01-09,6.2,4.6,7.8,15.3,0.0,259.2,37.8,86.0,,
8,2015-01-10,7.4,3.5,11.6,4.9,0.0,257.1,36.7,95.0,,
9,2015-01-11,3.5,1.7,4.6,1.5,0.0,264.6,36.4,70.6,,
10,2015-01-12,6.3,4.0,8.5,3.6,0.0,243.3,33.8,60.5,,
11,2015-01-13,7.1,4.2,8.9,5.9,0.0,230.4,24.5,55.1,,
12,2015-01-14,3.7,0.9,6.0,3.7,0.0,226.7,21.2,56.2,,
13,2015-01-15,4.2,0.5,8.7,4.1,0.0,185.0,25.6,52.2,,
14,2015-01-16,5.7,2.9,8.4,0.0,0.0,213.3,21.6,49.7,,
15,2015-01-17,2.0,-1.0,4.8,0.0,0.0,229.2,11.5,36.0,,
16,2015-01-18,0.1,-1.8,1.4,0.0,0.0,179.2,10.4,23.8,,
17,2015-01-19,-0.2,-2.4,1.6,0.2,0.0,134.6,8.6,23.4,,
18,2015-01-20,0.8,-0.2,1.5,0.2,0.0,127.1,6.8,19.4,,
19,2015-01-21,-0.8,-2.8,0.5,0.0,0.0,240.4,8.3,22.0,,
20,2015-01-22,-1.1,-2.8,-0.1,0.0,0.0,157.5,5.4,15.8,,
21,2015-01-23,-0.6,-2.1,1.4,0.0,0.0,274.2,8.6,34.6,,
22,2015-01-24,-0.4,-2.2,2.4,0.3,0.0,207.5,21.6,44.3,,
23,2015-01-25,1.1,-2.0,4.2,0.0,0.0,257.5,10.8,25.2,,
24,2015-01-26,2.5,1.2,4.5,5.5,0.0,209.6,19.4,41.0,,
25,2015-01-27,3.2,0.1,4.5,0.0,0.0,305.0,22.3,47.2,,
26,2015-01-28,3.0,0.7,4.8,4.9,0.0,214.2,25.2,64.1,,
27,2015-01-29,1.3,0.0,2.6,0.0,0.0,210.8,26.3,55.4,,
