,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.6,3.5,8.2,2.0,0.0,236.3,17.3,63.4,1023.6,60.0
1,2015-01-03,3.0,2.3,4.4,0.3,0.0,235.0,14.4,46.4,1022.2,0.0
2,2015-01-04,3.1,1.5,5.3,0.1,0.0,267.1,11.2,36.7,1029.4,90.0
3,2015-01-05,1.8,0.9,2.7,0.0,0.0,227.5,10.8,40.3,1031.5,6.0
4,2015-01-06,2.5,0.9,3.7,1.4,0.0,160.0,7.6,23.8,1023.7,0.0
5,2015-01-07,3.6,1.8,5.2,0.8,0.0,222.1,11.2,36.4,1025.8,54.0
6,2015-01-08,4.7,2.3,7.2,16.9,0.0,218.8,16.2,48.6,1020.6,0.0
7,2015-01-09,7.2,5.2,10.2,4.1,0.0,235.4,22.0,73.8,1015.1,0.0
8,2015-01-10,9.3,3.3,12.5,3.9,0.0,246.3,22.7,76.7,1007.4,0.0
9,2015-01-11,3.7,1.9,5.2,1.1,0.0,241.3,16.6,61.6,1013.5,36.0
10,2015-01-12,6.6,4.6,8.6,4.3,0.0,229.2,25.2,63.0,1013.3,0.0
11,2015-01-13,8.5,6.2,11.1,6.1,0.0,220.4,22.7,64.4,1005.7,6.0
12,2015-01-14,3.8,1.5,6.7,3.0,0.0,218.3,16.2,63.4,1008.3,6.0
13,2015-01-15,6.7,2.5,10.1,5.3,0.0,192.5,23.0,70.2,1001.4,0.0
14,2015-01-16,5.8,3.7,7.5,0.0,0.0,207.1,13.0,42.8,1005.5,120.0
15,2015-01-17,2.2,-0.3,4.7,0.0,0.0,223.3,9.0,28.1,1013.6,366.0
16,2015-01-18,1.0,-0.9,3.5,0.1,0.0,183.3,10.8,31.7,1014.5,12.0
17,2015-01-19,0.1,-1.3,2.4,0.0,0.0,169.2,3.6,13.7,1012.6,12.0
18,2015-01-20,-0.4,-2.6,2.2,0.0,0.0,227.1,3.6,14.0,1012.6,48.0
19,2015-01-21,-1.4,-3.8,2.0,0.0,0.0,89.2,6.5,29.9,1015.0,282.0
20,2015-01-22,-0.8,-1.5,-0.2,0.0,0.0,48.8,11.5,33.1,1018.8,0.0
21,2015-01-23,-0.8,-2.2,0.1,0.0,0.0,78.8,8.3,28.8,1025.6,0.0
22,2015-01-24,-0.7,-2.4,0.9,4.5,0.0,220.8,10.8,31.0,1020.6,0.0
23,2015-01-25,0.4,-2.5,1.8,2.1,30.0,223.3,7.6,20.5,1027.4,0.0
24,2015-01-26,2.7,1.3,4.7,6.5,0.0,215.8,11.5,31.7,1019.6,0.0
25,2015-01-27,2.8,1.6,4.9,1.9,0.0,277.9,10.4,33.1,1019.5,18.0
26,2015-01-28,3.4,0.7,5.4,6.6,0.0,216.7,19.4,64.1,1005.5,0.0
27,2015-01-29,1.3,0.1,3.7,5.8,0.0,212.5,16.2,48.6,985.1,36.0
