,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,0.1,,,,,,
1,2015-01-03,,,,0.3,,,,,,
2,2015-01-04,,,,2.2,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.8,,,,,,
6,2015-01-08,,,,8.2,,,,,,
7,2015-01-09,,,,0.7,,,,,,
8,2015-01-10,,,,6.6,,,,,,
9,2015-01-11,,,,2.0,,,,,,
10,2015-01-12,,,,0.0,,,,,,
11,2015-01-13,,,,0.0,,,,,,
12,2015-01-14,,,,6.3,,,,,,
13,2015-01-15,,,,0.0,,,,,,
14,2015-01-16,,,,0.1,,,,,,
15,2015-01-17,,,,4.0,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,2.0,,,,,,
19,2015-01-21,,,,0.2,,,,,,
20,2015-01-22,,,,1.1,,,,,,
21,2015-01-23,,,,1.0,,,,,,
22,2015-01-24,,,,0.0,,,,,,
23,2015-01-25,,,,2.0,,,,,,
24,2015-01-26,,,,3.9,,,,,,
25,2015-01-27,,,,1.8,,,,,,
26,2015-01-28,,,,0.6,,,,,,
27,2015-01-29,,,,0.2,,,,,,
28,2015-01-30,,,,1.6,,,,,,
29,2015-01-31,,,,0.4,,,,,,
30,2015-02-01,,,,0.1,,,,,,
31,2015-02-02,,,,0.5,,,,,,
32,2015-02-03,,,,1.0,,,,,,
33,2015-02-04,,,,0.6,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.1,,,,,,
37,2015-02-08,,,,0.8,,,,,,
38,2015-02-09,,,,0.5,,,,,,
39,2015-02-10,,,,0.0,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.0,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.0,,,,,,
50,2015-02-21,,,,0.0,,,,,,
51,2015-02-22,,,,0.0,,,,,,
52,2015-02-23,,,,1.2,,,,,,
53,2015-02-24,,,,0.0,,,,,,
