,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,-0.8,-7.1,3.2,1.6,160.0,,,,,18
1,2015-01-03,1.0,-1.6,8.1,19.1,110.0,,,,,0
2,2015-01-04,1.3,0.7,2.1,0.0,80.0,,,,,0
3,2015-01-05,-0.4,-4.8,3.5,0.0,70.0,,,,,414
4,2015-01-06,-4.9,-8.7,0.8,0.0,60.0,,,,,312
5,2015-01-07,-1.2,-6.5,2.4,0.1,50.0,,,,,132
6,2015-01-08,3.4,-0.9,7.4,1.9,40.0,,,,,0
7,2015-01-09,6.2,2.9,11.7,7.0,0.0,,,,,0
8,2015-01-10,12.6,8.6,14.9,3.8,0.0,,,,,234
9,2015-01-11,3.1,0.0,8.7,1.8,0.0,,,,,96
10,2015-01-12,2.6,-2.3,5.5,0.0,0.0,,,,,18
11,2015-01-13,2.9,-3.6,9.8,0.5,0.0,,,,,444
12,2015-01-14,4.9,0.1,8.0,3.4,0.0,,,,,6
13,2015-01-15,1.2,-1.1,4.5,0.0,0.0,,,,,0
14,2015-01-16,1.5,-1.5,5.0,4.1,0.0,,,,,0
15,2015-01-17,2.0,0.3,4.8,1.8,0.0,,,,,0
16,2015-01-18,0.5,-2.3,2.5,0.0,0.0,,,,,162
17,2015-01-19,-0.4,-1.2,0.6,1.6,0.0,,,,,48
18,2015-01-20,-0.2,-1.0,1.6,2.0,20.0,,,,,0
19,2015-01-21,-0.3,-1.0,0.4,0.0,10.0,,,,,0
20,2015-01-22,-0.3,-0.9,0.3,0.3,0.0,,,,,0
21,2015-01-23,-0.1,-0.6,0.4,0.1,0.0,,,,,0
22,2015-01-24,-0.1,-0.7,0.8,1.0,0.0,,,,,0
23,2015-01-25,-0.1,-2.1,1.0,0.3,30.0,,,,,0
24,2015-01-26,-0.1,-1.0,1.3,2.2,30.0,,,,,24
25,2015-01-27,0.8,-0.6,1.5,2.7,30.0,,,,,12
26,2015-01-28,0.4,-1.9,1.8,2.7,50.0,,,,,0
27,2015-01-29,1.0,-1.0,2.3,5.6,30.0,,,,,60
28,2015-01-30,-0.3,-2.7,1.5,3.4,30.0,,,,,24
29,2015-01-31,-1.5,-5.8,1.9,0.0,80.0,,,,,318
30,2015-02-01,-2.1,-8.4,0.7,1.6,70.0,,,,,84
31,2015-02-02,-1.8,-11.1,0.6,0.2,110.0,,,,,24
32,2015-02-03,-9.5,-16.9,-0.7,0.0,110.0,,,,,480
33,2015-02-04,-8.3,-15.8,-3.0,0.1,100.0,,,,,186
34,2015-02-05,-3.4,-4.7,-2.5,0.0,90.0,,,,,6
35,2015-02-06,-4.2,-6.8,-1.6,0.0,70.0,,,,,354
36,2015-02-07,-6.5,-10.2,-2.8,0.1,70.0,,,,,516
37,2015-02-08,-2.6,-8.2,0.5,1.4,70.0,,,,,114
38,2015-02-09,-1.2,-4.9,1.2,0.3,90.0,,,,,0
39,2015-02-10,1.0,-1.9,4.2,0.0,80.0,,,,,150
40,2015-02-11,-0.2,-1.7,1.1,0.0,70.0,,,,,0
41,2015-02-12,-2.3,-3.0,-1.6,0.0,60.0,,,,,0
42,2015-02-13,-3.0,-5.0,0.2,0.0,60.0,,,,,252
43,2015-02-14,-3.1,-4.2,-2.3,0.0,40.0,,,,,0
44,2015-02-15,-2.1,-3.2,-0.8,0.0,40.0,,,,,0
45,2015-02-16,-1.3,-2.2,-0.6,0.0,40.0,,,,,0
46,2015-02-17,-2.1,-4.8,-0.7,0.0,30.0,,,,,0
47,2015-02-18,-1.7,-2.4,-1.0,0.0,30.0,,,,,0
48,2015-02-19,-2.0,-7.2,2.2,0.0,20.0,,,,,168
49,2015-02-20,-1.2,-8.8,9.3,0.0,0.0,,,,,570
50,2015-02-21,-0.7,-6.3,4.4,3.4,0.0,,,,,6
51,2015-02-22,1.1,-1.7,4.1,0.0,10.0,,,,,0
52,2015-02-23,0.4,-2.2,2.8,2.1,0.0,,,,,0
53,2015-02-24,2.1,-1.8,4.4,0.0,0.0,,,,,0
54,2015-02-25,1.1,-2.7,5.9,0.6,0.0,,,,,132
55,2015-02-26,0.1,-5.0,7.0,0.0,0.0,,,,,588
56,2015-02-27,-1.1,-5.3,1.3,4.7,0.0,,,,,30
57,2015-02-28,1.7,-2.7,5.3,0.1,0.0,,,,,228
58,2015-03-01,2.9,-3.3,6.8,3.5,0.0,,,,,6
59,2015-03-02,5.1,1.3,7.8,2.8,0.0,,,,,162
60,2015-03-03,4.2,-0.4,8.5,0.1,0.0,,,,,432
61,2015-03-04,2.7,-1.1,6.2,0.2,0.0,,,,,240
62,2015-03-05,1.8,-0.6,4.6,0.0,0.0,,,,,114
63,2015-03-06,2.2,-2.9,6.9,0.0,0.0,,,,,138
64,2015-03-07,2.0,-4.1,9.1,0.0,0.0,,,,,606
65,2015-03-08,3.3,-4.2,13.1,0.0,0.0,,,,,564
66,2015-03-09,4.8,-1.9,13.5,0.0,0.0,,,,,618
67,2015-03-10,5.4,-4.0,14.2,1.7,0.0,,,,,438
68,2015-03-11,4.6,-2.4,8.2,0.0,0.0,,,,,624
69,2015-03-12,1.8,-4.2,8.0,0.0,0.0,,,,,210
70,2015-03-13,1.6,-2.7,5.0,0.0,0.0,,,,,54
71,2015-03-14,2.8,0.7,5.4,0.0,0.0,,,,,0
72,2015-03-15,4.1,0.5,8.3,0.0,0.0,,,,,300
73,2015-03-16,6.1,-0.1,14.0,0.0,0.0,,,,,570
74,2015-03-17,8.4,0.0,15.8,0.0,0.0,,,,,444
75,2015-03-18,7.4,-0.6,16.3,0.0,0.0,,,,,642
76,2015-03-19,5.6,-2.0,13.5,0.0,0.0,,,,,678
77,2015-03-20,4.6,-4.4,13.9,0.0,0.0,,,,,678
78,2015-03-21,4.6,-4.2,13.2,0.0,0.0,,,,,354
79,2015-03-22,4.2,0.1,7.4,0.0,0.0,,,,,6
80,2015-03-23,3.5,-3.5,6.1,0.0,0.0,,,,,0
81,2015-03-24,4.9,-4.1,14.8,0.0,0.0,,,,,402
82,2015-03-25,8.5,-0.9,16.3,0.0,0.0,,,,,414
83,2015-03-26,5.3,4.2,6.2,0.5,0.0,,,,,0
84,2015-03-27,5.7,2.6,8.6,0.2,0.0,,,,,132
85,2015-03-28,6.7,-1.7,13.0,0.2,0.0,,,,,456
86,2015-03-29,9.2,7.0,11.9,15.0,0.0,,,,,6
87,2015-03-30,6.5,3.6,9.2,4.2,0.0,,,,,138
88,2015-03-31,8.4,4.7,13.1,4.5,0.0,,,,,132
89,2015-04-01,3.3,0.7,6.7,0.9,0.0,,,,,336
90,2015-04-02,3.3,-0.7,6.6,8.9,0.0,,,,,216
91,2015-04-03,4.2,-3.7,10.5,2.5,0.0,,,,,540
92,2015-04-04,3.2,1.9,5.1,3.9,0.0,,,,,0
93,2015-04-05,2.8,-0.7,6.9,0.0,0.0,,,,,378
94,2015-04-06,1.7,-3.0,6.8,0.0,0.0,,,,,192
95,2015-04-07,2.4,-4.6,9.4,0.0,0.0,,,,,702
96,2015-04-08,5.5,-3.7,14.5,0.0,0.0,,,,,714
97,2015-04-09,7.7,-1.3,17.1,0.0,0.0,,,,,708
98,2015-04-10,10.6,0.3,21.0,0.0,0.0,,,,,678
99,2015-04-11,11.9,5.4,17.7,0.0,0.0,,,,,186
100,2015-04-12,11.2,4.4,18.3,0.0,0.0,,,,,408
101,2015-04-13,10.4,1.9,18.2,0.0,0.0,,,,,582
102,2015-04-14,10.9,2.2,19.3,0.0,0.0,,,,,636
