,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,6.2,3.4,9.2,2.4,0.0,238.3,31.7,69.1,1013.3,48.0
1,2015-01-03,4.1,3.3,5.0,2.0,0.0,251.3,26.6,75.6,1012.4,0.0
2,2015-01-04,3.0,1.2,4.3,2.5,0.0,290.0,19.1,46.1,1019.0,156.0
3,2015-01-05,2.9,-0.4,4.4,2.8,0.0,264.6,10.1,38.9,1025.1,0.0
4,2015-01-06,-0.6,-2.6,1.5,0.0,0.0,159.6,13.0,38.9,1027.0,270.0
5,2015-01-07,1.3,-1.8,4.7,0.1,0.0,200.4,16.6,39.6,1022.6,12.0
6,2015-01-08,3.6,1.7,5.7,11.5,0.0,212.1,18.4,39.2,1016.9,0.0
7,2015-01-09,6.0,4.1,7.7,9.6,0.0,250.8,28.8,78.1,1005.5,12.0
8,2015-01-10,7.7,3.6,11.9,3.1,0.0,246.7,30.2,87.1,996.8,0.0
9,2015-01-11,3.4,1.8,4.2,1.1,0.0,252.9,33.5,71.3,1001.3,66.0
10,2015-01-12,6.1,3.6,7.9,3.0,0.0,232.1,26.6,53.3,1007.2,0.0
11,2015-01-13,8.7,6.7,10.8,1.3,0.0,222.9,23.8,53.3,1003.4,12.0
12,2015-01-14,5.0,1.0,7.5,2.3,0.0,222.9,19.4,68.0,1005.2,48.0
13,2015-01-15,3.7,0.0,8.6,1.4,0.0,185.8,24.5,52.2,1005.3,0.0
14,2015-01-16,7.0,3.5,9.6,0.0,0.0,207.1,18.4,42.1,1004.6,288.0
15,2015-01-17,2.5,-2.4,4.8,0.0,0.0,213.3,11.5,27.0,1010.9,60.0
16,2015-01-18,-0.7,-3.2,2.1,0.0,0.0,177.5,13.0,25.6,1016.0,210.0
17,2015-01-19,0.0,-2.0,1.6,0.0,0.0,151.7,12.6,28.8,1015.3,0.0
18,2015-01-20,1.3,0.3,2.4,2.3,0.0,129.2,7.9,22.0,1012.7,0.0
19,2015-01-21,-0.1,-1.1,0.7,0.0,0.0,246.3,6.5,19.4,1016.0,0.0
20,2015-01-22,-0.4,-1.6,0.9,0.0,0.0,153.8,6.1,19.8,1020.7,36.0
21,2015-01-23,-0.7,-4.1,1.5,0.0,0.0,250.8,6.8,17.3,1024.5,24.0
22,2015-01-24,-1.2,-4.7,0.3,0.1,0.0,188.8,13.3,37.1,1019.7,0.0
23,2015-01-25,1.2,-0.3,2.8,0.0,0.0,243.8,10.1,25.6,1022.7,18.0
24,2015-01-26,1.8,0.8,3.2,4.3,0.0,193.3,17.3,40.3,1017.5,0.0
25,2015-01-27,3.2,1.2,4.0,0.2,0.0,284.2,13.7,36.0,1010.8,0.0
26,2015-01-28,2.7,-0.3,4.9,1.5,0.0,212.9,20.9,55.8,1003.7,0.0
27,2015-01-29,2.0,-0.2,3.8,1.4,0.0,204.2,24.5,55.4,984.8,144.0
28,2015-01-30,0.4,0.0,1.0,2.2,10.0,160.8,9.7,29.5,974.2,0.0
29,2015-01-31,-0.3,-3.1,0.4,3.1,0.0,247.9,15.5,38.2,976.9,0.0
30,2015-02-01,-0.6,-3.5,1.5,0.4,30.0,224.2,16.6,31.7,986.6,174.0
31,2015-02-02,0.3,-1.3,1.8,2.2,20.0,231.3,16.9,34.9,992.0,66.0
32,2015-02-03,-1.3,-2.2,-0.7,0.3,60.0,257.1,11.9,32.0,999.2,102.0
33,2015-02-04,-1.5,-7.4,0.0,0.0,60.0,268.8,7.6,18.7,1010.9,6.0
34,2015-02-05,-3.9,-8.1,0.1,0.0,50.0,140.0,5.8,16.6,1025.0,42.0
35,2015-02-06,-5.2,-9.1,-2.5,0.0,40.0,211.7,6.8,16.9,1031.3,0.0
36,2015-02-07,1.2,-2.9,4.1,0.0,40.0,250.8,20.2,51.8,1020.4,0.0
