,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,2.1,-0.5,3.0,8.0,,,,51.8,,0.0
1,2015-01-03,0.8,-0.3,2.3,11.0,0.0,197.9,9.4,33.5,1026.1,0.0
2,2015-01-04,1.0,0.2,1.8,0.0,40.0,257.1,11.9,37.4,1031.8,6.0
3,2015-01-05,0.0,-4.5,2.8,0.0,10.0,237.1,7.9,29.5,1033.9,408.0
4,2015-01-06,-4.1,-5.9,-2.3,0.9,0.0,125.4,3.6,9.4,1027.6,0.0
5,2015-01-07,0.2,-4.1,1.5,0.6,0.0,236.3,7.2,26.3,1030.2,0.0
6,2015-01-08,4.7,0.7,7.7,12.5,0.0,222.9,19.1,65.5,1026.3,0.0
7,2015-01-09,7.1,4.3,10.9,17.0,0.0,238.8,25.6,73.4,1022.8,0.0
8,2015-01-10,10.6,3.9,13.1,4.5,0.0,248.3,29.9,87.1,1013.8,0.0
9,2015-01-11,3.1,2.2,4.2,2.5,0.0,256.7,21.2,59.4,1019.6,12.0
10,2015-01-12,4.9,2.9,7.5,0.0,0.0,233.3,23.0,59.8,1021.5,0.0
11,2015-01-13,9.2,4.8,13.1,,0.0,225.0,23.0,74.2,1013.0,384.0
12,2015-01-14,4.5,0.7,7.5,,0.0,229.6,20.2,76.7,1013.9,48.0
13,2015-01-15,6.0,-1.2,9.8,,0.0,190.4,16.9,45.0,1009.3,36.0
14,2015-01-16,4.8,3.0,8.4,,0.0,167.9,8.6,35.6,1008.1,0.0
15,2015-01-17,2.1,-1.9,3.7,,0.0,255.4,5.4,23.0,1015.4,0.0
16,2015-01-18,-0.7,-3.3,3.1,,0.0,169.2,6.5,20.9,1018.1,318.0
17,2015-01-19,0.1,-2.1,4.0,,0.0,218.3,4.0,18.7,1012.9,228.0
18,2015-01-20,-1.0,-1.8,-0.5,,0.0,262.9,3.6,14.4,1012.8,0.0
19,2015-01-21,-1.4,-4.4,0.2,0.0,0.0,78.3,8.3,32.4,1013.7,42.0
20,2015-01-22,0.0,-0.7,1.1,0.0,0.0,107.5,9.4,27.4,1015.5,0.0
21,2015-01-23,-0.2,-3.1,1.4,0.0,0.0,41.3,7.6,20.2,1023.8,0.0
22,2015-01-24,-2.0,-5.2,0.0,0.9,0.0,232.9,7.2,29.2,1023.2,0.0
23,2015-01-25,0.1,-1.5,1.3,0.5,10.0,269.2,7.9,28.4,1029.3,18.0
24,2015-01-26,0.5,0.2,1.3,3.2,0.0,228.3,10.8,32.0,1023.7,0.0
25,2015-01-27,1.3,0.5,2.0,1.0,0.0,265.8,10.1,30.6,1021.7,0.0
