,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,3.1,,,,,,
1,2015-01-03,,,,0.1,,,,,,
2,2015-01-04,,,,0.4,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.0,,,,,,
5,2015-01-07,,,,0.6,,,,,,
6,2015-01-08,,,,14.7,,,,,,
7,2015-01-09,,,,3.3,,,,,,
8,2015-01-10,,,,6.0,,,,,,
9,2015-01-11,,,,2.8,,,,,,
10,2015-01-12,,,,2.0,,,,,,
11,2015-01-13,,,,7.0,,,,,,
12,2015-01-14,,,,4.8,,,,,,
13,2015-01-15,,,,9.8,,,,,,
14,2015-01-16,,,,0.9,,,,,,
15,2015-01-17,,,,0.0,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.0,,,,,,
18,2015-01-20,,,,0.0,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,3.4,,,,,,
23,2015-01-25,,,,1.9,,,,,,
24,2015-01-26,,,,3.6,,,,,,
25,2015-01-27,,,,0.4,,,,,,
26,2015-01-28,,,,8.2,,,,,,
27,2015-01-29,,,,4.4,,,,,,
28,2015-01-30,,,,7.0,,,,,,
29,2015-01-31,,,,1.5,,,,,,
30,2015-02-01,,,,0.0,,,,,,
31,2015-02-02,,,,0.4,,,,,,
32,2015-02-03,,,,2.9,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.4,,,,,,
37,2015-02-08,,,,0.7,,,,,,
38,2015-02-09,,,,1.7,,,,,,
39,2015-02-10,,,,0.7,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,0.0,,,,,,
44,2015-02-15,,,,0.0,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.1,,,,,,
47,2015-02-18,,,,0.0,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,2.8,,,,,,
50,2015-02-21,,,,2.9,,,,,,
51,2015-02-22,,,,0.0,,,,,,
52,2015-02-23,,,,4.2,,,,,,
53,2015-02-24,,,,0.7,,,,,,
54,2015-02-25,,,,0.1,,,,,,
55,2015-02-26,,,,0.0,,,,,,
56,2015-02-27,,,,12.0,,,,,,
57,2015-02-28,,,,0.0,,,,,,
58,2015-03-01,,,,3.2,,,,,,
59,2015-03-02,,,,2.8,,,,,,
60,2015-03-03,,,,4.2,,,,,,
61,2015-03-04,,,,2.6,,,,,,
62,2015-03-05,,,,0.0,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,1.6,,,,,,
68,2015-03-11,,,,0.0,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,1.8,,,,,,
72,2015-03-15,,,,0.7,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,6.7,,,,,,
79,2015-03-22,,,,0.0,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,0.0,,,,,,
83,2015-03-26,,,,0.4,,,,,,
84,2015-03-27,,,,1.1,,,,,,
85,2015-03-28,,,,0.3,,,,,,
86,2015-03-30,,,,10.5,,,,,,
87,2015-03-31,,,,20.6,,,,,,
88,2015-04-01,,,,3.6,,,,,,
89,2015-04-02,,,,13.4,,,,,,
90,2015-04-03,,,,0.0,,,,,,
91,2015-04-04,,,,0.0,,,,,,
92,2015-04-05,,,,0.0,,,,,,
93,2015-04-06,,,,0.0,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,1.6,,,,,,
99,2015-04-12,,,,0.0,,,,,,
100,2015-04-13,,,,0.6,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.0,,,,,,
104,2015-04-17,,,,0.0,,,,,,
105,2015-04-18,,,,0.0,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.0,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,1.3,,,,,,
113,2015-04-26,,,,3.1,,,,,,
114,2015-04-27,,,,13.8,,,,,,
115,2015-04-28,,,,0.7,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,1.1,,,,,,
118,2015-05-01,,,,0.0,,,,,,
119,2015-05-02,,,,0.0,,,,,,
