,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,,,,6.7,,,,,,
1,2015-01-03,,,,19.9,,,,,,
2,2015-01-04,,,,0.2,,,,,,
3,2015-01-05,,,,0.0,,,,,,
4,2015-01-06,,,,0.1,,,,,,
5,2015-01-07,,,,0.7,,,,,,
6,2015-01-08,,,,13.3,,,,,,
7,2015-01-09,,,,8.3,,,,,,
8,2015-01-10,,,,4.8,,,,,,
9,2015-01-11,,,,0.7,,,,,,
10,2015-01-12,,,,2.6,,,,,,
11,2015-01-13,,,,5.1,,,,,,
12,2015-01-14,,,,4.8,,,,,,
13,2015-01-15,,,,5.2,,,,,,
14,2015-01-16,,,,0.1,,,,,,
15,2015-01-17,,,,0.2,,,,,,
16,2015-01-18,,,,0.0,,,,,,
17,2015-01-19,,,,0.8,,,,,,
18,2015-01-20,,,,0.5,,,,,,
19,2015-01-21,,,,0.0,,,,,,
20,2015-01-22,,,,0.0,,,,,,
21,2015-01-23,,,,0.0,,,,,,
22,2015-01-24,,,,8.9,,,,,,
23,2015-01-25,,,,3.2,,,,,,
24,2015-01-26,,,,6.6,,,,,,
25,2015-01-27,,,,3.8,,,,,,
26,2015-01-28,,,,5.5,,,,,,
27,2015-01-29,,,,8.8,,,,,,
28,2015-01-30,,,,1.9,,,,,,
29,2015-01-31,,,,1.7,,,,,,
30,2015-02-01,,,,4.0,,,,,,
31,2015-02-02,,,,5.7,,,,,,
32,2015-02-03,,,,0.0,,,,,,
33,2015-02-04,,,,0.0,,,,,,
34,2015-02-05,,,,0.0,,,,,,
35,2015-02-06,,,,0.0,,,,,,
36,2015-02-07,,,,0.0,,,,,,
37,2015-02-08,,,,0.8,,,,,,
38,2015-02-09,,,,0.3,,,,,,
39,2015-02-10,,,,0.6,,,,,,
40,2015-02-11,,,,0.0,,,,,,
41,2015-02-12,,,,0.0,,,,,,
42,2015-02-13,,,,0.0,,,,,,
43,2015-02-14,,,,5.1,,,,,,
44,2015-02-15,,,,0.2,,,,,,
45,2015-02-16,,,,0.0,,,,,,
46,2015-02-17,,,,0.1,,,,,,
47,2015-02-18,,,,0.1,,,,,,
48,2015-02-19,,,,0.0,,,,,,
49,2015-02-20,,,,0.9,,,,,,
50,2015-02-21,,,,7.2,,,,,,
51,2015-02-22,,,,0.3,,,,,,
52,2015-02-23,,,,9.1,,,,,,
53,2015-02-24,,,,1.6,,,,,,
54,2015-02-25,,,,4.0,,,,,,
55,2015-02-26,,,,1.0,,,,,,
56,2015-02-27,,,,7.0,,,,,,
57,2015-02-28,,,,0.0,,,,,,
58,2015-03-01,,,,3.1,,,,,,
59,2015-03-02,,,,5.9,,,,,,
60,2015-03-03,,,,3.1,,,,,,
61,2015-03-04,,,,1.1,,,,,,
62,2015-03-05,,,,0.2,,,,,,
63,2015-03-06,,,,0.0,,,,,,
64,2015-03-07,,,,0.0,,,,,,
65,2015-03-08,,,,0.0,,,,,,
66,2015-03-09,,,,0.0,,,,,,
67,2015-03-10,,,,0.8,,,,,,
68,2015-03-11,,,,0.0,,,,,,
69,2015-03-12,,,,0.0,,,,,,
70,2015-03-13,,,,0.0,,,,,,
71,2015-03-14,,,,0.0,,,,,,
72,2015-03-15,,,,1.2,,,,,,
73,2015-03-16,,,,0.0,,,,,,
74,2015-03-17,,,,0.0,,,,,,
75,2015-03-18,,,,0.0,,,,,,
76,2015-03-19,,,,0.0,,,,,,
77,2015-03-20,,,,0.0,,,,,,
78,2015-03-21,,,,1.8,,,,,,
79,2015-03-22,,,,0.1,,,,,,
80,2015-03-23,,,,0.0,,,,,,
81,2015-03-24,,,,0.0,,,,,,
82,2015-03-25,,,,3.5,,,,,,
83,2015-03-26,,,,2.5,,,,,,
84,2015-03-27,,,,0.0,,,,,,
85,2015-03-28,,,,2.7,,,,,,
86,2015-03-30,,,,8.5,,,,,,
87,2015-03-31,,,,10.2,,,,,,
88,2015-04-01,,,,2.4,,,,,,
89,2015-04-02,,,,13.1,,,,,,
90,2015-04-03,,,,0.4,,,,,,
91,2015-04-04,,,,2.7,,,,,,
92,2015-04-05,,,,0.0,,,,,,
93,2015-04-06,,,,0.0,,,,,,
94,2015-04-07,,,,0.0,,,,,,
95,2015-04-08,,,,0.0,,,,,,
96,2015-04-09,,,,0.0,,,,,,
97,2015-04-10,,,,0.0,,,,,,
98,2015-04-11,,,,1.5,,,,,,
99,2015-04-12,,,,0.1,,,,,,
100,2015-04-13,,,,0.0,,,,,,
101,2015-04-14,,,,0.0,,,,,,
102,2015-04-15,,,,0.0,,,,,,
103,2015-04-16,,,,0.2,,,,,,
104,2015-04-17,,,,0.0,,,,,,
105,2015-04-18,,,,0.0,,,,,,
106,2015-04-19,,,,0.0,,,,,,
107,2015-04-20,,,,0.0,,,,,,
108,2015-04-21,,,,0.0,,,,,,
109,2015-04-22,,,,0.0,,,,,,
110,2015-04-23,,,,0.0,,,,,,
111,2015-04-24,,,,0.0,,,,,,
112,2015-04-25,,,,5.6,,,,,,
113,2015-04-26,,,,4.6,,,,,,
114,2015-04-27,,,,10.3,,,,,,
115,2015-04-28,,,,0.0,,,,,,
116,2015-04-29,,,,0.0,,,,,,
117,2015-04-30,,,,11.3,,,,,,
118,2015-05-01,,,,0.0,,,,,,
119,2015-05-02,,,,0.0,,,,,,
120,2015-05-03,,,,5.3,,,,,,
121,2015-05-04,,,,1.0,,,,,,
122,2015-05-05,,,,3.0,,,,,,
123,2015-05-06,,,,1.5,,,,,,
124,2015-05-07,,,,0.0,,,,,,
125,2015-05-08,,,,0.0,,,,,,
126,2015-05-09,,,,0.7,,,,,,
127,2015-05-10,,,,0.0,,,,,,
128,2015-05-11,,,,0.0,,,,,,
129,2015-05-12,,,,0.0,,,,,,
130,2015-05-13,,,,0.0,,,,,,
131,2015-05-14,,,,0.3,,,,,,
132,2015-05-15,,,,9.9,,,,,,
133,2015-05-16,,,,0.0,,,,,,
134,2015-05-17,,,,0.1,,,,,,
135,2015-05-18,,,,0.0,,,,,,
136,2015-05-19,,,,1.9,,,,,,
137,2015-05-20,,,,1.8,,,,,,
138,2015-05-21,,,,0.0,,,,,,
139,2015-05-22,,,,0.0,,,,,,
140,2015-05-23,,,,0.0,,,,,,
141,2015-05-24,,,,0.0,,,,,,
142,2015-05-25,,,,3.5,,,,,,
143,2015-05-26,,,,0.2,,,,,,
144,2015-05-27,,,,0.0,,,,,,
145,2015-05-28,,,,0.0,,,,,,
146,2015-05-29,,,,0.3,,,,,,
147,2015-05-30,,,,3.6,,,,,,
148,2015-05-31,,,,0.6,,,,,,
149,2015-06-01,,,,2.0,,,,,,
150,2015-06-02,,,,0.0,,,,,,
151,2015-06-03,,,,0.0,,,,,,
152,2015-06-04,,,,0.0,,,,,,
153,2015-06-05,,,,2.4,,,,,,
154,2015-06-06,,,,12.1,,,,,,
155,2015-06-07,,,,0.0,,,,,,
156,2015-06-08,,,,0.0,,,,,,
157,2015-06-09,,,,0.0,,,,,,
158,2015-06-10,,,,0.0,,,,,,
159,2015-06-11,,,,0.0,,,,,,
160,2015-06-12,,,,0.0,,,,,,
161,2015-06-13,,,,7.0,,,,,,
162,2015-06-14,,,,0.0,,,,,,
163,2015-06-15,,,,0.0,,,,,,
164,2015-06-16,,,,0.0,,,,,,
165,2015-06-17,,,,0.0,,,,,,
166,2015-06-18,,,,5.4,,,,,,
167,2015-06-19,,,,0.6,,,,,,
168,2015-06-20,,,,0.3,,,,,,
169,2015-06-21,,,,7.5,,,,,,
170,2015-06-22,,,,20.4,,,,,,
171,2015-06-23,,,,4.0,,,,,,
172,2015-06-24,,,,0.0,,,,,,
173,2015-06-25,,,,0.0,,,,,,
174,2015-06-26,,,,0.1,,,,,,
175,2015-06-27,,,,6.0,,,,,,
176,2015-06-28,,,,0.0,,,,,,
177,2015-06-29,,,,0.0,,,,,,
178,2015-06-30,,,,0.0,,,,,,
179,2015-07-01,,,,0.0,,,,,,
180,2015-07-02,,,,0.0,,,,,,
181,2015-07-03,,,,0.0,,,,,,
182,2015-07-04,,,,0.0,,,,,,
183,2015-07-05,,,,4.3,,,,,,
184,2015-07-06,,,,0.0,,,,,,
185,2015-07-07,,,,1.1,,,,,,
186,2015-07-08,,,,1.3,,,,,,
187,2015-07-09,,,,3.1,,,,,,
188,2015-07-10,,,,0.0,,,,,,
189,2015-07-11,,,,0.0,,,,,,
190,2015-07-12,,,,1.9,,,,,,
191,2015-07-13,,,,3.5,,,,,,
192,2015-07-14,,,,0.4,,,,,,
193,2015-07-15,,,,0.1,,,,,,
194,2015-07-16,,,,0.0,,,,,,
195,2015-07-17,,,,0.0,,,,,,
196,2015-07-18,,,,0.0,,,,,,
197,2015-07-19,,,,21.0,,,,,,
198,2015-07-20,,,,4.4,,,,,,
199,2015-07-21,,,,0.0,,,,,,
200,2015-07-22,,,,0.0,,,,,,
201,2015-07-23,,,,0.0,,,,,,
202,2015-07-24,,,,9.1,,,,,,
203,2015-07-25,,,,3.7,,,,,,
204,2015-07-26,,,,2.7,,,,,,
205,2015-07-27,,,,10.8,,,,,,
206,2015-07-28,,,,0.0,,,,,,
207,2015-07-29,,,,0.1,,,,,,
208,2015-07-30,,,,2.3,,,,,,
209,2015-07-31,,,,0.0,,,,,,
210,2015-08-01,,,,0.0,,,,,,
211,2015-08-02,,,,0.3,,,,,,
212,2015-08-03,,,,0.0,,,,,,
213,2015-08-04,,,,8.6,,,,,,
214,2015-08-05,,,,0.0,,,,,,
215,2015-08-06,,,,0.0,,,,,,
216,2015-08-07,,,,0.9,,,,,,
217,2015-08-08,,,,1.7,,,,,,
218,2015-08-09,,,,0.0,,,,,,
219,2015-08-10,,,,0.6,,,,,,
220,2015-08-11,,,,0.0,,,,,,
221,2015-08-12,,,,0.0,,,,,,
222,2015-08-13,,,,0.0,,,,,,
223,2015-08-14,,,,13.9,,,,,,
224,2015-08-15,,,,4.4,,,,,,
225,2015-08-16,,,,0.4,,,,,,
226,2015-08-17,,,,0.2,,,,,,
227,2015-08-18,,,,0.0,,,,,,
228,2015-08-19,,,,0.0,,,,,,
229,2015-08-20,,,,0.0,,,,,,
230,2015-08-21,,,,0.0,,,,,,
231,2015-08-22,,,,0.0,,,,,,
232,2015-08-23,,,,14.2,,,,,,
233,2015-08-24,,,,0.2,,,,,,
234,2015-08-25,,,,4.9,,,,,,
235,2015-08-26,,,,0.0,,,,,,
236,2015-08-27,,,,23.0,,,,,,
237,2015-08-28,,,,4.9,,,,,,
238,2015-08-29,,,,0.0,,,,,,
239,2015-08-30,,,,0.0,,,,,,
240,2015-08-31,,,,0.0,,,,,,
241,2015-09-01,,,,38.8,,,,,,
242,2015-09-02,,,,0.0,,,,,,
243,2015-09-03,,,,0.5,,,,,,
244,2015-09-04,,,,0.0,,,,,,
245,2015-09-05,,,,1.7,,,,,,
246,2015-09-06,,,,1.9,,,,,,
247,2015-09-07,,,,0.2,,,,,,
248,2015-09-08,,,,0.0,,,,,,
249,2015-09-09,,,,0.0,,,,,,
250,2015-09-10,,,,0.0,,,,,,
251,2015-09-11,,,,0.0,,,,,,
252,2015-09-12,,,,7.7,,,,,,
253,2015-09-13,,,,3.2,,,,,,
254,2015-09-14,,,,10.4,,,,,,
255,2015-09-15,,,,3.2,,,,,,
256,2015-09-16,,,,22.6,,,,,,
257,2015-09-17,,,,3.5,,,,,,
258,2015-09-18,,,,7.5,,,,,,
259,2015-09-19,,,,1.1,,,,,,
260,2015-09-20,,,,0.0,,,,,,
261,2015-09-21,,,,0.0,,,,,,
262,2015-09-22,,,,10.7,,,,,,
263,2015-09-23,,,,6.1,,,,,,
264,2015-09-24,,,,0.0,,,,,,
265,2015-09-25,,,,0.1,,,,,,
266,2015-09-26,,,,0.0,,,,,,
267,2015-09-27,,,,0.0,,,,,,
268,2015-09-28,,,,0.0,,,,,,
269,2015-09-29,,,,0.0,,,,,,
270,2015-09-30,,,,0.0,,,,,,
271,2015-10-01,,,,0.0,,,,,,
272,2015-10-02,,,,0.0,,,,,,
273,2015-10-03,,,,0.0,,,,,,
274,2015-10-04,,,,0.7,,,,,,
275,2015-10-05,,,,2.2,,,,,,
276,2015-10-06,,,,4.3,,,,,,
277,2015-10-07,,,,1.1,,,,,,
278,2015-10-08,,,,0.0,,,,,,
279,2015-10-09,,,,0.0,,,,,,
280,2015-10-10,,,,0.1,,,,,,
281,2015-10-11,,,,0.0,,,,,,
282,2015-10-12,,,,0.0,,,,,,
283,2015-10-13,,,,0.0,,,,,,
284,2015-10-14,,,,2.6,,,,,,
285,2015-10-15,,,,1.6,,,,,,
286,2015-10-16,,,,8.2,,,,,,
287,2015-10-17,,,,1.7,,,,,,
288,2015-10-18,,,,0.1,,,,,,
289,2015-10-19,,,,0.9,,,,,,
290,2015-10-20,,,,0.7,,,,,,
291,2015-10-21,,,,0.7,,,,,,
292,2015-10-22,,,,2.4,,,,,,
293,2015-10-23,,,,0.1,,,,,,
294,2015-10-24,,,,0.0,,,,,,
295,2015-10-25,,,,0.0,,,,,,
296,2015-10-26,,,,0.0,,,,,,
297,2015-10-27,,,,0.0,,,,,,
298,2015-10-28,,,,0.4,,,,,,
299,2015-10-29,,,,0.0,,,,,,
300,2015-10-30,,,,0.0,,,,,,
301,2015-10-31,,,,0.0,,,,,,
302,2015-11-01,,,,0.0,,,,,,
303,2015-11-02,,,,0.0,,,,,,
304,2015-11-03,,,,0.0,,,,,,
305,2015-11-04,,,,0.2,,,,,,
306,2015-11-05,,,,0.1,,,,,,
307,2015-11-06,,,,2.7,,,,,,
308,2015-11-07,,,,1.8,,,,,,
309,2015-11-08,,,,0.0,,,,,,
310,2015-11-09,,,,0.9,,,,,,
311,2015-11-10,,,,0.4,,,,,,
312,2015-11-11,,,,0.1,,,,,,
313,2015-11-12,,,,0.3,,,,,,
314,2015-11-13,,,,0.8,,,,,,
315,2015-11-14,,,,2.4,,,,,,
316,2015-11-15,,,,1.6,,,,,,
317,2015-11-16,,,,3.8,,,,,,
318,2015-11-17,,,,15.8,,,,,,
319,2015-11-18,,,,0.0,,,,,,
320,2015-11-19,,,,17.4,,,,,,
321,2015-11-20,,,,8.1,,,,,,
322,2015-11-21,,,,0.7,,,,,,
323,2015-11-22,,,,0.2,,,,,,
324,2015-11-23,,,,0.0,,,,,,
