,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,7.1,5.3,9.0,0.0,0.0,256.7,48.6,85.7,1017.2,168.0
1,2015-01-03,5.9,4.0,6.9,5.8,0.0,265.0,35.3,76.3,1017.6,0.0
2,2015-01-04,6.1,5.1,6.8,0.0,0.0,312.5,36.7,83.2,1027.4,216.0
3,2015-01-05,4.4,2.6,6.1,0.0,0.0,233.8,20.9,44.6,1028.1,0.0
4,2015-01-06,3.6,2.6,6.4,1.6,0.0,176.7,17.6,40.0,1020.6,0.0
5,2015-01-07,5.4,4.0,6.9,0.5,0.0,235.8,23.8,60.1,1021.3,246.0
6,2015-01-08,5.9,3.8,7.0,3.8,0.0,230.0,27.7,58.7,1015.3,0.0
7,2015-01-09,7.2,5.3,9.2,2.7,0.0,239.6,37.1,87.8,1008.5,0.0
8,2015-01-10,8.6,5.4,11.0,0.9,0.0,252.5,51.8,103.3,1001.3,30.0
9,2015-01-11,6.4,4.2,7.2,0.5,0.0,278.8,55.4,96.1,1007.7,162.0
10,2015-01-12,7.5,5.7,8.7,12.2,0.0,233.3,33.8,73.4,1006.0,0.0
11,2015-01-13,6.7,4.7,9.0,6.0,0.0,221.3,24.1,70.2,999.7,0.0
12,2015-01-14,4.2,2.8,5.4,0.6,0.0,222.1,25.6,69.1,1002.9,30.0
13,2015-01-15,6.2,3.2,8.4,3.8,0.0,190.4,31.3,72.4,993.3,0.0
14,2015-01-16,5.8,3.3,6.8,1.3,0.0,215.0,27.0,73.1,1000.2,126.0
15,2015-01-17,4.2,2.1,5.3,0.5,0.0,230.0,24.5,55.1,1009.7,402.0
16,2015-01-18,2.5,1.8,3.0,1.9,0.0,198.8,16.9,43.2,1010.9,0.0
17,2015-01-19,1.7,1.0,2.8,0.0,0.0,192.9,8.3,18.4,1011.4,0.0
18,2015-01-20,1.7,0.7,2.6,0.0,0.0,215.8,11.5,28.4,1011.4,12.0
19,2015-01-21,-0.2,-2.4,1.2,0.0,0.0,143.8,11.5,27.0,1014.5,150.0
20,2015-01-22,0.1,-2.7,2.5,0.0,0.0,99.6,11.2,27.4,1020.9,336.0
21,2015-01-23,-1.4,-3.2,2.4,2.7,0.0,159.2,15.1,50.4,1024.6,36.0
22,2015-01-24,1.9,-1.8,5.5,4.9,10.0,254.6,28.8,74.5,1017.3,186.0
23,2015-01-25,4.3,2.9,6.1,0.4,0.0,258.3,17.6,52.9,1024.5,96.0
24,2015-01-26,4.3,3.0,6.1,4.7,0.0,238.3,27.4,66.2,1015.8,0.0
25,2015-01-27,5.1,3.5,6.0,0.0,0.0,305.0,30.2,62.3,1017.8,258.0
26,2015-01-28,4.4,1.9,5.5,8.9,0.0,215.4,31.0,76.0,998.5,0.0
27,2015-01-29,2.5,0.5,4.5,6.1,0.0,225.0,28.4,71.6,978.9,90.0
28,2015-01-30,1.7,0.2,4.0,1.0,0.0,190.0,8.6,26.3,973.5,354.0
29,2015-01-31,2.5,0.6,3.9,2.9,0.0,227.9,13.0,34.9,978.3,0.0
