,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,5.2,2.7,7.6,1.8,0.0,250.0,54.4,110.2,1010.9,66.0
1,2015-01-03,3.9,2.6,4.9,5.4,0.0,262.9,50.8,80.6,1010.4,0.0
2,2015-01-04,3.7,2.7,4.7,3.6,0.0,310.4,45.0,68.4,1018.1,294.0
3,2015-01-05,3.1,1.4,3.9,0.4,0.0,292.5,19.1,49.0,1024.9,0.0
4,2015-01-06,1.2,-0.3,2.3,0.0,0.0,160.8,18.7,53.3,1026.5,306.0
5,2015-01-07,1.8,-0.6,4.2,0.5,0.0,215.8,28.4,55.4,1021.6,96.0
6,2015-01-08,3.5,2.6,5.0,6.6,0.0,223.3,33.8,56.5,1015.4,0.0
7,2015-01-09,5.3,3.9,6.8,6.3,0.0,258.3,52.6,106.9,1003.3,42.0
8,2015-01-10,6.0,3.0,8.6,7.1,0.0,255.4,51.8,121.0,994.5,0.0
9,2015-01-11,3.8,1.7,5.3,1.4,0.0,264.6,59.8,110.2,998.8,198.0
10,2015-01-12,5.5,4.3,6.8,4.5,0.0,242.1,46.4,64.8,1005.1,0.0
11,2015-01-13,6.4,4.5,8.6,2.2,0.0,230.0,35.3,62.6,1001.9,0.0
12,2015-01-14,4.3,2.0,5.8,4.2,0.0,230.0,33.5,63.4,1004.0,90.0
13,2015-01-15,3.7,1.8,7.4,1.0,0.0,193.3,31.7,57.2,1003.7,0.0
14,2015-01-16,6.0,4.3,8.0,0.0,0.0,212.1,31.3,59.0,1003.6,294.0
15,2015-01-17,3.6,1.5,4.7,0.0,0.0,237.5,24.8,42.5,1010.1,318.0
16,2015-01-18,1.5,0.4,2.7,0.0,0.0,204.2,22.3,40.3,1015.4,210.0
17,2015-01-19,1.0,-0.7,2.6,0.0,0.0,168.8,18.0,36.4,1015.1,18.0
18,2015-01-20,1.8,0.9,2.2,2.1,0.0,140.8,19.8,38.9,1012.8,0.0
19,2015-01-21,1.1,0.5,1.8,0.0,0.0,277.5,18.4,32.0,1015.7,0.0
20,2015-01-22,0.0,-1.5,1.6,0.0,0.0,216.7,9.4,22.0,1020.8,0.0
21,2015-01-23,1.1,-0.6,3.3,0.0,0.0,257.1,16.6,35.3,1024.4,168.0
22,2015-01-24,-0.1,-0.8,1.5,0.1,0.0,206.7,28.1,52.6,1019.0,0.0
23,2015-01-25,2.2,1.5,3.7,0.0,0.0,271.7,19.1,35.3,1022.1,42.0
24,2015-01-26,2.2,1.6,3.2,4.5,0.0,205.4,27.0,46.8,1016.4,0.0
25,2015-01-27,3.0,2.0,3.4,0.0,0.0,306.3,32.4,52.2,1010.3,0.0
26,2015-01-28,2.9,1.1,4.3,2.6,0.0,220.8,34.6,72.4,1002.2,0.0
27,2015-01-29,2.3,1.2,3.4,0.7,0.0,212.9,42.1,78.1,983.2,156.0
28,2015-01-30,0.9,0.4,1.6,4.7,0.0,185.4,16.2,44.6,974.3,0.0
29,2015-01-31,0.9,0.2,1.8,6.5,0.0,287.1,31.7,59.0,975.9,0.0
30,2015-02-01,0.9,-0.5,2.1,0.4,0.0,243.3,37.4,51.5,985.2,210.0
31,2015-02-02,0.6,-1.1,2.2,2.2,0.0,252.5,34.9,55.8,990.7,144.0
32,2015-02-03,-0.6,-1.3,0.2,0.6,10.0,301.3,21.2,40.3,998.7,0.0
33,2015-02-04,-0.1,-1.6,2.2,1.3,0.0,313.3,18.7,34.9,1010.6,96.0
34,2015-02-05,0.3,-0.8,1.9,0.5,10.0,147.9,8.6,22.0,1025.0,168.0
35,2015-02-06,-0.8,-2.1,0.3,0.0,10.0,261.7,18.0,41.8,1030.8,276.0
36,2015-02-07,2.1,-0.2,4.2,0.0,0.0,270.0,44.3,84.6,1018.9,0.0
37,2015-02-08,2.3,1.4,3.2,0.3,0.0,333.8,54.4,85.0,1017.6,486.0
38,2015-02-09,3.8,2.3,5.5,0.0,0.0,287.5,33.5,47.9,1015.8,378.0
39,2015-02-10,3.1,2.4,3.9,0.0,0.0,275.0,28.4,50.0,1023.6,0.0
40,2015-02-11,2.5,0.6,3.6,0.0,0.0,279.2,18.4,35.3,1026.8,0.0
41,2015-02-12,0.8,-0.4,1.5,0.0,0.0,214.2,10.8,27.0,1023.8,0.0
42,2015-02-13,0.1,-0.7,1.0,0.0,0.0,197.5,12.2,27.0,1019.3,0.0
43,2015-02-14,1.3,0.1,2.5,0.0,0.0,107.5,17.3,44.3,1016.2,510.0
44,2015-02-15,2.0,0.3,2.8,0.0,0.0,78.8,34.9,57.2,1022.6,144.0
45,2015-02-16,0.5,0.0,1.4,0.0,0.0,134.6,31.3,55.4,1026.9,144.0
46,2015-02-17,1.0,-0.9,3.2,0.0,0.0,199.2,18.0,41.0,1030.9,510.0
47,2015-02-18,2.9,1.2,5.2,0.2,0.0,245.4,31.7,46.1,1034.5,252.0
48,2015-02-19,3.7,1.7,5.6,0.0,0.0,235.0,32.0,47.9,1024.0,366.0
49,2015-02-20,2.5,0.2,4.9,1.0,0.0,208.3,28.1,50.0,1010.8,168.0
50,2015-02-21,4.2,2.7,7.4,0.0,0.0,195.8,27.7,80.6,995.8,18.0
51,2015-02-22,2.9,1.6,4.5,0.0,0.0,227.1,24.8,42.1,1006.1,270.0
52,2015-02-23,2.2,1.5,3.4,1.9,0.0,188.8,29.2,65.9,998.1,0.0
53,2015-02-24,3.4,1.6,5.8,0.0,0.0,202.9,27.0,41.8,1003.3,396.0
54,2015-02-25,2.7,1.3,5.2,0.0,0.0,210.0,15.5,30.2,1016.5,384.0
55,2015-02-26,3.0,1.2,5.1,0.0,0.0,144.6,14.4,32.0,1020.5,594.0
56,2015-02-27,3.2,0.8,5.6,0.1,0.0,145.8,15.5,33.1,1013.5,564.0
57,2015-02-28,2.8,1.7,5.0,0.0,0.0,255.0,19.8,38.2,1016.1,306.0
58,2015-03-01,2.9,1.6,4.5,1.0,0.0,187.1,26.3,49.3,1002.2,0.0
59,2015-03-02,3.2,2.3,4.3,2.1,0.0,222.9,36.0,73.4,996.0,24.0
60,2015-03-03,3.0,0.3,5.1,8.2,0.0,241.7,33.1,56.9,1009.0,258.0
61,2015-03-04,2.8,0.5,4.6,1.0,0.0,246.7,32.0,61.6,1015.3,306.0
62,2015-03-05,3.4,1.3,7.1,0.0,0.0,299.6,22.3,40.7,1029.3,270.0
63,2015-03-06,4.0,2.0,5.5,0.1,0.0,237.5,23.0,38.9,1030.8,6.0
64,2015-03-07,6.3,4.0,8.4,0.0,0.0,216.7,30.2,49.3,1027.3,72.0
65,2015-03-08,8.4,5.3,12.0,0.0,0.0,212.5,27.7,39.2,1021.8,594.0
66,2015-03-09,5.4,3.5,8.3,0.0,0.0,237.5,17.3,39.2,1025.3,354.0
67,2015-03-10,5.0,3.5,6.9,0.0,0.0,229.2,22.3,41.4,1023.5,246.0
68,2015-03-11,4.9,3.5,8.7,0.0,0.0,223.8,22.7,39.6,1025.9,492.0
69,2015-03-12,3.6,2.6,5.4,0.0,0.0,63.3,18.0,43.2,1033.4,60.0
70,2015-03-13,3.7,2.8,5.6,0.0,0.0,62.9,23.8,54.7,1030.7,450.0
71,2015-03-14,4.2,3.3,5.6,0.0,0.0,55.8,22.3,47.9,1030.9,306.0
72,2015-03-15,4.5,3.8,5.9,0.0,0.0,78.3,25.9,40.7,1034.9,18.0
73,2015-03-16,5.2,3.9,6.4,0.0,0.0,91.7,26.6,47.9,1035.1,588.0
74,2015-03-17,6.0,4.5,7.5,0.0,0.0,105.8,24.5,40.0,1032.5,582.0
75,2015-03-18,5.4,4.1,7.8,0.0,0.0,105.0,20.2,36.7,1030.8,678.0
76,2015-03-19,5.5,3.3,9.2,0.0,0.0,105.8,11.2,24.1,1029.3,678.0
77,2015-03-20,4.9,3.0,7.7,0.3,0.0,252.9,16.6,34.9,1021.8,402.0
78,2015-03-21,3.2,1.2,4.6,0.6,0.0,198.8,25.6,68.0,1017.0,0.0
79,2015-03-22,2.0,1.2,3.8,0.0,0.0,98.3,16.6,51.1,1028.0,270.0
80,2015-03-23,4.6,1.4,8.6,0.0,0.0,219.2,20.9,35.3,1016.0,660.0
81,2015-03-24,4.6,3.4,7.1,0.0,0.0,182.5,10.8,23.8,1009.6,90.0
82,2015-03-25,5.3,3.7,6.8,0.0,0.0,74.6,22.3,46.1,1010.2,528.0
83,2015-03-26,6.0,4.8,8.5,0.0,0.0,204.6,21.6,42.1,1005.8,24.0
84,2015-03-27,5.7,3.8,9.2,0.0,0.0,212.5,10.4,29.9,1011.2,78.0
85,2015-03-28,5.8,4.3,7.9,0.9,0.0,233.8,17.6,44.3,1016.2,174.0
86,2015-03-29,7.1,5.3,9.6,8.3,0.0,,25.9,48.2,994.4,54.0
87,2015-03-30,6.0,4.4,8.0,0.3,0.0,257.9,55.4,100.8,986.6,204.0
88,2015-03-31,3.9,0.8,7.1,13.8,0.0,236.7,42.1,72.7,986.1,30.0
89,2015-04-01,4.5,2.9,6.2,2.8,0.0,291.7,49.7,79.9,999.4,294.0
