,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.0,-3.1,2.0,,,229.2,20.5,,,
1,2015-01-03,0.6,0.0,1.8,,,,12.3,,1028.4,
2,2015-01-04,0.5,0.0,1.0,,,285.4,20.8,,1032.2,
3,2015-01-05,0.0,-2.1,1.7,,,,13.1,,,
4,2015-01-06,-1.8,-4.6,1.3,,,,6.6,,1028.9,
5,2015-01-07,-0.1,-2.2,0.9,,,235.8,11.7,,1031.8,
6,2015-01-08,2.5,-2.1,6.2,,,,16.0,,1029.7,
7,2015-01-09,6.0,3.5,8.2,,,248.8,28.8,,1026.1,
8,2015-01-10,10.7,6.0,13.0,,,256.7,43.8,,,
9,2015-01-11,2.8,1.6,5.4,,,272.1,27.4,,1020.5,
10,2015-01-12,3.5,1.9,5.3,,,239.2,27.4,,1025.3,
11,2015-01-13,4.9,0.4,9.0,,,173.3,15.1,,1018.0,
12,2015-01-14,4.4,0.7,7.1,,,232.1,19.1,,1016.2,
13,2015-01-15,3.5,0.3,6.2,,,165.8,17.0,,,
14,2015-01-16,5.1,3.3,6.8,,,,8.2,,1009.4,
15,2015-01-17,2.5,1.4,4.5,,,267.1,10.0,,1015.7,
16,2015-01-18,0.9,-1.5,2.1,,,184.2,6.8,,,
17,2015-01-19,0.6,-0.3,2.4,,,157.5,9.7,,1014.6,
18,2015-01-20,-0.3,-1.1,0.2,,,,,,,
19,2015-01-21,-1.0,-3.0,0.0,,,81.3,12.9,,1014.4,
20,2015-01-22,-0.3,-2.5,0.8,,,186.3,9.5,,1015.3,
21,2015-01-23,-0.8,-1.3,0.0,,,328.8,11.8,,1023.6,
22,2015-01-24,-1.1,-1.5,-0.5,,,281.7,9.7,,1024.3,
23,2015-01-25,-0.2,-1.2,1.3,,,289.6,13.5,,,
24,2015-01-26,0.1,-0.6,1.3,,,228.3,14.9,,,
25,2015-01-27,0.5,0.0,0.9,,,282.1,16.9,,,
26,2015-01-28,0.9,0.0,2.0,,,222.5,17.0,,1016.3,
27,2015-01-30,-0.4,-1.2,0.9,,,223.8,17.1,,,
28,2015-01-31,-0.9,-2.4,0.4,,,224.6,13.9,,,
29,2015-02-01,-1.2,-3.8,0.4,,,225.0,12.4,,993.6,
30,2015-02-02,-1.0,-3.8,0.1,,,261.3,14.4,,,
31,2015-02-03,-3.4,-6.8,0.0,,,,5.9,,1006.7,
32,2015-02-04,-5.1,-10.0,-1.5,,,,6.0,,,
33,2015-02-05,-3.2,-4.0,-2.2,,,55.4,19.5,,1019.5,
34,2015-02-06,-3.3,-5.7,-0.3,,,48.3,25.4,,1024.1,
35,2015-02-07,-4.9,-8.5,-0.7,,,171.3,10.2,,,
36,2015-02-11,-0.2,-2.0,1.5,,,,9.1,,,
37,2015-02-12,-1.9,-2.3,-1.3,,,145.4,12.0,,,
38,2015-02-13,-2.2,-3.0,-0.3,,,143.3,10.7,,,
39,2015-02-14,-2.4,-4.0,1.8,,,117.1,10.5,,,
40,2015-02-15,-0.7,-3.6,3.4,,,90.8,12.7,,,
41,2015-02-16,-1.5,-3.2,0.0,,,,6.8,,1022.4,
42,2015-02-17,-2.3,-3.7,-1.3,,,,5.8,,,
43,2015-02-18,-1.6,-3.0,-1.0,,,,6.3,,,
44,2015-02-19,-2.8,-3.9,-1.7,,,174.2,7.2,,,
45,2015-02-20,0.8,-5.3,8.6,,,167.9,10.3,,1020.6,
46,2015-02-21,2.9,0.3,8.3,,,204.6,12.5,,,
47,2015-02-22,1.7,-0.4,4.6,,,,5.2,,1010.9,
48,2015-02-23,-0.2,-2.5,2.0,,,178.3,13.5,,,
49,2015-02-24,2.2,0.5,4.6,,,230.0,13.9,,1011.0,
50,2015-02-25,1.6,-1.5,5.2,,,,7.4,,1021.4,
51,2015-02-26,1.3,-3.1,6.9,,,160.0,8.9,,,
52,2015-02-27,1.3,-2.5,5.2,,,,10.3,,1015.4,
53,2015-02-28,1.8,-0.5,5.2,,,,8.6,,,
54,2015-03-01,2.6,-0.7,6.3,,,,13.2,,,
55,2015-03-02,4.6,0.7,7.9,,,249.6,26.9,,,
56,2015-03-03,3.1,-0.8,7.4,,,234.2,17.8,,1022.8,
57,2015-03-04,2.5,0.3,5.4,,,265.4,17.3,,1027.0,
